Time,Big W - Think Big - Beauty,Big W - Think Big - Beauty,Big W - Think Big - Beauty,Big W - Think Big - Beauty,Big W - Think Big - Beauty,Big W - Think Big - Beauty,Big W - Think Big - Beauty,Big W - Think Big - Beauty,Big W - Think Big - Beauty,Big W - Think Big - Beauty,Big W - Think Big - Beauty,Big W - Think Big - Beauty
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
4.6,0.5528,0.5463,0.576,0.4466,0.4608,0.4537,0.4791,0.5241,0.5016,0.6916,0.5289,0.6103
4.7,0.563,0.532,0.5948,0.4412,0.4522,0.4467,0.4879,0.5457,0.5168,0.6973,0.5472,0.6222
4.8,0.5666,0.5197,0.6156,0.4384,0.4453,0.4418,0.4993,0.5707,0.535,0.7048,0.567,0.6359
4.9,0.5635,0.5096,0.6374,0.4381,0.4403,0.4392,0.5126,0.598,0.5553,0.713,0.5875,0.6503
5,0.5546,0.5013,0.6591,0.4402,0.4371,0.4387,0.5267,0.6262,0.5765,0.721,0.6078,0.6644
5.1,0.541,0.4946,0.6801,0.4442,0.4355,0.4398,0.5412,0.6543,0.5977,0.7279,0.6269,0.6774
5.2,0.5237,0.4898,0.6998,0.4493,0.4354,0.4424,0.5556,0.6815,0.6186,0.7338,0.644,0.6889
5.3,0.5035,0.4871,0.7177,0.4549,0.437,0.446,0.5699,0.7071,0.6385,0.7384,0.6584,0.6984
5.4,0.4808,0.4869,0.733,0.4601,0.4404,0.4502,0.5834,0.7303,0.6568,0.7413,0.6694,0.7054
5.5,0.4554,0.4889,0.7452,0.4644,0.4456,0.455,0.5947,0.75,0.6724,0.7418,0.6765,0.7092
5.6,0.4271,0.4921,0.7534,0.4675,0.4525,0.46,0.6028,0.7654,0.6841,0.7388,0.6792,0.709
5.7,0.3962,0.496,0.7572,0.4693,0.4609,0.4651,0.6067,0.7756,0.6912,0.7314,0.6769,0.7041
5.8,0.3637,0.5004,0.756,0.469,0.4706,0.4698,0.6062,0.7805,0.6934,0.7195,0.669,0.6942
5.9,0.3308,0.5057,0.7498,0.4668,0.4814,0.4741,0.6019,0.7804,0.6912,0.7037,0.656,0.6798
6,0.2987,0.5125,0.739,0.4631,0.4932,0.4781,0.5946,0.7757,0.6851,0.6853,0.6386,0.6619
6.1,0.2688,0.521,0.7243,0.4583,0.506,0.4821,0.5851,0.7671,0.6761,0.6655,0.618,0.6418
6.2,0.2416,0.5309,0.7066,0.4529,0.5193,0.4861,0.5742,0.7557,0.665,0.6455,0.595,0.6203
6.3,0.2176,0.5414,0.6864,0.4467,0.533,0.4899,0.5627,0.7423,0.6525,0.6258,0.5701,0.5979
6.4,0.1975,0.5521,0.6644,0.4396,0.5465,0.4931,0.5512,0.7274,0.6393,0.6065,0.5438,0.5751
6.5,0.182,0.5631,0.641,0.4319,0.5593,0.4956,0.5404,0.7115,0.626,0.5884,0.5172,0.5528
6.6,0.1719,0.574,0.617,0.424,0.571,0.4975,0.5315,0.695,0.6133,0.5723,0.4921,0.5322
6.7,0.1673,0.585,0.5938,0.4168,0.5819,0.4994,0.5258,0.6791,0.6024,0.5595,0.4703,0.5149
6.8,0.1682,0.596,0.5728,0.4109,0.5925,0.5017,0.5245,0.6646,0.5946,0.5512,0.4532,0.5022
6.9,0.1735,0.6068,0.5551,0.4067,0.6032,0.5049,0.5281,0.6522,0.5901,0.5484,0.442,0.4952
7,0.1823,0.6175,0.5415,0.4041,0.6143,0.5092,0.5359,0.642,0.5889,0.5512,0.4371,0.4941
7.1,0.194,0.6277,0.5325,0.4031,0.6254,0.5143,0.547,0.6337,0.5904,0.5595,0.4381,0.4988
7.2,0.2085,0.6371,0.5285,0.4038,0.6359,0.5198,0.5605,0.6275,0.594,0.5728,0.4447,0.5088
7.3,0.2257,0.6455,0.5298,0.4063,0.6452,0.5257,0.5756,0.6235,0.5996,0.5904,0.4563,0.5233
7.4,0.2453,0.6529,0.5364,0.4112,0.6531,0.5321,0.5917,0.6217,0.6067,0.6114,0.4721,0.5417
7.5,0.2672,0.6591,0.5477,0.4188,0.6596,0.5392,0.6084,0.6214,0.6149,0.6347,0.4914,0.5631
7.6,0.2906,0.6639,0.562,0.4294,0.6649,0.5471,0.6251,0.6216,0.6234,0.6592,0.5136,0.5864
7.7,0.3151,0.667,0.5779,0.4433,0.6692,0.5563,0.642,0.6218,0.6319,0.684,0.538,0.611
7.8,0.3401,0.6684,0.5939,0.4604,0.6732,0.5668,0.6589,0.622,0.6404,0.7081,0.5639,0.636
7.9,0.3646,0.6684,0.6093,0.4808,0.6775,0.5791,0.6759,0.6225,0.6492,0.7312,0.5901,0.6606
8,0.3871,0.6675,0.6234,0.5044,0.6829,0.5936,0.6929,0.6233,0.6581,0.7526,0.6156,0.6841
8.1,0.4065,0.666,0.636,0.5309,0.6895,0.6102,0.7089,0.6241,0.6665,0.7721,0.6399,0.706
8.2,0.4232,0.6634,0.647,0.5598,0.6969,0.6283,0.7228,0.6244,0.6736,0.7893,0.6629,0.7261
8.3,0.4374,0.6591,0.6563,0.5902,0.7043,0.6473,0.7335,0.6241,0.6788,0.8038,0.6847,0.7442
8.4,0.4484,0.6533,0.6641,0.6213,0.7116,0.6664,0.74,0.6229,0.6815,0.8152,0.7051,0.7601
8.5,0.4551,0.6466,0.67,0.6517,0.719,0.6853,0.7415,0.6211,0.6813,0.8233,0.7243,0.7738
8.6,0.457,0.6403,0.6743,0.6809,0.727,0.7039,0.7378,0.6188,0.6783,0.8285,0.7425,0.7855
