Time,Optus - Network Pulse 15 TVC,Optus - Network Pulse 15 TVC,Optus - Network Pulse 15 TVC,Optus - Network Pulse 15 TVC,Optus - Network Pulse 15 TVC,Optus - Network Pulse 15 TVC,Optus - Network Pulse 15 TVC,Optus - Network Pulse 15 TVC,Optus - Network Pulse 15 TVC,Optus - Network Pulse 15 TVC,Optus - Network Pulse 15 TVC,Optus - Network Pulse 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.0334,0.4855,0.5222,0.1724,0.724,0.4482,0.5277,0.3925,0.4601,0.3121,0.3333,0.3227
0.1,-0.1122,0.4803,0.5015,0.1706,0.712,0.4413,0.5423,0.4044,0.4734,0.3464,0.3659,0.3561
0.2,-0.1976,0.4731,0.4804,0.1649,0.6994,0.4322,0.5492,0.4153,0.4822,0.3738,0.3933,0.3835
0.3,-0.2869,0.4639,0.46,0.1551,0.6869,0.421,0.5469,0.4241,0.4855,0.3941,0.4149,0.4045
0.4,-0.3772,0.453,0.4412,0.1421,0.6745,0.4083,0.5352,0.4303,0.4828,0.408,0.4309,0.4194
0.5,-0.4655,0.4411,0.4248,0.1274,0.6627,0.395,0.5153,0.4341,0.4747,0.4169,0.4414,0.4291
0.6,-0.5485,0.4293,0.4122,0.1134,0.652,0.3827,0.4887,0.4362,0.4625,0.4217,0.4462,0.4339
0.7,-0.6231,0.4188,0.4043,0.1022,0.6433,0.3728,0.4572,0.4381,0.4477,0.4233,0.4452,0.4343
0.8,-0.6866,0.4108,0.4011,0.0948,0.6377,0.3663,0.4228,0.4412,0.432,0.4227,0.4386,0.4306
0.9,-0.7367,0.4061,0.402,0.0914,0.6363,0.3639,0.3875,0.4461,0.4168,0.4205,0.4269,0.4237
1,-0.7717,0.4053,0.4061,0.0922,0.6397,0.366,0.3537,0.4531,0.4034,0.4173,0.4117,0.4145
1.1,-0.7906,0.4086,0.4127,0.0978,0.6484,0.3731,0.324,0.4624,0.3932,0.4139,0.3944,0.4041
1.2,-0.7925,0.4164,0.4215,0.1094,0.6623,0.3858,0.3,0.4741,0.3871,0.4111,0.3766,0.3939
1.3,-0.7767,0.4287,0.4316,0.1274,0.6809,0.4042,0.2827,0.4878,0.3852,0.4097,0.3598,0.3847
1.4,-0.7433,0.445,0.4423,0.1526,0.7031,0.4279,0.2723,0.5026,0.3874,0.4098,0.3449,0.3774
1.5,-0.6933,0.4648,0.4522,0.1848,0.7274,0.4561,0.2694,0.5178,0.3936,0.4118,0.3328,0.3723
1.6,-0.6285,0.487,0.4603,0.2234,0.7519,0.4877,0.2749,0.5331,0.404,0.4154,0.3238,0.3696
1.7,-0.5514,0.5101,0.4656,0.2675,0.7748,0.5212,0.2895,0.5477,0.4186,0.4201,0.3182,0.3692
1.8,-0.4648,0.5322,0.4676,0.3157,0.7942,0.555,0.3127,0.5608,0.4368,0.4254,0.3158,0.3706
1.9,-0.3721,0.5518,0.4661,0.3665,0.809,0.5877,0.3434,0.5718,0.4576,0.4313,0.3166,0.374
2,-0.2762,0.5682,0.4615,0.4189,0.8187,0.6188,0.3801,0.5806,0.4803,0.4381,0.3207,0.3794
2.1,-0.1795,0.5811,0.4544,0.4724,0.8237,0.6481,0.4216,0.5876,0.5046,0.446,0.3281,0.387
2.2,-0.0839,0.5912,0.4459,0.5264,0.8246,0.6755,0.4669,0.5937,0.5303,0.4547,0.3388,0.3967
2.3,0.0085,0.5989,0.4367,0.5795,0.8216,0.7006,0.5147,0.5994,0.5571,0.463,0.3519,0.4075
2.4,0.0946,0.6038,0.4273,0.6292,0.8149,0.7221,0.5629,0.6048,0.5839,0.4696,0.3664,0.418
2.5,0.1704,0.6053,0.4179,0.6727,0.8043,0.7385,0.6092,0.6092,0.6092,0.4737,0.3809,0.4273
2.6,0.2323,0.6027,0.4087,0.7077,0.7896,0.7487,0.6518,0.6119,0.6319,0.4751,0.3948,0.4349
2.7,0.2794,0.5959,0.4003,0.7334,0.7707,0.752,0.6901,0.6128,0.6514,0.4741,0.408,0.4411
2.8,0.3121,0.5861,0.3936,0.7505,0.7478,0.7491,0.7238,0.6115,0.6677,0.471,0.4207,0.4458
2.9,0.3325,0.5747,0.3898,0.7597,0.7223,0.741,0.7529,0.6084,0.6806,0.466,0.4327,0.4494
3,0.3423,0.5627,0.39,0.7616,0.6963,0.729,0.7774,0.6039,0.6907,0.4601,0.4444,0.4523
3.1,0.3418,0.5507,0.3952,0.7569,0.6718,0.7144,0.7972,0.5992,0.6982,0.4542,0.456,0.4551
3.2,0.3307,0.539,0.4053,0.7467,0.6504,0.6986,0.8124,0.5949,0.7036,0.4491,0.4676,0.4584
3.3,0.3095,0.5282,0.4196,0.7323,0.6326,0.6825,0.823,0.5913,0.7071,0.4452,0.4794,0.4623
3.4,0.2798,0.5188,0.4379,0.715,0.6182,0.6666,0.829,0.5882,0.7086,0.4422,0.4912,0.4667
3.5,0.2435,0.5111,0.4594,0.6961,0.6075,0.6518,0.8306,0.5852,0.7079,0.4395,0.5029,0.4712
3.6,0.202,0.5053,0.4838,0.6764,0.6011,0.6388,0.8284,0.5824,0.7054,0.4374,0.5149,0.4761
3.7,0.1567,0.5017,0.5108,0.6567,0.5997,0.6282,0.8233,0.5806,0.702,0.4363,0.5277,0.482
3.8,0.1094,0.5008,0.5401,0.6374,0.6037,0.6206,0.8162,0.5808,0.6985,0.4368,0.5418,0.4893
3.9,0.0629,0.5028,0.5708,0.6191,0.613,0.616,0.8068,0.5827,0.6947,0.4396,0.5573,0.4984
4,0.0199,0.5069,0.6017,0.6018,0.6268,0.6143,0.7946,0.5853,0.69,0.4452,0.5739,0.5096
4.1,-0.0171,0.5118,0.6316,0.5859,0.6441,0.615,0.78,0.5878,0.6839,0.4539,0.5918,0.5228
4.2,-0.0471,0.5166,0.6592,0.5712,0.6635,0.6174,0.7637,0.5897,0.6767,0.4654,0.6108,0.5381
4.3,-0.0703,0.5207,0.6836,0.5583,0.684,0.6212,0.7463,0.5907,0.6685,0.4793,0.6307,0.555
4.4,-0.0872,0.5237,0.7039,0.5473,0.7044,0.6259,0.7277,0.59,0.6589,0.4954,0.6518,0.5736
4.5,-0.0988,0.5253,0.7191,0.5384,0.724,0.6312,0.7075,0.5869,0.6472,0.5135,0.6732,0.5933
4.6,-0.1065,0.5253,0.728,0.5316,0.742,0.6368,0.6856,0.5804,0.633,0.5336,0.6941,0.6139
4.7,-0.1094,0.5237,0.7296,0.5268,0.7576,0.6422,0.6623,0.5705,0.6164,0.5559,0.7139,0.6349
4.8,-0.1071,0.5212,0.7232,0.5245,0.7699,0.6472,0.6389,0.5577,0.5983,0.5793,0.7315,0.6554
4.9,-0.0987,0.5187,0.7084,0.525,0.7787,0.6518,0.6166,0.5427,0.5796,0.6027,0.7449,0.6738
5,-0.0842,0.5169,0.6853,0.5279,0.7837,0.6558,0.596,0.5256,0.5608,0.6245,0.7522,0.6884
5.1,-0.063,0.5161,0.6544,0.5323,0.7855,0.6589,0.5775,0.5065,0.542,0.6438,0.7528,0.6983
5.2,-0.035,0.5162,0.6166,0.5369,0.7841,0.6605,0.5604,0.4856,0.523,0.6601,0.7468,0.7034
5.3,-0.0007,0.5171,0.5734,0.5412,0.7794,0.6603,0.5438,0.4639,0.5039,0.673,0.7352,0.7041
5.4,0.0382,0.519,0.5263,0.5452,0.7718,0.6585,0.5274,0.4425,0.4849,0.6823,0.7192,0.7008
5.5,0.0793,0.522,0.4775,0.549,0.762,0.6555,0.5109,0.422,0.4665,0.688,0.7004,0.6942
5.6,0.12,0.5261,0.4291,0.5524,0.7506,0.6515,0.4952,0.4024,0.4488,0.6909,0.6801,0.6855
5.7,0.159,0.5311,0.3828,0.5549,0.7381,0.6465,0.4812,0.3837,0.4325,0.6918,0.6585,0.6751
5.8,0.1953,0.5364,0.3407,0.5563,0.7249,0.6406,0.4699,0.3669,0.4184,0.6911,0.636,0.6635
5.9,0.2284,0.5414,0.3045,0.5568,0.7107,0.6337,0.4619,0.3526,0.4073,0.6893,0.6136,0.6515
6,0.2582,0.5458,0.2761,0.5562,0.6952,0.6257,0.4575,0.3419,0.3997,0.6871,0.5924,0.6398
6.1,0.2848,0.5495,0.2562,0.5551,0.6784,0.6167,0.4574,0.3357,0.3965,0.6855,0.5734,0.6295
6.2,0.3079,0.5526,0.2449,0.5538,0.6611,0.6075,0.4619,0.335,0.3984,0.685,0.5572,0.6211
6.3,0.3276,0.5556,0.2416,0.5523,0.6447,0.5985,0.4711,0.3407,0.4059,0.6858,0.5443,0.615
6.4,0.3441,0.5588,0.2451,0.551,0.6303,0.5907,0.484,0.3531,0.4186,0.6876,0.5346,0.6111
6.5,0.3571,0.5624,0.2546,0.551,0.6186,0.5848,0.4997,0.3724,0.436,0.6902,0.528,0.6091
6.6,0.3668,0.5664,0.2694,0.5531,0.6102,0.5816,0.5174,0.398,0.4577,0.6933,0.5245,0.6089
6.7,0.3744,0.5705,0.2894,0.5569,0.6051,0.581,0.5371,0.4291,0.4831,0.6974,0.5244,0.6109
6.8,0.381,0.5745,0.3155,0.5613,0.6036,0.5824,0.5588,0.4643,0.5116,0.7026,0.5276,0.6151
6.9,0.3873,0.5783,0.3469,0.5653,0.6057,0.5855,0.582,0.5022,0.5421,0.7087,0.5334,0.621
7,0.3939,0.5819,0.3818,0.568,0.6117,0.5899,0.6058,0.5411,0.5734,0.7153,0.5407,0.628
7.1,0.4011,0.5848,0.4182,0.5688,0.6209,0.5948,0.6291,0.5792,0.6041,0.7221,0.5489,0.6355
7.2,0.4084,0.5868,0.4539,0.5672,0.632,0.5996,0.6512,0.6142,0.6327,0.729,0.5579,0.6434
7.3,0.4145,0.5874,0.4879,0.5634,0.6446,0.604,0.6719,0.6443,0.6581,0.7358,0.5679,0.6519
7.4,0.4171,0.5865,0.5196,0.5574,0.6589,0.6082,0.6916,0.6687,0.6802,0.7422,0.579,0.6606
7.5,0.4141,0.5845,0.5485,0.5503,0.6757,0.613,0.7112,0.6882,0.6997,0.7476,0.5907,0.6691
7.6,0.4038,0.582,0.5745,0.5428,0.6954,0.6191,0.7311,0.7037,0.7174,0.7516,0.6023,0.677
7.7,0.3848,0.5791,0.5968,0.5358,0.7176,0.6267,0.7512,0.715,0.7331,0.7543,0.6131,0.6837
7.8,0.3573,0.5757,0.6142,0.5298,0.7415,0.6356,0.7699,0.7216,0.7458,0.7553,0.6222,0.6888
7.9,0.3222,0.5719,0.625,0.5247,0.7663,0.6455,0.7862,0.7224,0.7543,0.7542,0.6288,0.6915
8,0.2823,0.5681,0.6273,0.5205,0.7906,0.6556,0.7993,0.7167,0.758,0.7507,0.6322,0.6914
8.1,0.2417,0.5654,0.6189,0.5178,0.8133,0.6655,0.8089,0.7044,0.7567,0.7444,0.6324,0.6884
8.2,0.2031,0.5646,0.5992,0.5173,0.8335,0.6754,0.8154,0.6862,0.7508,0.7352,0.6291,0.6821
8.3,0.1675,0.5665,0.5686,0.5195,0.8512,0.6853,0.8187,0.6628,0.7407,0.7234,0.6225,0.673
8.4,0.1353,0.5707,0.5291,0.5237,0.8666,0.6951,0.8183,0.6357,0.727,0.71,0.6131,0.6616
