Time,BWS Whatever Floats Your Boots 30 TVC,BWS Whatever Floats Your Boots 30 TVC,BWS Whatever Floats Your Boots 30 TVC,BWS Whatever Floats Your Boots 30 TVC,BWS Whatever Floats Your Boots 30 TVC,BWS Whatever Floats Your Boots 30 TVC,BWS Whatever Floats Your Boots 30 TVC,BWS Whatever Floats Your Boots 30 TVC,BWS Whatever Floats Your Boots 30 TVC,BWS Whatever Floats Your Boots 30 TVC,BWS Whatever Floats Your Boots 30 TVC,BWS Whatever Floats Your Boots 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
23.9,0.2257,0.6362,0.6205,0.4422,0.4815,0.4618,0.5669,0.4551,0.511,0.4364,0.5282,0.4823
24,0.2607,0.6329,0.6353,0.4382,0.4801,0.4591,0.5624,0.4755,0.5189,0.4263,0.529,0.4777
24.1,0.2885,0.6267,0.6478,0.4335,0.4758,0.4546,0.5587,0.5011,0.5299,0.4188,0.5265,0.4726
24.2,0.3091,0.617,0.6572,0.4288,0.4684,0.4486,0.5558,0.5307,0.5432,0.4134,0.5208,0.4671
24.3,0.3235,0.6038,0.6636,0.4247,0.4579,0.4413,0.5537,0.5632,0.5585,0.4095,0.5121,0.4608
24.4,0.332,0.5874,0.6681,0.4215,0.4447,0.4331,0.5532,0.598,0.5756,0.4071,0.5015,0.4543
24.5,0.3331,0.5682,0.6713,0.4191,0.4296,0.4244,0.5549,0.6345,0.5947,0.4065,0.4898,0.4481
24.6,0.3244,0.5462,0.6733,0.417,0.414,0.4155,0.5589,0.6717,0.6153,0.4078,0.4772,0.4425
24.7,0.3053,0.5219,0.6741,0.4151,0.3995,0.4073,0.565,0.7089,0.637,0.4102,0.4639,0.4371
24.8,0.278,0.4967,0.6738,0.4142,0.3871,0.4007,0.5733,0.7456,0.6594,0.4127,0.4503,0.4315
24.9,0.2472,0.4723,0.673,0.4146,0.3775,0.396,0.5833,0.7816,0.6824,0.4148,0.4371,0.4259
25,0.2168,0.4506,0.6721,0.4159,0.3705,0.3932,0.5944,0.8164,0.7054,0.4171,0.4248,0.4209
25.1,0.1892,0.4323,0.6704,0.417,0.3654,0.3912,0.6059,0.8489,0.7274,0.4204,0.414,0.4172
25.2,0.1659,0.4176,0.6668,0.4169,0.3616,0.3893,0.6167,0.8776,0.7471,0.4247,0.4053,0.415
25.3,0.1485,0.4067,0.6609,0.4152,0.3588,0.387,0.6259,0.9013,0.7636,0.4298,0.3988,0.4143
25.4,0.1384,0.4002,0.6528,0.4118,0.3574,0.3846,0.6327,0.9195,0.7761,0.4352,0.3948,0.415
25.5,0.1353,0.3982,0.6428,0.4075,0.3582,0.3828,0.6364,0.9316,0.784,0.4411,0.3936,0.4173
25.6,0.1375,0.4008,0.6307,0.4028,0.3616,0.3822,0.636,0.9374,0.7867,0.4477,0.3954,0.4216
25.7,0.1417,0.4072,0.6165,0.3979,0.368,0.3829,0.6309,0.9369,0.7839,0.4553,0.4003,0.4278
25.8,0.1451,0.4166,0.6009,0.3931,0.3773,0.3852,0.6204,0.9306,0.7755,0.4637,0.4082,0.436
25.9,0.1465,0.4282,0.5854,0.3891,0.3892,0.3892,0.6051,0.9195,0.7623,0.4728,0.4185,0.4457
26,0.1454,0.441,0.5721,0.3868,0.403,0.3949,0.5862,0.9052,0.7457,0.4822,0.431,0.4566
26.1,0.1419,0.4543,0.5634,0.3869,0.4173,0.4021,0.5652,0.8892,0.7272,0.4921,0.4446,0.4684
26.2,0.1364,0.4673,0.5606,0.3899,0.4312,0.4106,0.5432,0.873,0.7081,0.503,0.4583,0.4807
26.3,0.1298,0.4791,0.5638,0.3956,0.4443,0.42,0.5208,0.8574,0.6891,0.515,0.4712,0.4931
26.4,0.1228,0.4893,0.5723,0.4038,0.4566,0.4302,0.499,0.8427,0.6708,0.5282,0.483,0.5056
26.5,0.1154,0.4978,0.5847,0.414,0.468,0.441,0.4785,0.829,0.6537,0.5421,0.4939,0.518
26.6,0.1069,0.5044,0.5998,0.4256,0.4785,0.452,0.4602,0.8166,0.6384,0.5562,0.504,0.5301
26.7,0.0967,0.5095,0.6168,0.4382,0.4879,0.463,0.4452,0.8059,0.6256,0.5706,0.5132,0.5419
26.8,0.0852,0.5132,0.6349,0.4517,0.4966,0.4741,0.4351,0.7971,0.6161,0.5854,0.5218,0.5536
26.9,0.0728,0.5162,0.6532,0.4667,0.5051,0.4859,0.431,0.7901,0.6106,0.6008,0.5303,0.5656
27,0.061,0.5185,0.6705,0.4836,0.5138,0.4987,0.4335,0.7844,0.609,0.6163,0.5389,0.5776
27.1,0.0511,0.5201,0.6857,0.5029,0.5227,0.5128,0.4425,0.7797,0.6111,0.6317,0.5477,0.5897
27.2,0.0443,0.5205,0.6989,0.5243,0.5311,0.5277,0.4573,0.7757,0.6165,0.6465,0.5567,0.6016
27.3,0.0408,0.519,0.7111,0.5471,0.5381,0.5426,0.4771,0.7726,0.6248,0.6604,0.566,0.6132
27.4,0.041,0.5153,0.7236,0.5701,0.5428,0.5565,0.501,0.7699,0.6355,0.6729,0.5754,0.6242
27.5,0.0456,0.5094,0.7372,0.5923,0.5445,0.5684,0.5276,0.7676,0.6476,0.6833,0.5854,0.6344
27.6,0.0557,0.5016,0.7524,0.6124,0.5424,0.5774,0.5549,0.7653,0.6601,0.691,0.5962,0.6436
27.7,0.072,0.4925,0.7694,0.6294,0.5359,0.5826,0.5814,0.7637,0.6725,0.6963,0.6085,0.6524
27.8,0.0946,0.483,0.7878,0.6424,0.5254,0.5839,0.6057,0.7635,0.6846,0.7,0.6229,0.6614
27.9,0.1235,0.4741,0.807,0.6505,0.5119,0.5812,0.6275,0.7653,0.6964,0.703,0.6394,0.6712
28,0.1589,0.4673,0.8262,0.6529,0.4968,0.5749,0.646,0.7688,0.7074,0.7054,0.658,0.6817
28.1,0.2021,0.4643,0.8449,0.6496,0.4816,0.5656,0.6604,0.7734,0.7169,0.707,0.6778,0.6924
28.2,0.2544,0.4668,0.8624,0.6407,0.4674,0.5541,0.6694,0.7782,0.7238,0.707,0.6983,0.7027
28.3,0.3157,0.4754,0.8782,0.6268,0.4549,0.5409,0.6717,0.7824,0.727,0.7057,0.7188,0.7122
28.4,0.3834,0.4886,0.8914,0.6084,0.4443,0.5263,0.6665,0.7856,0.7261,0.7036,0.7389,0.7212
28.5,0.4519,0.5042,0.901,0.5858,0.4356,0.5107,0.6542,0.7873,0.7208,0.701,0.7582,0.7296
28.6,0.5148,0.5196,0.9065,0.5595,0.4286,0.4941,0.6354,0.787,0.7112,0.6977,0.7764,0.737
28.7,0.5669,0.5328,0.9079,0.5307,0.4234,0.4771,0.6109,0.7848,0.6978,0.6932,0.7928,0.743
28.8,0.6047,0.5427,0.9053,0.5004,0.42,0.4602,0.5812,0.7807,0.6809,0.6875,0.8068,0.7472
28.9,0.6274,0.5483,0.8989,0.4698,0.4178,0.4438,0.5469,0.7747,0.6608,0.6809,0.8176,0.7493
29,0.6356,0.5487,0.8891,0.4394,0.416,0.4277,0.5088,0.7668,0.6378,0.6743,0.8249,0.7496
29.1,0.6316,0.5428,0.8761,0.4096,0.4133,0.4114,0.4689,0.757,0.6129,0.6688,0.8289,0.7488
29.2,0.6187,0.5306,0.8605,0.3803,0.4087,0.3945,0.4298,0.7457,0.5878,0.6653,0.8303,0.7478
29.3,0.6007,0.5126,0.8427,0.3519,0.4014,0.3766,0.394,0.7337,0.5639,0.6638,0.8293,0.7465
29.4,0.5811,0.4897,0.8231,0.3252,0.3908,0.358,0.363,0.7215,0.5422,0.6638,0.8261,0.745
29.5,0.5626,0.4627,0.8017,0.3007,0.3769,0.3388,0.337,0.7095,0.5232,0.6651,0.8208,0.743
29.6,0.5463,0.432,0.7778,0.2785,0.36,0.3192,0.316,0.698,0.507,0.6674,0.8139,0.7407
29.7,0.5313,0.3982,0.7511,0.2582,0.3405,0.2994,0.3001,0.6875,0.4938,0.6707,0.8062,0.7384
29.8,0.5142,0.3622,0.7215,0.2392,0.3191,0.2791,0.289,0.679,0.484,0.6747,0.7984,0.7366
29.9,0.4917,0.3254,0.6899,0.221,0.2966,0.2588,0.2825,0.6739,0.4782,0.6786,0.7911,0.7348
