Time,Samsung Fridge 15s TVC,Samsung Fridge 15s TVC,Samsung Fridge 15s TVC,Samsung Fridge 15s TVC,Samsung Fridge 15s TVC,Samsung Fridge 15s TVC,Samsung Fridge 15s TVC,Samsung Fridge 15s TVC,Samsung Fridge 15s TVC,Samsung Fridge 15s TVC,Samsung Fridge 15s TVC,Samsung Fridge 15s TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
4.6,0.4355,0.5856,0.4715,0.5208,0.5627,0.5418,0.5145,0.7531,0.6338,0.5164,0.4695,0.4929
4.7,0.4378,0.5793,0.47,0.5186,0.5914,0.555,0.5228,0.7604,0.6416,0.5257,0.4715,0.4986
4.8,0.4421,0.5736,0.474,0.5185,0.6234,0.5709,0.531,0.7693,0.6501,0.5367,0.4767,0.5067
4.9,0.4476,0.5685,0.4839,0.5198,0.6576,0.5887,0.5387,0.7794,0.6591,0.5491,0.4854,0.5173
5,0.453,0.564,0.4999,0.5223,0.6933,0.6078,0.5459,0.7911,0.6685,0.5629,0.4978,0.5304
5.1,0.4569,0.5607,0.5212,0.5257,0.7295,0.6276,0.5534,0.8037,0.6785,0.5779,0.5135,0.5457
5.2,0.4589,0.5589,0.5461,0.5303,0.7648,0.6475,0.5611,0.8159,0.6885,0.5928,0.5311,0.562
5.3,0.459,0.5587,0.572,0.5365,0.7971,0.6668,0.5682,0.8262,0.6972,0.6064,0.5491,0.5778
5.4,0.4574,0.559,0.5965,0.5438,0.8245,0.6842,0.5738,0.8332,0.7035,0.6177,0.5662,0.5919
5.5,0.4537,0.5584,0.6181,0.551,0.8449,0.6979,0.5774,0.8363,0.7068,0.6263,0.5819,0.6041
5.6,0.4471,0.5561,0.6366,0.5568,0.8572,0.707,0.5794,0.8356,0.7075,0.6327,0.596,0.6143
5.7,0.4369,0.5521,0.6528,0.5613,0.8619,0.7116,0.5808,0.8322,0.7065,0.6374,0.608,0.6227
5.8,0.4229,0.5475,0.6671,0.5656,0.86,0.7128,0.5819,0.8276,0.7048,0.6403,0.6175,0.6289
5.9,0.4048,0.5433,0.6796,0.5716,0.8531,0.7124,0.5829,0.8227,0.7028,0.6416,0.6243,0.633
6,0.3822,0.5396,0.6901,0.5809,0.8422,0.7115,0.5837,0.8176,0.7006,0.6409,0.6282,0.6345
6.1,0.3539,0.5367,0.6979,0.593,0.8281,0.7105,0.5842,0.8122,0.6982,0.6383,0.629,0.6337
6.2,0.3194,0.5345,0.7018,0.6067,0.8118,0.7093,0.584,0.8065,0.6953,0.6339,0.6268,0.6304
6.3,0.279,0.5333,0.7009,0.6208,0.7948,0.7078,0.5821,0.8008,0.6915,0.6269,0.6219,0.6244
6.4,0.2339,0.5333,0.6947,0.6348,0.7782,0.7065,0.5781,0.7952,0.6867,0.6171,0.614,0.6155
6.5,0.1853,0.5348,0.6832,0.6484,0.7629,0.7056,0.5726,0.7894,0.681,0.6046,0.6032,0.6039
6.6,0.134,0.5378,0.6669,0.661,0.7494,0.7052,0.567,0.7832,0.6751,0.5898,0.5899,0.5899
6.7,0.0808,0.5422,0.647,0.6715,0.7383,0.7049,0.5625,0.7773,0.6699,0.573,0.575,0.574
6.8,0.0274,0.548,0.6249,0.6796,0.7295,0.7045,0.5594,0.7731,0.6662,0.5546,0.5598,0.5572
6.9,-0.0243,0.5546,0.6025,0.6853,0.7228,0.7041,0.557,0.7713,0.6642,0.5356,0.5457,0.5406
7,-0.0722,0.5616,0.5806,0.689,0.7176,0.7033,0.5547,0.7718,0.6632,0.5166,0.5337,0.5251
7.1,-0.1157,0.5687,0.5598,0.6911,0.7132,0.7022,0.5519,0.7741,0.663,0.4982,0.5241,0.5112
7.2,-0.1557,0.5758,0.5405,0.6924,0.7096,0.701,0.5484,0.7784,0.6634,0.4806,0.5169,0.4988
7.3,-0.193,0.5828,0.5231,0.694,0.707,0.7005,0.5441,0.7851,0.6646,0.4634,0.512,0.4877
7.4,-0.2275,0.5898,0.508,0.697,0.7055,0.7013,0.5389,0.7943,0.6666,0.4465,0.509,0.4778
7.5,-0.2577,0.5965,0.4952,0.7021,0.7047,0.7034,0.5328,0.8051,0.669,0.4303,0.5079,0.4691
7.6,-0.282,0.6032,0.4843,0.7096,0.7037,0.7067,0.526,0.8167,0.6713,0.4152,0.5081,0.4617
7.7,-0.3006,0.6103,0.475,0.7195,0.7026,0.7111,0.5184,0.8282,0.6733,0.4019,0.5087,0.4553
