Time,Uber - Carshare Second Car 30 TVC,Uber - Carshare Second Car 30 TVC,Uber - Carshare Second Car 30 TVC,Uber - Carshare Second Car 30 TVC,Uber - Carshare Second Car 30 TVC,Uber - Carshare Second Car 30 TVC,Uber - Carshare Second Car 30 TVC,Uber - Carshare Second Car 30 TVC,Uber - Carshare Second Car 30 TVC,Uber - Carshare Second Car 30 TVC,Uber - Carshare Second Car 30 TVC,Uber - Carshare Second Car 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.3386,0.4028,0.6269,0.5485,0.5318,0.5401,0.6119,0.6372,0.6245,0.7099,0.74,0.7249
0.1,-0.2969,0.4063,0.615,0.5588,0.5118,0.5353,0.6088,0.6194,0.6141,0.7118,0.7338,0.7228
0.2,-0.2532,0.4114,0.6019,0.5684,0.4931,0.5308,0.6038,0.6012,0.6025,0.7117,0.7261,0.7189
0.3,-0.2088,0.4187,0.5891,0.5766,0.4759,0.5263,0.5967,0.5839,0.5903,0.7095,0.7178,0.7137
0.4,-0.1646,0.4283,0.5772,0.5826,0.4606,0.5216,0.5876,0.5679,0.5778,0.705,0.7093,0.7072
0.5,-0.1221,0.44,0.5667,0.5858,0.4474,0.5166,0.5771,0.5537,0.5654,0.698,0.7009,0.6995
0.6,-0.083,0.4537,0.5576,0.5857,0.4369,0.5113,0.566,0.5414,0.5537,0.6887,0.6928,0.6908
0.7,-0.0478,0.4684,0.55,0.5816,0.4286,0.5051,0.5553,0.5315,0.5434,0.6773,0.6852,0.6812
0.8,-0.0156,0.483,0.5439,0.5733,0.4218,0.4975,0.5453,0.5239,0.5346,0.6642,0.6781,0.6712
0.9,0.0149,0.4967,0.5394,0.5614,0.4161,0.4887,0.536,0.5187,0.5273,0.6497,0.672,0.6609
1,0.0445,0.5085,0.5368,0.5467,0.4118,0.4793,0.5273,0.5158,0.5215,0.634,0.6668,0.6504
1.1,0.0725,0.5179,0.5364,0.5305,0.4094,0.47,0.5192,0.5152,0.5172,0.6169,0.6624,0.6396
1.2,0.0982,0.5246,0.5383,0.5135,0.4088,0.4611,0.512,0.5165,0.5143,0.5986,0.6585,0.6286
1.3,0.1205,0.5283,0.5421,0.4959,0.4097,0.4528,0.5061,0.5192,0.5127,0.5793,0.6549,0.6171
1.4,0.1394,0.529,0.5468,0.4781,0.4118,0.4449,0.5015,0.5229,0.5122,0.5593,0.651,0.6052
1.5,0.1559,0.5264,0.5516,0.4602,0.4151,0.4376,0.4984,0.527,0.5127,0.5393,0.6468,0.5931
1.6,0.1718,0.5206,0.5557,0.4423,0.4197,0.431,0.4971,0.531,0.514,0.5201,0.6422,0.5811
1.7,0.1883,0.5119,0.5589,0.425,0.4259,0.4255,0.4976,0.5344,0.516,0.5021,0.6369,0.5695
1.8,0.2058,0.5008,0.5612,0.4085,0.4334,0.4209,0.4999,0.5365,0.5182,0.4862,0.6303,0.5583
1.9,0.2244,0.4885,0.5626,0.3934,0.4414,0.4174,0.5039,0.5371,0.5205,0.4726,0.622,0.5473
2,0.2439,0.4755,0.5632,0.3805,0.4493,0.4149,0.509,0.5364,0.5227,0.461,0.6116,0.5363
2.1,0.2646,0.4622,0.5627,0.3704,0.4564,0.4134,0.5151,0.5349,0.525,0.4512,0.5992,0.5252
2.2,0.2862,0.4484,0.5611,0.3633,0.4616,0.4125,0.522,0.5332,0.5276,0.443,0.5853,0.5141
2.3,0.3076,0.4339,0.5586,0.359,0.4643,0.4117,0.5296,0.5319,0.5308,0.4366,0.5703,0.5034
2.4,0.3274,0.4191,0.5559,0.3572,0.4643,0.4108,0.5377,0.5312,0.5345,0.4325,0.5551,0.4938
2.5,0.3438,0.4048,0.5536,0.3576,0.4621,0.4099,0.5459,0.5314,0.5387,0.4308,0.5405,0.4856
2.6,0.3553,0.3915,0.5522,0.3598,0.4584,0.4091,0.5538,0.533,0.5434,0.431,0.5274,0.4792
2.7,0.3606,0.3794,0.5518,0.3629,0.4536,0.4082,0.5611,0.5362,0.5487,0.4327,0.5164,0.4745
2.8,0.3582,0.3681,0.5523,0.3657,0.4479,0.4068,0.5677,0.541,0.5544,0.4354,0.508,0.4717
2.9,0.3476,0.3572,0.5534,0.3675,0.4412,0.4044,0.5737,0.5474,0.5606,0.439,0.5022,0.4706
3,0.3294,0.3462,0.555,0.3675,0.4334,0.4004,0.579,0.5553,0.5672,0.4434,0.4993,0.4713
