Time,Sirena Tuna - Nothing Compares 30 TVC,Sirena Tuna - Nothing Compares 30 TVC,Sirena Tuna - Nothing Compares 30 TVC,Sirena Tuna - Nothing Compares 30 TVC,Sirena Tuna - Nothing Compares 30 TVC,Sirena Tuna - Nothing Compares 30 TVC,Sirena Tuna - Nothing Compares 30 TVC,Sirena Tuna - Nothing Compares 30 TVC,Sirena Tuna - Nothing Compares 30 TVC,Sirena Tuna - Nothing Compares 30 TVC,Sirena Tuna - Nothing Compares 30 TVC,Sirena Tuna - Nothing Compares 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
4.4,0.1848,0.6305,0.7438,0.4969,0.4317,0.4643,0.3496,0.4408,0.3952,0.337,0.2105,0.2738
4.5,0.212,0.6308,0.7184,0.4912,0.4304,0.4608,0.3267,0.4217,0.3742,0.3162,0.1928,0.2545
4.6,0.2367,0.6297,0.6898,0.486,0.4294,0.4577,0.3047,0.4027,0.3537,0.2985,0.1789,0.2387
4.7,0.258,0.6266,0.6594,0.4816,0.4278,0.4547,0.2842,0.3843,0.3343,0.2847,0.1698,0.2273
4.8,0.2752,0.6209,0.6283,0.4778,0.4252,0.4515,0.2657,0.3665,0.3161,0.2753,0.1659,0.2206
4.9,0.2878,0.6119,0.597,0.4744,0.4209,0.4476,0.2497,0.3491,0.2994,0.2704,0.1671,0.2187
5,0.2962,0.5994,0.5657,0.4719,0.4138,0.4428,0.2362,0.3319,0.2841,0.2698,0.1731,0.2215
5.1,0.3013,0.5841,0.535,0.4712,0.4038,0.4375,0.2258,0.3151,0.2705,0.2738,0.1839,0.2288
5.2,0.3036,0.5676,0.5064,0.4738,0.3918,0.4328,0.2191,0.2993,0.2592,0.2825,0.1992,0.2409
5.3,0.3035,0.5513,0.4815,0.4808,0.3794,0.4301,0.2164,0.2853,0.2509,0.2964,0.2189,0.2576
5.4,0.301,0.5364,0.4609,0.4923,0.3671,0.4297,0.2183,0.2739,0.2461,0.3152,0.2424,0.2788
5.5,0.2968,0.5234,0.4442,0.5073,0.3541,0.4307,0.2247,0.2654,0.2451,0.3384,0.2688,0.3036
5.6,0.2923,0.5126,0.4306,0.5252,0.3397,0.4325,0.2359,0.2601,0.248,0.3656,0.2969,0.3312
5.7,0.2886,0.5042,0.4198,0.545,0.3238,0.4344,0.2517,0.2578,0.2547,0.3964,0.3259,0.3612
5.8,0.2866,0.4974,0.4115,0.5652,0.3059,0.4355,0.2721,0.2582,0.2652,0.4304,0.3556,0.393
5.9,0.2874,0.4915,0.4053,0.5841,0.2849,0.4345,0.2961,0.2611,0.2786,0.4655,0.385,0.4253
6,0.2925,0.4853,0.4005,0.6005,0.2598,0.4302,0.3227,0.2659,0.2943,0.4985,0.4127,0.4556
6.1,0.3021,0.4789,0.3969,0.6139,0.2303,0.4221,0.3515,0.2724,0.312,0.5263,0.4369,0.4816
6.2,0.3148,0.4732,0.3947,0.6246,0.1974,0.411,0.3828,0.2806,0.3317,0.5473,0.4566,0.5019
6.3,0.3296,0.4692,0.3941,0.6333,0.1625,0.3979,0.4162,0.2904,0.3533,0.5605,0.4714,0.5159
6.4,0.3464,0.4672,0.3948,0.6405,0.1263,0.3834,0.4507,0.3015,0.3761,0.5656,0.4812,0.5234
