Time,Sirena Tuna - Nothing Compares 30 TVC,Sirena Tuna - Nothing Compares 30 TVC,Sirena Tuna - Nothing Compares 30 TVC,Sirena Tuna - Nothing Compares 30 TVC,Sirena Tuna - Nothing Compares 30 TVC,Sirena Tuna - Nothing Compares 30 TVC,Sirena Tuna - Nothing Compares 30 TVC,Sirena Tuna - Nothing Compares 30 TVC,Sirena Tuna - Nothing Compares 30 TVC,Sirena Tuna - Nothing Compares 30 TVC,Sirena Tuna - Nothing Compares 30 TVC,Sirena Tuna - Nothing Compares 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
19.6,0.0731,0.5759,0.6049,0.5451,0.4936,0.5193,0.4164,0.5612,0.4888,0.1475,0.2984,0.2229
19.7,0.0364,0.5637,0.627,0.5552,0.5092,0.5322,0.4248,0.572,0.4984,0.171,0.3137,0.2423
19.8,0.0016,0.5508,0.6496,0.5615,0.5213,0.5414,0.4361,0.5864,0.5113,0.1974,0.329,0.2632
19.9,-0.0298,0.5382,0.6743,0.5652,0.5303,0.5477,0.4511,0.605,0.528,0.2267,0.3447,0.2857
20,-0.0582,0.5273,0.7013,0.5672,0.537,0.5521,0.4704,0.6278,0.5491,0.2582,0.3613,0.3098
20.1,-0.0841,0.5192,0.7292,0.5684,0.5418,0.5551,0.4939,0.6545,0.5742,0.2919,0.3794,0.3357
20.2,-0.1071,0.5143,0.7564,0.5689,0.5446,0.5568,0.5213,0.6842,0.6028,0.3284,0.3996,0.364
20.3,-0.1266,0.5125,0.7825,0.5692,0.5458,0.5575,0.5519,0.7158,0.6338,0.3675,0.4223,0.3949
20.4,-0.1435,0.514,0.8075,0.5698,0.5466,0.5582,0.5844,0.748,0.6662,0.4081,0.4467,0.4274
20.5,-0.1593,0.5187,0.8308,0.5708,0.5486,0.5597,0.6177,0.7791,0.6984,0.4484,0.4721,0.4603
20.6,-0.1738,0.5266,0.8509,0.572,0.5524,0.5622,0.6506,0.8071,0.7289,0.4871,0.498,0.4926
20.7,-0.1848,0.5373,0.8669,0.573,0.5577,0.5654,0.6825,0.8306,0.7565,0.5238,0.5238,0.5238
20.8,-0.1896,0.5496,0.8785,0.5732,0.5637,0.5684,0.7129,0.8479,0.7804,0.5578,0.5486,0.5532
20.9,-0.1875,0.5626,0.8854,0.5725,0.5706,0.5716,0.7414,0.8585,0.8,0.5882,0.5713,0.5798
21,-0.1797,0.5763,0.8884,0.5718,0.5793,0.5756,0.7677,0.8628,0.8153,0.6144,0.5913,0.6028
21.1,-0.1671,0.5917,0.8886,0.5718,0.5907,0.5813,0.791,0.8618,0.8264,0.6367,0.6096,0.6232
21.2,-0.1493,0.6095,0.8874,0.5731,0.6044,0.5888,0.8109,0.8562,0.8336,0.6563,0.6275,0.6419
21.3,-0.1254,0.6298,0.8854,0.576,0.6197,0.5979,0.827,0.8467,0.8368,0.673,0.645,0.659
21.4,-0.0954,0.6521,0.8822,0.5803,0.636,0.6082,0.8387,0.8334,0.8361,0.6858,0.6605,0.6731
21.5,-0.061,0.6757,0.8769,0.5854,0.6533,0.6194,0.8458,0.8168,0.8313,0.6942,0.6724,0.6833
21.6,-0.0231,0.7001,0.8693,0.5913,0.6718,0.6315,0.8483,0.7971,0.8227,0.6986,0.6807,0.6897
21.7,0.0187,0.7253,0.8601,0.5985,0.6914,0.645,0.8465,0.7752,0.8108,0.6998,0.686,0.6929
21.8,0.0649,0.7509,0.85,0.6088,0.712,0.6604,0.8408,0.7522,0.7965,0.6979,0.6885,0.6932
21.9,0.1145,0.7763,0.8393,0.6234,0.733,0.6782,0.8316,0.7289,0.7802,0.6925,0.6875,0.69
22,0.1655,0.8001,0.8278,0.6426,0.7544,0.6985,0.8195,0.7061,0.7628,0.6836,0.6827,0.6831
22.1,0.2158,0.8206,0.8158,0.6657,0.7758,0.7207,0.8046,0.6844,0.7445,0.6714,0.6745,0.6729
22.2,0.2632,0.8356,0.8038,0.6901,0.7965,0.7433,0.787,0.6638,0.7254,0.6562,0.6644,0.6603
22.3,0.305,0.8432,0.7919,0.7125,0.8148,0.7637,0.7665,0.6439,0.7052,0.6378,0.6528,0.6453
22.4,0.3388,0.8422,0.7795,0.7302,0.8292,0.7797,0.7432,0.6242,0.6837,0.6157,0.6385,0.6271
22.5,0.3635,0.8323,0.7663,0.742,0.839,0.7905,0.7176,0.6049,0.6613,0.5901,0.621,0.6056
22.6,0.3793,0.8144,0.7525,0.7483,0.8446,0.7965,0.6909,0.5872,0.639,0.5624,0.6011,0.5817
22.7,0.3861,0.7902,0.7382,0.7496,0.847,0.7983,0.6644,0.5723,0.6183,0.5329,0.5798,0.5563
22.8,0.3835,0.7613,0.7236,0.7455,0.8461,0.7958,0.6387,0.5607,0.5997,0.5024,0.558,0.5302
22.9,0.3721,0.7284,0.7089,0.7352,0.8412,0.7882,0.6136,0.5521,0.5828,0.4722,0.5373,0.5047
23,0.352,0.6915,0.6943,0.7181,0.8314,0.7748,0.5893,0.5457,0.5675,0.4441,0.5188,0.4815
23.1,0.3245,0.6515,0.68,0.6952,0.8167,0.7559,0.5666,0.5406,0.5536,0.4197,0.5036,0.4616
23.2,0.2925,0.6103,0.6656,0.6674,0.7972,0.7323,0.5458,0.5356,0.5407,0.3996,0.4918,0.4457
23.3,0.2578,0.5696,0.6509,0.6359,0.7733,0.7046,0.5271,0.5298,0.5284,0.3839,0.4836,0.4338
23.4,0.2212,0.5302,0.6357,0.6011,0.7453,0.6732,0.5103,0.5227,0.5165,0.3727,0.4783,0.4255
23.5,0.1846,0.4928,0.6197,0.5645,0.7138,0.6391,0.495,0.5145,0.5047,0.3659,0.4752,0.4205
23.6,0.1501,0.4582,0.6035,0.5274,0.6797,0.6035,0.4811,0.5054,0.4932,0.3629,0.4733,0.4181
23.7,0.1185,0.4275,0.5871,0.4916,0.6443,0.568,0.4689,0.4962,0.4825,0.3631,0.4721,0.4176
23.8,0.0884,0.4016,0.5708,0.4585,0.6092,0.5338,0.4588,0.4873,0.473,0.3659,0.4714,0.4186
23.9,0.0599,0.381,0.5545,0.4285,0.5746,0.5015,0.4513,0.4789,0.4651,0.3717,0.4717,0.4217
24,0.0342,0.3658,0.5382,0.4018,0.5411,0.4715,0.4467,0.471,0.4589,0.381,0.4732,0.4271
24.1,0.0121,0.3564,0.5221,0.379,0.5093,0.4442,0.4453,0.4641,0.4547,0.3934,0.4754,0.4344
24.2,-0.0064,0.3529,0.5062,0.3609,0.4802,0.4206,0.4473,0.4586,0.453,0.4079,0.478,0.443
24.3,-0.0217,0.355,0.4906,0.3483,0.4553,0.4018,0.4529,0.4548,0.4538,0.4241,0.4815,0.4528
24.4,-0.0331,0.3623,0.4753,0.3412,0.4355,0.3883,0.4619,0.453,0.4575,0.4419,0.4865,0.4642
24.5,-0.0402,0.3739,0.4601,0.3389,0.4208,0.3799,0.4743,0.4534,0.4639,0.4613,0.4933,0.4773
24.6,-0.0433,0.3886,0.4442,0.3407,0.4112,0.3759,0.4899,0.4555,0.4727,0.4808,0.501,0.4909
24.7,-0.0442,0.4053,0.4272,0.3459,0.4071,0.3765,0.5084,0.4589,0.4836,0.498,0.508,0.503
24.8,-0.0446,0.4231,0.4089,0.3546,0.4092,0.3819,0.5296,0.4633,0.4964,0.5114,0.5137,0.5126
24.9,-0.0449,0.4417,0.3904,0.3669,0.418,0.3925,0.553,0.4686,0.5108,0.5216,0.5192,0.5204
25,-0.0445,0.4614,0.3732,0.3832,0.4343,0.4087,0.5781,0.4753,0.5267,0.5297,0.5255,0.5276
25.1,-0.0427,0.4822,0.359,0.404,0.4575,0.4308,0.6037,0.484,0.5439,0.5364,0.5323,0.5343
25.2,-0.0393,0.5036,0.3485,0.4289,0.4865,0.4577,0.6285,0.4944,0.5615,0.5415,0.5389,0.5402
25.3,-0.0346,0.5243,0.342,0.4562,0.5186,0.4874,0.651,0.5058,0.5784,0.5452,0.5449,0.545
25.4,-0.029,0.5433,0.3396,0.4835,0.5512,0.5173,0.6693,0.5168,0.5931,0.5474,0.5502,0.5488
25.5,-0.0232,0.5602,0.3418,0.509,0.582,0.5455,0.6815,0.527,0.6042,0.5478,0.5541,0.5509
25.6,-0.0176,0.5755,0.349,0.5322,0.6093,0.5708,0.6867,0.5361,0.6114,0.5451,0.5553,0.5502
25.7,-0.0115,0.5898,0.3612,0.5533,0.6315,0.5924,0.6852,0.5446,0.6149,0.5388,0.5523,0.5455
25.8,-0.0036,0.6034,0.3781,0.5724,0.6477,0.6101,0.6782,0.553,0.6156,0.53,0.5456,0.5378
25.9,0.007,0.6162,0.3989,0.5895,0.6577,0.6236,0.6665,0.5618,0.6141,0.5208,0.5375,0.5292
26,0.0204,0.6282,0.4229,0.6039,0.6612,0.6325,0.6507,0.5705,0.6106,0.512,0.5297,0.5208
26.1,0.0354,0.6393,0.4488,0.6147,0.6584,0.6366,0.6311,0.5787,0.6049,0.503,0.5223,0.5126
26.2,0.0508,0.6489,0.4753,0.622,0.6497,0.6358,0.6085,0.5855,0.597,0.4935,0.5147,0.5041
26.3,0.0671,0.6566,0.5011,0.6261,0.6361,0.6311,0.5844,0.5903,0.5873,0.4837,0.5066,0.4951
26.4,0.0845,0.6624,0.5248,0.6282,0.6191,0.6236,0.5605,0.5927,0.5766,0.4741,0.4984,0.4863
26.5,0.1026,0.6662,0.5461,0.6289,0.6002,0.6145,0.5383,0.5931,0.5657,0.4651,0.4904,0.4778
26.6,0.1202,0.6679,0.5646,0.628,0.5802,0.6041,0.5184,0.592,0.5552,0.4566,0.4824,0.4695
26.7,0.1355,0.6669,0.5806,0.6253,0.5598,0.5926,0.5011,0.5904,0.5458,0.4482,0.4737,0.4609
26.8,0.1479,0.6622,0.5943,0.6208,0.5398,0.5803,0.4874,0.5891,0.5382,0.4397,0.4636,0.4516
26.9,0.1576,0.6536,0.6061,0.6147,0.5212,0.568,0.478,0.5883,0.5332,0.4317,0.4527,0.4422
27,0.1638,0.6412,0.616,0.607,0.5045,0.5557,0.4735,0.5874,0.5305,0.4253,0.442,0.4336
27.1,0.1661,0.6255,0.6234,0.5978,0.49,0.5439,0.4734,0.5859,0.5296,0.4208,0.4315,0.4262
27.2,0.1647,0.6074,0.6278,0.5875,0.4778,0.5326,0.4769,0.5833,0.5301,0.4177,0.4211,0.4194
27.3,0.1607,0.5872,0.629,0.5758,0.4674,0.5216,0.4832,0.5793,0.5313,0.4158,0.4107,0.4132
27.4,0.1548,0.565,0.627,0.5623,0.4579,0.5101,0.4916,0.574,0.5328,0.4149,0.4005,0.4077
27.5,0.1468,0.5413,0.6221,0.5467,0.4489,0.4978,0.5017,0.5674,0.5346,0.4152,0.391,0.4031
27.6,0.1367,0.5165,0.6153,0.5295,0.4405,0.485,0.5131,0.5599,0.5365,0.4173,0.3832,0.4002
27.7,0.1252,0.491,0.6066,0.5111,0.433,0.4721,0.5252,0.5519,0.5385,0.4207,0.3774,0.3991
27.8,0.1127,0.4654,0.5959,0.4918,0.4261,0.459,0.5372,0.5437,0.5404,0.4249,0.3736,0.3992
27.9,0.0985,0.44,0.5833,0.4722,0.4191,0.4457,0.5485,0.5356,0.542,0.4297,0.3711,0.4004
28,0.0825,0.4157,0.5694,0.4528,0.4115,0.4322,0.5586,0.5273,0.543,0.4351,0.3698,0.4025
28.1,0.0653,0.3936,0.5551,0.4344,0.4034,0.4189,0.5672,0.5189,0.543,0.4413,0.3692,0.4053
28.2,0.0479,0.375,0.5411,0.4177,0.3954,0.4065,0.5739,0.5105,0.5422,0.4477,0.369,0.4084
28.3,0.0308,0.3601,0.5273,0.403,0.3881,0.3956,0.5783,0.5023,0.5403,0.4538,0.3687,0.4113
28.4,0.0135,0.3483,0.5134,0.3902,0.3818,0.386,0.5798,0.4939,0.5369,0.4592,0.3678,0.4135
28.5,-0.0049,0.3391,0.4987,0.3782,0.3765,0.3773,0.5776,0.4853,0.5314,0.4637,0.366,0.4149
28.6,-0.024,0.3318,0.4826,0.3662,0.3718,0.369,0.5713,0.4758,0.5236,0.4669,0.3633,0.4151
28.7,-0.0427,0.3261,0.4647,0.354,0.3674,0.3607,0.5605,0.4656,0.513,0.4682,0.3595,0.4138
28.8,-0.0604,0.3217,0.445,0.3417,0.3632,0.3524,0.5455,0.4546,0.5,0.4669,0.3541,0.4105
28.9,-0.0766,0.3189,0.4239,0.3299,0.3599,0.3449,0.5268,0.4433,0.4851,0.4633,0.3469,0.4051
29,-0.0908,0.3186,0.4023,0.3194,0.359,0.3392,0.5054,0.4322,0.4688,0.4581,0.3386,0.3983
29.1,-0.1023,0.3212,0.3806,0.3105,0.3614,0.336,0.4819,0.4211,0.4515,0.4525,0.3305,0.3915
29.2,-0.1108,0.3268,0.3591,0.3031,0.3672,0.3352,0.4561,0.4093,0.4327,0.4477,0.324,0.3858
29.3,-0.1155,0.335,0.338,0.2972,0.3756,0.3364,0.4279,0.3967,0.4123,0.4442,0.3193,0.3818
29.4,-0.1162,0.3457,0.3173,0.2927,0.3851,0.3389,0.3974,0.3832,0.3903,0.4426,0.3162,0.3794
29.5,-0.1125,0.3589,0.297,0.2902,0.3945,0.3423,0.3656,0.3687,0.3671,0.4438,0.3149,0.3793
29.6,-0.1028,0.3748,0.2777,0.2903,0.4033,0.3468,0.3336,0.3532,0.3434,0.4489,0.3158,0.3823
29.7,-0.0863,0.3936,0.2601,0.294,0.4112,0.3526,0.3028,0.3368,0.3198,0.4585,0.3195,0.389
29.8,-0.0631,0.4146,0.2454,0.3016,0.4184,0.36,0.2743,0.3201,0.2972,0.4728,0.3258,0.3993
29.9,-0.0345,0.4375,0.235,0.3128,0.4244,0.3686,0.2491,0.3039,0.2765,0.4922,0.3344,0.4133
