Time,Bank of Queensland - First Home Buyers Cashback 15 TVC,Bank of Queensland - First Home Buyers Cashback 15 TVC,Bank of Queensland - First Home Buyers Cashback 15 TVC,Bank of Queensland - First Home Buyers Cashback 15 TVC,Bank of Queensland - First Home Buyers Cashback 15 TVC,Bank of Queensland - First Home Buyers Cashback 15 TVC,Bank of Queensland - First Home Buyers Cashback 15 TVC,Bank of Queensland - First Home Buyers Cashback 15 TVC,Bank of Queensland - First Home Buyers Cashback 15 TVC,Bank of Queensland - First Home Buyers Cashback 15 TVC,Bank of Queensland - First Home Buyers Cashback 15 TVC,Bank of Queensland - First Home Buyers Cashback 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.015,0.4092,0.4822,0.4425,0.5001,0.4713,0.0952,0.4014,0.2483,0.3202,0.1538,0.237
0.1,0.0044,0.3972,0.4937,0.4518,0.5114,0.4816,0.1001,0.4026,0.2514,0.3635,0.1788,0.2712
0.2,0.0226,0.3858,0.5025,0.4608,0.5194,0.4901,0.1076,0.4057,0.2566,0.4114,0.2088,0.3101
0.3,0.0397,0.3753,0.5079,0.4688,0.5239,0.4964,0.1171,0.4097,0.2634,0.4597,0.241,0.3504
0.4,0.0546,0.3663,0.5101,0.4758,0.5255,0.5006,0.1278,0.4142,0.271,0.5049,0.2737,0.3893
0.5,0.0656,0.3591,0.5096,0.4815,0.5244,0.5029,0.1391,0.4187,0.2789,0.5443,0.3055,0.4249
0.6,0.0723,0.354,0.5073,0.486,0.5202,0.5031,0.1507,0.4229,0.2868,0.5764,0.3361,0.4562
0.7,0.075,0.3513,0.5037,0.4891,0.5129,0.501,0.1618,0.4263,0.2941,0.6008,0.3655,0.4832
0.8,0.0751,0.3505,0.4992,0.4901,0.5022,0.4962,0.1725,0.4285,0.3005,0.618,0.3939,0.5059
0.9,0.0734,0.3516,0.4941,0.4881,0.4883,0.4882,0.1824,0.4295,0.306,0.6286,0.4213,0.525
1,0.0694,0.3548,0.4886,0.4833,0.4716,0.4774,0.1914,0.4291,0.3102,0.6336,0.4476,0.5406
1.1,0.063,0.3603,0.4831,0.4766,0.4531,0.4648,0.1995,0.4276,0.3135,0.6339,0.4726,0.5533
1.2,0.055,0.3681,0.4781,0.4699,0.434,0.452,0.207,0.4252,0.3161,0.6306,0.4961,0.5633
1.3,0.0472,0.378,0.4742,0.4648,0.4151,0.4399,0.2144,0.422,0.3182,0.6243,0.5176,0.5709
1.4,0.0405,0.3894,0.4715,0.4622,0.3969,0.4295,0.2219,0.4181,0.32,0.6157,0.5366,0.5761
1.5,0.035,0.402,0.4698,0.4623,0.3798,0.421,0.2296,0.4129,0.3212,0.6052,0.5527,0.5789
1.6,0.0299,0.416,0.4684,0.4653,0.3641,0.4147,0.237,0.4062,0.3216,0.5932,0.5654,0.5793
1.7,0.0249,0.4311,0.4669,0.4714,0.3498,0.4106,0.2437,0.398,0.3209,0.58,0.5746,0.5773
1.8,0.0205,0.4468,0.465,0.4808,0.336,0.4084,0.2498,0.3882,0.319,0.5655,0.5802,0.5728
1.9,0.0166,0.4626,0.4627,0.4931,0.3221,0.4076,0.2551,0.3768,0.316,0.5497,0.5823,0.566
2,0.0128,0.478,0.4598,0.5081,0.3079,0.408,0.2598,0.3639,0.3119,0.533,0.5812,0.5571
2.1,0.0077,0.4929,0.4564,0.5252,0.2939,0.4096,0.2641,0.3497,0.3069,0.516,0.5776,0.5468
2.2,0.0006,0.5074,0.4529,0.5438,0.2807,0.4123,0.2685,0.3348,0.3017,0.4995,0.5722,0.5359
