Time,Target Fashion DenimLand TVC 30,Target Fashion DenimLand TVC 30,Target Fashion DenimLand TVC 30,Target Fashion DenimLand TVC 30,Target Fashion DenimLand TVC 30,Target Fashion DenimLand TVC 30,Target Fashion DenimLand TVC 30,Target Fashion DenimLand TVC 30,Target Fashion DenimLand TVC 30,Target Fashion DenimLand TVC 30,Target Fashion DenimLand TVC 30,Target Fashion DenimLand TVC 30
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.5136,0.2163,0.7543,-0.0415,0.3874,0.1729,0.5581,0.3784,0.4683,0.6626,0.8484,0.7555
0.1,-0.5642,0.1852,0.7194,-0.0598,0.3882,0.1642,0.5417,0.355,0.4484,0.6186,0.8283,0.7234
0.2,-0.6082,0.1571,0.6855,-0.0661,0.3914,0.1627,0.5319,0.3435,0.4377,0.579,0.8071,0.693
0.3,-0.6457,0.1323,0.6537,-0.0612,0.3963,0.1675,0.5285,0.344,0.4362,0.5465,0.7842,0.6654
0.4,-0.6787,0.1114,0.6253,-0.0464,0.4023,0.178,0.5315,0.3561,0.4438,0.5231,0.7603,0.6417
0.5,-0.7095,0.0951,0.6017,-0.0232,0.4093,0.1931,0.5419,0.3794,0.4606,0.5099,0.7367,0.6233
0.6,-0.7389,0.0844,0.5832,0.0063,0.4175,0.2119,0.5607,0.4127,0.4867,0.5066,0.7142,0.6104
0.7,-0.7658,0.0804,0.5693,0.0406,0.4269,0.2337,0.5874,0.4536,0.5205,0.5117,0.6931,0.6024
0.8,-0.7886,0.0841,0.559,0.0781,0.4376,0.2578,0.62,0.4989,0.5595,0.5236,0.6733,0.5985
0.9,-0.8049,0.0952,0.5516,0.1171,0.4495,0.2833,0.6557,0.5457,0.6007,0.5401,0.6546,0.5974
1,-0.8125,0.1125,0.5461,0.1567,0.4621,0.3094,0.6918,0.591,0.6414,0.5591,0.6368,0.5979
1.1,-0.8095,0.1338,0.5419,0.1956,0.4742,0.3349,0.7255,0.6323,0.6789,0.5784,0.6197,0.5991
1.2,-0.7952,0.1572,0.5385,0.2329,0.4844,0.3586,0.7551,0.6676,0.7114,0.597,0.6036,0.6003
1.3,-0.7702,0.1812,0.5357,0.2678,0.4917,0.3797,0.7801,0.6967,0.7384,0.6143,0.5884,0.6013
1.4,-0.7367,0.2046,0.533,0.2996,0.4959,0.3977,0.8005,0.72,0.7603,0.6297,0.5739,0.6018
1.5,-0.6967,0.2266,0.5306,0.3278,0.4973,0.4125,0.8166,0.7385,0.7776,0.6426,0.5599,0.6012
1.6,-0.6513,0.2466,0.528,0.3529,0.4966,0.4247,0.8287,0.7525,0.7906,0.6523,0.546,0.5992
1.7,-0.6005,0.2653,0.525,0.3759,0.4949,0.4354,0.8363,0.7618,0.799,0.6582,0.5315,0.5948
1.8,-0.5445,0.2841,0.5216,0.3985,0.4932,0.4458,0.839,0.7659,0.8025,0.6595,0.5155,0.5875
1.9,-0.4851,0.3043,0.5176,0.4215,0.4926,0.457,0.8365,0.7651,0.8008,0.6558,0.498,0.5769
2,-0.4263,0.3258,0.5132,0.4447,0.4939,0.4693,0.8291,0.76,0.7946,0.6467,0.4788,0.5628
2.1,-0.3722,0.3477,0.5087,0.467,0.4973,0.4821,0.8173,0.7517,0.7845,0.6323,0.4581,0.5452
2.2,-0.3256,0.369,0.5047,0.4872,0.5028,0.495,0.8021,0.7416,0.7719,0.6127,0.436,0.5243
2.3,-0.2877,0.3896,0.502,0.5054,0.511,0.5082,0.7849,0.7313,0.7581,0.5885,0.413,0.5008
2.4,-0.2582,0.4112,0.5019,0.5226,0.5228,0.5227,0.7671,0.7223,0.7447,0.561,0.3903,0.4757
2.5,-0.2363,0.435,0.5049,0.5409,0.5392,0.54,0.7504,0.7156,0.733,0.532,0.3692,0.4506
2.6,-0.2207,0.4619,0.5111,0.5614,0.5606,0.561,0.7359,0.7118,0.7239,0.5033,0.3509,0.4271
2.7,-0.2096,0.4912,0.5196,0.5838,0.5862,0.585,0.7237,0.7107,0.7172,0.4763,0.336,0.4062
2.8,-0.2015,0.522,0.5302,0.6072,0.6146,0.6109,0.7137,0.7114,0.7126,0.4525,0.3256,0.3891
2.9,-0.1958,0.5532,0.5427,0.6302,0.6441,0.6372,0.706,0.7134,0.7097,0.4332,0.3207,0.3769
3,-0.1918,0.5838,0.5574,0.6518,0.6733,0.6625,0.7004,0.7161,0.7083,0.4196,0.3226,0.3711
3.1,-0.1894,0.6125,0.574,0.6711,0.7012,0.6862,0.6974,0.7195,0.7085,0.4132,0.3321,0.3726
3.2,-0.1881,0.6383,0.5918,0.688,0.7275,0.7077,0.6966,0.7242,0.7104,0.4144,0.3492,0.3818
3.3,-0.1874,0.6606,0.6096,0.7025,0.7521,0.7273,0.6979,0.7302,0.7141,0.4237,0.3735,0.3986
3.4,-0.1877,0.6795,0.6267,0.7147,0.7752,0.745,0.7006,0.7374,0.719,0.4413,0.4043,0.4228
3.5,-0.1909,0.6958,0.6432,0.7247,0.7972,0.761,0.7044,0.7457,0.725,0.467,0.4407,0.4539
3.6,-0.1998,0.7105,0.6601,0.7328,0.8184,0.7756,0.7089,0.755,0.732,0.5,0.4818,0.4909
3.7,-0.2159,0.7239,0.678,0.7389,0.8385,0.7887,0.7144,0.7651,0.7398,0.5385,0.5259,0.5322
3.8,-0.2383,0.7359,0.6966,0.7428,0.8568,0.7998,0.7205,0.7754,0.748,0.5807,0.5714,0.5761
3.9,-0.2646,0.7458,0.7149,0.7442,0.8722,0.8082,0.7266,0.7851,0.7558,0.6245,0.6161,0.6203
4,-0.2915,0.753,0.7317,0.743,0.8836,0.8133,0.7315,0.793,0.7623,0.6676,0.6574,0.6625
4.1,-0.3164,0.7568,0.7461,0.7391,0.8902,0.8147,0.734,0.7981,0.766,0.7077,0.6929,0.7003
4.2,-0.3378,0.7565,0.7571,0.7323,0.8909,0.8116,0.7325,0.7998,0.7662,0.7425,0.7206,0.7316
4.3,-0.3552,0.7519,0.7635,0.7225,0.885,0.8038,0.7265,0.798,0.7622,0.7706,0.7395,0.7551
4.4,-0.3686,0.743,0.7645,0.7104,0.8724,0.7914,0.7161,0.7927,0.7544,0.7914,0.7493,0.7703
4.5,-0.379,0.7304,0.7605,0.6965,0.8539,0.7752,0.7022,0.7847,0.7434,0.8051,0.7505,0.7778
4.6,-0.3876,0.7149,0.7528,0.6816,0.8312,0.7564,0.6859,0.7753,0.7306,0.8122,0.7439,0.7781
4.7,-0.3957,0.6972,0.743,0.6659,0.8061,0.736,0.668,0.7658,0.7169,0.8131,0.7307,0.7719
4.8,-0.4041,0.6786,0.7321,0.6497,0.7809,0.7153,0.6489,0.7569,0.7029,0.808,0.7119,0.76
4.9,-0.4123,0.6609,0.7201,0.6342,0.7574,0.6958,0.629,0.7485,0.6887,0.7975,0.6884,0.7429
5,-0.4188,0.6455,0.7063,0.6209,0.737,0.679,0.6085,0.7399,0.6742,0.7815,0.6605,0.721
5.1,-0.4219,0.633,0.6895,0.6108,0.7203,0.6656,0.588,0.7305,0.6592,0.7605,0.6285,0.6945
5.2,-0.4208,0.623,0.6693,0.6037,0.7069,0.6553,0.568,0.72,0.644,0.7354,0.5935,0.6644
5.3,-0.4154,0.6142,0.6458,0.5989,0.6959,0.6474,0.5494,0.7089,0.6292,0.7079,0.5578,0.6329
5.4,-0.4054,0.6058,0.6202,0.5958,0.6866,0.6412,0.5334,0.698,0.6157,0.6797,0.5237,0.6017
5.5,-0.39,0.5974,0.5943,0.5946,0.6786,0.6366,0.521,0.6876,0.6043,0.6522,0.493,0.5726
5.6,-0.3685,0.5896,0.5697,0.5958,0.6721,0.6339,0.5129,0.6784,0.5957,0.6262,0.4667,0.5464
5.7,-0.341,0.5827,0.5478,0.5993,0.667,0.6331,0.5096,0.6712,0.5904,0.6028,0.4461,0.5244
5.8,-0.3082,0.5761,0.5292,0.6046,0.6632,0.6339,0.5118,0.6668,0.5893,0.5836,0.4328,0.5082
5.9,-0.2713,0.5687,0.5143,0.6109,0.6605,0.6357,0.52,0.6661,0.5931,0.5705,0.4283,0.4994
6,-0.2307,0.5598,0.5036,0.6181,0.6583,0.6382,0.5348,0.6696,0.6022,0.5648,0.4334,0.4991
6.1,-0.1864,0.5494,0.4981,0.6261,0.656,0.641,0.5563,0.6773,0.6168,0.5671,0.4481,0.5076
6.2,-0.1383,0.5381,0.4982,0.6349,0.6532,0.6441,0.5842,0.6888,0.6365,0.5774,0.472,0.5247
