Time,ANZ Animatic Neon Sign - Overarching Proposition 30 TVC,ANZ Animatic Neon Sign - Overarching Proposition 30 TVC,ANZ Animatic Neon Sign - Overarching Proposition 30 TVC,ANZ Animatic Neon Sign - Overarching Proposition 30 TVC,ANZ Animatic Neon Sign - Overarching Proposition 30 TVC,ANZ Animatic Neon Sign - Overarching Proposition 30 TVC,ANZ Animatic Neon Sign - Overarching Proposition 30 TVC,ANZ Animatic Neon Sign - Overarching Proposition 30 TVC,ANZ Animatic Neon Sign - Overarching Proposition 30 TVC,ANZ Animatic Neon Sign - Overarching Proposition 30 TVC,ANZ Animatic Neon Sign - Overarching Proposition 30 TVC,ANZ Animatic Neon Sign - Overarching Proposition 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
27.7,0.0436,0.5648,0.4962,0.5472,0.5642,0.5557,0.5436,0.5135,0.5285,0.7214,0.788,0.7547
27.8,0.1056,0.5659,0.4869,0.5548,0.5474,0.5511,0.5418,0.5042,0.523,0.7243,0.7907,0.7575
27.9,0.1647,0.5674,0.478,0.5628,0.5307,0.5468,0.5424,0.497,0.5197,0.7273,0.7935,0.7604
28,0.2193,0.5696,0.4698,0.57,0.5142,0.5421,0.5449,0.4918,0.5184,0.7301,0.7962,0.7632
28.1,0.2668,0.5725,0.4631,0.576,0.4981,0.5371,0.5488,0.4884,0.5186,0.7326,0.7992,0.7659
28.2,0.3056,0.5754,0.4581,0.5812,0.4828,0.532,0.5534,0.4864,0.5199,0.7343,0.8022,0.7683
28.3,0.3362,0.5785,0.4549,0.5866,0.4683,0.5274,0.5579,0.4851,0.5215,0.7345,0.8053,0.7699
28.4,0.3603,0.5817,0.4536,0.5928,0.4545,0.5236,0.562,0.4845,0.5233,0.7329,0.8085,0.7707
28.5,0.3797,0.585,0.4546,0.5995,0.4413,0.5204,0.5658,0.4846,0.5252,0.7294,0.8114,0.7704
28.6,0.3949,0.588,0.458,0.6065,0.4292,0.5179,0.5694,0.4851,0.5272,0.7241,0.8138,0.769
28.7,0.406,0.5905,0.464,0.6139,0.419,0.5165,0.5724,0.4859,0.5292,0.7173,0.8156,0.7664
28.8,0.4138,0.5924,0.4719,0.6221,0.4112,0.5166,0.5747,0.4869,0.5308,0.709,0.8165,0.7628
28.9,0.4203,0.5936,0.4815,0.6312,0.4052,0.5182,0.5761,0.4883,0.5322,0.6995,0.8162,0.7578
29,0.4277,0.5936,0.4919,0.6416,0.4001,0.5208,0.5774,0.4901,0.5337,0.6886,0.8141,0.7513
29.1,0.4367,0.5919,0.5025,0.6534,0.3947,0.524,0.5789,0.4924,0.5357,0.6763,0.8095,0.7429
29.2,0.4465,0.5881,0.5128,0.6663,0.3888,0.5276,0.5807,0.4953,0.538,0.6627,0.802,0.7324
29.3,0.4558,0.5819,0.5226,0.6793,0.3826,0.5309,0.5822,0.4985,0.5404,0.6473,0.7917,0.7195
29.4,0.4637,0.5737,0.5322,0.6913,0.3762,0.5337,0.5827,0.5022,0.5424,0.6301,0.7793,0.7047
29.5,0.4702,0.5637,0.5417,0.7016,0.37,0.5358,0.5818,0.5064,0.5441,0.6114,0.7658,0.6886
29.6,0.4758,0.5523,0.5513,0.7107,0.3644,0.5375,0.58,0.5115,0.5457,0.5918,0.7516,0.6717
29.7,0.481,0.5404,0.5606,0.7195,0.3598,0.5396,0.5782,0.5177,0.548,0.5715,0.7367,0.6541
29.8,0.4862,0.5294,0.5691,0.7282,0.3568,0.5425,0.5771,0.5253,0.5512,0.5503,0.7209,0.6356
29.9,0.4914,0.5201,0.5761,0.7365,0.3553,0.5459,0.5766,0.5343,0.5554,0.5283,0.7041,0.6162
30,0.4961,0.5127,0.5814,0.744,0.3549,0.5494,0.5762,0.5443,0.5603,0.5058,0.6868,0.5963
30.1,0.4993,0.5071,0.5847,0.7501,0.3553,0.5527,0.5761,0.5549,0.5655,0.4836,0.6693,0.5764
30.2,0.5,0.5033,0.5859,0.7545,0.3566,0.5556,0.5761,0.5652,0.5707,0.4626,0.6516,0.5571
30.3,0.498,0.5019,0.5849,0.7571,0.3598,0.5585,0.5768,0.5751,0.5759,0.4435,0.634,0.5387
30.4,0.494,0.5032,0.5819,0.7576,0.3658,0.5617,0.5785,0.5844,0.5814,0.4272,0.617,0.5221
30.5,0.4885,0.5074,0.577,0.756,0.375,0.5655,0.5811,0.5933,0.5872,0.4147,0.6014,0.508
30.6,0.481,0.5144,0.5704,0.7525,0.3875,0.57,0.5843,0.6017,0.593,0.4063,0.5874,0.4969
30.7,0.4709,0.5241,0.5619,0.7477,0.4034,0.5755,0.5881,0.6092,0.5987,0.4022,0.5748,0.4885
30.8,0.4586,0.5364,0.5514,0.7422,0.4225,0.5824,0.5926,0.6158,0.6042,0.4018,0.5629,0.4823
30.9,0.4452,0.5507,0.5388,0.737,0.4445,0.5907,0.5978,0.6217,0.6098,0.4041,0.551,0.4776
31,0.432,0.5666,0.5248,0.7322,0.4685,0.6004,0.6038,0.6272,0.6155,0.4083,0.5396,0.4739
31.1,0.4199,0.583,0.5105,0.7281,0.4933,0.6107,0.6103,0.6327,0.6215,0.4135,0.5287,0.4711
31.2,0.4089,0.5992,0.4972,0.7242,0.5179,0.6211,0.6168,0.638,0.6274,0.4193,0.5185,0.4689
31.3,0.3991,0.6147,0.4857,0.7202,0.5423,0.6312,0.6229,0.6428,0.6328,0.4254,0.5087,0.4671
31.4,0.3914,0.6294,0.4762,0.7164,0.5661,0.6413,0.6282,0.6467,0.6374,0.4318,0.4992,0.4655
31.5,0.3867,0.6431,0.4694,0.7137,0.5893,0.6515,0.6322,0.6494,0.6408,0.4385,0.4903,0.4644
31.6,0.3858,0.6555,0.4653,0.7122,0.6112,0.6617,0.6344,0.6508,0.6426,0.4459,0.4827,0.4643
31.7,0.3887,0.6664,0.4637,0.7111,0.6313,0.6712,0.6347,0.6509,0.6428,0.4543,0.4767,0.4655
31.8,0.3943,0.6758,0.4645,0.7094,0.6493,0.6794,0.633,0.6496,0.6413,0.4638,0.4724,0.4681
31.9,0.4019,0.6836,0.4668,0.7062,0.6647,0.6855,0.6289,0.6467,0.6378,0.4739,0.4692,0.4716
32,0.4112,0.6899,0.4697,0.7014,0.6768,0.6891,0.6217,0.6417,0.6317,0.4838,0.4661,0.4749
32.1,0.4221,0.695,0.4721,0.695,0.6848,0.6899,0.6106,0.6337,0.6222,0.492,0.4619,0.477
32.2,0.4339,0.6993,0.4732,0.6868,0.6877,0.6873,0.5952,0.6221,0.6086,0.4977,0.4558,0.4768
32.3,0.4451,0.7026,0.4727,0.6766,0.6856,0.6811,0.5757,0.6066,0.5912,0.5005,0.4478,0.4741
32.4,0.4544,0.7046,0.4706,0.6638,0.6788,0.6713,0.5525,0.5879,0.5702,0.5001,0.4379,0.469
32.5,0.461,0.7047,0.4671,0.6479,0.6678,0.6578,0.5258,0.5667,0.5462,0.4964,0.4263,0.4614
32.6,0.465,0.7026,0.4626,0.6285,0.6533,0.6409,0.4958,0.5441,0.52,0.4893,0.4132,0.4513
32.7,0.467,0.6984,0.4571,0.6066,0.6362,0.6214,0.4633,0.5213,0.4923,0.4793,0.399,0.4391
32.8,0.4675,0.6928,0.4509,0.5838,0.6181,0.601,0.4298,0.4993,0.4645,0.4668,0.3842,0.4255
32.9,0.4665,0.6862,0.4442,0.5619,0.6003,0.5811,0.3975,0.4791,0.4383,0.4521,0.3691,0.4106
33,0.4633,0.6792,0.4375,0.5416,0.5839,0.5628,0.3679,0.4617,0.4148,0.4348,0.3538,0.3943
33.1,0.4563,0.6719,0.4315,0.5229,0.5693,0.5461,0.3424,0.448,0.3952,0.415,0.3388,0.3769
33.2,0.4435,0.6641,0.4265,0.5054,0.5566,0.531,0.3216,0.4387,0.3802,0.3933,0.3243,0.3588
33.3,0.423,0.6556,0.4228,0.4886,0.5456,0.5171,0.3056,0.4338,0.3697,0.3705,0.3107,0.3406
33.4,0.3941,0.6461,0.4206,0.4729,0.5362,0.5045,0.2942,0.4332,0.3637,0.3473,0.298,0.3226
33.5,0.3576,0.6351,0.4203,0.4581,0.5278,0.4929,0.2874,0.4368,0.3621,0.3239,0.2862,0.305
33.6,0.3147,0.6226,0.4221,0.4439,0.5198,0.4818,0.2853,0.4443,0.3648,0.2997,0.2757,0.2877
33.7,0.2667,0.6085,0.4255,0.43,0.5119,0.4709,0.2882,0.4556,0.3719,0.2747,0.2664,0.2705
33.8,0.2143,0.5927,0.4296,0.4162,0.5036,0.4599,0.2962,0.4698,0.383,0.2491,0.2588,0.254
33.9,0.1582,0.5754,0.4331,0.403,0.4951,0.449,0.3092,0.4855,0.3973,0.2231,0.2526,0.2379
34,0.0997,0.5572,0.4354,0.3911,0.4864,0.4388,0.3267,0.5015,0.4141,0.1968,0.2471,0.2219
34.1,0.041,0.539,0.4366,0.3816,0.4782,0.4299,0.3483,0.5172,0.4328,0.17,0.242,0.206
34.2,-0.0161,0.5214,0.4376,0.3747,0.4707,0.4227,0.3735,0.5327,0.4531,0.1433,0.238,0.1906
34.3,-0.0705,0.5044,0.4388,0.3698,0.4645,0.4171,0.4014,0.5482,0.4748,0.1176,0.2358,0.1767
34.4,-0.1219,0.4878,0.4407,0.3664,0.46,0.4132,0.4308,0.5636,0.4972,0.0939,0.2358,0.1648
34.5,-0.1697,0.4715,0.4428,0.3639,0.4579,0.4109,0.4604,0.5784,0.5194,0.0726,0.2378,0.1552
34.6,-0.2132,0.4556,0.4447,0.3623,0.4589,0.4106,0.4891,0.5918,0.5405,0.0545,0.2417,0.1481
34.7,-0.2515,0.4405,0.4457,0.3617,0.4629,0.4123,0.5159,0.6038,0.5599,0.0403,0.2475,0.1439
34.8,-0.2837,0.4265,0.4458,0.3618,0.4694,0.4156,0.54,0.6145,0.5773,0.0314,0.2559,0.1436
34.9,-0.3091,0.4132,0.4452,0.3621,0.4773,0.4197,0.5611,0.6241,0.5926,0.0289,0.2675,0.1482
35,-0.3265,0.4,0.444,0.3625,0.4855,0.424,0.5792,0.6326,0.6059,0.0335,0.2823,0.1579
