Time,Arnotts Savoy 15 TVC,Arnotts Savoy 15 TVC,Arnotts Savoy 15 TVC,Arnotts Savoy 15 TVC,Arnotts Savoy 15 TVC,Arnotts Savoy 15 TVC,Arnotts Savoy 15 TVC,Arnotts Savoy 15 TVC,Arnotts Savoy 15 TVC,Arnotts Savoy 15 TVC,Arnotts Savoy 15 TVC,Arnotts Savoy 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
4.5,-0.4572,0.5161,0.4629,0.6183,0.8831,0.7507,0.8022,0.5305,0.6664,0.7058,0.6446,0.6752
4.6,-0.4456,0.5453,0.4461,0.6427,0.9075,0.7751,0.8236,0.5378,0.6807,0.7094,0.644,0.6767
4.7,-0.4279,0.5728,0.431,0.6666,0.9286,0.7976,0.8458,0.5486,0.6972,0.7134,0.6442,0.6788
4.8,-0.4047,0.5974,0.4173,0.6889,0.945,0.8169,0.8678,0.5616,0.7147,0.7173,0.6456,0.6814
4.9,-0.3779,0.6186,0.4049,0.7085,0.9564,0.8324,0.8885,0.5749,0.7317,0.7205,0.648,0.6842
5,-0.3495,0.6361,0.3933,0.7247,0.9628,0.8438,0.907,0.587,0.747,0.7222,0.6513,0.6868
5.1,-0.3206,0.6498,0.3823,0.7371,0.9643,0.8507,0.9232,0.5972,0.7602,0.7218,0.6553,0.6885
5.2,-0.2921,0.6597,0.3724,0.7451,0.9608,0.853,0.9367,0.6054,0.7711,0.7186,0.6597,0.6892
5.3,-0.2645,0.6656,0.3635,0.7487,0.9518,0.8503,0.9472,0.6109,0.779,0.7125,0.6638,0.6882
5.4,-0.2378,0.6672,0.3551,0.7478,0.9372,0.8425,0.9538,0.6127,0.7833,0.703,0.667,0.685
5.5,-0.212,0.664,0.3466,0.7422,0.9168,0.8295,0.9561,0.6096,0.7829,0.6897,0.6685,0.6791
5.6,-0.1877,0.6555,0.3372,0.7318,0.8904,0.8111,0.9534,0.6012,0.7773,0.6721,0.6679,0.67
5.7,-0.1667,0.6414,0.3264,0.7162,0.8578,0.787,0.9451,0.5869,0.766,0.6504,0.665,0.6577
