Time,Coles - Mastercard,Coles - Mastercard,Coles - Mastercard,Coles - Mastercard,Coles - Mastercard,Coles - Mastercard,Coles - Mastercard,Coles - Mastercard,Coles - Mastercard,Coles - Mastercard,Coles - Mastercard,Coles - Mastercard
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
4.6,0.1107,0.682,0.7501,0.7389,0.7449,0.7419,0.7108,0.7742,0.7425,0.8975,0.8361,0.8668
4.7,0.1009,0.6911,0.7409,0.7478,0.7394,0.7436,0.719,0.7695,0.7443,0.917,0.8461,0.8815
4.8,0.0893,0.6995,0.7323,0.7563,0.7342,0.7452,0.7275,0.7644,0.746,0.9362,0.8571,0.8967
4.9,0.076,0.7071,0.7241,0.764,0.7294,0.7467,0.7364,0.7585,0.7474,0.955,0.8688,0.9119
5,0.0606,0.7133,0.7163,0.7705,0.7248,0.7476,0.7452,0.7515,0.7484,0.9724,0.8804,0.9264
5.1,0.0434,0.7175,0.7086,0.7747,0.72,0.7473,0.7535,0.7432,0.7484,0.9875,0.8906,0.9391
5.2,0.0252,0.7185,0.7009,0.7756,0.7143,0.745,0.7607,0.7332,0.7469,0.9995,0.8982,0.9489
5.3,0.0074,0.7159,0.6926,0.7727,0.7071,0.7399,0.7663,0.7213,0.7438,1.0075,0.9026,0.955
5.4,-0.0094,0.7096,0.6835,0.7657,0.6984,0.7321,0.7697,0.7078,0.7388,1.0112,0.9035,0.9574
5.5,-0.0248,0.7002,0.6736,0.7552,0.6888,0.722,0.7709,0.6934,0.7321,1.0105,0.9009,0.9557
5.6,-0.0384,0.6884,0.6633,0.7419,0.6797,0.7108,0.7703,0.6789,0.7246,1.0055,0.8946,0.9501
5.7,-0.0498,0.6753,0.6535,0.7274,0.6726,0.7,0.7685,0.6654,0.717,0.9964,0.8848,0.9406
5.8,-0.0588,0.6618,0.6452,0.7133,0.6686,0.6909,0.7664,0.654,0.7102,0.9836,0.8718,0.9277
5.9,-0.0665,0.6488,0.6387,0.701,0.6681,0.6846,0.7646,0.6454,0.705,0.9677,0.8567,0.9122
6,-0.0745,0.6369,0.6343,0.6916,0.6712,0.6814,0.7632,0.6401,0.7017,0.9492,0.8405,0.8949
6.1,-0.0833,0.6271,0.6315,0.6853,0.6777,0.6815,0.7621,0.6385,0.7003,0.9286,0.8237,0.8761
6.2,-0.0916,0.6198,0.6304,0.6822,0.6875,0.6848,0.761,0.6404,0.7007,0.9062,0.8064,0.8563
6.3,-0.0968,0.6152,0.6312,0.6823,0.7,0.6911,0.7591,0.6454,0.7022,0.8825,0.7888,0.8356
6.4,-0.0974,0.6132,0.6338,0.6852,0.7147,0.7,0.7561,0.6527,0.7044,0.8584,0.7713,0.8148
6.5,-0.0932,0.6131,0.6382,0.6907,0.7307,0.7107,0.7515,0.6617,0.7066,0.8348,0.7542,0.7945
6.6,-0.0849,0.6145,0.6437,0.6982,0.7469,0.7226,0.7449,0.6713,0.7081,0.8122,0.7378,0.775
6.7,-0.0726,0.6167,0.6496,0.7071,0.7626,0.7349,0.7365,0.6805,0.7085,0.7909,0.722,0.7565
6.8,-0.0563,0.6195,0.655,0.7168,0.7767,0.7468,0.7262,0.6884,0.7073,0.7712,0.7068,0.739
6.9,-0.0364,0.6223,0.6595,0.7265,0.7883,0.7574,0.7141,0.6945,0.7043,0.7534,0.6924,0.7229
7,-0.0144,0.6244,0.6629,0.7356,0.7969,0.7662,0.7003,0.6985,0.6994,0.7377,0.6787,0.7082
7.1,0.0078,0.6252,0.665,0.7436,0.8024,0.773,0.6849,0.7006,0.6928,0.7241,0.6656,0.6949
7.2,0.0285,0.6243,0.6655,0.7503,0.8049,0.7776,0.6681,0.701,0.6845,0.7123,0.653,0.6826
7.3,0.0469,0.6218,0.6643,0.756,0.8047,0.7803,0.6503,0.6997,0.675,0.7019,0.6405,0.6712
7.4,0.0628,0.6182,0.6614,0.7609,0.8023,0.7816,0.6321,0.6968,0.6645,0.693,0.6282,0.6606
7.5,0.0761,0.6139,0.6569,0.7653,0.7985,0.7819,0.6139,0.6928,0.6533,0.6856,0.6162,0.6509
7.6,0.0866,0.6094,0.6514,0.769,0.7937,0.7813,0.596,0.6876,0.6418,0.6799,0.6046,0.6422
7.7,0.0945,0.6049,0.6449,0.7713,0.7877,0.7795,0.5788,0.6812,0.63,0.6756,0.5935,0.6346
7.8,0.1001,0.6003,0.6371,0.7721,0.78,0.7761,0.5628,0.6739,0.6184,0.6731,0.5833,0.6282
7.9,0.1032,0.596,0.6283,0.7713,0.7705,0.7709,0.5487,0.6661,0.6074,0.6729,0.5746,0.6237
8,0.1034,0.5922,0.619,0.7692,0.7595,0.7643,0.5372,0.6583,0.5978,0.6754,0.5684,0.6219
8.1,0.0998,0.5895,0.6095,0.7658,0.7475,0.7567,0.5289,0.6513,0.5901,0.6808,0.5651,0.6229
8.2,0.0922,0.588,0.6,0.7611,0.7346,0.7478,0.5239,0.6452,0.5845,0.689,0.5642,0.6266
8.3,0.0817,0.5875,0.5902,0.7544,0.7208,0.7376,0.5223,0.6402,0.5813,0.6993,0.5654,0.6324
8.4,0.0697,0.5876,0.5801,0.7459,0.7059,0.7259,0.5246,0.6362,0.5804,0.7114,0.5684,0.6399
8.5,0.0576,0.588,0.5702,0.7361,0.6902,0.7131,0.5312,0.6333,0.5823,0.7252,0.5734,0.6493
8.6,0.0465,0.5889,0.561,0.7261,0.674,0.7001,0.5422,0.6316,0.5869,0.7407,0.5812,0.6609
8.7,0.0373,0.5907,0.5529,0.7171,0.6584,0.6878,0.5574,0.6312,0.5943,0.7577,0.5919,0.6748
8.8,0.0307,0.5936,0.546,0.7099,0.6439,0.6769,0.576,0.632,0.604,0.7755,0.6057,0.6906
8.9,0.0271,0.5974,0.5409,0.7045,0.6311,0.6678,0.5977,0.6338,0.6158,0.7937,0.622,0.7079
9,0.0266,0.6014,0.5375,0.7006,0.6195,0.66,0.6218,0.6364,0.6291,0.8117,0.6406,0.7261
9.1,0.0289,0.6049,0.5357,0.6976,0.6086,0.6531,0.6474,0.6393,0.6434,0.8291,0.6607,0.7449
9.2,0.0337,0.6074,0.5351,0.695,0.5981,0.6465,0.6734,0.642,0.6577,0.8453,0.6817,0.7635
9.3,0.0411,0.6086,0.5354,0.6924,0.5877,0.64,0.6987,0.6439,0.6713,0.8594,0.7025,0.781
9.4,0.0517,0.6088,0.5364,0.6902,0.5776,0.6339,0.7223,0.6449,0.6836,0.8709,0.7219,0.7964
9.5,0.0662,0.6082,0.5382,0.6887,0.5683,0.6285,0.744,0.645,0.6945,0.8795,0.7392,0.8094
9.6,0.0839,0.6072,0.5409,0.6885,0.5603,0.6244,0.7638,0.6448,0.7043,0.8852,0.7542,0.8197
9.7,0.1033,0.6061,0.5448,0.6898,0.5539,0.6218,0.782,0.6447,0.7134,0.8883,0.767,0.8277
9.8,0.1222,0.6048,0.55,0.6923,0.5495,0.6209,0.7986,0.6452,0.7219,0.8888,0.778,0.8334
9.9,0.1398,0.603,0.5566,0.696,0.5474,0.6217,0.8135,0.6463,0.7299,0.8866,0.7873,0.837
10,0.156,0.6006,0.5644,0.701,0.548,0.6245,0.8268,0.6486,0.7377,0.8816,0.7948,0.8382
10.1,0.1702,0.5976,0.5736,0.7073,0.5517,0.6295,0.8391,0.6527,0.7459,0.874,0.8005,0.8373
10.2,0.1814,0.5939,0.5842,0.7147,0.5588,0.6367,0.8502,0.6589,0.7545,0.8641,0.8046,0.8343
10.3,0.1882,0.5896,0.5959,0.7228,0.5694,0.6461,0.8602,0.667,0.7636,0.8519,0.8071,0.8295
10.4,0.1909,0.5845,0.6083,0.7312,0.5832,0.6572,0.8687,0.6767,0.7727,0.8378,0.8079,0.8228
10.5,0.191,0.5788,0.621,0.7396,0.5993,0.6694,0.8757,0.6872,0.7815,0.8217,0.8069,0.8143
10.6,0.1905,0.5726,0.6336,0.7477,0.6168,0.6823,0.8813,0.6982,0.7897,0.8039,0.8042,0.804
10.7,0.1907,0.5665,0.6459,0.7551,0.6349,0.695,0.8856,0.7094,0.7975,0.7852,0.7998,0.7925
10.8,0.192,0.5605,0.6579,0.7608,0.6525,0.7066,0.8885,0.7203,0.8044,0.766,0.7944,0.7802
10.9,0.1945,0.5546,0.6695,0.7637,0.6688,0.7163,0.8897,0.7303,0.81,0.747,0.7884,0.7677
11,0.1983,0.549,0.6804,0.7635,0.6832,0.7234,0.889,0.7387,0.8139,0.7288,0.7822,0.7555
11.1,0.204,0.5436,0.69,0.7603,0.6948,0.7275,0.8868,0.7451,0.8159,0.7121,0.7762,0.7442
11.2,0.2111,0.5389,0.6983,0.7544,0.7034,0.7289,0.8836,0.7496,0.8166,0.6978,0.7708,0.7343
11.3,0.2184,0.5351,0.7054,0.7461,0.7094,0.7277,0.8799,0.7527,0.8163,0.6865,0.7665,0.7265
11.4,0.225,0.532,0.7113,0.7354,0.7131,0.7243,0.8759,0.7546,0.8152,0.6784,0.7633,0.7208
11.5,0.2308,0.5294,0.7158,0.7224,0.7146,0.7185,0.8716,0.7551,0.8134,0.673,0.7609,0.7169
11.6,0.2367,0.5269,0.7186,0.7078,0.714,0.7109,0.8671,0.7541,0.8106,0.6701,0.759,0.7145
11.7,0.2431,0.5246,0.72,0.6926,0.7117,0.7021,0.8627,0.7516,0.8071,0.6698,0.7577,0.7138
11.8,0.2496,0.5231,0.7206,0.6781,0.7083,0.6932,0.8588,0.748,0.8034,0.6723,0.7575,0.7149
11.9,0.2552,0.523,0.7207,0.6652,0.7045,0.6849,0.8553,0.7439,0.7996,0.6776,0.7589,0.7182
12,0.2593,0.5246,0.7207,0.6543,0.7007,0.6775,0.8521,0.7398,0.7959,0.6856,0.762,0.7238
12.1,0.2621,0.528,0.7208,0.6454,0.6969,0.6712,0.8489,0.736,0.7925,0.6959,0.7672,0.7315
12.2,0.2634,0.5332,0.7212,0.6384,0.6936,0.666,0.8463,0.7331,0.7897,0.7086,0.7744,0.7415
12.3,0.2629,0.5401,0.722,0.6332,0.6908,0.662,0.8447,0.7314,0.788,0.7236,0.7837,0.7537
12.4,0.2614,0.5483,0.7233,0.6298,0.689,0.6594,0.844,0.7314,0.7877,0.7405,0.7946,0.7675
12.5,0.2593,0.558,0.7249,0.6283,0.6884,0.6583,0.8438,0.7333,0.7886,0.7584,0.8062,0.7823
12.6,0.2566,0.5693,0.7274,0.6286,0.6894,0.659,0.8441,0.7372,0.7906,0.7768,0.818,0.7974
12.7,0.2532,0.5822,0.7311,0.631,0.692,0.6615,0.8445,0.7432,0.7938,0.7951,0.8296,0.8124
12.8,0.2484,0.5967,0.736,0.6351,0.6963,0.6657,0.8451,0.7515,0.7983,0.8133,0.841,0.8272
12.9,0.2414,0.6122,0.7422,0.6406,0.7018,0.6712,0.846,0.762,0.804,0.8314,0.8524,0.8419
13,0.2311,0.6276,0.7497,0.6461,0.7085,0.6773,0.8475,0.7742,0.8108,0.8492,0.8638,0.8565
13.1,0.2171,0.642,0.7581,0.6506,0.7155,0.683,0.8493,0.7872,0.8182,0.8664,0.8745,0.8704
13.2,0.2001,0.6539,0.7669,0.6534,0.722,0.6877,0.8511,0.8001,0.8256,0.8825,0.884,0.8833
13.3,0.1812,0.6629,0.7755,0.6548,0.7276,0.6912,0.8526,0.8123,0.8324,0.8974,0.8918,0.8946
13.4,0.161,0.6687,0.7834,0.6552,0.732,0.6936,0.8535,0.8233,0.8384,0.9113,0.8975,0.9044
13.5,0.1399,0.6718,0.7901,0.6549,0.7352,0.6951,0.8537,0.8324,0.8431,0.9242,0.901,0.9126
13.6,0.1187,0.6724,0.7955,0.654,0.7373,0.6957,0.8529,0.8392,0.8461,0.9359,0.9022,0.9191
13.7,0.099,0.6708,0.7995,0.6524,0.7381,0.6953,0.8506,0.8431,0.8468,0.9462,0.9007,0.9235
13.8,0.0825,0.667,0.802,0.6502,0.7373,0.6937,0.8469,0.8438,0.8454,0.9551,0.8967,0.9259
13.9,0.0699,0.6616,0.8035,0.6473,0.7348,0.691,0.842,0.8419,0.8419,0.9628,0.8908,0.9268
14,0.0607,0.6548,0.8041,0.644,0.7307,0.6873,0.8364,0.8376,0.837,0.9695,0.8836,0.9266
14.1,0.0543,0.6473,0.8034,0.6405,0.7252,0.6829,0.8297,0.8311,0.8304,0.9748,0.8751,0.9249
14.2,0.0506,0.6396,0.8013,0.6373,0.7188,0.6781,0.8213,0.8223,0.8218,0.978,0.8649,0.9214
14.3,0.0492,0.6324,0.7977,0.635,0.712,0.6735,0.8109,0.8112,0.811,0.9785,0.8528,0.9156
14.4,0.05,0.6267,0.7926,0.6344,0.7052,0.6698,0.799,0.798,0.7985,0.9767,0.8392,0.9079
14.5,0.0523,0.6229,0.7861,0.636,0.6987,0.6673,0.7864,0.7833,0.7848,0.9727,0.8249,0.8988
14.6,0.0555,0.6212,0.7787,0.6397,0.6927,0.6662,0.7735,0.7677,0.7706,0.9667,0.8104,0.8885
14.7,0.0598,0.6214,0.7699,0.6454,0.6872,0.6663,0.76,0.751,0.7555,0.9578,0.7952,0.8765
14.8,0.0666,0.6231,0.7594,0.6531,0.6822,0.6677,0.745,0.7329,0.7389,0.9448,0.7785,0.8617
14.9,0.0769,0.6259,0.7473,0.6625,0.6776,0.67,0.7284,0.7133,0.7209,0.9274,0.7606,0.844
