Time,Lexus - The New Lexus,Lexus - The New Lexus,Lexus - The New Lexus,Lexus - The New Lexus,Lexus - The New Lexus,Lexus - The New Lexus,Lexus - The New Lexus,Lexus - The New Lexus,Lexus - The New Lexus,Lexus - The New Lexus,Lexus - The New Lexus,Lexus - The New Lexus
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.2028,0.5338,0.7457,0.6736,0.6587,0.6661,0.9182,0.8155,0.8669,0.8736,0.6775,0.7756
0.1,-0.2328,0.5352,0.7058,0.6597,0.6419,0.6508,0.8949,0.7852,0.84,0.8573,0.6532,0.7552
0.2,-0.2567,0.5375,0.6726,0.6485,0.6287,0.6386,0.8729,0.7557,0.8143,0.8386,0.6318,0.7352
0.3,-0.2733,0.5413,0.6466,0.6411,0.6186,0.6299,0.8524,0.7277,0.7901,0.8186,0.6138,0.7162
0.4,-0.2824,0.5468,0.6276,0.6382,0.6116,0.6249,0.8337,0.702,0.7679,0.7989,0.5998,0.6993
0.5,-0.2838,0.5542,0.6149,0.64,0.6076,0.6238,0.8166,0.679,0.7478,0.7798,0.5897,0.6848
0.6,-0.2765,0.5633,0.6072,0.6465,0.6061,0.6263,0.8009,0.6587,0.7298,0.7617,0.5833,0.6725
0.7,-0.2595,0.5741,0.6035,0.657,0.6067,0.6318,0.7865,0.6412,0.7139,0.745,0.5805,0.6627
0.8,-0.2331,0.5869,0.6027,0.6708,0.6087,0.6398,0.7738,0.6269,0.7003,0.7306,0.5817,0.6562
0.9,-0.1992,0.6022,0.6043,0.6872,0.6122,0.6497,0.7638,0.6164,0.6901,0.7198,0.5875,0.6537
1,-0.1611,0.6197,0.608,0.7056,0.6172,0.6614,0.7571,0.6101,0.6836,0.7132,0.5975,0.6553
1.1,-0.1217,0.6386,0.6133,0.7251,0.6232,0.6741,0.7542,0.6082,0.6812,0.7112,0.611,0.6611
1.2,-0.0836,0.658,0.6199,0.7448,0.6293,0.6871,0.7548,0.6106,0.6827,0.7138,0.6275,0.6706
1.3,-0.0488,0.6765,0.6275,0.7632,0.6349,0.699,0.758,0.6172,0.6876,0.7206,0.6467,0.6836
1.4,-0.0197,0.6928,0.6354,0.7791,0.6389,0.709,0.7629,0.6273,0.6951,0.7315,0.6682,0.6998
1.5,0.0021,0.7058,0.6431,0.7915,0.6408,0.7161,0.7686,0.6403,0.7045,0.746,0.6914,0.7187
1.6,0.0165,0.7146,0.6503,0.7999,0.6408,0.7204,0.7747,0.6554,0.715,0.7634,0.715,0.7392
1.7,0.023,0.7194,0.6575,0.8046,0.64,0.7223,0.7808,0.6722,0.7265,0.7827,0.738,0.7603
1.8,0.0213,0.7208,0.6654,0.8059,0.6398,0.7228,0.7866,0.6908,0.7387,0.803,0.7601,0.7816
1.9,0.0115,0.7195,0.6751,0.8039,0.6409,0.7224,0.7919,0.7109,0.7514,0.8236,0.7816,0.8026
2,-0.0056,0.7159,0.6865,0.7987,0.6436,0.7211,0.796,0.7316,0.7638,0.8437,0.8022,0.8229
2.1,-0.0293,0.7105,0.6991,0.7901,0.6471,0.7186,0.7979,0.7512,0.7746,0.8619,0.8209,0.8414
2.2,-0.0586,0.7036,0.7119,0.7784,0.6508,0.7146,0.7963,0.7683,0.7823,0.8768,0.8361,0.8564
2.3,-0.0925,0.6958,0.7241,0.7637,0.6543,0.709,0.7906,0.7816,0.7861,0.8871,0.8463,0.8667
2.4,-0.1297,0.6875,0.735,0.7463,0.6573,0.7018,0.7806,0.7904,0.7855,0.8921,0.8508,0.8714
2.5,-0.1681,0.6788,0.7435,0.7267,0.6597,0.6932,0.7664,0.7941,0.7803,0.8917,0.8492,0.8705
2.6,-0.2054,0.6696,0.7488,0.7053,0.6615,0.6834,0.7485,0.7924,0.7704,0.8861,0.8414,0.8638
2.7,-0.2405,0.66,0.75,0.683,0.6629,0.673,0.7271,0.7851,0.7561,0.8754,0.8275,0.8514
2.8,-0.2738,0.6502,0.7469,0.6604,0.6642,0.6623,0.7029,0.7728,0.7379,0.8601,0.8077,0.8339
2.9,-0.3052,0.6406,0.74,0.6382,0.6654,0.6518,0.6766,0.7565,0.7165,0.841,0.7831,0.812
3,-0.334,0.6317,0.7297,0.6167,0.6667,0.6417,0.6489,0.737,0.6929,0.8191,0.7548,0.7869
3.1,-0.3582,0.6238,0.7162,0.597,0.668,0.6325,0.6208,0.715,0.6679,0.7952,0.7238,0.7595
3.2,-0.376,0.6171,0.6996,0.58,0.6693,0.6247,0.5929,0.6912,0.6421,0.7696,0.6907,0.7302
3.3,-0.3862,0.6118,0.6797,0.5664,0.6704,0.6184,0.566,0.6661,0.6161,0.742,0.6554,0.6987
3.4,-0.3889,0.6076,0.6562,0.5566,0.6708,0.6137,0.5405,0.6399,0.5902,0.7123,0.6181,0.6652
3.5,-0.3842,0.6043,0.6292,0.5504,0.6699,0.6102,0.5169,0.613,0.565,0.6805,0.5791,0.6298
3.6,-0.3718,0.6018,0.5995,0.5478,0.6673,0.6076,0.4958,0.5859,0.5408,0.647,0.5395,0.5933
3.7,-0.3513,0.5998,0.5682,0.5483,0.6627,0.6055,0.4778,0.5594,0.5186,0.6125,0.5005,0.5565
3.8,-0.3228,0.5984,0.5363,0.5516,0.6563,0.604,0.4634,0.5343,0.4988,0.5778,0.463,0.5204
3.9,-0.2871,0.5975,0.5046,0.5572,0.6485,0.6028,0.4528,0.511,0.4819,0.5436,0.4277,0.4856
4,-0.2459,0.5969,0.4736,0.5642,0.6392,0.6017,0.4461,0.4898,0.468,0.5104,0.3948,0.4526
4.1,-0.2004,0.5962,0.4437,0.5717,0.6287,0.6002,0.4434,0.4708,0.4571,0.4791,0.3646,0.4218
4.2,-0.1513,0.5951,0.4152,0.5791,0.617,0.5981,0.4446,0.454,0.4493,0.4501,0.3368,0.3934
4.3,-0.0987,0.5932,0.3886,0.5864,0.6046,0.5955,0.4495,0.4391,0.4443,0.4238,0.3112,0.3675
4.4,-0.0423,0.5896,0.3641,0.5933,0.5918,0.5926,0.4571,0.426,0.4415,0.3999,0.2874,0.3436
4.5,0.0175,0.5841,0.3418,0.5992,0.5786,0.5889,0.4662,0.4142,0.4402,0.3783,0.2649,0.3216
4.6,0.08,0.5764,0.3219,0.6036,0.5651,0.5843,0.4761,0.4038,0.44,0.3593,0.2443,0.3018
4.7,0.144,0.5669,0.3045,0.6063,0.5519,0.5791,0.4864,0.3949,0.4407,0.3437,0.2263,0.285
4.8,0.2083,0.5567,0.2901,0.6077,0.5398,0.5738,0.4973,0.3876,0.4425,0.3322,0.2118,0.272
4.9,0.2715,0.5469,0.2788,0.6084,0.53,0.5692,0.5091,0.3822,0.4456,0.325,0.2012,0.2631
5,0.3322,0.5387,0.2708,0.6086,0.5232,0.5659,0.5217,0.3788,0.4503,0.3219,0.1944,0.2582
5.1,0.389,0.5325,0.2665,0.6082,0.5197,0.564,0.5351,0.3778,0.4564,0.3226,0.1916,0.2571
5.2,0.4414,0.5283,0.2662,0.6071,0.5193,0.5632,0.549,0.3793,0.4641,0.327,0.1929,0.26
5.3,0.4892,0.5254,0.27,0.6052,0.5211,0.5632,0.563,0.3835,0.4733,0.3349,0.1985,0.2667
5.4,0.5327,0.5236,0.2778,0.6027,0.5244,0.5635,0.5769,0.3901,0.4835,0.3455,0.208,0.2767
5.5,0.5715,0.5227,0.2889,0.5996,0.5287,0.5641,0.5905,0.3986,0.4945,0.3577,0.2203,0.289
5.6,0.6049,0.5228,0.3031,0.596,0.5338,0.5649,0.6033,0.4084,0.5058,0.3704,0.2344,0.3024
