Time,Big W - Ghost 30 Client Semi Finished TVC,Big W - Ghost 30 Client Semi Finished TVC,Big W - Ghost 30 Client Semi Finished TVC,Big W - Ghost 30 Client Semi Finished TVC,Big W - Ghost 30 Client Semi Finished TVC,Big W - Ghost 30 Client Semi Finished TVC,Big W - Ghost 30 Client Semi Finished TVC,Big W - Ghost 30 Client Semi Finished TVC,Big W - Ghost 30 Client Semi Finished TVC,Big W - Ghost 30 Client Semi Finished TVC,Big W - Ghost 30 Client Semi Finished TVC,Big W - Ghost 30 Client Semi Finished TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
19.7,0.0694,0.4459,0.5123,0.5258,0.4262,0.476,0.7771,0.695,0.7361,0.1834,0.2546,0.219
19.8,0.1055,0.4429,0.5186,0.5251,0.4087,0.4669,0.7665,0.6929,0.7297,0.1939,0.2721,0.233
19.9,0.1343,0.4421,0.5223,0.5208,0.3906,0.4557,0.7542,0.6877,0.721,0.212,0.2946,0.2533
20,0.1547,0.4436,0.5243,0.5131,0.3727,0.4429,0.741,0.6792,0.7101,0.2379,0.3219,0.2799
20.1,0.1663,0.4471,0.5249,0.5019,0.3553,0.4286,0.7271,0.6671,0.6971,0.2714,0.3535,0.3124
20.2,0.1702,0.4524,0.5243,0.4881,0.3384,0.4132,0.7127,0.6514,0.6821,0.3113,0.3885,0.3499
20.3,0.1673,0.459,0.5225,0.4729,0.3225,0.3977,0.6984,0.6325,0.6654,0.3559,0.4258,0.3909
20.4,0.1588,0.4666,0.5196,0.458,0.3084,0.3832,0.685,0.6112,0.6481,0.4032,0.464,0.4336
20.5,0.1461,0.4749,0.5155,0.4445,0.2966,0.3705,0.673,0.5882,0.6306,0.4514,0.502,0.4767
20.6,0.1302,0.4833,0.5105,0.433,0.2871,0.36,0.6623,0.5641,0.6132,0.4986,0.5389,0.5188
20.7,0.1116,0.4912,0.5051,0.4235,0.2794,0.3515,0.6529,0.5395,0.5962,0.5432,0.5739,0.5586
20.8,0.0906,0.498,0.5005,0.4155,0.2732,0.3444,0.6446,0.5151,0.5798,0.5837,0.6063,0.595
20.9,0.0676,0.5038,0.4973,0.4082,0.2683,0.3382,0.6378,0.4913,0.5645,0.6191,0.6355,0.6273
21,0.0434,0.5086,0.4962,0.4011,0.2644,0.3328,0.6328,0.4682,0.5505,0.649,0.6612,0.6551
21.1,0.0196,0.5122,0.4969,0.3941,0.2611,0.3276,0.6297,0.4458,0.5378,0.6735,0.6832,0.6783
21.2,-0.0024,0.5142,0.4989,0.3874,0.2578,0.3226,0.6279,0.4236,0.5258,0.693,0.7018,0.6974
21.3,-0.022,0.5147,0.5018,0.381,0.2539,0.3175,0.6269,0.4015,0.5142,0.7084,0.7174,0.7129
21.4,-0.0388,0.5139,0.5059,0.3745,0.2494,0.312,0.6266,0.3797,0.5031,0.7204,0.7309,0.7257
21.5,-0.0525,0.5121,0.5115,0.3674,0.2442,0.3058,0.6271,0.359,0.493,0.7302,0.7426,0.7364
21.6,-0.0629,0.5096,0.5189,0.3591,0.2387,0.2989,0.6287,0.3398,0.4843,0.7381,0.7525,0.7453
21.7,-0.0701,0.5065,0.5286,0.3496,0.2337,0.2917,0.6316,0.3228,0.4772,0.7442,0.7603,0.7522
21.8,-0.0745,0.5029,0.5406,0.3396,0.23,0.2848,0.6354,0.3085,0.4719,0.7483,0.7663,0.7573
21.9,-0.0762,0.4989,0.5548,0.3294,0.2277,0.2786,0.6397,0.2976,0.4686,0.7502,0.7705,0.7604
22,-0.0754,0.4949,0.5707,0.3198,0.2264,0.2731,0.6447,0.2912,0.4679,0.7506,0.7733,0.7619
22.1,-0.0723,0.4914,0.5872,0.3112,0.2256,0.2684,0.651,0.2899,0.4704,0.7502,0.7749,0.7626
22.2,-0.0672,0.4893,0.603,0.3047,0.2256,0.2652,0.6592,0.2937,0.4764,0.7503,0.7754,0.7629
22.3,-0.0607,0.489,0.6164,0.3014,0.2269,0.2642,0.6694,0.3022,0.4858,0.7516,0.7748,0.7632
22.4,-0.053,0.4908,0.6264,0.302,0.23,0.266,0.6814,0.3151,0.4982,0.7539,0.773,0.7635
22.5,-0.0444,0.4949,0.6321,0.3069,0.2351,0.271,0.6954,0.3328,0.5141,0.7564,0.7699,0.7632
22.6,-0.0349,0.5009,0.6329,0.315,0.2427,0.2789,0.7112,0.356,0.5336,0.7581,0.7652,0.7616
22.7,-0.0245,0.5084,0.6281,0.3247,0.2527,0.2887,0.728,0.3848,0.5564,0.7582,0.7586,0.7584
22.8,-0.0138,0.5163,0.6176,0.334,0.2643,0.2991,0.7444,0.4179,0.5812,0.7564,0.7496,0.753
22.9,-0.0028,0.5239,0.602,0.342,0.2766,0.3093,0.7595,0.4531,0.6063,0.7529,0.7383,0.7456
23,0.0095,0.5306,0.5825,0.3489,0.2887,0.3188,0.7726,0.4879,0.6303,0.7468,0.7248,0.7358
23.1,0.0235,0.5365,0.56,0.3553,0.3001,0.3277,0.7841,0.5208,0.6525,0.7372,0.7088,0.723
23.2,0.0393,0.5415,0.5355,0.3613,0.3107,0.336,0.7943,0.5504,0.6723,0.7229,0.6895,0.7062
23.3,0.0562,0.5455,0.51,0.3664,0.3202,0.3433,0.803,0.5757,0.6894,0.7037,0.6663,0.685
23.4,0.0732,0.5478,0.4844,0.3701,0.3283,0.3492,0.8097,0.5961,0.7029,0.6799,0.6397,0.6598
23.5,0.09,0.548,0.4589,0.3726,0.3346,0.3536,0.8137,0.6109,0.7123,0.6524,0.611,0.6317
23.6,0.1071,0.546,0.4335,0.3747,0.339,0.3569,0.8151,0.6197,0.7174,0.6223,0.5818,0.602
23.7,0.1248,0.5422,0.4082,0.3769,0.3415,0.3592,0.814,0.6228,0.7184,0.5904,0.5528,0.5716
23.8,0.1434,0.5372,0.3833,0.379,0.3425,0.3607,0.8106,0.6207,0.7156,0.558,0.525,0.5415
23.9,0.1624,0.5311,0.3596,0.3803,0.3421,0.3612,0.8055,0.6143,0.7099,0.5267,0.4995,0.5131
24,0.1824,0.5237,0.3379,0.3804,0.3399,0.3601,0.7989,0.6046,0.7018,0.4975,0.4775,0.4875
24.1,0.2038,0.5142,0.3186,0.3785,0.3354,0.357,0.7911,0.5925,0.6918,0.471,0.4595,0.4653
24.2,0.2265,0.5021,0.3015,0.3743,0.3288,0.3516,0.782,0.578,0.68,0.4474,0.4453,0.4464
24.3,0.2506,0.4874,0.2867,0.3685,0.3207,0.3446,0.7722,0.5616,0.6669,0.4268,0.4341,0.4304
24.4,0.2759,0.4706,0.2742,0.3622,0.3118,0.337,0.7619,0.5438,0.6529,0.4092,0.4256,0.4174
24.5,0.3017,0.4519,0.264,0.3559,0.3025,0.3292,0.7508,0.5254,0.6381,0.3947,0.4201,0.4074
24.6,0.3263,0.4309,0.2561,0.3492,0.2929,0.3211,0.7386,0.5074,0.623,0.3836,0.418,0.4008
24.7,0.3471,0.4079,0.2504,0.3409,0.2834,0.3122,0.7247,0.4907,0.6077,0.3761,0.4196,0.3978
24.8,0.3607,0.3837,0.2468,0.33,0.2747,0.3023,0.7092,0.4764,0.5928,0.3722,0.4245,0.3983
24.9,0.3653,0.3597,0.2452,0.3169,0.2676,0.2923,0.6923,0.4655,0.5789,0.3724,0.4323,0.4023
25,0.3607,0.3375,0.246,0.3027,0.263,0.2829,0.6747,0.4589,0.5668,0.3767,0.4433,0.41
25.1,0.3481,0.3176,0.2494,0.2886,0.2604,0.2745,0.6568,0.4571,0.557,0.3852,0.4576,0.4214
25.2,0.329,0.3003,0.2551,0.2748,0.2586,0.2667,0.639,0.4601,0.5495,0.3974,0.4748,0.4361
25.3,0.3042,0.2857,0.2623,0.2614,0.2563,0.2589,0.6214,0.4674,0.5444,0.4128,0.4937,0.4533
25.4,0.2747,0.274,0.2709,0.2479,0.2529,0.2504,0.6044,0.4779,0.5412,0.4314,0.5132,0.4723
25.5,0.2415,0.2655,0.281,0.2345,0.2488,0.2416,0.588,0.4904,0.5392,0.4527,0.5326,0.4926
25.6,0.2058,0.2602,0.2927,0.2212,0.2442,0.2327,0.572,0.5036,0.5378,0.4755,0.5509,0.5132
25.7,0.1689,0.2572,0.3056,0.208,0.2391,0.2236,0.5558,0.5164,0.5361,0.4985,0.567,0.5327
25.8,0.1316,0.2554,0.3192,0.1952,0.2325,0.2139,0.5394,0.5282,0.5338,0.5199,0.5798,0.5499
25.9,0.094,0.2545,0.3329,0.1836,0.2238,0.2037,0.5229,0.5378,0.5304,0.5391,0.5889,0.564
26,0.057,0.2547,0.3461,0.1742,0.213,0.1936,0.5064,0.544,0.5252,0.5556,0.5944,0.575
26.1,0.0221,0.2566,0.3578,0.1684,0.2002,0.1843,0.4897,0.5456,0.5176,0.5695,0.5963,0.5829
26.2,-0.0087,0.2605,0.3674,0.1678,0.186,0.1769,0.4726,0.5417,0.5072,0.5807,0.5948,0.5877
26.3,-0.0348,0.2667,0.375,0.1731,0.1715,0.1723,0.4555,0.5326,0.494,0.5892,0.5902,0.5897
26.4,-0.056,0.2755,0.381,0.1845,0.1586,0.1716,0.4387,0.5187,0.4787,0.5953,0.5832,0.5893
26.5,-0.0724,0.2871,0.3853,0.2014,0.149,0.1752,0.4219,0.5006,0.4612,0.5994,0.5744,0.5869
26.6,-0.0835,0.3013,0.3868,0.2224,0.1433,0.1829,0.4048,0.4785,0.4417,0.6021,0.5643,0.5832
26.7,-0.0878,0.317,0.385,0.2459,0.1416,0.1937,0.3867,0.4525,0.4196,0.6038,0.5535,0.5787
26.8,-0.0845,0.333,0.3792,0.2705,0.1429,0.2067,0.3671,0.4222,0.3946,0.6045,0.5424,0.5735
26.9,-0.0737,0.3485,0.3695,0.2953,0.1465,0.2209,0.3461,0.3884,0.3673,0.6043,0.5309,0.5676
27,-0.0564,0.363,0.3559,0.3193,0.1514,0.2354,0.3244,0.3522,0.3383,0.6031,0.5189,0.561
27.1,-0.034,0.376,0.3388,0.3416,0.1575,0.2495,0.3024,0.3155,0.309,0.6011,0.5063,0.5537
27.2,-0.009,0.3871,0.3187,0.3614,0.1647,0.2631,0.2809,0.2803,0.2806,0.5985,0.4935,0.546
27.3,0.0159,0.3958,0.2961,0.3787,0.1729,0.2758,0.2599,0.2482,0.2541,0.5955,0.4808,0.5381
27.4,0.0388,0.4015,0.2719,0.3931,0.1818,0.2875,0.2393,0.2199,0.2296,0.5918,0.4685,0.5302
27.5,0.0581,0.4039,0.2469,0.4043,0.1907,0.2975,0.219,0.1953,0.2071,0.5876,0.4569,0.5222
27.6,0.0729,0.4029,0.2216,0.412,0.1993,0.3057,0.1994,0.1743,0.1869,0.5828,0.4462,0.5145
27.7,0.083,0.3991,0.1956,0.4164,0.2073,0.3119,0.1814,0.1571,0.1693,0.5776,0.4362,0.5069
27.8,0.0883,0.3932,0.1682,0.4174,0.2146,0.316,0.1651,0.1439,0.1545,0.5718,0.4272,0.4995
27.9,0.0886,0.3855,0.1388,0.4151,0.2208,0.3179,0.1503,0.1347,0.1425,0.5655,0.4195,0.4925
28,0.0841,0.3762,0.1081,0.4094,0.2255,0.3175,0.1366,0.1291,0.1328,0.5594,0.4134,0.4864
28.1,0.0756,0.3655,0.0777,0.401,0.2287,0.3149,0.1236,0.1265,0.125,0.5536,0.4093,0.4814
28.2,0.0646,0.3536,0.0495,0.3905,0.2305,0.3105,0.1112,0.1258,0.1185,0.5482,0.4073,0.4777
28.3,0.0526,0.3409,0.0251,0.3787,0.2313,0.305,0.1,0.1267,0.1134,0.5426,0.4077,0.4752
28.4,0.0407,0.3278,0.0055,0.366,0.2314,0.2987,0.0906,0.1295,0.11,0.5362,0.4107,0.4734
28.5,0.0288,0.3148,-0.0088,0.3524,0.2308,0.2916,0.0829,0.1346,0.1087,0.5286,0.4152,0.4719
28.6,0.0171,0.3023,-0.0176,0.3382,0.2299,0.284,0.077,0.1425,0.1098,0.5193,0.4202,0.4697
28.7,0.0056,0.2908,-0.021,0.3237,0.2295,0.2766,0.0727,0.1537,0.1132,0.5082,0.4245,0.4663
28.8,-0.0051,0.2809,-0.0194,0.3099,0.231,0.2704,0.0702,0.1679,0.119,0.4948,0.4277,0.4613
28.9,-0.0153,0.2731,-0.0135,0.2979,0.2356,0.2668,0.0696,0.185,0.1273,0.4786,0.4299,0.4542
29,-0.0254,0.2678,-0.0044,0.2887,0.2441,0.2664,0.0714,0.2049,0.1382,0.4597,0.4304,0.4451
29.1,-0.036,0.2652,0.0071,0.2827,0.2565,0.2696,0.0759,0.227,0.1514,0.4387,0.4291,0.4339
29.2,-0.0471,0.2652,0.0201,0.2806,0.2725,0.2766,0.0834,0.2505,0.1669,0.4162,0.426,0.4211
29.3,-0.0581,0.2683,0.0342,0.2829,0.2925,0.2877,0.094,0.2742,0.1841,0.3924,0.4209,0.4067
29.4,-0.068,0.2752,0.0481,0.2897,0.317,0.3034,0.1072,0.2972,0.2022,0.3677,0.4135,0.3906
29.5,-0.0766,0.2858,0.0605,0.3008,0.3463,0.3235,0.122,0.3188,0.2204,0.3425,0.403,0.3727
29.6,-0.0846,0.2993,0.0712,0.3151,0.3794,0.3473,0.1375,0.3381,0.2378,0.3166,0.3882,0.3524
29.7,-0.093,0.3142,0.0804,0.3309,0.4147,0.3728,0.1525,0.3541,0.2533,0.2896,0.3677,0.3287
29.8,-0.102,0.3291,0.0882,0.3461,0.4493,0.3977,0.1657,0.3652,0.2655,0.2612,0.3408,0.301
29.9,-0.1104,0.3425,0.0945,0.3591,0.4804,0.4197,0.1759,0.3709,0.2734,0.2312,0.3072,0.2692
