Time,Subway - Healthier doesnt mean hungrier Client 15 TVC - Viewing 2,Subway - Healthier doesnt mean hungrier Client 15 TVC - Viewing 2,Subway - Healthier doesnt mean hungrier Client 15 TVC - Viewing 2,Subway - Healthier doesnt mean hungrier Client 15 TVC - Viewing 2,Subway - Healthier doesnt mean hungrier Client 15 TVC - Viewing 2,Subway - Healthier doesnt mean hungrier Client 15 TVC - Viewing 2,Subway - Healthier doesnt mean hungrier Client 15 TVC - Viewing 2,Subway - Healthier doesnt mean hungrier Client 15 TVC - Viewing 2,Subway - Healthier doesnt mean hungrier Client 15 TVC - Viewing 2,Subway - Healthier doesnt mean hungrier Client 15 TVC - Viewing 2,Subway - Healthier doesnt mean hungrier Client 15 TVC - Viewing 2,Subway - Healthier doesnt mean hungrier Client 15 TVC - Viewing 2
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.0127,0.4815,0.6123,0.4445,0.3859,0.4152,0.4864,0.47,0.4782,0.657,0.3748,0.5159
0.1,0.011,0.5016,0.618,0.459,0.3918,0.4254,0.5035,0.4656,0.4845,0.6775,0.403,0.5403
0.2,0.0313,0.5232,0.6243,0.4746,0.4041,0.4394,0.521,0.4652,0.4931,0.6957,0.4359,0.5658
0.3,0.0472,0.5459,0.6313,0.4908,0.4228,0.4568,0.5384,0.4679,0.5031,0.712,0.4714,0.5917
0.4,0.0578,0.5693,0.6384,0.5073,0.4475,0.4774,0.5561,0.4736,0.5149,0.7264,0.5077,0.6171
0.5,0.0622,0.5927,0.6448,0.5235,0.4777,0.5006,0.5748,0.4828,0.5288,0.7386,0.5429,0.6408
0.6,0.06,0.6147,0.6499,0.5385,0.5118,0.5252,0.5944,0.4952,0.5448,0.7482,0.5756,0.6619
0.7,0.0518,0.6336,0.653,0.5515,0.5481,0.5498,0.6138,0.5101,0.5619,0.7547,0.6043,0.6795
0.8,0.0389,0.6483,0.6524,0.5614,0.5842,0.5728,0.6315,0.5264,0.5789,0.7567,0.6274,0.6921
0.9,0.0227,0.6582,0.6465,0.5679,0.6182,0.593,0.6465,0.5432,0.5948,0.7528,0.6433,0.698
1,0.0047,0.6637,0.6344,0.5712,0.6487,0.61,0.6584,0.5597,0.609,0.742,0.6506,0.6963
1.1,-0.0138,0.6653,0.6153,0.5721,0.6752,0.6236,0.667,0.5751,0.6211,0.7247,0.6495,0.6871
1.2,-0.031,0.6633,0.5898,0.5713,0.6976,0.6344,0.6724,0.5885,0.6304,0.7016,0.6404,0.671
1.3,-0.0453,0.6581,0.5601,0.5689,0.7156,0.6422,0.6743,0.5991,0.6367,0.6734,0.6245,0.6489
1.4,-0.0559,0.6496,0.5285,0.5647,0.7292,0.6469,0.6726,0.6067,0.6397,0.6408,0.6024,0.6216
1.5,-0.0623,0.6381,0.4971,0.5588,0.7379,0.6484,0.668,0.6117,0.6398,0.6044,0.5747,0.5895
1.6,-0.0641,0.6239,0.4672,0.5513,0.7413,0.6463,0.6608,0.6141,0.6375,0.5655,0.5422,0.5538
1.7,-0.0608,0.6073,0.4403,0.5422,0.7395,0.6408,0.6515,0.6137,0.6326,0.5261,0.5059,0.516
1.8,-0.0516,0.5893,0.4174,0.5323,0.7328,0.6325,0.6402,0.6101,0.6252,0.4881,0.4677,0.4779
1.9,-0.0363,0.5711,0.3988,0.5223,0.7219,0.6221,0.6271,0.6037,0.6154,0.4525,0.4292,0.4409
2,-0.0154,0.5537,0.3851,0.5132,0.7073,0.6102,0.6124,0.5953,0.6038,0.4199,0.3917,0.4058
2.1,0.0101,0.5379,0.3763,0.5055,0.6888,0.5971,0.5959,0.5854,0.5907,0.3906,0.3559,0.3732
2.2,0.0392,0.5241,0.3725,0.5001,0.6665,0.5833,0.5778,0.5746,0.5762,0.3653,0.3224,0.3438
2.3,0.0708,0.5122,0.3732,0.4976,0.6402,0.5689,0.5583,0.5631,0.5607,0.3445,0.292,0.3183
2.4,0.1035,0.5016,0.3774,0.4974,0.6097,0.5535,0.5375,0.5511,0.5443,0.3283,0.2654,0.2969
2.5,0.1362,0.4919,0.3842,0.498,0.5749,0.5364,0.5152,0.5392,0.5272,0.316,0.244,0.28
2.6,0.1677,0.482,0.3926,0.4983,0.5354,0.5169,0.4909,0.5281,0.5095,0.3071,0.2289,0.268
2.7,0.197,0.471,0.4023,0.4973,0.4915,0.4944,0.465,0.5178,0.4914,0.3015,0.2214,0.2614
2.8,0.2238,0.4588,0.4124,0.4952,0.4441,0.4696,0.4387,0.5087,0.4737,0.2998,0.2214,0.2606
2.9,0.2477,0.4463,0.4229,0.4931,0.3952,0.4442,0.4138,0.5012,0.4575,0.303,0.2286,0.2658
