Time,OzHarvest - Use It Up 50 TVC,OzHarvest - Use It Up 50 TVC,OzHarvest - Use It Up 50 TVC,OzHarvest - Use It Up 50 TVC,OzHarvest - Use It Up 50 TVC,OzHarvest - Use It Up 50 TVC,OzHarvest - Use It Up 50 TVC,OzHarvest - Use It Up 50 TVC,OzHarvest - Use It Up 50 TVC,OzHarvest - Use It Up 50 TVC,OzHarvest - Use It Up 50 TVC,OzHarvest - Use It Up 50 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
41.5,0.1534,0.6245,0.2641,0.4049,0.5593,0.4821,0.9065,0.3864,0.6465,0.3904,0.2545,0.3225
41.6,0.1809,0.612,0.2635,0.418,0.5316,0.4748,0.9108,0.3772,0.644,0.3976,0.26,0.3288
41.7,0.2034,0.6012,0.2673,0.4308,0.5042,0.4675,0.9145,0.3695,0.642,0.405,0.2697,0.3373
41.8,0.2195,0.5925,0.2754,0.4436,0.4783,0.461,0.9183,0.3635,0.6409,0.4123,0.283,0.3477
41.9,0.227,0.5862,0.2873,0.4566,0.4548,0.4557,0.9232,0.3596,0.6414,0.4191,0.299,0.3591
42,0.2245,0.5825,0.3028,0.4697,0.4346,0.4521,0.9296,0.3577,0.6437,0.4248,0.3169,0.3709
42.1,0.2129,0.5808,0.3209,0.4825,0.418,0.4503,0.9376,0.3573,0.6475,0.4286,0.336,0.3823
42.2,0.1941,0.5799,0.3403,0.4947,0.4049,0.4498,0.9466,0.3579,0.6523,0.4297,0.3548,0.3922
42.3,0.1708,0.5791,0.3598,0.5059,0.3948,0.4504,0.9559,0.3591,0.6575,0.4273,0.3715,0.3994
42.4,0.1441,0.5783,0.379,0.5159,0.3876,0.4518,0.9651,0.3608,0.6629,0.4215,0.3851,0.4033
42.5,0.1148,0.5775,0.3975,0.5244,0.3837,0.454,0.9743,0.3629,0.6686,0.4131,0.3954,0.4042
42.6,0.0836,0.5771,0.4152,0.5312,0.3833,0.4572,0.984,0.3657,0.6749,0.4033,0.4029,0.4031
42.7,0.0517,0.5767,0.4313,0.5361,0.3867,0.4614,0.9942,0.3695,0.6818,0.3926,0.4077,0.4002
42.8,0.0202,0.5758,0.445,0.5384,0.3937,0.4661,1.0045,0.3742,0.6894,0.3804,0.4093,0.3949
42.9,-0.0106,0.5737,0.4551,0.5372,0.4035,0.4704,1.0145,0.3794,0.6969,0.3662,0.4069,0.3865
43,-0.0408,0.5703,0.4609,0.5316,0.4151,0.4734,1.0236,0.3847,0.7041,0.3498,0.4006,0.3752
43.1,-0.0702,0.5656,0.4615,0.5215,0.4271,0.4743,1.0314,0.3899,0.7106,0.3318,0.3908,0.3613
43.2,-0.0978,0.5601,0.457,0.5073,0.4388,0.473,1.0378,0.3953,0.7166,0.3128,0.3787,0.3458
43.3,-0.1225,0.5545,0.4471,0.4896,0.4491,0.4693,1.042,0.4016,0.7218,0.2934,0.3649,0.3291
43.4,-0.1436,0.5489,0.4323,0.4689,0.4576,0.4633,1.0423,0.4083,0.7253,0.2735,0.3496,0.3115
43.5,-0.1608,0.5432,0.4133,0.4457,0.464,0.4548,1.0372,0.4145,0.7259,0.2531,0.3333,0.2932
43.6,-0.1741,0.5375,0.3908,0.4208,0.4681,0.4445,1.0256,0.4187,0.7222,0.2324,0.3168,0.2746
43.7,-0.1837,0.5318,0.3659,0.3949,0.4703,0.4326,1.0072,0.4199,0.7136,0.2126,0.3015,0.257
43.8,-0.1897,0.5266,0.3398,0.3688,0.4704,0.4196,0.9826,0.4184,0.7005,0.1947,0.2878,0.2413
43.9,-0.1919,0.5214,0.3145,0.3425,0.4677,0.4051,0.9528,0.4147,0.6837,0.1796,0.2761,0.2279
44,-0.1905,0.5157,0.2918,0.3158,0.4611,0.3885,0.9188,0.4099,0.6643,0.1678,0.2665,0.2172
44.1,-0.1866,0.5092,0.2733,0.2886,0.4502,0.3694,0.8818,0.4045,0.6431,0.1601,0.2599,0.21
44.2,-0.1814,0.5016,0.2598,0.2611,0.4355,0.3483,0.8433,0.399,0.6212,0.1569,0.2572,0.2071
44.3,-0.1759,0.4935,0.2518,0.2342,0.4183,0.3263,0.8055,0.3941,0.5998,0.1587,0.259,0.2088
44.4,-0.1707,0.485,0.2496,0.2085,0.4002,0.3044,0.7701,0.3903,0.5802,0.1647,0.2647,0.2147
44.5,-0.1664,0.4765,0.2537,0.1847,0.3822,0.2835,0.7388,0.3872,0.563,0.1737,0.2734,0.2236
44.6,-0.1635,0.4681,0.2641,0.1634,0.3649,0.2642,0.7126,0.3842,0.5484,0.1841,0.2842,0.2341
44.7,-0.1622,0.4597,0.2806,0.1449,0.349,0.2469,0.6921,0.3809,0.5365,0.1949,0.2963,0.2456
44.8,-0.1629,0.4512,0.302,0.1293,0.3346,0.232,0.6773,0.3769,0.5271,0.2054,0.3093,0.2573
44.9,-0.1657,0.4425,0.3267,0.1164,0.3222,0.2193,0.6675,0.3723,0.5199,0.2148,0.3227,0.2688
45,-0.1712,0.4333,0.3531,0.1053,0.3122,0.2088,0.6614,0.3674,0.5144,0.2222,0.3361,0.2791
45.1,-0.1795,0.4234,0.38,0.0953,0.3047,0.2,0.6577,0.3626,0.5102,0.2264,0.3487,0.2875
45.2,-0.1902,0.4131,0.4061,0.0859,0.3001,0.193,0.6561,0.3586,0.5074,0.2269,0.36,0.2934
45.3,-0.2028,0.4028,0.4301,0.0774,0.2985,0.1879,0.6564,0.3554,0.5059,0.2238,0.3696,0.2967
45.4,-0.216,0.3927,0.4506,0.0697,0.2999,0.1848,0.6581,0.3531,0.5056,0.2175,0.3775,0.2975
45.5,-0.2288,0.383,0.4663,0.0632,0.3048,0.184,0.66,0.3515,0.5058,0.2089,0.3843,0.2966
45.6,-0.2404,0.3743,0.4763,0.0583,0.3132,0.1858,0.6606,0.3506,0.5056,0.1985,0.3902,0.2943
45.7,-0.2497,0.3672,0.48,0.0561,0.3251,0.1906,0.6586,0.3502,0.5044,0.187,0.3952,0.2911
45.8,-0.2553,0.3627,0.477,0.0578,0.3397,0.1987,0.6536,0.3504,0.502,0.1748,0.399,0.2869
45.9,-0.255,0.3614,0.4677,0.0641,0.3562,0.2102,0.6457,0.3512,0.4984,0.1619,0.4012,0.2816
46,-0.247,0.364,0.4528,0.0756,0.3739,0.2247,0.6347,0.3527,0.4937,0.1485,0.401,0.2748
46.1,-0.2303,0.3713,0.4334,0.0924,0.3922,0.2423,0.6208,0.3548,0.4878,0.1349,0.3981,0.2665
46.2,-0.2045,0.3841,0.4107,0.1147,0.4109,0.2628,0.6043,0.3568,0.4806,0.1219,0.3929,0.2574
46.3,-0.1708,0.4028,0.3857,0.1424,0.4293,0.2858,0.5865,0.3582,0.4724,0.1107,0.3861,0.2484
46.4,-0.1309,0.4271,0.359,0.1753,0.4463,0.3108,0.5687,0.3586,0.4636,0.1021,0.3788,0.2405
46.5,-0.087,0.4555,0.3314,0.2124,0.4614,0.3369,0.5521,0.358,0.4551,0.0962,0.3719,0.2341
46.6,-0.0425,0.4858,0.3044,0.2518,0.474,0.3629,0.5375,0.3564,0.447,0.0926,0.366,0.2293
46.7,-0.0007,0.5156,0.2796,0.291,0.4836,0.3873,0.5251,0.3535,0.4393,0.0914,0.3615,0.2264
46.8,0.0366,0.5431,0.2589,0.3279,0.4901,0.409,0.5151,0.349,0.432,0.0931,0.3596,0.2264
46.9,0.069,0.5667,0.2436,0.3605,0.4937,0.4271,0.508,0.3434,0.4257,0.0988,0.3616,0.2302
47,0.0962,0.5859,0.2341,0.3874,0.4941,0.4408,0.5043,0.3377,0.421,0.1085,0.368,0.2383
47.1,0.1174,0.6007,0.2301,0.4078,0.4917,0.4497,0.5039,0.3331,0.4185,0.1218,0.3785,0.2501
47.2,0.1318,0.6115,0.2322,0.4212,0.4869,0.454,0.5064,0.3304,0.4184,0.1375,0.3923,0.2649
47.3,0.1394,0.6192,0.2415,0.428,0.4806,0.4543,0.5108,0.3301,0.4204,0.155,0.4091,0.2821
47.4,0.1417,0.6242,0.259,0.4294,0.4738,0.4516,0.5167,0.332,0.4243,0.1744,0.43,0.3022
47.5,0.1404,0.6272,0.2847,0.4271,0.4671,0.4471,0.5241,0.3364,0.4302,0.1961,0.4555,0.3258
47.6,0.1371,0.6287,0.3175,0.4222,0.461,0.4416,0.5333,0.3433,0.4383,0.2201,0.4858,0.353
47.7,0.1328,0.6293,0.3561,0.4157,0.4552,0.4354,0.5444,0.3526,0.4485,0.2458,0.5199,0.3829
47.8,0.1275,0.6294,0.4,0.4082,0.4497,0.4289,0.5571,0.3638,0.4604,0.2724,0.5573,0.4148
47.9,0.1204,0.63,0.4482,0.4001,0.4446,0.4224,0.5707,0.3764,0.4735,0.2992,0.5976,0.4484
48,0.1113,0.6316,0.4985,0.3926,0.4403,0.4164,0.5849,0.3901,0.4875,0.326,0.6411,0.4835
48.1,0.0999,0.6343,0.5477,0.3866,0.4373,0.412,0.5996,0.4049,0.5023,0.3527,0.6873,0.52
48.2,0.0858,0.638,0.5935,0.3831,0.4363,0.4097,0.6142,0.4206,0.5174,0.3793,0.7354,0.5573
48.3,0.0692,0.6424,0.635,0.3822,0.4372,0.4097,0.6283,0.437,0.5326,0.4055,0.784,0.5947
48.4,0.0507,0.6469,0.6717,0.3841,0.4402,0.4121,0.6417,0.4539,0.5478,0.4312,0.8317,0.6315
48.5,0.0313,0.6511,0.7028,0.3891,0.4449,0.417,0.6544,0.4712,0.5628,0.4564,0.8774,0.6669
48.6,0.0121,0.6549,0.7273,0.3977,0.4515,0.4246,0.6667,0.4887,0.5777,0.4815,0.9199,0.7007
48.7,-0.0069,0.6576,0.7448,0.4104,0.4606,0.4355,0.6789,0.5061,0.5925,0.5068,0.9581,0.7325
48.8,-0.0257,0.6589,0.7562,0.4272,0.4729,0.4501,0.6911,0.5234,0.6073,0.5324,0.9911,0.7617
48.9,-0.0446,0.6585,0.7629,0.4474,0.4887,0.4681,0.7029,0.5409,0.6219,0.5584,1.0178,0.7881
