Time,Google Home Devices 30 TVC,Google Home Devices 30 TVC,Google Home Devices 30 TVC,Google Home Devices 30 TVC,Google Home Devices 30 TVC,Google Home Devices 30 TVC,Google Home Devices 30 TVC,Google Home Devices 30 TVC,Google Home Devices 30 TVC,Google Home Devices 30 TVC,Google Home Devices 30 TVC,Google Home Devices 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
24.9,-0.2555,0.686,0.5921,0.5942,0.6088,0.6015,0.4546,0.6451,0.5498,0.7055,0.8006,0.753
25,-0.3218,0.7231,0.5985,0.6107,0.6375,0.6241,0.4411,0.6527,0.5469,0.6935,0.8024,0.7479
25.1,-0.3911,0.7597,0.6049,0.6256,0.6675,0.6465,0.4293,0.6597,0.5445,0.6806,0.8045,0.7425
25.2,-0.4614,0.7954,0.6109,0.6382,0.6982,0.6682,0.4198,0.6659,0.5429,0.6669,0.8064,0.7367
25.3,-0.5304,0.8294,0.6161,0.6473,0.7294,0.6884,0.4132,0.6713,0.5422,0.6528,0.8079,0.7303
25.4,-0.5958,0.8607,0.6203,0.6517,0.7606,0.7062,0.4094,0.6756,0.5425,0.6383,0.8082,0.7233
25.5,-0.6557,0.8879,0.6233,0.6507,0.7909,0.7208,0.408,0.6782,0.5431,0.6229,0.8066,0.7148
25.6,-0.7091,0.9097,0.6248,0.6441,0.8199,0.732,0.4083,0.6787,0.5435,0.606,0.8024,0.7042
25.7,-0.7548,0.9257,0.6244,0.6325,0.8469,0.7397,0.4102,0.6766,0.5434,0.5873,0.7945,0.6909
25.8,-0.7908,0.936,0.6218,0.617,0.8711,0.7441,0.4139,0.6723,0.5431,0.5672,0.7828,0.675
25.9,-0.8159,0.9403,0.6172,0.5992,0.8914,0.7453,0.4195,0.6665,0.543,0.5463,0.7674,0.6568
26,-0.8294,0.9383,0.6112,0.5808,0.9065,0.7437,0.4271,0.6598,0.5435,0.5252,0.7494,0.6373
26.1,-0.8311,0.9302,0.604,0.5639,0.9163,0.7401,0.436,0.6526,0.5443,0.5047,0.7299,0.6173
26.2,-0.8203,0.9171,0.5956,0.5503,0.9213,0.7358,0.4454,0.6448,0.5451,0.4852,0.7094,0.5973
26.3,-0.7965,0.9001,0.5863,0.5412,0.9222,0.7317,0.4547,0.6365,0.5456,0.4673,0.6882,0.5778
26.4,-0.7617,0.8806,0.5759,0.5368,0.9197,0.7282,0.4633,0.6279,0.5456,0.4522,0.6663,0.5592
26.5,-0.7195,0.8595,0.5647,0.5364,0.914,0.7252,0.4708,0.6192,0.545,0.4401,0.6437,0.5419
26.6,-0.6743,0.8381,0.5531,0.5389,0.9057,0.7223,0.477,0.61,0.5435,0.4311,0.6208,0.5259
26.7,-0.629,0.8184,0.5417,0.5443,0.8953,0.7198,0.4819,0.6007,0.5413,0.4248,0.5983,0.5115
26.8,-0.5848,0.8026,0.5312,0.5535,0.8843,0.7189,0.4863,0.592,0.5391,0.4215,0.577,0.4992
26.9,-0.5414,0.7924,0.5225,0.5676,0.8741,0.7209,0.4909,0.5847,0.5378,0.4216,0.5581,0.4899
27,-0.4983,0.7882,0.5157,0.5869,0.8656,0.7263,0.4965,0.5791,0.5378,0.4256,0.5426,0.4841
27.1,-0.4552,0.7895,0.5101,0.6101,0.8586,0.7344,0.5033,0.5744,0.5389,0.4331,0.5314,0.4823
27.2,-0.4126,0.7955,0.5051,0.636,0.8523,0.7441,0.5116,0.57,0.5408,0.444,0.5254,0.4847
27.3,-0.3706,0.8055,0.5006,0.6637,0.8463,0.755,0.5221,0.566,0.544,0.458,0.5248,0.4914
27.4,-0.3301,0.8194,0.4974,0.6929,0.8413,0.7671,0.5364,0.5637,0.55,0.4757,0.5295,0.5026
27.5,-0.293,0.8365,0.4965,0.7233,0.8385,0.7809,0.5559,0.5647,0.5603,0.4971,0.539,0.5181
27.6,-0.2588,0.8552,0.4978,0.7537,0.8381,0.7959,0.5812,0.5693,0.5753,0.5218,0.5526,0.5372
27.7,-0.2253,0.8739,0.5002,0.7825,0.8401,0.8113,0.612,0.5769,0.5944,0.5485,0.5695,0.559
27.8,-0.1898,0.8914,0.5031,0.8084,0.8447,0.8265,0.6471,0.5865,0.6168,0.576,0.5889,0.5824
27.9,-0.1518,0.9074,0.5067,0.8311,0.8524,0.8418,0.6854,0.5983,0.6419,0.6035,0.611,0.6073
28,-0.1132,0.9217,0.5122,0.8512,0.864,0.8576,0.7262,0.6132,0.6697,0.6307,0.636,0.6334
28.1,-0.0771,0.9339,0.5208,0.8689,0.879,0.8739,0.7684,0.6326,0.7005,0.6565,0.6634,0.66
28.2,-0.0458,0.9432,0.533,0.8839,0.8957,0.8898,0.8099,0.657,0.7334,0.6789,0.6915,0.6852
28.3,-0.0213,0.9493,0.5479,0.8953,0.9126,0.904,0.8478,0.6853,0.7665,0.6956,0.717,0.7063
28.4,-0.0059,0.9525,0.5638,0.902,0.9289,0.9154,0.8795,0.7157,0.7976,0.7052,0.7372,0.7212
28.5,-0.0017,0.9531,0.5789,0.9035,0.9446,0.9241,0.9037,0.7464,0.825,0.7078,0.7509,0.7293
28.6,-0.0102,0.9513,0.5924,0.9006,0.9603,0.9304,0.92,0.776,0.848,0.7042,0.7585,0.7314
28.7,-0.0313,0.9468,0.6039,0.8938,0.9761,0.9349,0.9294,0.8035,0.8664,0.6953,0.7608,0.7281
28.8,-0.0652,0.9398,0.6131,0.8839,0.992,0.9379,0.9328,0.8282,0.8805,0.6818,0.7578,0.7198
28.9,-0.1112,0.9303,0.6194,0.871,1.0081,0.9395,0.9309,0.8498,0.8904,0.6651,0.7494,0.7072
29,-0.167,0.9183,0.6218,0.8551,1.0242,0.9397,0.9238,0.8682,0.896,0.647,0.736,0.6915
29.1,-0.2289,0.9037,0.62,0.8365,1.0396,0.9381,0.9109,0.8828,0.8968,0.6296,0.7192,0.6744
29.2,-0.2933,0.8863,0.6141,0.8159,1.0536,0.9348,0.8924,0.8935,0.8929,0.6142,0.7013,0.6577
29.3,-0.3569,0.8668,0.6047,0.7942,1.0658,0.93,0.8691,0.9006,0.8849,0.6013,0.6839,0.6426
29.4,-0.4174,0.8466,0.5926,0.7724,1.0759,0.9242,0.8425,0.9042,0.8733,0.5909,0.6672,0.6291
29.5,-0.4729,0.8271,0.5774,0.7509,1.0838,0.9174,0.8136,0.9038,0.8587,0.5829,0.6507,0.6168
29.6,-0.5217,0.8093,0.5593,0.7296,1.0889,0.9092,0.7832,0.8985,0.8408,0.5773,0.6337,0.6055
29.7,-0.5622,0.7935,0.5388,0.7081,1.09,0.899,0.752,0.8876,0.8198,0.5741,0.6167,0.5954
29.8,-0.5932,0.7797,0.5175,0.6863,1.0864,0.8863,0.7209,0.8716,0.7963,0.5733,0.6007,0.587
29.9,-0.6137,0.768,0.4977,0.6648,1.0781,0.8715,0.691,0.8522,0.7716,0.575,0.5867,0.5809
