Time,Unicef - Global Parents Tax Appeal (Emotional) 60 TVC,Unicef - Global Parents Tax Appeal (Emotional) 60 TVC,Unicef - Global Parents Tax Appeal (Emotional) 60 TVC,Unicef - Global Parents Tax Appeal (Emotional) 60 TVC,Unicef - Global Parents Tax Appeal (Emotional) 60 TVC,Unicef - Global Parents Tax Appeal (Emotional) 60 TVC,Unicef - Global Parents Tax Appeal (Emotional) 60 TVC,Unicef - Global Parents Tax Appeal (Emotional) 60 TVC,Unicef - Global Parents Tax Appeal (Emotional) 60 TVC,Unicef - Global Parents Tax Appeal (Emotional) 60 TVC,Unicef - Global Parents Tax Appeal (Emotional) 60 TVC,Unicef - Global Parents Tax Appeal (Emotional) 60 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
58.1,-0.0658,0.5673,0.8222,0.5224,0.5712,0.5468,0.2487,0.5815,0.4151,0.5402,0.6141,0.5771
58.2,-0.099,0.5525,0.8287,0.5119,0.5596,0.5358,0.2481,0.5776,0.4129,0.5352,0.6238,0.5795
58.3,-0.1315,0.5357,0.838,0.5019,0.5459,0.5239,0.2517,0.5739,0.4128,0.5357,0.6379,0.5868
58.4,-0.1613,0.5185,0.8501,0.4931,0.5311,0.5121,0.2589,0.571,0.4149,0.5416,0.6559,0.5988
58.5,-0.1875,0.5022,0.8642,0.4859,0.5162,0.501,0.269,0.5691,0.4191,0.5526,0.677,0.6148
58.6,-0.211,0.4875,0.8799,0.4796,0.5025,0.4911,0.2818,0.568,0.4249,0.5679,0.7,0.6339
58.7,-0.2327,0.4746,0.8967,0.4741,0.4912,0.4826,0.2971,0.5676,0.4324,0.5865,0.724,0.6552
58.8,-0.2526,0.4635,0.9144,0.4694,0.4831,0.4762,0.3144,0.5679,0.4411,0.6071,0.7483,0.6777
58.9,-0.2699,0.4542,0.9325,0.4659,0.4781,0.472,0.3331,0.5683,0.4507,0.6283,0.7724,0.7003
59,-0.2849,0.4466,0.9503,0.4637,0.476,0.4698,0.3527,0.5684,0.4605,0.6497,0.7957,0.7227
59.1,-0.298,0.4406,0.9672,0.4619,0.4765,0.4692,0.3729,0.568,0.4704,0.6709,0.818,0.7444
59.2,-0.3095,0.4357,0.9825,0.46,0.4793,0.4697,0.3937,0.5671,0.4804,0.6911,0.8384,0.7648
59.3,-0.3184,0.4314,0.996,0.4579,0.4836,0.4707,0.415,0.5657,0.4904,0.7099,0.856,0.783
59.4,-0.3237,0.4277,1.0078,0.4558,0.489,0.4724,0.4369,0.5641,0.5005,0.7268,0.8708,0.7988
59.5,-0.3257,0.425,1.0185,0.4549,0.4962,0.4755,0.46,0.563,0.5115,0.7427,0.8831,0.8129
59.6,-0.3245,0.4237,1.0285,0.4559,0.5059,0.4809,0.4847,0.5636,0.5241,0.7584,0.8938,0.8261
59.7,-0.3195,0.4242,1.0379,0.4593,0.5188,0.489,0.5118,0.5664,0.5391,0.7741,0.9031,0.8386
59.8,-0.3094,0.4258,1.0462,0.4651,0.5346,0.4999,0.5411,0.5716,0.5563,0.7896,0.9105,0.8501
59.9,-0.2929,0.4284,1.053,0.4734,0.5531,0.5133,0.5726,0.5793,0.5759,0.8043,0.9154,0.8599
