Time,Volvo - XC90 30 TVC,Volvo - XC90 30 TVC,Volvo - XC90 30 TVC,Volvo - XC90 30 TVC,Volvo - XC90 30 TVC,Volvo - XC90 30 TVC,Volvo - XC90 30 TVC,Volvo - XC90 30 TVC,Volvo - XC90 30 TVC,Volvo - XC90 30 TVC,Volvo - XC90 30 TVC,Volvo - XC90 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
24.9,0.4353,0.2397,0.4333,0.3986,0.3638,0.3812,0.5825,0.5545,0.5685,0.5,0.6311,0.5655
25,0.4377,0.2333,0.434,0.3934,0.3638,0.3786,0.573,0.5563,0.5646,0.4972,0.6207,0.5589
25.1,0.4352,0.2322,0.4379,0.3925,0.3707,0.3816,0.5648,0.5597,0.5622,0.4981,0.6143,0.5562
25.2,0.4261,0.2366,0.4442,0.3949,0.3843,0.3896,0.5579,0.5643,0.5611,0.5017,0.6116,0.5566
25.3,0.4093,0.2463,0.452,0.4003,0.4033,0.4018,0.5525,0.5692,0.5608,0.5072,0.6122,0.5597
25.4,0.3843,0.2612,0.4604,0.4087,0.4258,0.4173,0.5488,0.5737,0.5612,0.5142,0.6161,0.5652
25.5,0.3511,0.2811,0.4689,0.4199,0.4497,0.4348,0.5473,0.577,0.5621,0.5232,0.6235,0.5733
25.6,0.3109,0.3055,0.4772,0.4333,0.473,0.4531,0.5481,0.5785,0.5633,0.5344,0.6343,0.5844
25.7,0.2652,0.3332,0.4851,0.448,0.4945,0.4712,0.5512,0.5785,0.5649,0.5481,0.6485,0.5983
25.8,0.2166,0.3625,0.4921,0.463,0.5133,0.4882,0.5562,0.5774,0.5668,0.5638,0.6658,0.6148
25.9,0.1685,0.3918,0.4982,0.4777,0.5289,0.5033,0.563,0.5757,0.5693,0.5808,0.6856,0.6332
26,0.1244,0.4198,0.5033,0.492,0.5407,0.5163,0.5711,0.5731,0.5721,0.5979,0.7069,0.6524
26.1,0.0868,0.4452,0.507,0.5053,0.5476,0.5265,0.5802,0.5689,0.5745,0.6139,0.7283,0.6711
26.2,0.0576,0.4667,0.509,0.5166,0.5491,0.5328,0.5892,0.5624,0.5758,0.6284,0.7486,0.6885
26.3,0.0367,0.4838,0.5087,0.5248,0.5451,0.535,0.5972,0.5533,0.5753,0.6413,0.7671,0.7042
26.4,0.0229,0.4961,0.5065,0.5296,0.5366,0.5331,0.603,0.5417,0.5724,0.6533,0.7841,0.7187
26.5,0.0145,0.5041,0.5024,0.5312,0.5247,0.528,0.606,0.5281,0.567,0.6651,0.8005,0.7328
26.6,0.0098,0.5084,0.4969,0.5306,0.5106,0.5206,0.6064,0.5129,0.5597,0.6774,0.8169,0.7471
26.7,0.0079,0.5092,0.4905,0.5285,0.4951,0.5118,0.6045,0.497,0.5508,0.69,0.8334,0.7617
26.8,0.0079,0.5064,0.4834,0.5252,0.4782,0.5017,0.6006,0.4806,0.5406,0.7027,0.8494,0.776
26.9,0.0094,0.5003,0.4757,0.521,0.4598,0.4904,0.5944,0.4637,0.5291,0.7147,0.8642,0.7895
27,0.0125,0.4915,0.4672,0.5162,0.4398,0.478,0.5856,0.4464,0.516,0.7258,0.8776,0.8017
27.1,0.0173,0.4807,0.4581,0.5109,0.4187,0.4648,0.5739,0.4284,0.5012,0.7357,0.8898,0.8128
27.2,0.0239,0.4687,0.449,0.5054,0.3975,0.4515,0.5592,0.4097,0.4845,0.7448,0.9009,0.8228
27.3,0.0317,0.4559,0.4402,0.5,0.3773,0.4386,0.5414,0.3905,0.466,0.7536,0.9107,0.8322
27.4,0.04,0.4427,0.4321,0.4949,0.3589,0.4269,0.5209,0.3709,0.4459,0.7624,0.9192,0.8408
27.5,0.0489,0.4297,0.4253,0.4907,0.3431,0.4169,0.4978,0.3514,0.4246,0.7714,0.9261,0.8488
27.6,0.0589,0.4173,0.4201,0.4878,0.3303,0.4091,0.473,0.3328,0.4029,0.7807,0.9315,0.8561
27.7,0.071,0.4061,0.4166,0.4872,0.3203,0.4037,0.447,0.3161,0.3815,0.7902,0.936,0.8631
27.8,0.0857,0.396,0.4151,0.4893,0.3131,0.4012,0.4208,0.3021,0.3614,0.8004,0.9399,0.8701
27.9,0.1027,0.3872,0.4161,0.4945,0.3088,0.4017,0.3958,0.2912,0.3435,0.8117,0.9437,0.8777
28,0.1215,0.3801,0.4197,0.5035,0.3081,0.4058,0.3733,0.2838,0.3285,0.825,0.9479,0.8864
28.1,0.1418,0.3757,0.4265,0.5164,0.3114,0.4139,0.355,0.2803,0.3176,0.8412,0.9532,0.8972
28.2,0.1633,0.3745,0.4371,0.5333,0.3188,0.426,0.3421,0.281,0.3116,0.8614,0.9596,0.9105
28.3,0.1854,0.3769,0.4511,0.5535,0.33,0.4418,0.3345,0.2863,0.3104,0.8851,0.9661,0.9256
28.4,0.2067,0.3826,0.4674,0.5768,0.3447,0.4607,0.3312,0.2954,0.3133,0.9099,0.9705,0.9402
28.5,0.2262,0.3915,0.484,0.6025,0.362,0.4823,0.3311,0.3071,0.3191,0.9332,0.9711,0.9522
28.6,0.2439,0.404,0.4999,0.6303,0.3808,0.5055,0.3335,0.3204,0.327,0.9531,0.9672,0.9601
28.7,0.2605,0.4206,0.515,0.66,0.4001,0.5301,0.3385,0.3349,0.3367,0.9688,0.9589,0.9639
28.8,0.2772,0.4413,0.5294,0.6911,0.4192,0.5552,0.3458,0.3502,0.348,0.9801,0.9466,0.9634
28.9,0.2942,0.4653,0.5428,0.7222,0.437,0.5796,0.3545,0.3654,0.3599,0.9866,0.9303,0.9585
29,0.3113,0.4912,0.5546,0.7514,0.4529,0.6021,0.3632,0.3797,0.3714,0.9877,0.9098,0.9487
29.1,0.3278,0.5176,0.5647,0.7774,0.4662,0.6218,0.3709,0.3926,0.3817,0.983,0.8851,0.934
29.2,0.3432,0.5439,0.5734,0.7997,0.4765,0.6381,0.3769,0.4038,0.3904,0.9727,0.8568,0.9148
29.3,0.358,0.5694,0.5811,0.8185,0.4835,0.651,0.3813,0.4133,0.3973,0.9573,0.8257,0.8915
29.4,0.3729,0.5934,0.5877,0.8335,0.4867,0.6601,0.3837,0.4209,0.4023,0.9369,0.7925,0.8647
29.5,0.3879,0.6148,0.5928,0.844,0.486,0.665,0.3837,0.4267,0.4052,0.912,0.758,0.835
29.6,0.4021,0.6329,0.5966,0.8495,0.4817,0.6656,0.3811,0.4305,0.4058,0.8838,0.7235,0.8037
29.7,0.4139,0.6476,0.5994,0.8502,0.4744,0.6623,0.3754,0.4324,0.4039,0.854,0.6907,0.7723
29.8,0.4228,0.6585,0.602,0.8466,0.4642,0.6554,0.3671,0.4325,0.3998,0.8246,0.661,0.7428
29.9,0.4297,0.6652,0.6046,0.8391,0.4508,0.645,0.357,0.4311,0.3941,0.7969,0.6352,0.7161
