Time,Samsung S22 Ultra 30 TVC,Samsung S22 Ultra 30 TVC,Samsung S22 Ultra 30 TVC,Samsung S22 Ultra 30 TVC,Samsung S22 Ultra 30 TVC,Samsung S22 Ultra 30 TVC,Samsung S22 Ultra 30 TVC,Samsung S22 Ultra 30 TVC,Samsung S22 Ultra 30 TVC,Samsung S22 Ultra 30 TVC,Samsung S22 Ultra 30 TVC,Samsung S22 Ultra 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.0149,0.8614,0.8059,0.8014,0.8677,0.8345,0.7793,0.9302,0.8548,0.7284,0.855,0.7917
0.1,0.0056,0.8462,0.819,0.7855,0.8673,0.8264,0.7989,0.9336,0.8662,0.7445,0.849,0.7968
0.2,-0.0108,0.8307,0.8303,0.767,0.8671,0.817,0.8181,0.934,0.8761,0.7583,0.8402,0.7993
0.3,-0.0334,0.8145,0.8391,0.7458,0.8658,0.8058,0.8363,0.9309,0.8836,0.7692,0.8282,0.7987
0.4,-0.06,0.7971,0.8457,0.7224,0.8626,0.7925,0.8535,0.9238,0.8886,0.7769,0.8133,0.7951
0.5,-0.0879,0.7787,0.8506,0.6976,0.8565,0.7771,0.8696,0.9125,0.891,0.7809,0.796,0.7884
0.6,-0.1149,0.7593,0.8543,0.6724,0.8473,0.7598,0.884,0.8961,0.8901,0.7808,0.7769,0.7788
0.7,-0.1395,0.739,0.8561,0.6471,0.8349,0.741,0.8956,0.8731,0.8844,0.7767,0.7559,0.7663
0.8,-0.1604,0.7181,0.8549,0.6216,0.8196,0.7206,0.9041,0.8422,0.8731,0.769,0.7332,0.7511
0.9,-0.1764,0.6968,0.8501,0.596,0.8016,0.6988,0.9095,0.8038,0.8566,0.7582,0.7092,0.7337
1,-0.1861,0.6754,0.8414,0.5707,0.7817,0.6762,0.9121,0.7596,0.8359,0.7449,0.6847,0.7148
1.1,-0.1881,0.6544,0.8295,0.5461,0.7603,0.6532,0.9122,0.7112,0.8117,0.7296,0.661,0.6953
1.2,-0.1816,0.6336,0.8148,0.5228,0.7375,0.6302,0.9096,0.6601,0.7849,0.713,0.6386,0.6758
1.3,-0.1657,0.6127,0.7972,0.5015,0.7131,0.6073,0.9039,0.6072,0.7556,0.6954,0.618,0.6567
1.4,-0.1405,0.5913,0.7767,0.4824,0.6867,0.5846,0.895,0.554,0.7245,0.6767,0.5994,0.6381
1.5,-0.1071,0.5695,0.7536,0.4657,0.6583,0.562,0.8829,0.5023,0.6926,0.6571,0.583,0.62
1.6,-0.0674,0.5476,0.7282,0.4515,0.6281,0.5398,0.8676,0.4543,0.6609,0.6367,0.5689,0.6028
1.7,-0.0239,0.5258,0.701,0.4395,0.5964,0.5179,0.849,0.4113,0.6301,0.6162,0.5575,0.5869
1.8,0.0208,0.5045,0.6719,0.4295,0.5637,0.4966,0.8276,0.3734,0.6005,0.5961,0.5487,0.5724
1.9,0.0647,0.4838,0.6417,0.4213,0.5304,0.4759,0.8041,0.341,0.5726,0.5766,0.542,0.5593
2,0.1064,0.4638,0.6115,0.4152,0.4973,0.4563,0.7799,0.3147,0.5473,0.5576,0.5372,0.5474
2.1,0.1447,0.4449,0.5832,0.4115,0.4658,0.4387,0.7564,0.2952,0.5258,0.5394,0.5344,0.5369
2.2,0.1783,0.4272,0.5592,0.4101,0.4371,0.4236,0.735,0.2833,0.5091,0.5224,0.5339,0.5282
2.3,0.2057,0.4106,0.5414,0.4107,0.4118,0.4113,0.7163,0.2793,0.4978,0.5076,0.536,0.5218
2.4,0.2257,0.395,0.5307,0.4122,0.3899,0.4011,0.7006,0.2833,0.492,0.4951,0.5407,0.5179
2.5,0.2378,0.3801,0.5273,0.4141,0.3712,0.3926,0.688,0.2953,0.4916,0.4847,0.5477,0.5162
2.6,0.2422,0.3661,0.5308,0.4163,0.3558,0.386,0.6783,0.3147,0.4965,0.4765,0.5568,0.5167
2.7,0.2396,0.3535,0.5408,0.4191,0.3442,0.3817,0.6715,0.3407,0.5061,0.4708,0.5681,0.5194
2.8,0.2306,0.3433,0.5574,0.4233,0.3373,0.3803,0.6671,0.3721,0.5196,0.4683,0.5818,0.5251
2.9,0.2157,0.3365,0.5801,0.4291,0.3351,0.3821,0.6651,0.407,0.5361,0.4699,0.5983,0.5341
3,0.1954,0.3338,0.6083,0.4368,0.3377,0.3872,0.6655,0.4436,0.5546,0.4757,0.6174,0.5465
3.1,0.1696,0.3358,0.6407,0.4462,0.3448,0.3955,0.6682,0.481,0.5746,0.4854,0.6384,0.5619
3.2,0.1387,0.3427,0.6755,0.4574,0.356,0.4067,0.673,0.5183,0.5956,0.4979,0.66,0.579
3.3,0.1032,0.3544,0.7109,0.4706,0.3702,0.4204,0.6791,0.5544,0.6167,0.512,0.6806,0.5963
3.4,0.0639,0.3707,0.7455,0.4853,0.3862,0.4358,0.6859,0.5873,0.6366,0.5265,0.6984,0.6125
3.5,0.0219,0.3913,0.779,0.5012,0.4022,0.4517,0.6935,0.6153,0.6544,0.5404,0.7128,0.6266
3.6,-0.0219,0.4162,0.811,0.5181,0.417,0.4676,0.7015,0.6374,0.6694,0.5532,0.7239,0.6386
3.7,-0.0662,0.4462,0.8412,0.5367,0.4308,0.4837,0.7098,0.6535,0.6817,0.5647,0.7324,0.6486
3.8,-0.1094,0.4826,0.8692,0.5581,0.4448,0.5015,0.7184,0.6649,0.6916,0.5749,0.7385,0.6567
3.9,-0.1498,0.5261,0.8942,0.5838,0.4605,0.5222,0.7266,0.6728,0.6997,0.5828,0.7421,0.6625
4,-0.1864,0.5767,0.9157,0.6141,0.479,0.5465,0.7338,0.6785,0.7061,0.5881,0.7425,0.6653
4.1,-0.2183,0.6331,0.9338,0.6481,0.5005,0.5743,0.7392,0.6834,0.7113,0.5903,0.7394,0.6648
4.2,-0.2451,0.6927,0.9488,0.6845,0.5246,0.6045,0.7426,0.6887,0.7157,0.5887,0.7326,0.6607
4.3,-0.2662,0.753,0.9614,0.7223,0.5507,0.6365,0.7439,0.6954,0.7196,0.5828,0.7222,0.6525
4.4,-0.2815,0.8111,0.9719,0.7605,0.5781,0.6693,0.7427,0.7037,0.7232,0.5717,0.708,0.6399
4.5,-0.2908,0.8645,0.98,0.7979,0.6061,0.702,0.7392,0.713,0.7261,0.5554,0.6899,0.6226
4.6,-0.2947,0.9114,0.9854,0.8332,0.634,0.7336,0.7338,0.723,0.7284,0.5341,0.6677,0.6009
4.7,-0.2942,0.9513,0.9883,0.8656,0.6608,0.7632,0.7265,0.7336,0.7301,0.5083,0.6417,0.575
4.8,-0.2903,0.9841,0.989,0.8945,0.6859,0.7902,0.7174,0.7448,0.7311,0.479,0.612,0.5455
4.9,-0.2847,1.01,0.9882,0.9188,0.7088,0.8138,0.7061,0.7564,0.7312,0.4476,0.5788,0.5132
5,-0.2789,1.0294,0.9863,0.9376,0.7291,0.8334,0.6927,0.7682,0.7305,0.416,0.5429,0.4794
5.1,-0.2735,1.0428,0.9838,0.9501,0.7469,0.8485,0.678,0.7805,0.7293,0.3861,0.5054,0.4458
5.2,-0.2683,1.051,0.9815,0.9564,0.7622,0.8593,0.663,0.7935,0.7283,0.3593,0.4682,0.4138
5.3,-0.2621,1.0548,0.9804,0.9574,0.775,0.8662,0.6483,0.8076,0.7279,0.3365,0.4333,0.3849
5.4,-0.2538,1.0545,0.9806,0.9539,0.7851,0.8695,0.6341,0.822,0.7281,0.3188,0.4025,0.3607
5.5,-0.2432,1.0501,0.982,0.946,0.792,0.869,0.6203,0.8359,0.7281,0.3074,0.3778,0.3426
5.6,-0.231,1.0416,0.9836,0.9331,0.7951,0.8641,0.6071,0.8479,0.7275,0.3027,0.3607,0.3317
5.7,-0.2184,1.0292,0.9839,0.9148,0.7945,0.8546,0.595,0.8574,0.7262,0.3047,0.3529,0.3288
5.8,-0.2056,1.0134,0.9812,0.8919,0.7906,0.8413,0.5847,0.8636,0.7241,0.3133,0.3547,0.334
5.9,-0.1923,0.9948,0.9742,0.8664,0.7843,0.8253,0.5773,0.8659,0.7216,0.3289,0.3655,0.3472
6,-0.1784,0.9738,0.9624,0.8399,0.7761,0.808,0.5735,0.8639,0.7187,0.3525,0.3847,0.3686
6.1,-0.1642,0.9509,0.9464,0.8131,0.7664,0.7897,0.5737,0.858,0.7158,0.3848,0.4112,0.398
6.2,-0.1506,0.9266,0.9275,0.7864,0.7554,0.7709,0.5777,0.8492,0.7135,0.4251,0.4429,0.434
6.3,-0.1379,0.9017,0.9066,0.7601,0.7433,0.7517,0.5852,0.8389,0.712,0.4715,0.4769,0.4742
6.4,-0.1261,0.8773,0.8843,0.7349,0.7304,0.7327,0.5952,0.8278,0.7115,0.5207,0.5102,0.5155
6.5,-0.1145,0.854,0.8613,0.7117,0.7171,0.7144,0.6066,0.8165,0.7116,0.57,0.5404,0.5552
6.6,-0.1024,0.8324,0.8381,0.6909,0.7038,0.6974,0.618,0.805,0.7115,0.6172,0.5664,0.5918
6.7,-0.0898,0.8128,0.8158,0.6727,0.6909,0.6818,0.6286,0.7934,0.711,0.6612,0.5879,0.6246
6.8,-0.077,0.7956,0.7955,0.6569,0.6788,0.6679,0.6379,0.7818,0.7099,0.7014,0.6054,0.6534
6.9,-0.0637,0.7809,0.7777,0.6438,0.6676,0.6557,0.646,0.7705,0.7082,0.7371,0.6193,0.6782
7,-0.0493,0.769,0.7622,0.6333,0.6578,0.6455,0.6528,0.7599,0.7064,0.7677,0.6303,0.699
7.1,-0.0333,0.76,0.7487,0.6255,0.6493,0.6374,0.6587,0.7504,0.7045,0.7925,0.6384,0.7155
7.2,-0.0151,0.7538,0.7369,0.6202,0.6419,0.6311,0.6637,0.7422,0.7029,0.8113,0.6437,0.7275
7.3,0.0051,0.7498,0.7263,0.617,0.6354,0.6262,0.6679,0.7352,0.7015,0.8242,0.6462,0.7352
7.4,0.0267,0.7476,0.7172,0.6154,0.629,0.6222,0.6713,0.7293,0.7003,0.832,0.6461,0.7391
7.5,0.0488,0.7465,0.7091,0.6148,0.6223,0.6185,0.6743,0.724,0.6992,0.8353,0.6444,0.7398
7.6,0.071,0.7464,0.7021,0.615,0.6147,0.6148,0.6768,0.719,0.6979,0.8346,0.6419,0.7383
7.7,0.0932,0.747,0.6957,0.6162,0.606,0.6111,0.6789,0.714,0.6964,0.8303,0.6394,0.7348
7.8,0.1155,0.7477,0.6898,0.6188,0.5961,0.6074,0.6804,0.7088,0.6946,0.8228,0.6369,0.7299
7.9,0.1378,0.7484,0.6841,0.6229,0.5851,0.604,0.6815,0.7037,0.6926,0.8125,0.6345,0.7235
8,0.1592,0.7489,0.6786,0.6284,0.5733,0.6008,0.6819,0.6989,0.6904,0.7995,0.6319,0.7157
8.1,0.1787,0.7491,0.673,0.6346,0.5608,0.5977,0.6815,0.6944,0.688,0.7843,0.6293,0.7068
8.2,0.195,0.7495,0.6672,0.6409,0.5481,0.5945,0.6803,0.6903,0.6853,0.7671,0.6267,0.6969
8.3,0.2078,0.7503,0.661,0.6471,0.5356,0.5913,0.6784,0.6863,0.6824,0.7477,0.6243,0.686
8.4,0.2173,0.7517,0.654,0.6531,0.5234,0.5882,0.6762,0.6824,0.6793,0.7259,0.6223,0.6741
8.5,0.2248,0.7536,0.6465,0.6592,0.5113,0.5853,0.6738,0.6787,0.6763,0.7016,0.6207,0.6611
8.6,0.231,0.7557,0.6386,0.6659,0.4993,0.5826,0.6716,0.6757,0.6737,0.6751,0.6198,0.6475
8.7,0.236,0.7577,0.6304,0.6726,0.4877,0.5802,0.6696,0.6737,0.6717,0.6473,0.6195,0.6334
8.8,0.2387,0.7595,0.6218,0.6787,0.4766,0.5776,0.668,0.6731,0.6706,0.6194,0.6194,0.6194
8.9,0.2374,0.761,0.6131,0.6828,0.4667,0.5748,0.6667,0.6745,0.6706,0.5927,0.6189,0.6058
9,0.2309,0.7619,0.6049,0.6839,0.4586,0.5713,0.6658,0.6781,0.672,0.5682,0.6177,0.593
9.1,0.2187,0.7618,0.5975,0.6812,0.4529,0.567,0.6652,0.6838,0.6745,0.5468,0.6155,0.5812
9.2,0.2015,0.7601,0.5913,0.6741,0.4495,0.5618,0.6648,0.691,0.6779,0.5293,0.612,0.5707
9.3,0.1802,0.7561,0.5865,0.6621,0.4481,0.5551,0.6643,0.6997,0.682,0.5162,0.607,0.5616
9.4,0.1558,0.7496,0.5832,0.6448,0.4482,0.5465,0.6639,0.7098,0.6868,0.5074,0.6005,0.5539
