Time,ING - Do Your Thing Linda 30 TVC,ING - Do Your Thing Linda 30 TVC,ING - Do Your Thing Linda 30 TVC,ING - Do Your Thing Linda 30 TVC,ING - Do Your Thing Linda 30 TVC,ING - Do Your Thing Linda 30 TVC,ING - Do Your Thing Linda 30 TVC,ING - Do Your Thing Linda 30 TVC,ING - Do Your Thing Linda 30 TVC,ING - Do Your Thing Linda 30 TVC,ING - Do Your Thing Linda 30 TVC,ING - Do Your Thing Linda 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
3.2,-0.0618,0.5273,0.4089,0.5816,0.4711,0.5263,0.4176,0.3834,0.4005,0.2628,0.3042,0.2835
3.3,-0.086,0.5174,0.4073,0.5745,0.4588,0.5167,0.4193,0.3718,0.3955,0.2675,0.3096,0.2886
3.4,-0.1086,0.5079,0.4096,0.5673,0.4511,0.5092,0.4218,0.3636,0.3927,0.275,0.3169,0.296
3.5,-0.13,0.4997,0.4158,0.5608,0.4482,0.5045,0.425,0.3584,0.3917,0.2847,0.3259,0.3053
3.6,-0.1503,0.4935,0.426,0.556,0.45,0.503,0.4285,0.3565,0.3925,0.2967,0.3365,0.3166
3.7,-0.1691,0.4898,0.4402,0.5536,0.4565,0.5051,0.4322,0.3576,0.3949,0.3114,0.3489,0.3301
3.8,-0.1865,0.4885,0.4587,0.5538,0.4679,0.5108,0.4356,0.3614,0.3985,0.3285,0.363,0.3457
3.9,-0.2029,0.4896,0.4812,0.5565,0.4838,0.5202,0.4386,0.3672,0.4029,0.3474,0.3783,0.3629
4,-0.2191,0.493,0.5073,0.5617,0.5038,0.5328,0.4411,0.3745,0.4078,0.3671,0.3945,0.3808
4.1,-0.2356,0.4986,0.5365,0.5692,0.5267,0.5479,0.4429,0.3829,0.4129,0.3866,0.4111,0.3988
4.2,-0.2529,0.5065,0.5681,0.5787,0.5509,0.5648,0.4434,0.3924,0.4179,0.4056,0.428,0.4168
4.3,-0.2713,0.5164,0.6011,0.5898,0.5751,0.5824,0.4421,0.4024,0.4222,0.4237,0.4449,0.4343
4.4,-0.2907,0.5278,0.6347,0.6018,0.5984,0.6001,0.4389,0.4125,0.4257,0.4403,0.4613,0.4508
4.5,-0.3111,0.5402,0.668,0.6143,0.6204,0.6174,0.4343,0.4223,0.4283,0.4544,0.4765,0.4655
4.6,-0.3319,0.553,0.6999,0.6269,0.6403,0.6336,0.4286,0.4319,0.4303,0.4654,0.4901,0.4777
4.7,-0.3525,0.5655,0.7293,0.6387,0.6574,0.6481,0.4218,0.4415,0.4316,0.4728,0.5019,0.4874
4.8,-0.3727,0.5766,0.755,0.6484,0.671,0.6597,0.4131,0.4508,0.432,0.4765,0.5121,0.4943
4.9,-0.3925,0.5855,0.7763,0.6544,0.6803,0.6673,0.4021,0.4595,0.4308,0.4762,0.52,0.4981
5,-0.4119,0.5913,0.7926,0.6552,0.6845,0.6698,0.3888,0.4671,0.4279,0.4718,0.5249,0.4984
5.1,-0.4311,0.5936,0.8033,0.6502,0.6826,0.6664,0.3743,0.4736,0.4239,0.4638,0.5266,0.4952
5.2,-0.4494,0.5926,0.8083,0.6399,0.6745,0.6572,0.3605,0.4794,0.4199,0.4529,0.5254,0.4892
5.3,-0.4657,0.5891,0.808,0.6255,0.6604,0.643,0.3485,0.4849,0.4167,0.4403,0.5222,0.4812
5.4,-0.4784,0.5837,0.8031,0.6087,0.641,0.6249,0.3388,0.4908,0.4148,0.4267,0.5178,0.4722
5.5,-0.4869,0.5766,0.794,0.5906,0.617,0.6038,0.3313,0.497,0.4141,0.4125,0.5126,0.4626
5.6,-0.491,0.5682,0.7813,0.5717,0.5888,0.5802,0.3257,0.5035,0.4146,0.3979,0.507,0.4525
5.7,-0.4907,0.559,0.7654,0.5525,0.5572,0.5549,0.3217,0.5099,0.4158,0.3832,0.5012,0.4422
5.8,-0.4858,0.5496,0.7466,0.5333,0.5233,0.5283,0.3192,0.5157,0.4174,0.3688,0.4956,0.4322
5.9,-0.4768,0.5404,0.7254,0.5145,0.4886,0.5015,0.3178,0.5201,0.419,0.3552,0.4905,0.4228
6,-0.4642,0.5311,0.7019,0.4964,0.4544,0.4754,0.3171,0.5225,0.4198,0.3426,0.4854,0.414
6.1,-0.4481,0.5217,0.6761,0.4794,0.4222,0.4508,0.3169,0.5225,0.4197,0.331,0.4797,0.4053
6.2,-0.428,0.5123,0.6483,0.464,0.3934,0.4287,0.3169,0.5202,0.4185,0.32,0.4729,0.3964
6.3,-0.4036,0.5035,0.6184,0.4507,0.3685,0.4096,0.3173,0.5157,0.4165,0.3099,0.4643,0.3871
6.4,-0.3741,0.4961,0.5867,0.4398,0.3475,0.3936,0.3181,0.509,0.4136,0.3011,0.4537,0.3774
6.5,-0.3396,0.4903,0.5537,0.4311,0.3299,0.3805,0.3194,0.4997,0.4095,0.2943,0.4414,0.3678
6.6,-0.3007,0.4863,0.52,0.4246,0.315,0.3698,0.3214,0.4877,0.4045,0.2903,0.4283,0.3593
6.7,-0.2591,0.4842,0.4867,0.4202,0.3025,0.3614,0.3242,0.4733,0.3988,0.2901,0.4153,0.3527
6.8,-0.2159,0.4841,0.4549,0.4185,0.2923,0.3554,0.3284,0.4571,0.3928,0.2945,0.4034,0.349
6.9,-0.1718,0.4862,0.426,0.4197,0.2847,0.3522,0.334,0.4397,0.3868,0.3038,0.3933,0.3485
7,-0.1267,0.4905,0.4012,0.4238,0.2798,0.3518,0.3412,0.4217,0.3815,0.3179,0.3851,0.3515
7.1,-0.0812,0.4969,0.3809,0.4298,0.2777,0.3538,0.3496,0.4042,0.3769,0.3362,0.3789,0.3576
7.2,-0.0364,0.5049,0.3651,0.4368,0.2776,0.3572,0.3588,0.3878,0.3733,0.3577,0.3748,0.3662
7.3,0.0059,0.5138,0.3533,0.4438,0.2786,0.3612,0.3682,0.3731,0.3707,0.3811,0.373,0.377
7.4,0.0444,0.5231,0.345,0.4508,0.2799,0.3654,0.3773,0.3603,0.3688,0.4055,0.3737,0.3896
7.5,0.0775,0.5319,0.3399,0.4577,0.2814,0.3695,0.386,0.3494,0.3677,0.4302,0.3772,0.4037
7.6,0.1047,0.5396,0.3375,0.4644,0.2832,0.3738,0.3941,0.3404,0.3673,0.454,0.3829,0.4185
7.7,0.1252,0.5455,0.3369,0.4703,0.2853,0.3778,0.4017,0.3335,0.3676,0.476,0.3901,0.433
7.8,0.1387,0.5493,0.3373,0.4748,0.2875,0.3811,0.4089,0.3287,0.3688,0.495,0.3983,0.4466
