Time,EnergyAustralia - Brand 30 TVC,EnergyAustralia - Brand 30 TVC,EnergyAustralia - Brand 30 TVC,EnergyAustralia - Brand 30 TVC,EnergyAustralia - Brand 30 TVC,EnergyAustralia - Brand 30 TVC,EnergyAustralia - Brand 30 TVC,EnergyAustralia - Brand 30 TVC,EnergyAustralia - Brand 30 TVC,EnergyAustralia - Brand 30 TVC,EnergyAustralia - Brand 30 TVC,EnergyAustralia - Brand 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.08,0.3581,0.4961,0.4596,0.4055,0.4326,0.5953,0.3877,0.4915,0.4071,0.5376,0.4723
0.1,0.1077,0.3726,0.4892,0.4585,0.4099,0.4342,0.5829,0.3571,0.47,0.3999,0.5342,0.4671
0.2,0.1326,0.3907,0.4822,0.459,0.4177,0.4383,0.572,0.3294,0.4507,0.3939,0.5349,0.4644
0.3,0.1535,0.4115,0.4755,0.4597,0.4283,0.444,0.5622,0.3046,0.4334,0.3891,0.5392,0.4641
0.4,0.1693,0.4337,0.4687,0.4602,0.4406,0.4504,0.5536,0.2826,0.4181,0.3855,0.5454,0.4654
0.5,0.1793,0.4566,0.4613,0.4604,0.4539,0.4571,0.5462,0.2635,0.4049,0.3828,0.5521,0.4675
0.6,0.1833,0.4795,0.4534,0.4613,0.4677,0.4645,0.5408,0.2479,0.3944,0.3812,0.5591,0.4702
0.7,0.1813,0.5019,0.4464,0.4638,0.4817,0.4727,0.5378,0.2363,0.3871,0.3814,0.5666,0.474
0.8,0.174,0.5226,0.4417,0.4676,0.4949,0.4813,0.5373,0.2289,0.3831,0.3841,0.5748,0.4795
0.9,0.1626,0.5403,0.4396,0.472,0.5057,0.4889,0.5383,0.2249,0.3816,0.3898,0.5832,0.4865
1,0.148,0.554,0.4391,0.4761,0.5127,0.4944,0.5401,0.2239,0.382,0.3985,0.5909,0.4947
1.1,0.1319,0.5634,0.4397,0.4794,0.5157,0.4975,0.5427,0.2259,0.3843,0.41,0.5976,0.5038
1.2,0.115,0.5688,0.4413,0.4816,0.515,0.4983,0.5463,0.2319,0.3891,0.4241,0.6034,0.5138
1.3,0.0976,0.5711,0.4443,0.4829,0.5115,0.4972,0.5511,0.2429,0.397,0.4407,0.6082,0.5244
1.4,0.0806,0.5715,0.4485,0.4838,0.5054,0.4946,0.5569,0.2589,0.4079,0.4589,0.6117,0.5353
1.5,0.0642,0.5712,0.4529,0.4846,0.4967,0.4907,0.5631,0.2794,0.4213,0.4776,0.6134,0.5455
1.6,0.0489,0.571,0.4567,0.4862,0.4855,0.4859,0.5697,0.3039,0.4368,0.4961,0.6127,0.5544
1.7,0.0343,0.5716,0.4602,0.4896,0.4726,0.4811,0.5771,0.3325,0.4548,0.514,0.6103,0.5622
1.8,0.0197,0.5735,0.4643,0.4951,0.4597,0.4774,0.586,0.3651,0.4756,0.5316,0.6071,0.5694
1.9,0.0038,0.5767,0.4697,0.5029,0.448,0.4755,0.5967,0.401,0.4988,0.5492,0.6042,0.5767
2,-0.0141,0.5815,0.4767,0.5126,0.4385,0.4756,0.6084,0.4379,0.5231,0.5669,0.6021,0.5845
