Time,Subway - Low n Slow Pulled Pork Sub 15 Client TVC Viewing 2,Subway - Low n Slow Pulled Pork Sub 15 Client TVC Viewing 2,Subway - Low n Slow Pulled Pork Sub 15 Client TVC Viewing 2,Subway - Low n Slow Pulled Pork Sub 15 Client TVC Viewing 2,Subway - Low n Slow Pulled Pork Sub 15 Client TVC Viewing 2,Subway - Low n Slow Pulled Pork Sub 15 Client TVC Viewing 2,Subway - Low n Slow Pulled Pork Sub 15 Client TVC Viewing 2,Subway - Low n Slow Pulled Pork Sub 15 Client TVC Viewing 2,Subway - Low n Slow Pulled Pork Sub 15 Client TVC Viewing 2,Subway - Low n Slow Pulled Pork Sub 15 Client TVC Viewing 2,Subway - Low n Slow Pulled Pork Sub 15 Client TVC Viewing 2,Subway - Low n Slow Pulled Pork Sub 15 Client TVC Viewing 2
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.1665,0.1822,0.185,0.3298,0.3147,0.3222,0.229,0.1322,0.1806,0.4651,0.3479,0.4065
0.1,-0.1942,0.1748,0.2115,0.3096,0.3316,0.3206,0.2444,0.1151,0.1797,0.4587,0.371,0.4148
0.2,-0.2155,0.1685,0.2378,0.29,0.3469,0.3184,0.2596,0.1027,0.1812,0.4542,0.3951,0.4246
0.3,-0.2286,0.163,0.2625,0.2716,0.3589,0.3153,0.2743,0.0945,0.1844,0.4514,0.4189,0.4351
0.4,-0.2329,0.1582,0.285,0.2554,0.3671,0.3112,0.2879,0.0899,0.1889,0.4498,0.4411,0.4454
0.5,-0.2294,0.1538,0.3043,0.2418,0.3715,0.3067,0.2999,0.089,0.1945,0.4492,0.4608,0.455
0.6,-0.2198,0.15,0.3205,0.2307,0.3725,0.3016,0.3098,0.0919,0.2009,0.4492,0.4774,0.4633
0.7,-0.2057,0.1469,0.3339,0.2213,0.37,0.2956,0.3169,0.0988,0.2078,0.4498,0.4907,0.4703
0.8,-0.1885,0.1443,0.3453,0.2128,0.364,0.2884,0.3209,0.1091,0.215,0.4512,0.5006,0.4759
0.9,-0.17,0.1423,0.3552,0.2049,0.3552,0.2801,0.3218,0.122,0.2219,0.4532,0.5071,0.4801
1,-0.1524,0.1409,0.3637,0.198,0.3445,0.2713,0.3201,0.1371,0.2286,0.4556,0.5104,0.483
1.1,-0.1378,0.1399,0.3713,0.1919,0.333,0.2625,0.3164,0.1538,0.2351,0.458,0.5113,0.4847
1.2,-0.1274,0.1393,0.3791,0.1864,0.3215,0.254,0.3109,0.1718,0.2414,0.4602,0.5103,0.4852
1.3,-0.1208,0.1388,0.3887,0.1809,0.3102,0.2456,0.3038,0.1912,0.2475,0.4621,0.5078,0.4849
1.4,-0.1174,0.138,0.4013,0.1754,0.299,0.2372,0.2954,0.2121,0.2537,0.4639,0.5043,0.4841
1.5,-0.1162,0.1368,0.4177,0.17,0.2884,0.2292,0.2865,0.2346,0.2605,0.4658,0.5,0.4829
1.6,-0.1169,0.1355,0.4376,0.1652,0.2788,0.222,0.278,0.2594,0.2687,0.4679,0.4958,0.4819
1.7,-0.1193,0.1337,0.4608,0.1609,0.2708,0.2158,0.2707,0.2865,0.2786,0.4702,0.4923,0.4813
1.8,-0.123,0.1309,0.4869,0.1565,0.2644,0.2104,0.2648,0.3151,0.29,0.4728,0.4901,0.4814
1.9,-0.1272,0.1262,0.5154,0.1511,0.2592,0.2052,0.2606,0.344,0.3023,0.4755,0.4895,0.4825
2,-0.131,0.1196,0.5452,0.1447,0.2547,0.1997,0.2579,0.3722,0.315,0.4783,0.4905,0.4844
2.1,-0.1336,0.1113,0.5743,0.1375,0.251,0.1943,0.2564,0.3989,0.3277,0.4807,0.4924,0.4865
2.2,-0.1346,0.102,0.6006,0.1297,0.2485,0.1891,0.2558,0.4231,0.3395,0.4825,0.4945,0.4885
2.3,-0.134,0.0923,0.6227,0.1213,0.2477,0.1845,0.2556,0.4439,0.3498,0.4836,0.4963,0.4899
2.4,-0.1314,0.0826,0.6397,0.1126,0.249,0.1808,0.2557,0.4604,0.3581,0.4838,0.4974,0.4906
2.5,-0.1263,0.0732,0.6516,0.1042,0.2528,0.1785,0.2558,0.4729,0.3644,0.4828,0.4977,0.4902
2.6,-0.1186,0.0643,0.6586,0.0969,0.2594,0.1781,0.2558,0.4817,0.3688,0.4802,0.4968,0.4885
2.7,-0.1086,0.0569,0.661,0.0911,0.2683,0.1797,0.2553,0.4871,0.3712,0.4754,0.4944,0.4849
2.8,-0.0968,0.0521,0.6588,0.0873,0.2789,0.1831,0.2538,0.4887,0.3713,0.4678,0.4902,0.479
2.9,-0.0829,0.051,0.652,0.0862,0.2902,0.1882,0.2514,0.4864,0.3689,0.4576,0.484,0.4708
3,-0.0666,0.0543,0.6408,0.0885,0.3016,0.1951,0.248,0.4799,0.364,0.4452,0.4757,0.4604
3.1,-0.047,0.0624,0.6254,0.0947,0.3125,0.2036,0.2439,0.4697,0.3568,0.4308,0.4656,0.4482
3.2,-0.0245,0.0751,0.6067,0.1049,0.3228,0.2139,0.2391,0.4568,0.348,0.4152,0.4544,0.4348
3.3,-0.0004,0.0926,0.586,0.1188,0.3329,0.2258,0.2342,0.4428,0.3385,0.3996,0.4432,0.4214
3.4,0.0238,0.1151,0.5649,0.136,0.343,0.2395,0.2297,0.429,0.3293,0.3849,0.4325,0.4087
3.5,0.047,0.1423,0.5446,0.1567,0.3535,0.2551,0.2263,0.416,0.3212,0.3719,0.4224,0.3972
3.6,0.0684,0.1734,0.5259,0.1809,0.3649,0.2729,0.2242,0.4047,0.3144,0.3611,0.4128,0.3869
3.7,0.0871,0.2067,0.509,0.2082,0.3772,0.2927,0.2235,0.3953,0.3094,0.353,0.4035,0.3783
3.8,0.1022,0.2408,0.4943,0.2374,0.3906,0.314,0.2246,0.3881,0.3064,0.3483,0.3945,0.3714
3.9,0.1133,0.2749,0.4815,0.2672,0.4043,0.3358,0.2275,0.3832,0.3054,0.3473,0.386,0.3667
4,0.1209,0.3082,0.4708,0.297,0.4176,0.3573,0.2326,0.3808,0.3067,0.3499,0.3782,0.364
4.1,0.1262,0.34,0.4625,0.3267,0.4299,0.3783,0.24,0.3809,0.3104,0.3556,0.3711,0.3633
4.2,0.1304,0.3693,0.4567,0.356,0.4404,0.3982,0.2493,0.383,0.3162,0.3636,0.3646,0.3641
4.3,0.1337,0.3951,0.4537,0.384,0.4483,0.4162,0.2602,0.3867,0.3234,0.3733,0.3588,0.3661
4.4,0.1365,0.4166,0.4534,0.4094,0.4531,0.4312,0.2721,0.3916,0.3319,0.3843,0.354,0.3692
4.5,0.1392,0.4331,0.4557,0.4309,0.4547,0.4428,0.2848,0.3979,0.3413,0.3965,0.3502,0.3733
4.6,0.1428,0.444,0.4598,0.4478,0.4536,0.4507,0.298,0.4057,0.3519,0.4094,0.3472,0.3783
4.7,0.148,0.4495,0.465,0.4599,0.45,0.455,0.3116,0.4151,0.3634,0.4225,0.3445,0.3835
4.8,0.1542,0.4502,0.4705,0.4672,0.444,0.4556,0.3255,0.4259,0.3757,0.435,0.3421,0.3886
4.9,0.1597,0.4469,0.4761,0.4695,0.4357,0.4526,0.3392,0.4376,0.3884,0.4465,0.3401,0.3933
5,0.1629,0.4399,0.4817,0.4666,0.425,0.4458,0.352,0.4496,0.4008,0.4568,0.339,0.3979
5.1,0.1631,0.4298,0.4878,0.4587,0.4126,0.4356,0.3632,0.4614,0.4123,0.4661,0.3389,0.4025
5.2,0.1604,0.4178,0.4941,0.4466,0.3992,0.4229,0.3722,0.4725,0.4224,0.4738,0.3397,0.4068
5.3,0.1548,0.4051,0.5003,0.4317,0.3858,0.4088,0.3786,0.4832,0.4309,0.4794,0.3406,0.41
5.4,0.1459,0.3931,0.5054,0.4153,0.3731,0.3942,0.382,0.4937,0.4379,0.4819,0.3409,0.4114
5.5,0.1336,0.3824,0.5086,0.3984,0.3615,0.3799,0.3824,0.504,0.4432,0.4812,0.3404,0.4108
5.6,0.1184,0.3734,0.5097,0.3818,0.3515,0.3666,0.3799,0.5141,0.447,0.4775,0.3392,0.4083
5.7,0.1008,0.3667,0.5095,0.3665,0.3439,0.3552,0.375,0.5243,0.4496,0.4713,0.338,0.4047
5.8,0.0816,0.3627,0.5087,0.3537,0.3395,0.3466,0.3685,0.5351,0.4518,0.463,0.3373,0.4001
5.9,0.0613,0.3615,0.5076,0.3437,0.3382,0.3409,0.3608,0.5466,0.4537,0.4529,0.3371,0.395
6,0.0405,0.363,0.5057,0.3366,0.339,0.3378,0.3524,0.558,0.4552,0.4415,0.3374,0.3895
6.1,0.0205,0.3666,0.5026,0.3319,0.3408,0.3363,0.3436,0.5682,0.4559,0.4295,0.3383,0.3839
6.2,0.0032,0.3719,0.4988,0.3298,0.3431,0.3365,0.3354,0.5771,0.4562,0.4179,0.3399,0.3789
6.3,-0.0103,0.3789,0.495,0.3306,0.3467,0.3387,0.329,0.5853,0.4571,0.4081,0.3428,0.3754
6.4,-0.0195,0.388,0.4923,0.3345,0.3521,0.3433,0.3255,0.5932,0.4594,0.4009,0.3473,0.3741
6.5,-0.0237,0.3991,0.4912,0.3416,0.3594,0.3505,0.3253,0.601,0.4632,0.3967,0.3535,0.3751
6.6,-0.0224,0.4118,0.4921,0.352,0.3686,0.3603,0.3286,0.6089,0.4688,0.3958,0.3613,0.3785
6.7,-0.0154,0.4257,0.4954,0.366,0.3792,0.3726,0.3361,0.617,0.4765,0.3977,0.3707,0.3842
6.8,-0.0026,0.4402,0.5014,0.3834,0.3909,0.3872,0.3479,0.6255,0.4867,0.4019,0.3811,0.3915
6.9,0.0161,0.4549,0.5105,0.4038,0.4031,0.4034,0.364,0.6343,0.4991,0.4077,0.3922,0.4
7,0.0403,0.4696,0.5222,0.4264,0.4151,0.4207,0.3834,0.6431,0.5132,0.4147,0.4037,0.4092
7.1,0.0693,0.4841,0.5361,0.4507,0.4265,0.4386,0.4052,0.6513,0.5282,0.4227,0.4152,0.419
7.2,0.102,0.4983,0.5516,0.4766,0.4375,0.457,0.4286,0.6587,0.5436,0.4317,0.4271,0.4294
7.3,0.1364,0.512,0.5689,0.5039,0.4485,0.4762,0.4534,0.6652,0.5593,0.442,0.4396,0.4408
7.4,0.1702,0.5248,0.5881,0.5322,0.4598,0.496,0.479,0.6709,0.5749,0.4536,0.4527,0.4532
7.5,0.2016,0.5364,0.6086,0.5602,0.4711,0.5157,0.5042,0.6752,0.5897,0.4665,0.4662,0.4663
7.6,0.2297,0.546,0.6297,0.5863,0.4816,0.5339,0.5274,0.6777,0.6025,0.4803,0.4796,0.48
7.7,0.2552,0.5533,0.6504,0.6086,0.4915,0.5501,0.5475,0.678,0.6127,0.4949,0.4929,0.4939
7.8,0.2789,0.5579,0.6695,0.6265,0.5013,0.5639,0.5641,0.6763,0.6202,0.5101,0.506,0.508
7.9,0.3014,0.5602,0.686,0.6396,0.511,0.5753,0.577,0.6728,0.6249,0.5255,0.519,0.5223
8,0.3233,0.5605,0.6991,0.6477,0.5201,0.5839,0.5856,0.6667,0.6262,0.5405,0.5316,0.5361
8.1,0.3449,0.5588,0.7083,0.6504,0.5271,0.5888,0.5892,0.6568,0.623,0.5544,0.5431,0.5488
8.2,0.3661,0.5547,0.7133,0.6472,0.5311,0.5891,0.5873,0.6423,0.6148,0.5668,0.5532,0.56
8.3,0.3873,0.5478,0.7138,0.6381,0.5318,0.5849,0.5799,0.6231,0.6015,0.5777,0.5618,0.5698
8.4,0.4085,0.5381,0.7094,0.6242,0.5293,0.5767,0.5674,0.5994,0.5834,0.5874,0.5688,0.5781
8.5,0.4295,0.5262,0.6989,0.6065,0.5237,0.5651,0.55,0.5713,0.5607,0.5953,0.573,0.5842
8.6,0.4496,0.5129,0.6816,0.5863,0.5153,0.5508,0.5281,0.5393,0.5337,0.6005,0.5737,0.5871
8.7,0.4683,0.4984,0.6576,0.5647,0.5038,0.5342,0.5018,0.5038,0.5028,0.6027,0.5705,0.5866
8.8,0.4855,0.4827,0.6282,0.5427,0.4894,0.516,0.4719,0.4654,0.4686,0.6021,0.5642,0.5831
8.9,0.5015,0.466,0.5947,0.5212,0.4724,0.4968,0.4395,0.4247,0.4321,0.5994,0.5559,0.5776
9,0.5173,0.4484,0.5585,0.5007,0.4535,0.4771,0.4057,0.3823,0.394,0.5952,0.5463,0.5708
9.1,0.533,0.4306,0.5201,0.4817,0.433,0.4573,0.3714,0.3386,0.355,0.5897,0.5352,0.5624
9.2,0.5487,0.413,0.48,0.4647,0.411,0.4378,0.3366,0.2938,0.3152,0.5827,0.5216,0.5522
9.3,0.5647,0.3955,0.4392,0.4502,0.3876,0.4189,0.3018,0.2486,0.2752,0.5746,0.5054,0.54
9.4,0.58,0.3782,0.3989,0.439,0.3632,0.4011,0.2685,0.2046,0.2366,0.5659,0.4872,0.5266
9.5,0.5932,0.3618,0.3605,0.4318,0.3388,0.3853,0.2393,0.1638,0.2015,0.5572,0.4682,0.5127
9.6,0.6025,0.3474,0.3254,0.4295,0.3158,0.3726,0.2163,0.128,0.1721,0.5486,0.4493,0.4989
9.7,0.6061,0.3359,0.2944,0.432,0.2954,0.3637,0.1997,0.0981,0.1489,0.5399,0.4311,0.4855
9.8,0.6023,0.327,0.2677,0.4386,0.2781,0.3583,0.1887,0.0746,0.1317,0.5312,0.4142,0.4727
9.9,0.5896,0.3192,0.2454,0.4477,0.2636,0.3557,0.1825,0.0578,0.1201,0.5224,0.3991,0.4607
10,0.5661,0.3113,0.2271,0.4582,0.2522,0.3552,0.1804,0.048,0.1142,0.5141,0.3861,0.4501
10.1,0.5302,0.3035,0.2127,0.4689,0.2448,0.3569,0.1824,0.0451,0.1138,0.5068,0.3752,0.441
10.2,0.482,0.2969,0.2018,0.4792,0.243,0.3611,0.1882,0.0483,0.1182,0.5009,0.3661,0.4335
10.3,0.4231,0.2927,0.1941,0.4882,0.2475,0.3679,0.1968,0.0567,0.1267,0.497,0.3587,0.4278
10.4,0.3566,0.291,0.1893,0.4946,0.2581,0.3763,0.2076,0.0696,0.1386,0.4955,0.3536,0.4245
10.5,0.2861,0.2913,0.1871,0.4971,0.274,0.3855,0.2204,0.0863,0.1533,0.4969,0.351,0.424
10.6,0.2152,0.2936,0.1874,0.4958,0.2944,0.3951,0.2352,0.1062,0.1707,0.5013,0.351,0.4261
10.7,0.1474,0.2986,0.1899,0.4922,0.3191,0.4057,0.2519,0.1284,0.1901,0.5077,0.3526,0.4302
10.8,0.0855,0.3071,0.1944,0.4884,0.3482,0.4183,0.2693,0.1525,0.2109,0.5151,0.3552,0.4351
10.9,0.0317,0.3188,0.2008,0.4855,0.3816,0.4335,0.2869,0.1781,0.2325,0.5227,0.3582,0.4404
11,-0.0136,0.3326,0.2086,0.4834,0.4192,0.4513,0.3047,0.2045,0.2546,0.5307,0.3614,0.4461
11.1,-0.0518,0.3476,0.2178,0.4818,0.4602,0.471,0.3231,0.2311,0.2771,0.5393,0.3651,0.4522
11.2,-0.0848,0.3631,0.2279,0.4808,0.5028,0.4918,0.3424,0.2567,0.2995,0.549,0.369,0.459
11.3,-0.1131,0.3786,0.2385,0.4809,0.5445,0.5127,0.3621,0.2799,0.321,0.5593,0.3723,0.4658
11.4,-0.1366,0.3936,0.2491,0.4831,0.5831,0.5331,0.3815,0.3,0.3408,0.5697,0.3742,0.472
11.5,-0.1549,0.4076,0.26,0.4876,0.6174,0.5525,0.4003,0.3176,0.3589,0.5796,0.3748,0.4772
11.6,-0.1683,0.4209,0.2711,0.4945,0.6471,0.5708,0.4186,0.3336,0.3761,0.5891,0.3743,0.4817
11.7,-0.1777,0.4342,0.2829,0.5034,0.6727,0.5881,0.4371,0.3491,0.3931,0.599,0.3739,0.4864
11.8,-0.1844,0.4482,0.2957,0.5141,0.6946,0.6043,0.4558,0.3644,0.4101,0.6099,0.3741,0.492
11.9,-0.1895,0.4634,0.3101,0.5259,0.713,0.6194,0.4745,0.3794,0.4269,0.6218,0.3753,0.4986
12,-0.1928,0.4796,0.3263,0.5383,0.728,0.6331,0.4927,0.3935,0.4431,0.6346,0.3781,0.5063
12.1,-0.194,0.4958,0.3441,0.5508,0.7394,0.6451,0.5105,0.4062,0.4583,0.648,0.3826,0.5153
12.2,-0.1923,0.5114,0.3629,0.5626,0.7471,0.6549,0.5274,0.4166,0.472,0.6618,0.3889,0.5254
12.3,-0.1876,0.526,0.3823,0.573,0.7514,0.6622,0.5432,0.4245,0.4839,0.6757,0.3967,0.5362
12.4,-0.1804,0.5393,0.402,0.5814,0.7532,0.6673,0.5581,0.4302,0.4941,0.6896,0.4059,0.5478
12.5,-0.1718,0.5512,0.4222,0.588,0.7532,0.6706,0.5725,0.4341,0.5033,0.7034,0.4164,0.5599
12.6,-0.1635,0.5611,0.4432,0.5923,0.7525,0.6724,0.5866,0.4368,0.5117,0.7167,0.4285,0.5726
12.7,-0.1574,0.5682,0.465,0.5939,0.7513,0.6726,0.6004,0.4387,0.5195,0.7286,0.4423,0.5854
12.8,-0.1555,0.5719,0.4866,0.5922,0.7498,0.671,0.6132,0.4396,0.5264,0.7378,0.4572,0.5975
12.9,-0.1577,0.5715,0.507,0.587,0.7474,0.6672,0.6243,0.4398,0.532,0.7435,0.4724,0.6079
13,-0.1629,0.5669,0.5254,0.5785,0.7438,0.6611,0.633,0.4394,0.5362,0.745,0.4869,0.616
13.1,-0.1706,0.5577,0.5411,0.5672,0.7385,0.6528,0.6382,0.4387,0.5385,0.7424,0.5003,0.6214
