Time,SquareSpace 15 TVC,SquareSpace 15 TVC,SquareSpace 15 TVC,SquareSpace 15 TVC,SquareSpace 15 TVC,SquareSpace 15 TVC,SquareSpace 15 TVC,SquareSpace 15 TVC,SquareSpace 15 TVC,SquareSpace 15 TVC,SquareSpace 15 TVC,SquareSpace 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.0006,0.3594,0.7824,0.547,0.2566,0.4018,0.8307,0.7105,0.7706,0.4868,0.5801,0.5335
0.1,0.0185,0.3664,0.7874,0.5535,0.2784,0.416,0.8163,0.7134,0.7649,0.4824,0.582,0.5322
0.2,0.0351,0.3725,0.7934,0.5604,0.3008,0.4306,0.8006,0.7164,0.7585,0.4769,0.5883,0.5326
0.3,0.0508,0.3776,0.7996,0.5679,0.323,0.4454,0.7834,0.718,0.7507,0.4705,0.5985,0.5345
0.4,0.066,0.3817,0.8049,0.5759,0.3444,0.4601,0.7646,0.717,0.7408,0.4632,0.6118,0.5375
0.5,0.0802,0.3846,0.8081,0.5844,0.3644,0.4744,0.7444,0.7128,0.7286,0.455,0.6271,0.5411
0.6,0.093,0.3858,0.8085,0.5931,0.3826,0.4879,0.7231,0.7054,0.7143,0.4461,0.6434,0.5447
0.7,0.1047,0.3852,0.8054,0.6024,0.3984,0.5004,0.7015,0.695,0.6982,0.4369,0.66,0.5485
0.8,0.1164,0.3833,0.7988,0.6126,0.4115,0.5121,0.6806,0.6816,0.6811,0.4285,0.6765,0.5525
0.9,0.1286,0.381,0.7891,0.6247,0.4221,0.5234,0.6614,0.6659,0.6637,0.4216,0.6929,0.5572
1,0.1408,0.3792,0.7765,0.6386,0.4313,0.5349,0.6449,0.6491,0.647,0.4168,0.7088,0.5628
1.1,0.1509,0.3782,0.7618,0.6536,0.4398,0.5467,0.6314,0.6325,0.632,0.4143,0.7241,0.5692
1.2,0.1566,0.3777,0.7451,0.6682,0.4482,0.5582,0.6211,0.6171,0.6191,0.4142,0.7385,0.5763
1.3,0.1562,0.3773,0.7267,0.6811,0.4558,0.5685,0.6135,0.603,0.6083,0.4164,0.7515,0.584
1.4,0.15,0.3768,0.7063,0.6908,0.4619,0.5763,0.6077,0.5903,0.599,0.4207,0.7622,0.5915
1.5,0.139,0.3758,0.684,0.6962,0.4659,0.581,0.6027,0.5786,0.5906,0.4267,0.7696,0.5982
1.6,0.1245,0.3738,0.66,0.6969,0.4671,0.582,0.5979,0.5681,0.583,0.4338,0.7732,0.6035
1.7,0.1077,0.3701,0.6345,0.6929,0.4654,0.5791,0.5932,0.5588,0.576,0.4414,0.7728,0.6071
1.8,0.0895,0.3646,0.6078,0.6846,0.461,0.5728,0.5884,0.5505,0.5695,0.4495,0.7687,0.6091
1.9,0.0712,0.3574,0.5804,0.6722,0.4545,0.5633,0.5831,0.5423,0.5627,0.4583,0.7612,0.6098
2,0.0539,0.3494,0.5528,0.656,0.4462,0.5511,0.5764,0.5334,0.5549,0.4677,0.7506,0.6092
2.1,0.0387,0.3413,0.5258,0.6366,0.4367,0.5366,0.5682,0.5235,0.5458,0.4782,0.7373,0.6078
2.2,0.0261,0.3343,0.5007,0.6146,0.4264,0.5205,0.5587,0.5126,0.5357,0.4902,0.7219,0.606
2.3,0.0165,0.3288,0.4781,0.5909,0.416,0.5035,0.5484,0.501,0.5247,0.5033,0.7049,0.6041
2.4,0.0097,0.3252,0.4582,0.5665,0.4057,0.4861,0.5374,0.4885,0.5129,0.5168,0.6862,0.6015
2.5,0.0061,0.3237,0.4402,0.5424,0.3957,0.4691,0.5255,0.4742,0.4998,0.5301,0.6653,0.5977
2.6,0.006,0.3242,0.4236,0.5199,0.3858,0.4529,0.513,0.4575,0.4853,0.5428,0.6429,0.5929
2.7,0.0102,0.3267,0.4079,0.5002,0.3762,0.4382,0.501,0.4392,0.4701,0.5555,0.6204,0.588
2.8,0.0187,0.3306,0.3937,0.4838,0.3673,0.4255,0.4905,0.4204,0.4554,0.5687,0.6003,0.5845
2.9,0.0303,0.3353,0.3815,0.4701,0.3598,0.4149,0.4823,0.4019,0.4421,0.5825,0.5851,0.5838
3,0.0428,0.34,0.3716,0.4579,0.354,0.406,0.4764,0.384,0.4302,0.596,0.5771,0.5866
3.1,0.0546,0.3442,0.3641,0.4465,0.35,0.3983,0.4716,0.3668,0.4192,0.6082,0.5771,0.5927
3.2,0.0656,0.3482,0.3589,0.4361,0.3472,0.3917,0.4671,0.3503,0.4087,0.6184,0.5854,0.6019
3.3,0.0775,0.3522,0.3557,0.4277,0.3451,0.3864,0.4622,0.3341,0.3982,0.6265,0.6012,0.6138
3.4,0.0921,0.3563,0.3541,0.422,0.343,0.3825,0.4568,0.3182,0.3875,0.6328,0.6231,0.628
3.5,0.1098,0.3603,0.3539,0.4185,0.3407,0.3796,0.451,0.3026,0.3768,0.6378,0.6495,0.6437
3.6,0.1291,0.3639,0.3552,0.416,0.3378,0.3769,0.445,0.2874,0.3662,0.6418,0.6782,0.66
3.7,0.1473,0.3668,0.3586,0.4132,0.334,0.3736,0.4388,0.2733,0.3561,0.6447,0.7074,0.6761
3.8,0.1624,0.369,0.3643,0.4091,0.3293,0.3692,0.4327,0.2611,0.3469,0.6467,0.735,0.6908
3.9,0.1736,0.3707,0.372,0.4038,0.3242,0.364,0.4266,0.2513,0.3389,0.6476,0.7593,0.7035
4,0.1805,0.3722,0.3812,0.3978,0.3193,0.3585,0.4202,0.2445,0.3324,0.6476,0.7796,0.7136
4.1,0.1835,0.3739,0.3911,0.3918,0.3147,0.3532,0.4136,0.2408,0.3272,0.6469,0.7955,0.7212
4.2,0.1826,0.3759,0.401,0.3864,0.3104,0.3484,0.4069,0.2403,0.3236,0.6456,0.8074,0.7265
4.3,0.1781,0.3784,0.4108,0.382,0.3062,0.3441,0.4007,0.2428,0.3217,0.6438,0.8159,0.7299
4.4,0.1705,0.381,0.4205,0.3788,0.3021,0.3404,0.3956,0.2478,0.3217,0.6418,0.8213,0.7315
4.5,0.1601,0.3832,0.4298,0.3763,0.298,0.3371,0.3917,0.2548,0.3232,0.6394,0.8232,0.7313
4.6,0.1474,0.3841,0.438,0.3744,0.2937,0.3341,0.3892,0.263,0.3261,0.6367,0.8211,0.7289
4.7,0.133,0.3833,0.4444,0.3736,0.2892,0.3314,0.3881,0.2717,0.3299,0.6338,0.8151,0.7244
4.8,0.1183,0.3812,0.4484,0.375,0.2842,0.3296,0.3888,0.2803,0.3346,0.6309,0.8057,0.7183
4.9,0.1049,0.3783,0.4502,0.3796,0.2791,0.3294,0.3918,0.2884,0.3401,0.6279,0.7935,0.7107
5,0.0943,0.3755,0.4503,0.388,0.2746,0.3313,0.3976,0.2957,0.3467,0.625,0.7788,0.7019
5.1,0.0878,0.3736,0.4489,0.4001,0.2711,0.3356,0.4073,0.3024,0.3549,0.6225,0.7617,0.6921
5.2,0.0865,0.3734,0.4463,0.4152,0.2688,0.342,0.4214,0.3084,0.3649,0.621,0.7431,0.682
5.3,0.091,0.3758,0.4433,0.4336,0.2677,0.3507,0.4403,0.3137,0.377,0.6209,0.7239,0.6724
5.4,0.1006,0.382,0.4412,0.4563,0.2688,0.3625,0.464,0.3187,0.3914,0.6217,0.7053,0.6635
5.5,0.1139,0.393,0.4408,0.4848,0.2734,0.3791,0.4922,0.3244,0.4083,0.6228,0.6877,0.6553
5.6,0.1292,0.4091,0.4427,0.5199,0.283,0.4015,0.5236,0.3319,0.4278,0.6236,0.6716,0.6476
5.7,0.1451,0.4295,0.4471,0.5608,0.2982,0.4295,0.5558,0.3415,0.4486,0.6234,0.6574,0.6404
5.8,0.1604,0.4527,0.4538,0.6057,0.3185,0.4621,0.5857,0.3526,0.4691,0.6221,0.6462,0.6342
5.9,0.173,0.4771,0.4633,0.6525,0.3431,0.4978,0.611,0.3639,0.4875,0.6196,0.6391,0.6294
6,0.1808,0.5019,0.4759,0.6987,0.372,0.5354,0.6304,0.3749,0.5026,0.6155,0.6365,0.626
6.1,0.1818,0.5265,0.4915,0.7423,0.4062,0.5742,0.6423,0.3861,0.5142,0.6091,0.6375,0.6233
6.2,0.1754,0.5502,0.5098,0.7809,0.4457,0.6133,0.646,0.3978,0.5219,0.6001,0.6405,0.6203
6.3,0.1618,0.5723,0.53,0.813,0.4888,0.6509,0.6418,0.4092,0.5255,0.5882,0.6445,0.6163
6.4,0.1418,0.5927,0.5512,0.8384,0.5328,0.6856,0.6309,0.4198,0.5254,0.5735,0.6485,0.611
6.5,0.1164,0.6116,0.5718,0.8578,0.576,0.7169,0.615,0.4296,0.5223,0.5567,0.6518,0.6043
6.6,0.0859,0.6294,0.5904,0.872,0.618,0.745,0.5959,0.439,0.5175,0.5387,0.654,0.5963
6.7,0.0504,0.6457,0.6056,0.8805,0.6583,0.7694,0.5746,0.4487,0.5117,0.5203,0.6545,0.5874
6.8,0.0105,0.6595,0.6168,0.8827,0.6959,0.7893,0.5521,0.4589,0.5055,0.5021,0.6531,0.5776
6.9,-0.0339,0.6701,0.6242,0.8783,0.7294,0.8039,0.5291,0.4698,0.4994,0.4845,0.6499,0.5672
7,-0.0828,0.6778,0.6278,0.8686,0.7582,0.8134,0.5064,0.4813,0.4938,0.4679,0.6448,0.5564
7.1,-0.1358,0.6836,0.6268,0.8553,0.7828,0.819,0.4848,0.4934,0.4891,0.4527,0.6377,0.5452
7.2,-0.191,0.6878,0.6202,0.8402,0.8032,0.8217,0.465,0.5056,0.4853,0.4392,0.628,0.5336
7.3,-0.2461,0.6904,0.6078,0.8244,0.819,0.8217,0.4476,0.517,0.4823,0.4279,0.6156,0.5217
7.4,-0.299,0.6908,0.5907,0.808,0.8294,0.8187,0.4334,0.527,0.4802,0.4191,0.6004,0.5098
7.5,-0.3486,0.6889,0.5707,0.7916,0.8341,0.8128,0.4233,0.5356,0.4794,0.413,0.5828,0.4979
7.6,-0.3942,0.6846,0.5495,0.7751,0.8332,0.8041,0.4179,0.5425,0.4802,0.4094,0.5636,0.4865
7.7,-0.4352,0.6782,0.5285,0.7585,0.8271,0.7928,0.4176,0.5472,0.4824,0.4082,0.5435,0.4759
7.8,-0.4712,0.6697,0.5083,0.742,0.8165,0.7792,0.4221,0.5492,0.4856,0.409,0.5239,0.4665
7.9,-0.5023,0.6594,0.489,0.7256,0.8016,0.7636,0.4308,0.548,0.4894,0.4116,0.5054,0.4585
8,-0.5282,0.6479,0.4706,0.7105,0.7832,0.7468,0.4434,0.5436,0.4935,0.4157,0.4888,0.4523
