Time,Harvey Norman - Kitchen Appliances Sale 30 TVC,Harvey Norman - Kitchen Appliances Sale 30 TVC,Harvey Norman - Kitchen Appliances Sale 30 TVC,Harvey Norman - Kitchen Appliances Sale 30 TVC,Harvey Norman - Kitchen Appliances Sale 30 TVC,Harvey Norman - Kitchen Appliances Sale 30 TVC,Harvey Norman - Kitchen Appliances Sale 30 TVC,Harvey Norman - Kitchen Appliances Sale 30 TVC,Harvey Norman - Kitchen Appliances Sale 30 TVC,Harvey Norman - Kitchen Appliances Sale 30 TVC,Harvey Norman - Kitchen Appliances Sale 30 TVC,Harvey Norman - Kitchen Appliances Sale 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
19.3,0.3534,0.5773,0.9698,0.7445,0.6653,0.7049,0.9364,0.8773,0.9069,0.7102,0.7204,0.7153
19.4,0.3345,0.565,0.9827,0.7306,0.665,0.6978,0.906,0.8649,0.8855,0.7329,0.7313,0.7321
19.5,0.3079,0.5565,0.9953,0.7207,0.6674,0.694,0.8712,0.8522,0.8617,0.7582,0.7392,0.7487
19.6,0.2741,0.5525,1.0069,0.7156,0.6723,0.694,0.8323,0.8397,0.836,0.7849,0.744,0.7644
19.7,0.2345,0.5534,1.0169,0.7159,0.679,0.6974,0.7898,0.8277,0.8088,0.8115,0.7461,0.7788
19.8,0.19,0.5595,1.0247,0.7213,0.6863,0.7038,0.7444,0.8163,0.7803,0.8364,0.7453,0.7909
19.9,0.1409,0.5706,1.0301,0.7307,0.6931,0.7119,0.6965,0.8045,0.7505,0.8577,0.7413,0.7995
20,0.0875,0.5867,1.0328,0.7433,0.6991,0.7212,0.6469,0.7912,0.719,0.874,0.7335,0.8037
20.1,0.0315,0.608,1.0326,0.7584,0.7049,0.7316,0.5972,0.7759,0.6866,0.8851,0.7226,0.8039
20.2,-0.0236,0.6344,1.0299,0.7753,0.7114,0.7433,0.5497,0.759,0.6544,0.8918,0.7102,0.801
20.3,-0.0738,0.6643,1.0248,0.7927,0.719,0.7559,0.5064,0.7414,0.6239,0.895,0.6982,0.7966
20.4,-0.1175,0.6948,1.0177,0.8084,0.727,0.7677,0.4678,0.7231,0.5955,0.8954,0.6877,0.7915
20.5,-0.1553,0.7227,1.0082,0.8205,0.7339,0.7772,0.4328,0.7035,0.5681,0.8934,0.6786,0.786
20.6,-0.1877,0.7457,0.9962,0.8278,0.7393,0.7835,0.4005,0.6812,0.5409,0.8894,0.6707,0.78
20.7,-0.2141,0.7628,0.9814,0.83,0.7434,0.7867,0.3709,0.656,0.5135,0.8835,0.6634,0.7735
20.8,-0.2328,0.7736,0.9639,0.8273,0.7468,0.787,0.3443,0.6287,0.4865,0.8758,0.6566,0.7662
20.9,-0.2429,0.7779,0.944,0.8193,0.7492,0.7842,0.3211,0.5998,0.4605,0.8662,0.6496,0.7579
21,-0.2446,0.7758,0.922,0.8061,0.7496,0.7778,0.3005,0.5702,0.4354,0.8546,0.6412,0.7479
21.1,-0.2395,0.7672,0.8984,0.788,0.7479,0.768,0.2822,0.5407,0.4115,0.8406,0.6307,0.7357
21.2,-0.2292,0.7524,0.8743,0.7663,0.7448,0.7556,0.2666,0.5123,0.3895,0.8245,0.6179,0.7212
21.3,-0.2145,0.7327,0.8506,0.7424,0.7417,0.742,0.2547,0.4862,0.3704,0.8066,0.6036,0.7051
21.4,-0.1963,0.7097,0.8276,0.7174,0.7395,0.7284,0.2476,0.463,0.3553,0.7872,0.5877,0.6875
21.5,-0.1756,0.6854,0.8051,0.6927,0.7382,0.7155,0.2452,0.4427,0.344,0.766,0.5693,0.6677
21.6,-0.1534,0.6611,0.7827,0.6693,0.7379,0.7036,0.2464,0.4251,0.3357,0.7428,0.547,0.6449
21.7,-0.1305,0.6384,0.7606,0.6485,0.7387,0.6936,0.2498,0.411,0.3304,0.7179,0.5207,0.6193
21.8,-0.1078,0.6183,0.7395,0.6319,0.7411,0.6865,0.2547,0.4016,0.3281,0.6924,0.4916,0.592
21.9,-0.0849,0.6014,0.7205,0.6206,0.7449,0.6828,0.2605,0.3975,0.329,0.6675,0.4618,0.5647
22,-0.061,0.5881,0.7046,0.6154,0.7493,0.6823,0.2668,0.3987,0.3328,0.6442,0.4329,0.5386
22.1,-0.0365,0.579,0.6925,0.6165,0.7541,0.6853,0.2738,0.4055,0.3396,0.6225,0.4054,0.5139
22.2,-0.0127,0.5745,0.6844,0.6239,0.7598,0.6918,0.2815,0.4178,0.3496,0.602,0.3786,0.4903
22.3,0.0079,0.5747,0.6802,0.6374,0.7674,0.7024,0.2904,0.4354,0.3629,0.5827,0.3517,0.4672
22.4,0.0224,0.5789,0.6794,0.6568,0.7777,0.7173,0.301,0.4575,0.3792,0.565,0.3243,0.4446
22.5,0.0282,0.5861,0.6812,0.6818,0.7905,0.7362,0.3135,0.4828,0.3982,0.5491,0.296,0.4225
22.6,0.0239,0.5953,0.6844,0.7112,0.8051,0.7582,0.3279,0.5101,0.419,0.5349,0.267,0.401
22.7,0.0094,0.6059,0.688,0.7435,0.8204,0.782,0.3436,0.5381,0.4408,0.5226,0.2384,0.3805
22.8,-0.0135,0.6171,0.6919,0.7774,0.8354,0.8064,0.3603,0.5657,0.463,0.5121,0.2127,0.3624
22.9,-0.0413,0.6284,0.696,0.8118,0.8494,0.8306,0.3787,0.5921,0.4854,0.5036,0.1928,0.3482
23,-0.07,0.6389,0.7009,0.8454,0.8613,0.8534,0.3998,0.617,0.5084,0.4981,0.1811,0.3396
23.1,-0.0966,0.6477,0.7069,0.877,0.8708,0.8739,0.424,0.64,0.532,0.4962,0.1785,0.3373
23.2,-0.1203,0.6542,0.7138,0.9048,0.8778,0.8913,0.4509,0.6602,0.5555,0.4982,0.1841,0.3411
23.3,-0.1413,0.6581,0.7207,0.9274,0.8827,0.905,0.4785,0.6761,0.5773,0.5038,0.1963,0.35
23.4,-0.1592,0.6595,0.7263,0.9437,0.8863,0.915,0.5055,0.6873,0.5964,0.5121,0.2139,0.363
23.5,-0.1729,0.6587,0.7301,0.954,0.8889,0.9215,0.5312,0.694,0.6126,0.5223,0.2364,0.3793
23.6,-0.1819,0.6562,0.7322,0.9587,0.8904,0.9246,0.5554,0.6966,0.626,0.5339,0.2633,0.3986
23.7,-0.1867,0.6524,0.7325,0.9585,0.8897,0.9241,0.5774,0.695,0.6362,0.5459,0.2936,0.4198
23.8,-0.1881,0.6469,0.7306,0.9536,0.8857,0.9196,0.5956,0.6885,0.6421,0.5575,0.3255,0.4415
23.9,-0.1869,0.64,0.7258,0.9439,0.8777,0.9108,0.6087,0.6767,0.6427,0.5672,0.3568,0.462
24,-0.1835,0.6321,0.7176,0.9292,0.8655,0.8974,0.6162,0.6602,0.6382,0.5741,0.386,0.48
24.1,-0.1784,0.6233,0.7062,0.9093,0.8493,0.8793,0.6189,0.6404,0.6296,0.5777,0.412,0.4948
24.2,-0.1738,0.6134,0.6923,0.8841,0.8291,0.8566,0.617,0.6185,0.6177,0.5782,0.4343,0.5062
24.3,-0.1721,0.602,0.6767,0.854,0.805,0.8295,0.6104,0.5953,0.6029,0.5761,0.4529,0.5145
24.4,-0.1735,0.589,0.6601,0.8199,0.7775,0.7987,0.599,0.5716,0.5853,0.5721,0.4676,0.5199
24.5,-0.1757,0.5745,0.6437,0.7838,0.7475,0.7656,0.5836,0.5487,0.5662,0.5667,0.4784,0.5226
24.6,-0.1757,0.5588,0.6287,0.7475,0.7161,0.7318,0.5654,0.528,0.5467,0.5605,0.4859,0.5232
24.7,-0.1703,0.5425,0.6157,0.7123,0.6842,0.6982,0.5457,0.5102,0.528,0.5542,0.4909,0.5226
24.8,-0.1577,0.5257,0.6044,0.6792,0.6528,0.666,0.525,0.4955,0.5103,0.5484,0.4943,0.5214
24.9,-0.1365,0.5089,0.5946,0.6497,0.6236,0.6367,0.5033,0.4833,0.4933,0.5437,0.4969,0.5203
25,-0.1057,0.4927,0.5861,0.6256,0.5981,0.6119,0.4804,0.473,0.4767,0.5404,0.4999,0.5202
25.1,-0.0646,0.4776,0.5792,0.6079,0.577,0.5924,0.457,0.4644,0.4607,0.5392,0.5046,0.5219
25.2,-0.0144,0.4638,0.5746,0.596,0.5603,0.5782,0.4347,0.4575,0.4461,0.5401,0.5113,0.5257
25.3,0.0428,0.4511,0.5729,0.5884,0.5475,0.568,0.4152,0.4527,0.434,0.543,0.5196,0.5313
25.4,0.104,0.4393,0.5746,0.5832,0.5386,0.5609,0.4003,0.4503,0.4253,0.5476,0.5289,0.5382
25.5,0.1667,0.4289,0.5799,0.5797,0.5338,0.5568,0.3913,0.4507,0.421,0.5533,0.5387,0.546
25.6,0.2284,0.4205,0.5892,0.5782,0.5337,0.5559,0.3891,0.4546,0.4218,0.56,0.5491,0.5545
25.7,0.286,0.414,0.6025,0.5786,0.538,0.5583,0.3941,0.4618,0.4279,0.5674,0.5602,0.5638
25.8,0.3381,0.4093,0.6186,0.5799,0.5458,0.5628,0.4053,0.4719,0.4386,0.5752,0.572,0.5736
25.9,0.3845,0.4062,0.6356,0.5803,0.5557,0.568,0.421,0.4842,0.4526,0.5829,0.5845,0.5837
26,0.4254,0.4042,0.6516,0.5787,0.5662,0.5725,0.4398,0.4986,0.4692,0.59,0.5978,0.5939
26.1,0.4601,0.4033,0.6656,0.5747,0.5766,0.5757,0.4607,0.5151,0.4879,0.5964,0.6118,0.6041
26.2,0.4874,0.4034,0.6778,0.5687,0.5866,0.5777,0.4833,0.5338,0.5086,0.6018,0.6265,0.6141
26.3,0.5053,0.404,0.6884,0.5602,0.5962,0.5782,0.5065,0.5543,0.5304,0.6056,0.6413,0.6234
26.4,0.5118,0.4043,0.6973,0.5486,0.6049,0.5768,0.529,0.5753,0.5521,0.6071,0.6553,0.6312
26.5,0.5064,0.4039,0.7031,0.5332,0.6125,0.5729,0.5487,0.5951,0.5719,0.6054,0.6674,0.6364
26.6,0.4898,0.4027,0.7044,0.5139,0.6188,0.5663,0.5646,0.6119,0.5883,0.5996,0.6766,0.6381
26.7,0.4643,0.4011,0.7012,0.4919,0.6236,0.5577,0.5764,0.6249,0.6006,0.5889,0.6824,0.6357
26.8,0.4321,0.3995,0.6946,0.4685,0.6271,0.5478,0.5844,0.634,0.6092,0.5737,0.6845,0.6291
26.9,0.3949,0.398,0.6864,0.4452,0.6291,0.5371,0.5888,0.6401,0.6144,0.555,0.6832,0.6191
27,0.353,0.3959,0.6775,0.4228,0.6288,0.5258,0.5892,0.6433,0.6163,0.5347,0.6793,0.607
27.1,0.3061,0.3923,0.6683,0.4019,0.6256,0.5137,0.5849,0.6436,0.6143,0.5148,0.6738,0.5943
27.2,0.2547,0.3868,0.6583,0.3831,0.6192,0.5011,0.5756,0.6408,0.6082,0.4968,0.6677,0.5823
27.3,0.2004,0.3802,0.6479,0.3664,0.6098,0.4881,0.5615,0.6356,0.5985,0.4816,0.6614,0.5715
27.4,0.1444,0.3732,0.6377,0.352,0.5981,0.4751,0.544,0.629,0.5865,0.4699,0.6551,0.5625
27.5,0.0869,0.366,0.6284,0.3397,0.5852,0.4625,0.5243,0.6223,0.5733,0.4627,0.6491,0.5559
27.6,0.028,0.3588,0.6204,0.3295,0.5722,0.4508,0.5032,0.6161,0.5596,0.4613,0.6435,0.5524
27.7,-0.0312,0.352,0.6137,0.3214,0.5596,0.4405,0.4814,0.6103,0.5459,0.467,0.6394,0.5532
27.8,-0.088,0.3466,0.6079,0.3162,0.5481,0.4322,0.4601,0.6051,0.5326,0.4811,0.6379,0.5595
27.9,-0.1401,0.3438,0.6033,0.3148,0.5382,0.4265,0.4406,0.6007,0.5206,0.5034,0.6406,0.572
28,-0.1863,0.3444,0.6001,0.3184,0.5308,0.4246,0.4237,0.5974,0.5106,0.5334,0.6484,0.5909
28.1,-0.2269,0.349,0.5979,0.3278,0.5273,0.4276,0.41,0.595,0.5025,0.5701,0.6621,0.6161
28.2,-0.262,0.3574,0.5962,0.3431,0.5289,0.436,0.3996,0.5928,0.4962,0.6126,0.6812,0.6469
28.3,-0.2916,0.3697,0.5948,0.3639,0.5361,0.45,0.3928,0.5906,0.4917,0.6595,0.7038,0.6817
28.4,-0.315,0.3854,0.5938,0.3892,0.5487,0.4689,0.3901,0.5886,0.4894,0.7086,0.7276,0.7181
28.5,-0.3315,0.4033,0.5935,0.4181,0.5656,0.4919,0.3926,0.5878,0.4902,0.7578,0.7503,0.754
28.6,-0.3408,0.4217,0.5936,0.4505,0.5858,0.5181,0.4015,0.5891,0.4953,0.8059,0.7705,0.7882
28.7,-0.3421,0.4393,0.5936,0.4859,0.6085,0.5472,0.4175,0.5927,0.5051,0.8526,0.788,0.8203
28.8,-0.3337,0.4551,0.5921,0.5244,0.6331,0.5788,0.4404,0.5987,0.5196,0.8975,0.8027,0.8501
28.9,-0.3145,0.4688,0.5882,0.5657,0.6594,0.6125,0.4692,0.6067,0.538,0.9391,0.8138,0.8764
29,-0.285,0.48,0.5812,0.6089,0.6872,0.648,0.5026,0.6161,0.5594,0.9752,0.8189,0.8971
29.1,-0.2482,0.4875,0.5707,0.6527,0.7166,0.6846,0.5389,0.6259,0.5824,1.0037,0.8155,0.9096
29.2,-0.207,0.4909,0.5558,0.6954,0.748,0.7217,0.5762,0.6355,0.6059,1.0234,0.8016,0.9125
29.3,-0.1632,0.4905,0.5369,0.7356,0.7817,0.7587,0.6129,0.6446,0.6288,1.0344,0.7773,0.9058
29.4,-0.1186,0.487,0.5149,0.7723,0.818,0.7951,0.647,0.6534,0.6502,1.0363,0.7439,0.8901
29.5,-0.0738,0.4813,0.4919,0.8051,0.8568,0.831,0.6769,0.662,0.6694,1.0285,0.7036,0.866
29.6,-0.0297,0.4726,0.4697,0.8335,0.8968,0.8652,0.7019,0.6701,0.686,1.0101,0.6589,0.8345
29.7,0.0131,0.4596,0.449,0.8566,0.9363,0.8965,0.7224,0.6771,0.6998,0.9811,0.6121,0.7966
29.8,0.0551,0.4426,0.4299,0.8738,0.974,0.9239,0.7389,0.6828,0.7109,0.9429,0.5647,0.7538
29.9,0.0981,0.4238,0.4127,0.8863,1.0095,0.9479,0.752,0.6872,0.7196,0.8978,0.5187,0.7083
