Time,Harvey Norman - Kitchen Appliances Sale 30 TVC,Harvey Norman - Kitchen Appliances Sale 30 TVC,Harvey Norman - Kitchen Appliances Sale 30 TVC,Harvey Norman - Kitchen Appliances Sale 30 TVC,Harvey Norman - Kitchen Appliances Sale 30 TVC,Harvey Norman - Kitchen Appliances Sale 30 TVC,Harvey Norman - Kitchen Appliances Sale 30 TVC,Harvey Norman - Kitchen Appliances Sale 30 TVC,Harvey Norman - Kitchen Appliances Sale 30 TVC,Harvey Norman - Kitchen Appliances Sale 30 TVC,Harvey Norman - Kitchen Appliances Sale 30 TVC,Harvey Norman - Kitchen Appliances Sale 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
4.3,0.0412,0.3581,0.5808,0.4647,0.6294,0.5471,0.6022,0.5939,0.598,0.4689,0.5291,0.499
4.4,0.0739,0.3631,0.5891,0.4911,0.6242,0.5577,0.6084,0.6007,0.6046,0.4668,0.5413,0.504
4.5,0.1045,0.3653,0.5991,0.5167,0.6147,0.5657,0.6144,0.6061,0.6103,0.4651,0.5521,0.5086
4.6,0.133,0.3656,0.6109,0.5408,0.602,0.5714,0.6212,0.6105,0.6158,0.4644,0.5611,0.5128
4.7,0.1605,0.3646,0.6236,0.5631,0.588,0.5756,0.6301,0.6138,0.6219,0.4651,0.5679,0.5165
4.8,0.1874,0.3631,0.6361,0.5842,0.5744,0.5793,0.6413,0.6161,0.6287,0.4669,0.5721,0.5195
4.9,0.2138,0.3616,0.6477,0.6043,0.5622,0.5832,0.6539,0.6176,0.6358,0.4695,0.5735,0.5215
5,0.2388,0.3604,0.6577,0.6232,0.5516,0.5874,0.6668,0.6185,0.6426,0.4728,0.5726,0.5227
5.1,0.2614,0.3593,0.6656,0.64,0.5427,0.5913,0.6793,0.6194,0.6493,0.4769,0.5705,0.5237
5.2,0.2813,0.3581,0.6713,0.6538,0.5354,0.5946,0.6902,0.6207,0.6555,0.4815,0.5679,0.5247
5.3,0.2988,0.3565,0.6745,0.6637,0.5293,0.5965,0.6992,0.6222,0.6607,0.4858,0.5649,0.5253
5.4,0.3137,0.3545,0.6755,0.6695,0.5241,0.5968,0.7069,0.6234,0.6652,0.4895,0.5617,0.5256
5.5,0.3247,0.3526,0.6747,0.6714,0.52,0.5957,0.714,0.6241,0.669,0.4928,0.5595,0.5261
5.6,0.33,0.3513,0.6727,0.6697,0.5177,0.5937,0.7207,0.6241,0.6724,0.4963,0.5596,0.5279
5.7,0.3287,0.3509,0.6699,0.6651,0.5176,0.5914,0.7269,0.6238,0.6753,0.5003,0.5627,0.5315
5.8,0.3212,0.3515,0.6661,0.6588,0.5204,0.5896,0.732,0.6233,0.6776,0.5045,0.5686,0.5365
5.9,0.3092,0.3535,0.6612,0.6523,0.5266,0.5894,0.7356,0.6227,0.6791,0.5081,0.5765,0.5423
6,0.2936,0.3578,0.6544,0.6468,0.5368,0.5918,0.7375,0.6218,0.6797,0.5105,0.5856,0.548
6.1,0.2744,0.3645,0.6453,0.6431,0.551,0.5971,0.7378,0.6204,0.6791,0.5117,0.5955,0.5536
6.2,0.2512,0.3735,0.6339,0.6413,0.5681,0.6047,0.7366,0.6183,0.6775,0.5119,0.6063,0.5591
6.3,0.2243,0.3836,0.6203,0.6408,0.5862,0.6135,0.7343,0.6154,0.6748,0.5114,0.6177,0.5646
6.4,0.1955,0.3942,0.6048,0.6417,0.6036,0.6226,0.7311,0.6117,0.6714,0.5102,0.6289,0.5695
6.5,0.1671,0.4054,0.5881,0.6448,0.6194,0.6321,0.7272,0.607,0.6671,0.5076,0.6384,0.573
6.6,0.1412,0.4179,0.5708,0.6518,0.6333,0.6425,0.7225,0.6012,0.6619,0.5034,0.6452,0.5743
6.7,0.1193,0.4322,0.5534,0.6638,0.6454,0.6546,0.7175,0.5947,0.6561,0.4977,0.649,0.5734
6.8,0.1026,0.448,0.5368,0.6811,0.6552,0.6682,0.7126,0.5881,0.6503,0.4906,0.6498,0.5702
6.9,0.0919,0.4644,0.5213,0.7026,0.6626,0.6826,0.7084,0.5815,0.645,0.4822,0.6477,0.5649
7,0.0868,0.4807,0.5075,0.7272,0.6671,0.6972,0.7054,0.5747,0.6401,0.4724,0.643,0.5577
7.1,0.0865,0.4965,0.4957,0.7538,0.6685,0.7111,0.7031,0.567,0.635,0.4614,0.6357,0.5485
7.2,0.0906,0.5114,0.4861,0.7821,0.6663,0.7242,0.7006,0.5576,0.6291,0.4494,0.6262,0.5378
7.3,0.0983,0.5251,0.4784,0.8113,0.6606,0.736,0.6975,0.546,0.6218,0.4367,0.6141,0.5254
7.4,0.1081,0.5372,0.4724,0.8406,0.6517,0.7462,0.6941,0.5326,0.6133,0.4238,0.5994,0.5116
