Time,Menulog - Katy Perry 30 TVC,Menulog - Katy Perry 30 TVC,Menulog - Katy Perry 30 TVC,Menulog - Katy Perry 30 TVC,Menulog - Katy Perry 30 TVC,Menulog - Katy Perry 30 TVC,Menulog - Katy Perry 30 TVC,Menulog - Katy Perry 30 TVC,Menulog - Katy Perry 30 TVC,Menulog - Katy Perry 30 TVC,Menulog - Katy Perry 30 TVC,Menulog - Katy Perry 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
24.4,0.1924,0.2651,0.51,0.4795,0.2234,0.3515,0.4373,0.4122,0.4247,0.5973,0.6275,0.6124
24.5,0.1953,0.2515,0.5305,0.4693,0.2199,0.3446,0.4368,0.4232,0.43,0.5921,0.6175,0.6048
24.6,0.1972,0.2393,0.5522,0.4575,0.218,0.3377,0.4363,0.4345,0.4354,0.5837,0.6053,0.5945
24.7,0.1966,0.229,0.5752,0.4447,0.2182,0.3315,0.4358,0.4467,0.4413,0.5728,0.592,0.5824
24.8,0.1933,0.2212,0.5999,0.4314,0.2213,0.3263,0.4355,0.46,0.4477,0.5599,0.5787,0.5693
24.9,0.1871,0.2163,0.6262,0.4177,0.2272,0.3224,0.4353,0.4744,0.4548,0.5452,0.566,0.5556
25,0.1774,0.2142,0.6533,0.4032,0.2356,0.3194,0.4352,0.4894,0.4623,0.5289,0.5545,0.5417
25.1,0.1633,0.2143,0.6803,0.3874,0.2451,0.3162,0.4354,0.504,0.4697,0.5113,0.5445,0.5279
25.2,0.145,0.2161,0.7064,0.3698,0.2551,0.3124,0.4362,0.517,0.4766,0.4933,0.5366,0.5149
25.3,0.1231,0.2189,0.7315,0.3508,0.2653,0.3081,0.4381,0.5278,0.4829,0.4761,0.5313,0.5037
25.4,0.0988,0.2228,0.7556,0.3312,0.2764,0.3038,0.4417,0.5362,0.489,0.461,0.5295,0.4953
25.5,0.0726,0.2279,0.7789,0.3119,0.2887,0.3003,0.4478,0.5429,0.4954,0.4496,0.5318,0.4907
25.6,0.045,0.2343,0.8008,0.294,0.302,0.298,0.4569,0.5483,0.5026,0.4428,0.5384,0.4906
25.7,0.0169,0.2421,0.8203,0.2783,0.3158,0.2971,0.4683,0.5526,0.5104,0.4411,0.5492,0.4952
25.8,-0.0103,0.2505,0.8364,0.2654,0.3297,0.2975,0.4806,0.5556,0.5181,0.4439,0.5631,0.5035
25.9,-0.0345,0.259,0.8486,0.2559,0.3434,0.2997,0.4918,0.5574,0.5246,0.4502,0.579,0.5146
26,-0.0535,0.2678,0.857,0.2508,0.3572,0.304,0.5007,0.5581,0.5294,0.4593,0.5959,0.5276
26.1,-0.0658,0.2772,0.8617,0.2509,0.3713,0.3111,0.5065,0.5583,0.5324,0.4709,0.613,0.542
26.2,-0.0708,0.2875,0.8628,0.2563,0.3859,0.3211,0.5098,0.5585,0.5341,0.4852,0.6296,0.5574
26.3,-0.0687,0.2986,0.8609,0.2666,0.4007,0.3337,0.511,0.5593,0.5351,0.5018,0.6447,0.5733
26.4,-0.0601,0.3097,0.8566,0.2807,0.4157,0.3482,0.5101,0.5612,0.5356,0.5203,0.6576,0.589
26.5,-0.0465,0.32,0.851,0.2972,0.4307,0.3639,0.5063,0.5644,0.5353,0.5399,0.6682,0.6041
26.6,-0.0295,0.3283,0.8445,0.3145,0.4454,0.3799,0.4985,0.5683,0.5334,0.5597,0.6762,0.618
26.7,-0.0099,0.3342,0.8369,0.3319,0.4596,0.3957,0.4854,0.5725,0.529,0.5787,0.6813,0.63
26.8,0.0118,0.338,0.8279,0.349,0.4734,0.4112,0.4669,0.5764,0.5216,0.5956,0.6828,0.6392
26.9,0.0352,0.3398,0.817,0.3653,0.4873,0.4263,0.443,0.5795,0.5113,0.6096,0.6803,0.645
27,0.0589,0.3404,0.8042,0.3804,0.5014,0.4409,0.4149,0.5817,0.4983,0.6203,0.6736,0.647
27.1,0.0811,0.3398,0.7896,0.3934,0.5157,0.4546,0.3836,0.5829,0.4832,0.6281,0.6633,0.6457
27.2,0.1007,0.3384,0.7736,0.4036,0.5299,0.4668,0.3501,0.5829,0.4665,0.634,0.6503,0.6421
27.3,0.1173,0.3364,0.7567,0.4107,0.5436,0.4772,0.3155,0.581,0.4483,0.6388,0.6352,0.637
27.4,0.1312,0.3343,0.7391,0.4149,0.5568,0.4858,0.2801,0.5771,0.4286,0.6428,0.6183,0.6306
27.5,0.1424,0.3331,0.7212,0.4169,0.57,0.4934,0.2444,0.5705,0.4075,0.6458,0.6,0.6229
27.6,0.15,0.3336,0.7037,0.4175,0.5839,0.5007,0.2093,0.5612,0.3853,0.6473,0.5811,0.6142
27.7,0.1529,0.3364,0.687,0.4174,0.5987,0.5081,0.1758,0.5495,0.3626,0.6475,0.5625,0.605
27.8,0.1504,0.3419,0.6717,0.4169,0.6141,0.5155,0.1454,0.5358,0.3406,0.6467,0.5455,0.5961
27.9,0.1431,0.3498,0.6582,0.416,0.629,0.5225,0.1195,0.5205,0.32,0.6457,0.5308,0.5883
28,0.1322,0.3599,0.6466,0.4149,0.6424,0.5286,0.0987,0.5039,0.3013,0.6447,0.5187,0.5817
28.1,0.1192,0.3722,0.6369,0.4138,0.654,0.5339,0.0834,0.4859,0.2847,0.6432,0.5088,0.576
28.2,0.1047,0.3866,0.6292,0.4127,0.6639,0.5383,0.0737,0.4669,0.2703,0.6404,0.5001,0.5702
28.3,0.0884,0.4023,0.6233,0.4111,0.6721,0.5416,0.0697,0.4477,0.2587,0.6354,0.4923,0.5638
28.4,0.0708,0.4183,0.6187,0.4084,0.6783,0.5434,0.0713,0.4291,0.2502,0.628,0.485,0.5565
28.5,0.0538,0.433,0.6153,0.4045,0.6822,0.5434,0.0779,0.412,0.245,0.6182,0.4781,0.5482
28.6,0.039,0.4458,0.613,0.4001,0.6837,0.5419,0.0892,0.3969,0.243,0.6067,0.4718,0.5392
28.7,0.0276,0.4569,0.6122,0.3965,0.6839,0.5402,0.1044,0.384,0.2442,0.5943,0.4661,0.5302
28.8,0.0192,0.4667,0.6128,0.3945,0.6837,0.5391,0.1234,0.3734,0.2484,0.5816,0.4616,0.5216
28.9,0.0136,0.4749,0.6143,0.3949,0.6827,0.5388,0.1453,0.3646,0.255,0.5692,0.4582,0.5137
29,0.0108,0.4814,0.6157,0.3977,0.68,0.5389,0.1692,0.357,0.2631,0.5568,0.4559,0.5064
29.1,0.0101,0.4863,0.6167,0.4028,0.6755,0.5392,0.194,0.3497,0.2718,0.5441,0.4542,0.4992
29.2,0.0113,0.4892,0.6174,0.4097,0.6694,0.5396,0.2187,0.3422,0.2804,0.5305,0.4527,0.4916
29.3,0.0138,0.4902,0.6181,0.4182,0.6625,0.5403,0.2424,0.3341,0.2882,0.5161,0.4508,0.4834
29.4,0.0184,0.4893,0.6192,0.4282,0.6553,0.5417,0.2646,0.3253,0.295,0.5015,0.4489,0.4752
29.5,0.0261,0.4866,0.6205,0.4398,0.6482,0.544,0.285,0.3157,0.3004,0.4876,0.4478,0.4677
29.6,0.0371,0.483,0.6221,0.4529,0.6419,0.5474,0.3034,0.3052,0.3043,0.4751,0.4481,0.4616
29.7,0.0521,0.4791,0.6245,0.4672,0.6367,0.5519,0.3194,0.294,0.3067,0.4638,0.4503,0.457
29.8,0.071,0.4754,0.6281,0.4821,0.6327,0.5574,0.3325,0.2818,0.3071,0.4538,0.4542,0.454
29.9,0.093,0.4724,0.633,0.4978,0.6294,0.5636,0.3422,0.2683,0.3053,0.4452,0.4601,0.4526
