Time,Lindt Chocolate 15 TVC - TS,Lindt Chocolate 15 TVC - TS,Lindt Chocolate 15 TVC - TS,Lindt Chocolate 15 TVC - TS,Lindt Chocolate 15 TVC - TS,Lindt Chocolate 15 TVC - TS,Lindt Chocolate 15 TVC - TS,Lindt Chocolate 15 TVC - TS,Lindt Chocolate 15 TVC - TS,Lindt Chocolate 15 TVC - TS,Lindt Chocolate 15 TVC - TS,Lindt Chocolate 15 TVC - TS
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
4.5,-0.0339,0.6709,0.6717,0.7169,0.7656,0.7413,0.6701,0.7367,0.7034,0.6631,0.6194,0.6412
4.6,-0.032,0.68,0.6596,0.7229,0.7625,0.7427,0.6653,0.7278,0.6966,0.6548,0.6038,0.6293
4.7,-0.0269,0.6878,0.648,0.7271,0.7567,0.7419,0.6594,0.7178,0.6886,0.6475,0.5892,0.6183
4.8,-0.0189,0.6939,0.6375,0.7291,0.7478,0.7384,0.6527,0.707,0.6799,0.6416,0.5758,0.6087
4.9,-0.0083,0.6978,0.6283,0.7286,0.7358,0.7322,0.6455,0.6959,0.6707,0.6374,0.5641,0.6007
5,0.0043,0.6997,0.6206,0.7256,0.7214,0.7235,0.638,0.685,0.6615,0.6349,0.554,0.5944
5.1,0.0182,0.6998,0.6144,0.7202,0.7052,0.7127,0.6306,0.6745,0.6526,0.6339,0.5456,0.5898
5.2,0.0331,0.6984,0.6097,0.7127,0.6882,0.7004,0.6235,0.6648,0.6442,0.6342,0.5389,0.5865
5.3,0.0488,0.6955,0.6064,0.7032,0.6707,0.6869,0.6167,0.6559,0.6363,0.6356,0.5335,0.5845
5.4,0.0654,0.691,0.604,0.6919,0.6528,0.6724,0.6099,0.6475,0.6287,0.6379,0.5292,0.5836
5.5,0.0822,0.6848,0.602,0.6788,0.6348,0.6568,0.603,0.6395,0.6212,0.6408,0.526,0.5834
5.6,0.0983,0.6771,0.6003,0.6642,0.6169,0.6405,0.5958,0.632,0.6139,0.6442,0.5234,0.5838
5.7,0.1131,0.6683,0.5989,0.6485,0.5999,0.6242,0.5887,0.6249,0.6068,0.6478,0.521,0.5844
5.8,0.1259,0.6588,0.5974,0.6322,0.5842,0.6082,0.5818,0.6184,0.6001,0.6511,0.5181,0.5846
5.9,0.1371,0.6488,0.5954,0.6157,0.5702,0.593,0.5753,0.612,0.5936,0.6536,0.5142,0.5839
6,0.1467,0.6383,0.5925,0.5997,0.558,0.5789,0.5694,0.6055,0.5874,0.6549,0.509,0.5819
6.1,0.1549,0.6278,0.5886,0.5847,0.5481,0.5664,0.5645,0.5993,0.5819,0.6551,0.5022,0.5786
6.2,0.1617,0.6177,0.584,0.5715,0.5409,0.5562,0.5611,0.5936,0.5773,0.6544,0.4946,0.5745
6.3,0.1668,0.6086,0.5792,0.5608,0.5372,0.549,0.5594,0.5891,0.5743,0.6535,0.4869,0.5702
6.4,0.1705,0.6009,0.5744,0.5529,0.5372,0.5451,0.5596,0.5859,0.5728,0.6526,0.4794,0.566
6.5,0.1726,0.5944,0.5695,0.5481,0.5405,0.5443,0.5617,0.5837,0.5727,0.6522,0.4723,0.5623
6.6,0.1735,0.5887,0.564,0.5464,0.5465,0.5464,0.5652,0.582,0.5736,0.6521,0.4658,0.559
6.7,0.1738,0.5838,0.5576,0.5475,0.5545,0.551,0.5698,0.5807,0.5753,0.6524,0.46,0.5562
6.8,0.1736,0.5794,0.5504,0.5514,0.5639,0.5576,0.5751,0.5796,0.5774,0.653,0.455,0.554
6.9,0.1726,0.5759,0.543,0.5578,0.5742,0.566,0.5808,0.5788,0.5798,0.654,0.4511,0.5526
7,0.1706,0.5732,0.5358,0.5667,0.5849,0.5758,0.5867,0.5781,0.5824,0.6555,0.4487,0.5521
7.1,0.1676,0.5713,0.5291,0.5776,0.5955,0.5866,0.5929,0.5773,0.5851,0.6578,0.448,0.5529
7.2,0.1641,0.5702,0.5228,0.5901,0.6055,0.5978,0.5993,0.5766,0.5879,0.6609,0.4493,0.5551
7.3,0.161,0.5698,0.5168,0.6032,0.6143,0.6088,0.6056,0.5757,0.5906,0.6648,0.4524,0.5586
7.4,0.1592,0.57,0.511,0.6164,0.6217,0.619,0.6115,0.5744,0.5929,0.669,0.4569,0.5629
7.5,0.1592,0.5709,0.5051,0.629,0.6274,0.6282,0.6166,0.5724,0.5945,0.673,0.4624,0.5677
7.6,0.1611,0.5726,0.4993,0.641,0.6317,0.6363,0.6211,0.5698,0.5954,0.6765,0.469,0.5727
7.7,0.165,0.575,0.4936,0.6519,0.6347,0.6433,0.6247,0.5666,0.5956,0.6792,0.477,0.5781
7.8,0.1707,0.5777,0.4875,0.6614,0.6362,0.6488,0.6269,0.5629,0.5949,0.6805,0.4866,0.5836
7.9,0.1774,0.5803,0.4808,0.6689,0.636,0.6525,0.6272,0.5588,0.593,0.6803,0.4972,0.5887
8,0.1841,0.5823,0.4735,0.6737,0.634,0.6539,0.6253,0.554,0.5896,0.6784,0.5081,0.5932
8.1,0.1899,0.5835,0.4662,0.6755,0.6303,0.6529,0.6215,0.549,0.5852,0.6752,0.5191,0.5971
8.2,0.1937,0.5838,0.4596,0.6745,0.6256,0.65,0.6164,0.5439,0.5802,0.671,0.5299,0.6005
8.3,0.1948,0.5832,0.4537,0.6708,0.6206,0.6457,0.6108,0.539,0.5749,0.6661,0.54,0.6031
8.4,0.1932,0.5818,0.4485,0.6651,0.6157,0.6404,0.6047,0.5344,0.5695,0.6603,0.5487,0.6045
8.5,0.1891,0.5798,0.4436,0.6576,0.6113,0.6345,0.5985,0.53,0.5642,0.6536,0.5554,0.6045
8.6,0.1823,0.5773,0.4389,0.6487,0.6078,0.6283,0.5922,0.5258,0.559,0.6459,0.5596,0.6028
