Time,Apple iPhone 12 Fumble 30s TVC,Apple iPhone 12 Fumble 30s TVC,Apple iPhone 12 Fumble 30s TVC,Apple iPhone 12 Fumble 30s TVC,Apple iPhone 12 Fumble 30s TVC,Apple iPhone 12 Fumble 30s TVC,Apple iPhone 12 Fumble 30s TVC,Apple iPhone 12 Fumble 30s TVC,Apple iPhone 12 Fumble 30s TVC,Apple iPhone 12 Fumble 30s TVC,Apple iPhone 12 Fumble 30s TVC,Apple iPhone 12 Fumble 30s TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
25.7,-0.0404,0.6831,0.5053,0.7415,0.5847,0.6631,0.6786,0.4684,0.5735,0.4082,0.5525,0.4803
25.8,-0.0189,0.7071,0.4952,0.7453,0.6101,0.6777,0.6839,0.4624,0.5731,0.416,0.5391,0.4775
25.9,-0.0029,0.7305,0.488,0.7488,0.6374,0.6931,0.6898,0.4577,0.5737,0.4281,0.528,0.4781
26,0.0065,0.752,0.4838,0.7509,0.6652,0.7081,0.696,0.4547,0.5754,0.4436,0.5194,0.4815
26.1,0.0088,0.7711,0.4824,0.751,0.6927,0.7218,0.7016,0.4532,0.5774,0.4616,0.5129,0.4872
26.2,0.0052,0.7878,0.4838,0.7488,0.7187,0.7338,0.7056,0.4525,0.5791,0.4812,0.5083,0.4948
26.3,-0.0018,0.8027,0.4883,0.7447,0.7423,0.7435,0.7074,0.4517,0.5796,0.5018,0.5054,0.5036
26.4,-0.0099,0.816,0.4965,0.7393,0.7626,0.751,0.707,0.4506,0.5788,0.5225,0.5045,0.5135
26.5,-0.0181,0.8282,0.5082,0.7334,0.7792,0.7563,0.705,0.4493,0.5771,0.5433,0.5059,0.5246
26.6,-0.0262,0.8393,0.5231,0.7274,0.792,0.7597,0.702,0.4485,0.5753,0.5643,0.5099,0.5371
26.7,-0.0341,0.849,0.5409,0.7217,0.8004,0.7611,0.699,0.4493,0.5741,0.5858,0.5162,0.551
26.8,-0.041,0.8565,0.561,0.7164,0.8038,0.7601,0.6968,0.453,0.5749,0.6074,0.5245,0.5659
26.9,-0.0458,0.8604,0.5824,0.7113,0.8014,0.7564,0.6965,0.4608,0.5786,0.6282,0.5341,0.5812
27,-0.0472,0.8593,0.6044,0.7058,0.7924,0.7491,0.698,0.4734,0.5857,0.6473,0.5448,0.596
27.1,-0.0441,0.8523,0.6259,0.6993,0.7762,0.7378,0.7012,0.4909,0.5961,0.6641,0.5563,0.6102
27.2,-0.0356,0.839,0.6465,0.6919,0.7528,0.7224,0.7059,0.5126,0.6092,0.6788,0.5682,0.6235
27.3,-0.0212,0.8201,0.6656,0.6841,0.7232,0.7037,0.7123,0.5372,0.6248,0.692,0.5804,0.6362
27.4,-0.0021,0.7965,0.6831,0.6768,0.6888,0.6828,0.7207,0.5634,0.642,0.7042,0.5927,0.6485
27.5,0.0195,0.7692,0.6982,0.6706,0.6514,0.661,0.7312,0.5895,0.6604,0.716,0.6053,0.6606
27.6,0.0401,0.739,0.7103,0.6657,0.613,0.6393,0.7439,0.6145,0.6792,0.7273,0.6178,0.6726
27.7,0.0567,0.7072,0.7188,0.6623,0.5763,0.6193,0.7585,0.6377,0.6981,0.7377,0.6298,0.6838
27.8,0.0678,0.6758,0.7232,0.6609,0.5444,0.6026,0.7748,0.6591,0.717,0.7473,0.6404,0.6939
27.9,0.0734,0.6466,0.7232,0.6619,0.5192,0.5905,0.7927,0.6785,0.7356,0.7565,0.6488,0.7027
28,0.0745,0.6201,0.7184,0.6653,0.5012,0.5832,0.8114,0.6956,0.7535,0.7655,0.6548,0.7101
28.1,0.0717,0.5961,0.7092,0.6702,0.4901,0.5802,0.8301,0.7097,0.7699,0.7743,0.6586,0.7164
28.2,0.0653,0.5739,0.6963,0.676,0.485,0.5805,0.848,0.7204,0.7842,0.7829,0.6607,0.7218
28.3,0.0558,0.5533,0.6807,0.682,0.4856,0.5838,0.8643,0.7276,0.796,0.7911,0.6616,0.7263
28.4,0.0433,0.5346,0.6634,0.6876,0.4913,0.5895,0.8784,0.7313,0.8048,0.7989,0.6614,0.7301
28.5,0.0282,0.5181,0.6447,0.6919,0.5014,0.5967,0.8893,0.7312,0.8103,0.806,0.6598,0.7329
28.6,0.0107,0.5036,0.624,0.6939,0.5147,0.6043,0.8962,0.7269,0.8115,0.8119,0.6568,0.7343
28.7,-0.0087,0.4906,0.601,0.6928,0.5298,0.6113,0.8986,0.7178,0.8082,0.8157,0.6521,0.7339
28.8,-0.0292,0.4784,0.576,0.6886,0.546,0.6173,0.8969,0.7044,0.8007,0.8168,0.6457,0.7313
28.9,-0.0499,0.4671,0.5502,0.682,0.563,0.6225,0.8925,0.6877,0.7901,0.8152,0.638,0.7266
29,-0.0695,0.4566,0.5248,0.6735,0.5803,0.6269,0.8868,0.6687,0.7777,0.8114,0.6293,0.7204
29.1,-0.0876,0.4469,0.5008,0.663,0.5973,0.6301,0.8804,0.6483,0.7643,0.8063,0.6203,0.7133
29.2,-0.1041,0.438,0.4789,0.6501,0.6134,0.6318,0.8734,0.627,0.7502,0.8007,0.6113,0.706
29.3,-0.1189,0.43,0.4594,0.6349,0.6287,0.6318,0.8656,0.605,0.7353,0.7952,0.6022,0.6987
29.4,-0.1306,0.4237,0.4425,0.618,0.6429,0.6305,0.8569,0.582,0.7195,0.7893,0.5921,0.6907
29.5,-0.1374,0.4199,0.4283,0.6007,0.6561,0.6284,0.8473,0.558,0.7027,0.782,0.5802,0.6811
29.6,-0.1374,0.4192,0.4166,0.5847,0.6677,0.6262,0.837,0.5333,0.6852,0.7728,0.5659,0.6694
29.7,-0.1309,0.4222,0.4075,0.5713,0.6778,0.6245,0.8262,0.5088,0.6675,0.762,0.5495,0.6558
29.8,-0.1194,0.4295,0.4009,0.5615,0.6871,0.6243,0.8153,0.4857,0.6505,0.751,0.5316,0.6413
29.9,-0.1047,0.4415,0.3969,0.5562,0.6962,0.6262,0.805,0.4651,0.6351,0.7404,0.5122,0.6263
30,-0.0882,0.4579,0.3947,0.5551,0.7052,0.6302,0.7956,0.4478,0.6217,0.7301,0.491,0.6105
