Time,Maybelline - MakeUp,Maybelline - MakeUp,Maybelline - MakeUp,Maybelline - MakeUp,Maybelline - MakeUp,Maybelline - MakeUp,Maybelline - MakeUp,Maybelline - MakeUp,Maybelline - MakeUp,Maybelline - MakeUp,Maybelline - MakeUp,Maybelline - MakeUp
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.0081,0.5349,0.5424,0.5422,0.6091,0.5756,0.5423,0.5642,0.5533,0.5101,0.5321,0.5211
0.1,-0.0072,0.5405,0.5441,0.5431,0.6108,0.5769,0.5509,0.5697,0.5603,0.5188,0.5349,0.5269
0.2,-0.0047,0.547,0.5474,0.5452,0.614,0.5796,0.5611,0.5778,0.5694,0.5295,0.5399,0.5347
0.3,-0.0011,0.5542,0.552,0.5483,0.6186,0.5835,0.5726,0.588,0.5803,0.5418,0.5473,0.5446
0.4,0.0032,0.5621,0.5581,0.553,0.6248,0.5889,0.5853,0.6006,0.5929,0.5555,0.5573,0.5564
0.5,0.0075,0.5709,0.5659,0.5595,0.6327,0.5961,0.5992,0.6155,0.6073,0.5708,0.57,0.5704
0.6,0.0114,0.5807,0.5757,0.5683,0.6424,0.6054,0.6143,0.6325,0.6234,0.5874,0.5856,0.5865
0.7,0.0152,0.5915,0.5874,0.5795,0.6539,0.6167,0.6304,0.6516,0.641,0.6051,0.6038,0.6045
0.8,0.0195,0.6033,0.6012,0.5931,0.6669,0.63,0.6473,0.6726,0.66,0.6238,0.6243,0.6241
0.9,0.0242,0.6157,0.6171,0.6084,0.681,0.6447,0.6647,0.695,0.6799,0.6432,0.6466,0.6449
1,0.029,0.6283,0.6349,0.6247,0.6956,0.6601,0.6822,0.718,0.7001,0.6629,0.6701,0.6665
1.1,0.0329,0.6404,0.6541,0.641,0.7098,0.6754,0.6992,0.7406,0.7199,0.6821,0.6942,0.6881
1.2,0.0354,0.6516,0.6737,0.6567,0.7233,0.69,0.7147,0.7619,0.7383,0.7004,0.7181,0.7092
1.3,0.0362,0.6617,0.693,0.6714,0.7356,0.7035,0.7282,0.7812,0.7547,0.7167,0.7406,0.7287
1.4,0.0351,0.6706,0.7112,0.6845,0.7465,0.7155,0.7389,0.7979,0.7684,0.7305,0.7609,0.7457
1.5,0.0319,0.6781,0.7283,0.6954,0.7558,0.7256,0.7467,0.8117,0.7792,0.7414,0.7784,0.7599
1.6,0.0268,0.6844,0.7443,0.7041,0.7634,0.7338,0.7519,0.8228,0.7874,0.7495,0.793,0.7713
