Time,Holden - Next Generation,Holden - Next Generation,Holden - Next Generation,Holden - Next Generation,Holden - Next Generation,Holden - Next Generation,Holden - Next Generation,Holden - Next Generation,Holden - Next Generation,Holden - Next Generation,Holden - Next Generation,Holden - Next Generation
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
26.7,-0.1311,0.6466,0.6525,0.7616,0.705,0.7333,0.6803,0.7018,0.691,0.6937,0.6973,0.6955
26.8,-0.143,0.6479,0.6616,0.7594,0.7053,0.7324,0.6872,0.7118,0.6995,0.6923,0.7055,0.6989
26.9,-0.1557,0.6493,0.6703,0.7568,0.7053,0.731,0.6928,0.7202,0.7065,0.6895,0.7113,0.7004
27,-0.1689,0.6506,0.6782,0.7535,0.705,0.7292,0.6965,0.727,0.7118,0.6847,0.7145,0.6996
27.1,-0.1825,0.6517,0.685,0.7493,0.7042,0.7267,0.698,0.732,0.715,0.6776,0.7149,0.6963
27.2,-0.1962,0.6524,0.6904,0.7442,0.7029,0.7236,0.6967,0.7353,0.716,0.6682,0.7126,0.6904
27.3,-0.2091,0.6528,0.6942,0.7383,0.7009,0.7196,0.6928,0.7368,0.7148,0.6568,0.7075,0.6822
27.4,-0.2208,0.6525,0.6963,0.7315,0.698,0.7147,0.6868,0.7367,0.7117,0.6437,0.6996,0.6716
27.5,-0.2316,0.6513,0.6963,0.7236,0.6939,0.7088,0.6789,0.7349,0.7069,0.629,0.6888,0.6589
27.6,-0.2417,0.6488,0.694,0.7145,0.6883,0.7014,0.6693,0.7311,0.7002,0.6127,0.6753,0.644
27.7,-0.2509,0.6447,0.6888,0.7038,0.6811,0.6924,0.658,0.725,0.6915,0.5947,0.6595,0.6271
27.8,-0.2585,0.6388,0.6808,0.6913,0.6723,0.6818,0.645,0.7164,0.6807,0.5751,0.6419,0.6085
27.9,-0.2636,0.6315,0.6702,0.6774,0.6622,0.6698,0.6305,0.7056,0.668,0.5537,0.6231,0.5884
28,-0.2659,0.6235,0.6576,0.6625,0.6512,0.6569,0.6148,0.6933,0.6541,0.531,0.6039,0.5674
28.1,-0.266,0.6152,0.6435,0.647,0.6398,0.6434,0.5987,0.6805,0.6396,0.5074,0.5848,0.5461
28.2,-0.2645,0.6073,0.6284,0.6313,0.6284,0.6298,0.5829,0.6678,0.6254,0.4837,0.5664,0.525
28.3,-0.2613,0.6,0.6128,0.616,0.6174,0.6167,0.568,0.6559,0.612,0.4609,0.5492,0.505
28.4,-0.2559,0.5942,0.5977,0.6016,0.6074,0.6045,0.5548,0.6452,0.6,0.4398,0.5337,0.4867
28.5,-0.2481,0.5905,0.5842,0.5892,0.5992,0.5942,0.5438,0.6362,0.59,0.4211,0.52,0.4705
28.6,-0.2388,0.5894,0.5736,0.5794,0.5934,0.5864,0.5357,0.6298,0.5828,0.4049,0.5086,0.4568
28.7,-0.2289,0.5911,0.5668,0.5729,0.5902,0.5816,0.5308,0.627,0.5789,0.3919,0.5,0.446
28.8,-0.2191,0.5954,0.5643,0.57,0.5902,0.5801,0.5289,0.6284,0.5787,0.3822,0.4947,0.4384
28.9,-0.2103,0.602,0.566,0.5707,0.5934,0.582,0.53,0.6339,0.5819,0.3761,0.4927,0.4344
29,-0.2027,0.6104,0.5717,0.5748,0.5996,0.5872,0.5333,0.6429,0.5881,0.3733,0.4937,0.4335
29.1,-0.1962,0.6202,0.5812,0.5819,0.6082,0.595,0.5383,0.6545,0.5964,0.3736,0.497,0.4353
29.2,-0.1904,0.6306,0.5944,0.591,0.6185,0.6048,0.5442,0.6681,0.6061,0.3765,0.5023,0.4394
29.3,-0.1853,0.6411,0.6112,0.6015,0.6297,0.6156,0.551,0.6832,0.6171,0.3818,0.5093,0.4455
29.4,-0.181,0.6511,0.6314,0.6124,0.6412,0.6268,0.5587,0.6993,0.629,0.389,0.518,0.4535
29.5,-0.1774,0.6602,0.6544,0.6234,0.6523,0.6379,0.5672,0.7161,0.6417,0.3978,0.5281,0.463
29.6,-0.1747,0.6682,0.6793,0.6341,0.6624,0.6483,0.5765,0.7328,0.6546,0.4074,0.5392,0.4733
29.7,-0.1731,0.6749,0.7053,0.6441,0.6712,0.6577,0.5861,0.7486,0.6673,0.4174,0.5501,0.4838
29.8,-0.1727,0.6802,0.7312,0.6532,0.6788,0.666,0.5958,0.7631,0.6795,0.4273,0.5601,0.4937
29.9,-0.1734,0.684,0.7563,0.6611,0.6854,0.6732,0.6054,0.7762,0.6908,0.4369,0.5683,0.5026
30,-0.1743,0.6861,0.7798,0.6678,0.6912,0.6795,0.615,0.7878,0.7014,0.4459,0.5742,0.51
30.1,-0.1744,0.6864,0.8013,0.6735,0.6961,0.6848,0.6246,0.798,0.7113,0.4541,0.5778,0.5159
30.2,-0.1727,0.6853,0.8209,0.6782,0.7003,0.6893,0.634,0.8066,0.7203,0.4609,0.5793,0.5201
30.3,-0.1693,0.6831,0.8381,0.6822,0.7038,0.693,0.6429,0.8135,0.7282,0.4663,0.579,0.5227
30.4,-0.1645,0.6803,0.8527,0.6854,0.7067,0.696,0.6508,0.8186,0.7347,0.4701,0.5772,0.5236
30.5,-0.159,0.6771,0.8642,0.6874,0.7092,0.6983,0.6573,0.8216,0.7394,0.4725,0.5733,0.5229
30.6,-0.1533,0.6733,0.8724,0.6877,0.7108,0.6993,0.662,0.8223,0.7421,0.4734,0.5671,0.5203
30.7,-0.1478,0.6688,0.8772,0.6858,0.7116,0.6987,0.6648,0.8204,0.7426,0.4729,0.5585,0.5157
30.8,-0.1429,0.6634,0.8786,0.6811,0.7113,0.6962,0.6657,0.8162,0.7409,0.471,0.548,0.5095
30.9,-0.1395,0.6574,0.8766,0.6734,0.7104,0.6919,0.6648,0.8096,0.7372,0.4679,0.5363,0.5021
31,-0.1381,0.6509,0.8711,0.6633,0.7092,0.6862,0.6623,0.8012,0.7317,0.464,0.5242,0.4941
31.1,-0.1388,0.6442,0.8622,0.6512,0.708,0.6796,0.6585,0.7913,0.7249,0.4601,0.5125,0.4863
31.2,-0.1422,0.6377,0.8506,0.638,0.7069,0.6724,0.6543,0.7805,0.7174,0.4568,0.5019,0.4794
31.3,-0.1489,0.6318,0.8373,0.6242,0.7057,0.6649,0.6504,0.7696,0.71,0.4549,0.4931,0.474
31.4,-0.1597,0.6266,0.823,0.6103,0.7045,0.6574,0.6473,0.7592,0.7032,0.4551,0.4866,0.4709
31.5,-0.1747,0.6223,0.8085,0.597,0.7035,0.6502,0.6452,0.7497,0.6975,0.4578,0.4827,0.4703
31.6,-0.1931,0.6189,0.7944,0.5848,0.7029,0.6439,0.6441,0.7413,0.6927,0.4632,0.4815,0.4724
31.7,-0.2135,0.6167,0.7812,0.5743,0.7031,0.6387,0.6436,0.7337,0.6886,0.4711,0.483,0.477
31.8,-0.235,0.6161,0.7693,0.5659,0.7038,0.6348,0.6435,0.7266,0.6851,0.4815,0.4871,0.4843
31.9,-0.2577,0.617,0.7587,0.5595,0.7045,0.632,0.6437,0.7201,0.6819,0.4941,0.4941,0.4941
32,-0.2818,0.619,0.7493,0.5546,0.705,0.6298,0.6441,0.7144,0.6792,0.5089,0.504,0.5065
32.1,-0.3071,0.6217,0.7406,0.551,0.7052,0.6281,0.6446,0.709,0.6768,0.5255,0.5166,0.5211
32.2,-0.3333,0.6246,0.7321,0.5487,0.7055,0.6271,0.6454,0.7036,0.6745,0.5438,0.5313,0.5375
32.3,-0.3595,0.6275,0.7238,0.548,0.706,0.627,0.6465,0.698,0.6722,0.5633,0.5474,0.5554
