Time,Childrens Panadol - Logan 15 TVC,Childrens Panadol - Logan 15 TVC,Childrens Panadol - Logan 15 TVC,Childrens Panadol - Logan 15 TVC,Childrens Panadol - Logan 15 TVC,Childrens Panadol - Logan 15 TVC,Childrens Panadol - Logan 15 TVC,Childrens Panadol - Logan 15 TVC,Childrens Panadol - Logan 15 TVC,Childrens Panadol - Logan 15 TVC,Childrens Panadol - Logan 15 TVC,Childrens Panadol - Logan 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
4.4,-0.0645,0.5361,0.3932,0.3671,0.5331,0.4501,0.2683,0.351,0.3096,0.199,0.2903,0.2447
4.5,-0.0524,0.5406,0.3978,0.3582,0.53,0.4441,0.274,0.3335,0.3037,0.1899,0.2938,0.2419
4.6,-0.0369,0.5447,0.4006,0.3509,0.5246,0.4377,0.2807,0.3142,0.2974,0.1814,0.2985,0.24
4.7,-0.0189,0.5478,0.4018,0.3445,0.5159,0.4302,0.2868,0.2933,0.2901,0.1747,0.3042,0.2394
4.8,-0.0002,0.5492,0.4023,0.3381,0.5036,0.4209,0.2914,0.2711,0.2812,0.1699,0.3101,0.24
4.9,0.018,0.5489,0.4023,0.3312,0.4882,0.4097,0.2942,0.2487,0.2715,0.1674,0.3155,0.2414
5,0.0346,0.5469,0.4019,0.3239,0.4707,0.3973,0.2962,0.2276,0.2619,0.1678,0.3202,0.244
5.1,0.0474,0.5431,0.4006,0.3159,0.4526,0.3842,0.2978,0.2091,0.2534,0.1715,0.3249,0.2482
5.2,0.0542,0.5376,0.3981,0.307,0.4343,0.3707,0.2988,0.1943,0.2465,0.1787,0.3295,0.2541
5.3,0.0541,0.5302,0.3941,0.2969,0.416,0.3565,0.2983,0.1838,0.2411,0.1891,0.3342,0.2616
5.4,0.0472,0.5207,0.3888,0.2864,0.3974,0.3419,0.2963,0.1783,0.2373,0.2028,0.3391,0.2709
5.5,0.0339,0.5091,0.3831,0.2762,0.3793,0.3277,0.2932,0.1782,0.2357,0.2204,0.3453,0.2828
5.6,0.0147,0.4952,0.3778,0.267,0.3628,0.3149,0.2897,0.1838,0.2368,0.2422,0.3543,0.2983
5.7,-0.0108,0.4795,0.3731,0.2592,0.3487,0.304,0.2866,0.1951,0.2409,0.2678,0.3664,0.3171
5.8,-0.0431,0.4626,0.3694,0.2524,0.338,0.2952,0.2841,0.2123,0.2482,0.2958,0.3809,0.3384
5.9,-0.0815,0.4463,0.3667,0.2466,0.3314,0.289,0.2825,0.2356,0.259,0.3253,0.3968,0.3611
6,-0.124,0.4324,0.3655,0.2429,0.3291,0.286,0.2823,0.265,0.2736,0.3563,0.4138,0.3851
6.1,-0.1684,0.422,0.3658,0.2429,0.331,0.287,0.2836,0.3,0.2918,0.389,0.432,0.4105
6.2,-0.2124,0.4152,0.3676,0.2479,0.3362,0.292,0.2861,0.3392,0.3127,0.4228,0.451,0.4369
6.3,-0.2541,0.4113,0.3702,0.2582,0.3432,0.3007,0.2897,0.3808,0.3353,0.4567,0.4704,0.4636
6.4,-0.2923,0.4097,0.3728,0.2735,0.351,0.3122,0.2941,0.423,0.3585,0.4902,0.4901,0.4902
6.5,-0.3263,0.4108,0.375,0.2936,0.3595,0.3265,0.2995,0.4638,0.3817,0.5233,0.5105,0.5169
6.6,-0.3571,0.4149,0.3768,0.3183,0.3692,0.3438,0.3059,0.5017,0.4038,0.5561,0.5314,0.5438
6.7,-0.3854,0.4216,0.3787,0.3473,0.3806,0.3639,0.3132,0.5349,0.4241,0.5879,0.5526,0.5703
6.8,-0.4108,0.4303,0.3811,0.3802,0.3932,0.3867,0.3214,0.5618,0.4416,0.6178,0.5738,0.5958
6.9,-0.4313,0.4409,0.3843,0.4168,0.4062,0.4115,0.3305,0.5817,0.4561,0.6444,0.5945,0.6194
7,-0.4439,0.4534,0.3882,0.4568,0.4189,0.4379,0.3405,0.5949,0.4677,0.6668,0.6141,0.6404
7.1,-0.4454,0.4673,0.3927,0.4994,0.4306,0.465,0.3514,0.602,0.4767,0.6847,0.6319,0.6583
7.2,-0.4346,0.4815,0.3975,0.5424,0.4403,0.4913,0.3627,0.6035,0.4831,0.6981,0.6471,0.6726
7.3,-0.4136,0.4945,0.4024,0.5824,0.447,0.5147,0.373,0.599,0.486,0.7068,0.6589,0.6828
7.4,-0.3852,0.5052,0.4075,0.6166,0.4497,0.5332,0.3812,0.5888,0.485,0.7109,0.6664,0.6887
7.5,-0.3516,0.5135,0.4127,0.644,0.4477,0.5458,0.3871,0.5736,0.4804,0.7102,0.6689,0.6896
7.6,-0.3151,0.52,0.4185,0.6646,0.4415,0.553,0.3914,0.5547,0.473,0.7048,0.6656,0.6852
7.7,-0.2781,0.5254,0.4249,0.6788,0.4327,0.5557,0.3947,0.5331,0.4639,0.6948,0.6566,0.6757
7.8,-0.2427,0.5303,0.432,0.6865,0.4233,0.5549,0.3978,0.5098,0.4538,0.6808,0.6423,0.6615
7.9,-0.211,0.5348,0.4401,0.6874,0.4148,0.5511,0.401,0.4856,0.4433,0.6638,0.6237,0.6438
8,-0.1838,0.5391,0.4498,0.6822,0.4091,0.5457,0.4042,0.4618,0.433,0.6445,0.602,0.6232
8.1,-0.1605,0.5437,0.4616,0.6722,0.4073,0.5398,0.4078,0.4396,0.4237,0.6237,0.5778,0.6008
8.2,-0.14,0.5492,0.4754,0.6595,0.4099,0.5347,0.4123,0.4206,0.4165,0.6023,0.5525,0.5774
8.3,-0.1222,0.556,0.4899,0.6458,0.4165,0.5311,0.418,0.4055,0.4118,0.5808,0.5268,0.5538
8.4,-0.1081,0.5645,0.5038,0.6327,0.4262,0.5295,0.4251,0.3947,0.4099,0.56,0.5018,0.5309
8.5,-0.0984,0.5747,0.5165,0.6214,0.4379,0.5296,0.4335,0.3884,0.411,0.5408,0.4782,0.5095
8.6,-0.0924,0.5862,0.5285,0.6123,0.4507,0.5315,0.4432,0.3863,0.4147,0.5235,0.4565,0.49
8.7,-0.0887,0.5989,0.5405,0.6057,0.4639,0.5348,0.4535,0.3882,0.4209,0.5082,0.4373,0.4728
8.8,-0.0864,0.6122,0.5528,0.6017,0.4768,0.5392,0.4642,0.3933,0.4288,0.4955,0.4214,0.4585
8.9,-0.0856,0.6251,0.5648,0.5996,0.4888,0.5442,0.4748,0.4008,0.4378,0.4857,0.4093,0.4475
9,-0.0873,0.6373,0.5762,0.5991,0.4997,0.5494,0.4848,0.4103,0.4475,0.4785,0.4007,0.4396
9.1,-0.0921,0.6485,0.5871,0.5998,0.5092,0.5545,0.4934,0.4217,0.4576,0.4732,0.3946,0.4339
9.2,-0.1003,0.6586,0.5978,0.6016,0.5175,0.5596,0.5001,0.435,0.4675,0.4696,0.3907,0.4301
9.3,-0.1112,0.667,0.6083,0.6047,0.5243,0.5645,0.5042,0.4497,0.477,0.4682,0.3893,0.4287
9.4,-0.1244,0.6729,0.6185,0.6086,0.5289,0.5688,0.5056,0.4649,0.4852,0.4699,0.3914,0.4306
9.5,-0.14,0.6754,0.6277,0.6126,0.5308,0.5717,0.5038,0.48,0.4919,0.4747,0.3977,0.4362
