Time,Drumstick - Let's Clean Up Our Backyard 30 TVC,Drumstick - Let's Clean Up Our Backyard 30 TVC,Drumstick - Let's Clean Up Our Backyard 30 TVC,Drumstick - Let's Clean Up Our Backyard 30 TVC,Drumstick - Let's Clean Up Our Backyard 30 TVC,Drumstick - Let's Clean Up Our Backyard 30 TVC,Drumstick - Let's Clean Up Our Backyard 30 TVC,Drumstick - Let's Clean Up Our Backyard 30 TVC,Drumstick - Let's Clean Up Our Backyard 30 TVC,Drumstick - Let's Clean Up Our Backyard 30 TVC,Drumstick - Let's Clean Up Our Backyard 30 TVC,Drumstick - Let's Clean Up Our Backyard 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
22.3,0.0427,0.4266,0.4268,0.2664,0.5203,0.3933,0.4362,0.2959,0.366,0.424,0.3161,0.3701
22.4,0.0221,0.4279,0.4201,0.264,0.5173,0.3906,0.4444,0.2804,0.3624,0.4323,0.3185,0.3754
22.5,0.0002,0.4287,0.4177,0.2663,0.5118,0.389,0.4524,0.2694,0.3609,0.4366,0.3231,0.3799
22.6,-0.0213,0.4295,0.4195,0.2737,0.5035,0.3886,0.4598,0.263,0.3614,0.4374,0.3305,0.384
22.7,-0.0403,0.4305,0.4254,0.2863,0.4922,0.3892,0.4662,0.261,0.3636,0.4356,0.3403,0.388
22.8,-0.0553,0.4316,0.4348,0.3031,0.4778,0.3905,0.4715,0.2632,0.3674,0.4318,0.3517,0.3918
22.9,-0.0663,0.4326,0.4465,0.3225,0.4602,0.3914,0.4764,0.2691,0.3727,0.4268,0.3638,0.3953
23,-0.0735,0.433,0.4584,0.3424,0.4397,0.3911,0.481,0.2776,0.3793,0.4218,0.3766,0.3992
23.1,-0.0769,0.4323,0.4688,0.3614,0.417,0.3892,0.4854,0.2876,0.3865,0.4181,0.39,0.404
23.2,-0.0764,0.43,0.4764,0.3781,0.393,0.3856,0.4895,0.2979,0.3937,0.4161,0.4041,0.4101
23.3,-0.0727,0.4257,0.4801,0.392,0.3689,0.3805,0.4933,0.3079,0.4006,0.4165,0.4187,0.4176
23.4,-0.0665,0.4197,0.4794,0.4029,0.3456,0.3743,0.4971,0.3171,0.4071,0.42,0.4334,0.4267
23.5,-0.059,0.4128,0.4746,0.4112,0.3235,0.3674,0.5008,0.3256,0.4132,0.4273,0.4481,0.4377
23.6,-0.0516,0.4063,0.4666,0.4171,0.3033,0.3602,0.5034,0.3331,0.4182,0.4384,0.4626,0.4505
23.7,-0.0451,0.4014,0.4565,0.4207,0.2851,0.3529,0.5045,0.3395,0.422,0.4526,0.4773,0.4649
23.8,-0.0403,0.3984,0.4448,0.4217,0.2691,0.3454,0.5044,0.3445,0.4245,0.4694,0.4923,0.4808
23.9,-0.0375,0.3971,0.4316,0.4197,0.256,0.3378,0.5042,0.3482,0.4262,0.4884,0.5076,0.498
24,-0.037,0.3972,0.4173,0.4144,0.247,0.3307,0.5051,0.3509,0.428,0.5094,0.5231,0.5162
24.1,-0.0392,0.3988,0.4024,0.4066,0.2436,0.3251,0.5073,0.3528,0.4301,0.5316,0.5384,0.535
24.2,-0.0442,0.4022,0.3876,0.3972,0.2464,0.3218,0.5102,0.3539,0.4321,0.554,0.5535,0.5537
24.3,-0.0513,0.4077,0.3736,0.3869,0.2548,0.3208,0.5129,0.3535,0.4332,0.5751,0.5679,0.5715
24.4,-0.0596,0.4146,0.3605,0.3761,0.267,0.3215,0.5152,0.351,0.4331,0.5942,0.5809,0.5876
24.5,-0.0689,0.4223,0.3482,0.3648,0.2813,0.3231,0.5171,0.3462,0.4316,0.6111,0.5918,0.6015
24.6,-0.0796,0.4299,0.337,0.3532,0.2965,0.3248,0.5186,0.3393,0.429,0.6261,0.5998,0.6129
24.7,-0.0925,0.437,0.3272,0.3413,0.3122,0.3267,0.5199,0.331,0.4254,0.6387,0.605,0.6218
24.8,-0.1081,0.4434,0.3189,0.3294,0.3281,0.3288,0.5209,0.3217,0.4213,0.6483,0.6075,0.6279
24.9,-0.1267,0.4488,0.3124,0.3181,0.3435,0.3308,0.5222,0.3118,0.417,0.6547,0.6078,0.6313
25,-0.1475,0.4531,0.3074,0.3077,0.357,0.3323,0.5243,0.3014,0.4128,0.6577,0.606,0.6318
25.1,-0.1693,0.4557,0.3035,0.2979,0.3667,0.3323,0.5279,0.2906,0.4092,0.6573,0.6018,0.6295
25.2,-0.1912,0.4555,0.3004,0.2884,0.3711,0.3297,0.5335,0.2794,0.4064,0.6539,0.5956,0.6248
25.3,-0.2123,0.4518,0.2982,0.2785,0.3694,0.324,0.5411,0.2681,0.4046,0.6483,0.5883,0.6183
25.4,-0.2322,0.4451,0.2968,0.2684,0.362,0.3152,0.5506,0.2572,0.4039,0.6411,0.5809,0.611
25.5,-0.25,0.4365,0.2964,0.259,0.3493,0.3042,0.5615,0.2476,0.4045,0.6325,0.5737,0.6031
25.6,-0.2643,0.4275,0.297,0.2516,0.3318,0.2917,0.5735,0.2402,0.4068,0.6223,0.5663,0.5943
25.7,-0.2745,0.4191,0.2994,0.247,0.3097,0.2783,0.5863,0.2355,0.4109,0.6106,0.5582,0.5844
25.8,-0.28,0.4117,0.3036,0.2452,0.283,0.2641,0.5997,0.2342,0.4169,0.598,0.5492,0.5736
25.9,-0.2806,0.4053,0.3099,0.246,0.2525,0.2493,0.6135,0.2364,0.425,0.5855,0.5398,0.5626
26,-0.2753,0.4001,0.318,0.2493,0.2194,0.2343,0.6279,0.2426,0.4352,0.574,0.5305,0.5522
26.1,-0.2633,0.3965,0.3278,0.2551,0.1845,0.2198,0.6427,0.2529,0.4478,0.5637,0.5211,0.5424
26.2,-0.2444,0.3949,0.3388,0.2638,0.1494,0.2066,0.6576,0.267,0.4623,0.5547,0.5119,0.5333
26.3,-0.219,0.3954,0.3509,0.2756,0.1153,0.1955,0.6719,0.2842,0.4781,0.5466,0.5036,0.5251
26.4,-0.1872,0.398,0.3636,0.2903,0.0832,0.1868,0.6847,0.3034,0.4941,0.5394,0.4964,0.5179
26.5,-0.1489,0.4025,0.3764,0.3074,0.054,0.1807,0.6952,0.3234,0.5093,0.5329,0.4905,0.5117
26.6,-0.1048,0.4086,0.3885,0.3263,0.0287,0.1775,0.7031,0.3429,0.523,0.5268,0.4856,0.5062
26.7,-0.0565,0.4163,0.3987,0.3459,0.0083,0.1771,0.708,0.3608,0.5344,0.521,0.4816,0.5013
26.8,-0.0051,0.425,0.4066,0.3643,-0.0063,0.179,0.7094,0.3761,0.5428,0.5154,0.4787,0.497
26.9,0.0482,0.4342,0.4122,0.3796,-0.0147,0.1825,0.7066,0.3882,0.5474,0.5099,0.4769,0.4934
27,0.1024,0.4433,0.4152,0.3902,-0.0166,0.1868,0.6995,0.396,0.5477,0.5044,0.4759,0.4901
27.1,0.1565,0.4514,0.4152,0.3958,-0.012,0.1919,0.6883,0.3992,0.5437,0.4991,0.4755,0.4873
27.2,0.2073,0.4577,0.4117,0.3968,-0.0011,0.1979,0.6735,0.3981,0.5358,0.4947,0.4754,0.485
27.3,0.2513,0.4617,0.4041,0.3942,0.016,0.2051,0.6559,0.3932,0.5246,0.4914,0.475,0.4832
27.4,0.2864,0.4639,0.3923,0.3892,0.0383,0.2137,0.6366,0.3845,0.5105,0.4896,0.4742,0.4819
27.5,0.312,0.4653,0.3767,0.383,0.0636,0.2233,0.616,0.3716,0.4938,0.4896,0.473,0.4813
27.6,0.3283,0.4672,0.3579,0.3765,0.0892,0.2328,0.5946,0.3538,0.4742,0.4917,0.4716,0.4816
27.7,0.3361,0.47,0.3363,0.3705,0.1125,0.2415,0.5732,0.3309,0.4521,0.4961,0.4703,0.4832
27.8,0.3367,0.4737,0.3118,0.3656,0.1319,0.2488,0.5523,0.3041,0.4282,0.5028,0.4692,0.486
27.9,0.3315,0.4782,0.2844,0.3623,0.147,0.2547,0.5325,0.2751,0.4038,0.5113,0.468,0.4897
28,0.3224,0.4834,0.2543,0.3608,0.157,0.2589,0.5144,0.246,0.3802,0.5212,0.4669,0.494
28.1,0.3122,0.489,0.2223,0.3609,0.161,0.261,0.4987,0.2182,0.3584,0.5318,0.4658,0.4988
28.2,0.3029,0.4946,0.1895,0.3626,0.1583,0.2604,0.4863,0.1928,0.3395,0.5428,0.4649,0.5039
28.3,0.2965,0.5002,0.1571,0.3657,0.1488,0.2572,0.4786,0.1708,0.3247,0.5544,0.4641,0.5093
28.4,0.2951,0.5057,0.1261,0.3699,0.1339,0.2519,0.4769,0.1533,0.3151,0.5668,0.463,0.5149
28.5,0.2995,0.5111,0.0978,0.3747,0.1151,0.2449,0.4815,0.1409,0.3112,0.5795,0.462,0.5208
28.6,0.3096,0.5158,0.0727,0.3795,0.0942,0.2368,0.4915,0.1338,0.3126,0.5923,0.462,0.5271
28.7,0.3248,0.5194,0.0511,0.3841,0.0723,0.2282,0.5051,0.1313,0.3182,0.6043,0.4638,0.534
28.8,0.344,0.5212,0.033,0.3884,0.05,0.2192,0.5205,0.1324,0.3264,0.6145,0.4668,0.5406
28.9,0.3645,0.5206,0.018,0.3919,0.0281,0.21,0.5361,0.136,0.336,0.6221,0.4695,0.5458
29,0.3835,0.517,0.0058,0.3938,0.0075,0.2006,0.5512,0.1408,0.346,0.6269,0.4706,0.5488
29.1,0.3984,0.5099,-0.0039,0.3921,-0.011,0.1906,0.5655,0.1456,0.3556,0.6288,0.4694,0.5491
29.2,0.4074,0.4986,-0.0121,0.3857,-0.0267,0.1795,0.5787,0.149,0.3639,0.6275,0.4658,0.5466
29.3,0.4097,0.4833,-0.0197,0.3744,-0.039,0.1677,0.5903,0.1503,0.3703,0.623,0.4592,0.5411
29.4,0.4055,0.4647,-0.0271,0.3595,-0.0471,0.1562,0.5999,0.1492,0.3746,0.6161,0.4501,0.5331
29.5,0.3956,0.4442,-0.0345,0.3426,-0.0508,0.1459,0.6076,0.1457,0.3766,0.6072,0.4389,0.5231
29.6,0.3815,0.4223,-0.041,0.3249,-0.05,0.1374,0.6131,0.1399,0.3765,0.5963,0.4258,0.511
29.7,0.3647,0.3989,-0.0465,0.3063,-0.0454,0.1305,0.6161,0.132,0.3741,0.5831,0.4109,0.497
29.8,0.3471,0.3734,-0.0507,0.2869,-0.0375,0.1247,0.6161,0.1224,0.3692,0.5678,0.3945,0.4812
29.9,0.3303,0.3462,-0.0537,0.2674,-0.0265,0.1205,0.6124,0.1115,0.3619,0.5507,0.377,0.4639
