Time,Telstra - Australia is Why - Security 15 TVC,Telstra - Australia is Why - Security 15 TVC,Telstra - Australia is Why - Security 15 TVC,Telstra - Australia is Why - Security 15 TVC,Telstra - Australia is Why - Security 15 TVC,Telstra - Australia is Why - Security 15 TVC,Telstra - Australia is Why - Security 15 TVC,Telstra - Australia is Why - Security 15 TVC,Telstra - Australia is Why - Security 15 TVC,Telstra - Australia is Why - Security 15 TVC,Telstra - Australia is Why - Security 15 TVC,Telstra - Australia is Why - Security 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.3306,0.306,0.4085,0.3605,0.335,0.3477,0.3302,0.5125,0.4214,0.6327,0.6232,0.628
0.1,-0.3753,0.2729,0.3888,0.3296,0.3347,0.3322,0.3146,0.5122,0.4134,0.6021,0.593,0.5976
0.2,-0.4162,0.245,0.3756,0.2977,0.3356,0.3166,0.3005,0.5132,0.4068,0.5729,0.5624,0.5676
0.3,-0.4536,0.2219,0.3682,0.2651,0.3366,0.3008,0.2878,0.5143,0.4011,0.5456,0.5316,0.5386
0.4,-0.4875,0.2033,0.3652,0.2323,0.337,0.2847,0.2762,0.5143,0.3953,0.5201,0.5008,0.5105
0.5,-0.5182,0.189,0.3657,0.1995,0.3368,0.2682,0.2651,0.5125,0.3888,0.4964,0.4704,0.4834
0.6,-0.5465,0.1788,0.3689,0.1666,0.3363,0.2515,0.254,0.5083,0.3812,0.4746,0.4409,0.4578
0.7,-0.5735,0.1725,0.3743,0.1344,0.3355,0.235,0.2431,0.5016,0.3723,0.4551,0.4132,0.4341
0.8,-0.5997,0.1699,0.3812,0.1043,0.3351,0.2197,0.2325,0.4923,0.3624,0.4381,0.3877,0.4129
0.9,-0.6252,0.1711,0.3887,0.0776,0.3357,0.2067,0.2226,0.4812,0.3519,0.4236,0.3648,0.3942
1,-0.6501,0.176,0.3962,0.0553,0.3372,0.1963,0.2135,0.469,0.3412,0.411,0.3446,0.3778
1.1,-0.6748,0.1843,0.4032,0.0371,0.3394,0.1882,0.205,0.4565,0.3308,0.3995,0.3269,0.3632
1.2,-0.6994,0.1952,0.4101,0.0223,0.3412,0.1817,0.1967,0.4444,0.3205,0.3889,0.3116,0.3503
1.3,-0.7243,0.2075,0.4169,0.0097,0.342,0.1759,0.1885,0.4325,0.3105,0.3792,0.2989,0.3391
1.4,-0.7501,0.2199,0.4231,-0.0014,0.3417,0.1701,0.1805,0.4207,0.3006,0.3707,0.2885,0.3296
1.5,-0.7768,0.232,0.4277,-0.0114,0.3405,0.1646,0.1736,0.4088,0.2912,0.3632,0.2799,0.3215
1.6,-0.8042,0.2439,0.4298,-0.0195,0.3386,0.1596,0.1681,0.3968,0.2825,0.356,0.2723,0.3141
1.7,-0.8311,0.2565,0.4289,-0.0245,0.3363,0.1559,0.1642,0.3852,0.2747,0.3487,0.2654,0.3071
1.8,-0.8558,0.2708,0.4251,-0.0252,0.3337,0.1543,0.1623,0.3741,0.2682,0.3416,0.2593,0.3004
1.9,-0.8758,0.2871,0.4191,-0.0204,0.3314,0.1555,0.1629,0.364,0.2634,0.335,0.2539,0.2945
2,-0.8887,0.3056,0.4118,-0.01,0.3304,0.1602,0.1669,0.3554,0.2611,0.3301,0.2491,0.2896
2.1,-0.8926,0.3261,0.4041,0.0057,0.3318,0.1688,0.1747,0.3487,0.2617,0.3277,0.245,0.2864
2.2,-0.8857,0.3487,0.3968,0.0264,0.3365,0.1815,0.1863,0.3443,0.2653,0.3282,0.2415,0.2849
2.3,-0.8673,0.3733,0.3913,0.0516,0.3451,0.1983,0.2006,0.3426,0.2716,0.3319,0.239,0.2854
