Time,The Warehouse - Small Spenders Living Comfortably 15 TVC,The Warehouse - Small Spenders Living Comfortably 15 TVC,The Warehouse - Small Spenders Living Comfortably 15 TVC,The Warehouse - Small Spenders Living Comfortably 15 TVC,The Warehouse - Small Spenders Living Comfortably 15 TVC,The Warehouse - Small Spenders Living Comfortably 15 TVC,The Warehouse - Small Spenders Living Comfortably 15 TVC,The Warehouse - Small Spenders Living Comfortably 15 TVC,The Warehouse - Small Spenders Living Comfortably 15 TVC,The Warehouse - Small Spenders Living Comfortably 15 TVC,The Warehouse - Small Spenders Living Comfortably 15 TVC,The Warehouse - Small Spenders Living Comfortably 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.4868,0.8248,0.6317,0.6325,0.8793,0.7559,0.6784,0.5277,0.6031,0.3342,0.3879,0.3611
0.1,-0.5029,0.8432,0.6268,0.644,0.8873,0.7657,0.6457,0.528,0.5868,0.3467,0.4232,0.385
0.2,-0.5162,0.8589,0.6259,0.6534,0.891,0.7722,0.6135,0.5332,0.5733,0.3637,0.4637,0.4137
0.3,-0.527,0.872,0.6292,0.6604,0.8904,0.7754,0.5822,0.5431,0.5626,0.3842,0.5081,0.4462
0.4,-0.5348,0.8826,0.6364,0.6645,0.8856,0.7751,0.5521,0.5571,0.5546,0.4071,0.5544,0.4808
0.5,-0.5391,0.8903,0.6467,0.6652,0.8773,0.7713,0.5232,0.5739,0.5486,0.4314,0.5998,0.5156
0.6,-0.5396,0.8948,0.659,0.6625,0.8662,0.7643,0.4955,0.5923,0.5439,0.4562,0.6419,0.5491
0.7,-0.5366,0.8958,0.6726,0.6567,0.8522,0.7545,0.4689,0.611,0.5399,0.4806,0.6789,0.5797
0.8,-0.5304,0.8936,0.6871,0.6488,0.8356,0.7422,0.4435,0.6295,0.5365,0.5036,0.7096,0.6066
0.9,-0.5207,0.8886,0.7018,0.6394,0.8169,0.7282,0.4194,0.6474,0.5334,0.5241,0.7337,0.6289
1,-0.5074,0.8809,0.7159,0.6288,0.7968,0.7128,0.3963,0.6643,0.5303,0.5412,0.7508,0.646
1.1,-0.4906,0.8704,0.7281,0.6168,0.7757,0.6962,0.3744,0.6798,0.5271,0.5544,0.7604,0.6574
1.2,-0.4708,0.8565,0.7375,0.6026,0.7529,0.6778,0.3544,0.6932,0.5238,0.5636,0.7623,0.663
1.3,-0.4499,0.839,0.743,0.5863,0.7279,0.6571,0.337,0.7037,0.5204,0.5685,0.7572,0.6628
1.4,-0.4299,0.8183,0.7441,0.5687,0.7007,0.6347,0.3224,0.7105,0.5164,0.5688,0.7458,0.6573
1.5,-0.4126,0.7955,0.74,0.551,0.6725,0.6118,0.3097,0.7126,0.5112,0.5646,0.7292,0.6469
1.6,-0.3983,0.7721,0.7313,0.5342,0.6449,0.5896,0.2979,0.7101,0.504,0.5565,0.7091,0.6328
1.7,-0.3862,0.7492,0.7188,0.519,0.6192,0.5691,0.2865,0.7036,0.4951,0.5458,0.6875,0.6166
1.8,-0.3747,0.7273,0.7032,0.5064,0.5966,0.5515,0.2768,0.6949,0.4858,0.5338,0.6663,0.6
1.9,-0.363,0.707,0.6852,0.4971,0.5777,0.5374,0.2699,0.6849,0.4774,0.5214,0.6468,0.5841
2,-0.3509,0.6888,0.6648,0.4915,0.5622,0.5269,0.2663,0.6741,0.4702,0.5096,0.6296,0.5696
2.1,-0.3375,0.6736,0.6423,0.4901,0.5493,0.5197,0.2651,0.6621,0.4636,0.4995,0.615,0.5572
2.2,-0.3213,0.6617,0.6177,0.4926,0.5382,0.5154,0.2653,0.648,0.4566,0.4919,0.6022,0.5471
2.3,-0.3012,0.6531,0.5913,0.499,0.5285,0.5137,0.2666,0.6312,0.4489,0.4869,0.5903,0.5386
2.4,-0.2767,0.6467,0.5639,0.5091,0.5203,0.5147,0.269,0.6119,0.4405,0.4838,0.5783,0.531
2.5,-0.249,0.6421,0.5364,0.523,0.5141,0.5186,0.2733,0.5909,0.4321,0.482,0.5656,0.5238
2.6,-0.2199,0.6389,0.5102,0.541,0.5106,0.5258,0.2802,0.5692,0.4247,0.4817,0.5525,0.5171
2.7,-0.1909,0.637,0.4864,0.5628,0.5096,0.5362,0.2895,0.5478,0.4187,0.4826,0.5395,0.511
2.8,-0.1628,0.6363,0.4655,0.5873,0.5103,0.5488,0.3012,0.5276,0.4144,0.4842,0.5275,0.5059
2.9,-0.137,0.6368,0.4481,0.6132,0.5119,0.5626,0.3153,0.509,0.4121,0.4863,0.5173,0.5018
