Time,Voltaren Emulgel Tennis Match 30 TVC,Voltaren Emulgel Tennis Match 30 TVC,Voltaren Emulgel Tennis Match 30 TVC,Voltaren Emulgel Tennis Match 30 TVC,Voltaren Emulgel Tennis Match 30 TVC,Voltaren Emulgel Tennis Match 30 TVC,Voltaren Emulgel Tennis Match 30 TVC,Voltaren Emulgel Tennis Match 30 TVC,Voltaren Emulgel Tennis Match 30 TVC,Voltaren Emulgel Tennis Match 30 TVC,Voltaren Emulgel Tennis Match 30 TVC,Voltaren Emulgel Tennis Match 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
24.8,-0.0018,0.5529,0.5664,0.6466,0.509,0.5778,0.7003,0.6643,0.6823,0.6281,0.8028,0.7154
24.9,0.036,0.5414,0.529,0.6512,0.5019,0.5766,0.6845,0.6417,0.6631,0.6104,0.7682,0.6893
25,0.0742,0.5307,0.4957,0.6577,0.4957,0.5767,0.6687,0.6226,0.6457,0.5947,0.735,0.6648
25.1,0.113,0.5206,0.467,0.6663,0.4896,0.5779,0.6536,0.6073,0.6304,0.5821,0.7057,0.6439
25.2,0.1517,0.5112,0.4429,0.6767,0.4828,0.5798,0.6398,0.5954,0.6176,0.5735,0.6819,0.6277
25.3,0.1891,0.5028,0.4233,0.6886,0.475,0.5818,0.6274,0.5868,0.6071,0.5691,0.6643,0.6167
25.4,0.2237,0.496,0.4088,0.7011,0.466,0.5836,0.6163,0.5813,0.5988,0.5686,0.6528,0.6107
25.5,0.2543,0.4911,0.3998,0.7131,0.4562,0.5846,0.6068,0.5786,0.5927,0.5717,0.6473,0.6095
25.6,0.2803,0.4875,0.3965,0.7232,0.4454,0.5843,0.5986,0.5787,0.5887,0.578,0.6478,0.6129
25.7,0.3011,0.4849,0.3981,0.7305,0.4334,0.582,0.5921,0.581,0.5866,0.5873,0.6539,0.6206
25.8,0.3163,0.4827,0.4039,0.735,0.4201,0.5775,0.5873,0.5851,0.5862,0.5989,0.665,0.632
25.9,0.3254,0.4811,0.4131,0.7369,0.4057,0.5713,0.5846,0.5902,0.5874,0.6122,0.68,0.6461
26,0.3283,0.4801,0.4249,0.7367,0.3909,0.5638,0.5836,0.5956,0.5896,0.6264,0.6976,0.662
26.1,0.3248,0.4801,0.4386,0.7347,0.3764,0.5556,0.5835,0.6003,0.5919,0.6412,0.7167,0.6789
26.2,0.3151,0.4811,0.4525,0.7308,0.3625,0.5466,0.5835,0.6031,0.5933,0.6563,0.736,0.6961
26.3,0.2999,0.4829,0.4649,0.7248,0.3494,0.5371,0.5828,0.6024,0.5926,0.6711,0.7545,0.7128
26.4,0.2796,0.4855,0.4746,0.7172,0.3373,0.5273,0.5818,0.5975,0.5896,0.6848,0.7712,0.728
26.5,0.2546,0.4893,0.4817,0.709,0.3271,0.5181,0.5814,0.5888,0.5851,0.6963,0.7857,0.741
26.6,0.2244,0.494,0.4875,0.7011,0.3197,0.5104,0.5831,0.5773,0.5802,0.7054,0.798,0.7517
26.7,0.1888,0.4994,0.4931,0.6941,0.316,0.505,0.5879,0.5639,0.5759,0.7124,0.8085,0.7604
26.8,0.1477,0.5044,0.4993,0.6881,0.316,0.5021,0.5964,0.5491,0.5728,0.7181,0.8178,0.7679
26.9,0.1022,0.5081,0.5056,0.6833,0.3196,0.5015,0.6092,0.5333,0.5713,0.7234,0.8258,0.7746
27,0.0538,0.5102,0.5112,0.6794,0.3266,0.503,0.6265,0.5168,0.5716,0.7284,0.8321,0.7803
27.1,0.0046,0.5106,0.5154,0.6762,0.3369,0.5065,0.6478,0.5002,0.574,0.7329,0.8364,0.7846
27.2,-0.0439,0.51,0.5185,0.6734,0.3504,0.5119,0.6723,0.4843,0.5783,0.7368,0.8387,0.7878
27.3,-0.0901,0.5088,0.5214,0.6708,0.367,0.5189,0.6987,0.47,0.5843,0.7406,0.8397,0.7902
27.4,-0.1327,0.5073,0.5251,0.6684,0.3863,0.5273,0.7263,0.4586,0.5924,0.7453,0.8402,0.7928
27.5,-0.1698,0.5058,0.5312,0.6661,0.4079,0.537,0.7549,0.4514,0.6032,0.7514,0.8405,0.7959
27.6,-0.199,0.5048,0.5411,0.6647,0.4312,0.5479,0.7842,0.4495,0.6168,0.7594,0.8406,0.8
27.7,-0.2182,0.5042,0.5557,0.6643,0.4552,0.5598,0.8133,0.4533,0.6333,0.7693,0.841,0.8051
27.8,-0.2266,0.5042,0.5743,0.6649,0.4781,0.5715,0.8407,0.4625,0.6516,0.7815,0.842,0.8117
27.9,-0.2247,0.5043,0.5959,0.666,0.4979,0.5819,0.8656,0.4766,0.6711,0.7956,0.8444,0.82
28,-0.2127,0.5043,0.6199,0.6671,0.5131,0.5901,0.8876,0.4949,0.6913,0.8112,0.8487,0.8299
28.1,-0.1915,0.5038,0.6458,0.668,0.5232,0.5956,0.9065,0.5171,0.7118,0.8272,0.8554,0.8413
28.2,-0.1621,0.5027,0.6728,0.6685,0.5283,0.5984,0.9221,0.5422,0.7322,0.843,0.8645,0.8538
28.3,-0.127,0.5009,0.6991,0.6684,0.5291,0.5988,0.9338,0.5692,0.7515,0.8582,0.8758,0.867
28.4,-0.0896,0.4986,0.7224,0.6673,0.5265,0.5969,0.9414,0.5961,0.7688,0.8724,0.8882,0.8803
28.5,-0.0541,0.4959,0.7411,0.6649,0.5215,0.5932,0.9449,0.6215,0.7832,0.8853,0.9002,0.8928
28.6,-0.0242,0.4928,0.7551,0.661,0.5147,0.5879,0.9445,0.6443,0.7944,0.8962,0.9106,0.9034
28.7,-0.0017,0.4897,0.7651,0.6557,0.5071,0.5814,0.94,0.6638,0.8019,0.9047,0.9189,0.9118
28.8,0.0126,0.4867,0.7713,0.6493,0.4998,0.5745,0.9312,0.68,0.8056,0.9106,0.9251,0.9179
28.9,0.0182,0.4842,0.773,0.6423,0.4936,0.568,0.9181,0.6924,0.8052,0.9139,0.9297,0.9218
29,0.0144,0.4822,0.7694,0.6354,0.4893,0.5624,0.9009,0.7004,0.8007,0.9146,0.9326,0.9236
29.1,-0.0001,0.4813,0.7604,0.6293,0.4878,0.5585,0.8802,0.7035,0.7918,0.9128,0.9337,0.9233
29.2,-0.0266,0.4822,0.7468,0.6251,0.4901,0.5576,0.8565,0.7012,0.7788,0.908,0.9326,0.9203
29.3,-0.066,0.4857,0.73,0.624,0.4973,0.5607,0.8295,0.6936,0.7616,0.8999,0.9291,0.9145
29.4,-0.1175,0.4923,0.7112,0.6271,0.5103,0.5687,0.7991,0.6812,0.7401,0.8881,0.9234,0.9057
29.5,-0.1802,0.5025,0.6912,0.6347,0.5295,0.5821,0.7655,0.665,0.7152,0.8725,0.9157,0.8941
29.6,-0.2533,0.5167,0.6706,0.6469,0.5545,0.6007,0.7295,0.6463,0.6879,0.8533,0.9064,0.8799
29.7,-0.3356,0.5354,0.6499,0.6639,0.5844,0.6242,0.6922,0.6262,0.6592,0.8303,0.8959,0.8631
29.8,-0.4253,0.5588,0.6297,0.6856,0.6183,0.652,0.6546,0.6059,0.6302,0.8037,0.8843,0.844
29.9,-0.5181,0.5863,0.6115,0.7103,0.6546,0.6825,0.6179,0.5862,0.602,0.7744,0.8723,0.8234
