Time,Uber Eats - Magic 30 TVC,Uber Eats - Magic 30 TVC,Uber Eats - Magic 30 TVC,Uber Eats - Magic 30 TVC,Uber Eats - Magic 30 TVC,Uber Eats - Magic 30 TVC,Uber Eats - Magic 30 TVC,Uber Eats - Magic 30 TVC,Uber Eats - Magic 30 TVC,Uber Eats - Magic 30 TVC,Uber Eats - Magic 30 TVC,Uber Eats - Magic 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
26.9,0.2859,0.3893,0.5444,0.7335,0.3488,0.5411,0.8096,0.7143,0.762,0.6363,0.5312,0.5838
27,0.3192,0.3616,0.5311,0.7205,0.3293,0.5249,0.8031,0.695,0.7491,0.6268,0.5299,0.5783
27.1,0.3366,0.3386,0.523,0.7101,0.315,0.5125,0.792,0.6781,0.7351,0.6149,0.528,0.5715
27.2,0.3394,0.3207,0.5201,0.7031,0.3069,0.505,0.7771,0.6642,0.7207,0.6019,0.5256,0.5638
27.3,0.3302,0.3087,0.5219,0.7001,0.3054,0.5028,0.7593,0.6533,0.7063,0.589,0.5227,0.5558
27.4,0.3118,0.303,0.5276,0.7013,0.3105,0.5059,0.7393,0.6449,0.6921,0.5771,0.5192,0.5482
27.5,0.2867,0.3035,0.5356,0.7071,0.3212,0.5141,0.7175,0.6382,0.6778,0.5666,0.5149,0.5407
27.6,0.2576,0.3101,0.5445,0.7174,0.3363,0.5269,0.6948,0.6325,0.6636,0.5573,0.5097,0.5335
27.7,0.2273,0.3228,0.5532,0.7321,0.3551,0.5436,0.6718,0.6279,0.6498,0.5496,0.5037,0.5266
27.8,0.1981,0.3414,0.561,0.7503,0.3768,0.5635,0.6495,0.6242,0.6369,0.5438,0.4973,0.5206
27.9,0.1711,0.3646,0.5676,0.7701,0.4004,0.5852,0.6287,0.6214,0.625,0.5408,0.4908,0.5158
28,0.1464,0.3903,0.5727,0.7892,0.4245,0.6069,0.6093,0.6191,0.6142,0.5408,0.4851,0.5129
28.1,0.1242,0.4176,0.5761,0.8063,0.4481,0.6272,0.5914,0.6169,0.6042,0.5439,0.4805,0.5122
28.2,0.1062,0.4467,0.5777,0.8207,0.4714,0.6461,0.5755,0.6152,0.5953,0.55,0.4775,0.5138
28.3,0.094,0.4781,0.5768,0.8333,0.4947,0.664,0.5626,0.6141,0.5883,0.5589,0.476,0.5174
28.4,0.0884,0.5119,0.5731,0.8445,0.5173,0.6809,0.5538,0.6139,0.5839,0.57,0.476,0.523
28.5,0.089,0.547,0.5665,0.8535,0.5371,0.6953,0.5498,0.6149,0.5824,0.5836,0.4773,0.5304
28.6,0.0952,0.5819,0.5578,0.8598,0.5523,0.7061,0.5502,0.6174,0.5838,0.5992,0.4798,0.5395
28.7,0.1058,0.6155,0.5478,0.8637,0.5622,0.7129,0.554,0.6212,0.5876,0.6165,0.4834,0.55
28.8,0.1208,0.6474,0.537,0.8663,0.5668,0.7165,0.5612,0.6261,0.5936,0.6346,0.488,0.5613
28.9,0.1397,0.6773,0.5257,0.8692,0.5663,0.7178,0.5724,0.632,0.6022,0.6536,0.4939,0.5738
29,0.1619,0.7053,0.5144,0.8734,0.5616,0.7175,0.588,0.6396,0.6138,0.6743,0.5024,0.5883
29.1,0.1863,0.7309,0.5036,0.8787,0.5535,0.7161,0.6072,0.649,0.6281,0.6974,0.5148,0.6061
29.2,0.2116,0.7538,0.4936,0.8844,0.5432,0.7138,0.6281,0.6593,0.6437,0.723,0.5317,0.6274
29.3,0.2364,0.7741,0.4842,0.8901,0.5318,0.711,0.6487,0.669,0.6588,0.7503,0.5528,0.6515
29.4,0.2593,0.7921,0.4755,0.8953,0.5204,0.7079,0.668,0.6776,0.6728,0.7777,0.5772,0.6775
29.5,0.2793,0.8081,0.4675,0.8992,0.5098,0.7045,0.6855,0.6853,0.6854,0.8042,0.604,0.7041
29.6,0.2958,0.8223,0.4601,0.9014,0.5008,0.7011,0.7003,0.6921,0.6962,0.8286,0.6321,0.7303
29.7,0.3081,0.8344,0.4532,0.9016,0.4947,0.6981,0.7109,0.697,0.7039,0.8502,0.6608,0.7555
29.8,0.3162,0.8436,0.4469,0.8999,0.4921,0.696,0.7157,0.6985,0.7071,0.8688,0.6897,0.7793
29.9,0.32,0.8494,0.442,0.8956,0.4929,0.6943,0.7139,0.6959,0.7049,0.8849,0.719,0.8019
