Time,Speight's - The Speech 30 TVC,Speight's - The Speech 30 TVC,Speight's - The Speech 30 TVC,Speight's - The Speech 30 TVC,Speight's - The Speech 30 TVC,Speight's - The Speech 30 TVC,Speight's - The Speech 30 TVC,Speight's - The Speech 30 TVC,Speight's - The Speech 30 TVC,Speight's - The Speech 30 TVC,Speight's - The Speech 30 TVC,Speight's - The Speech 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
27,0.6383,0.3851,-0.0109,0.3477,0.1151,0.2314,0.5017,0.3002,0.401,0.4287,0.4819,0.4553
27.1,0.6603,0.3967,0.0046,0.3585,0.117,0.2377,0.5093,0.2967,0.403,0.4162,0.4822,0.4492
27.2,0.6706,0.4087,0.0243,0.3716,0.1214,0.2465,0.5141,0.2943,0.4042,0.4062,0.4818,0.444
27.3,0.6695,0.4206,0.0469,0.3864,0.1287,0.2575,0.5153,0.2939,0.4046,0.3988,0.4803,0.4395
27.4,0.6579,0.4321,0.0714,0.4016,0.1388,0.2702,0.5123,0.2948,0.4035,0.3939,0.478,0.436
27.5,0.6371,0.4425,0.0971,0.4158,0.1509,0.2834,0.5046,0.2954,0.4,0.392,0.4761,0.4341
27.6,0.6091,0.4506,0.1233,0.4274,0.1635,0.2954,0.4915,0.2942,0.3928,0.393,0.4761,0.4346
27.7,0.5763,0.4556,0.1499,0.4355,0.1759,0.3057,0.4732,0.2913,0.3823,0.3969,0.4786,0.4378
27.8,0.5396,0.4575,0.1772,0.4408,0.1886,0.3147,0.4513,0.288,0.3696,0.4033,0.4833,0.4433
27.9,0.4991,0.457,0.2056,0.4438,0.2028,0.3233,0.427,0.2859,0.3565,0.4116,0.4889,0.4502
28,0.4534,0.4538,0.2343,0.4446,0.2186,0.3316,0.4014,0.2859,0.3437,0.4212,0.4943,0.4578
28.1,0.4016,0.4477,0.2624,0.4425,0.2358,0.3392,0.3748,0.2882,0.3315,0.432,0.4992,0.4656
28.2,0.3445,0.4389,0.2894,0.4372,0.2542,0.3457,0.3475,0.2924,0.32,0.4434,0.5032,0.4733
28.3,0.2839,0.4273,0.3151,0.4283,0.2733,0.3508,0.3191,0.2985,0.3088,0.455,0.5064,0.4807
28.4,0.2221,0.413,0.3389,0.4162,0.2922,0.3542,0.2896,0.3058,0.2977,0.466,0.5085,0.4872
28.5,0.1623,0.396,0.3603,0.4013,0.3104,0.3558,0.2598,0.3135,0.2866,0.4756,0.5096,0.4926
28.6,0.1084,0.3777,0.3794,0.3852,0.3274,0.3563,0.2316,0.3209,0.2762,0.4834,0.5105,0.497
28.7,0.0637,0.3598,0.3969,0.3702,0.3434,0.3568,0.2073,0.3284,0.2678,0.4896,0.5129,0.5012
28.8,0.0303,0.3437,0.4138,0.3579,0.3586,0.3582,0.1883,0.3368,0.2625,0.4951,0.5181,0.5066
28.9,0.0079,0.3295,0.4308,0.3489,0.3726,0.3607,0.1754,0.3463,0.2608,0.5014,0.527,0.5142
29,-0.0047,0.3168,0.4474,0.3429,0.3843,0.3636,0.169,0.3562,0.2626,0.5097,0.5399,0.5248
29.1,-0.0085,0.3048,0.4633,0.3401,0.3921,0.3661,0.1697,0.3659,0.2678,0.5211,0.5567,0.5389
29.2,-0.0052,0.2935,0.4786,0.341,0.3956,0.3683,0.1777,0.3756,0.2766,0.5361,0.5779,0.557
29.3,0.003,0.2833,0.4938,0.3459,0.3956,0.3707,0.1919,0.3855,0.2887,0.5551,0.6042,0.5797
29.4,0.0139,0.2748,0.5089,0.3545,0.3933,0.3739,0.2111,0.3958,0.3034,0.5782,0.6357,0.607
29.5,0.0252,0.2681,0.5242,0.3656,0.3899,0.3778,0.2338,0.4062,0.32,0.605,0.6722,0.6386
29.6,0.0351,0.2632,0.5397,0.3784,0.3856,0.382,0.2586,0.4166,0.3376,0.6342,0.7122,0.6732
29.7,0.0419,0.2594,0.5556,0.3916,0.3802,0.3859,0.2841,0.4263,0.3552,0.664,0.7542,0.7091
29.8,0.0448,0.2558,0.5717,0.4042,0.3739,0.3891,0.3083,0.4348,0.3716,0.6926,0.7969,0.7447
29.9,0.0425,0.2523,0.5879,0.4154,0.3672,0.3913,0.3301,0.442,0.386,0.7192,0.8387,0.7789
