Time,Big W - Fish Tank 15 Client Semi Finished TVC,Big W - Fish Tank 15 Client Semi Finished TVC,Big W - Fish Tank 15 Client Semi Finished TVC,Big W - Fish Tank 15 Client Semi Finished TVC,Big W - Fish Tank 15 Client Semi Finished TVC,Big W - Fish Tank 15 Client Semi Finished TVC,Big W - Fish Tank 15 Client Semi Finished TVC,Big W - Fish Tank 15 Client Semi Finished TVC,Big W - Fish Tank 15 Client Semi Finished TVC,Big W - Fish Tank 15 Client Semi Finished TVC,Big W - Fish Tank 15 Client Semi Finished TVC,Big W - Fish Tank 15 Client Semi Finished TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.0878,0.4468,0.2999,0.4046,0.7684,0.5865,0.1844,0.289,0.2367,0.2837,0.5044,0.3941
0.1,-0.0719,0.4653,0.2972,0.4565,0.7957,0.6261,0.1951,0.305,0.25,0.289,0.5059,0.3974
0.2,-0.0518,0.4815,0.2982,0.5129,0.8204,0.6666,0.2126,0.3267,0.2696,0.3016,0.5124,0.407
0.3,-0.0271,0.4953,0.3027,0.5696,0.8414,0.7055,0.2362,0.3533,0.2947,0.3218,0.5239,0.4228
0.4,0.0012,0.5072,0.3104,0.623,0.8583,0.7407,0.2649,0.3837,0.3243,0.3491,0.5398,0.4445
0.5,0.0317,0.5177,0.3211,0.6708,0.8712,0.771,0.2978,0.4163,0.3571,0.3828,0.5592,0.471
0.6,0.0627,0.5269,0.3344,0.7119,0.8804,0.7962,0.3341,0.45,0.3921,0.4218,0.581,0.5014
0.7,0.0945,0.5351,0.3495,0.7461,0.8865,0.8163,0.3727,0.4827,0.4277,0.4648,0.6042,0.5345
0.8,0.128,0.5419,0.3652,0.7735,0.8899,0.8317,0.4124,0.5128,0.4626,0.5101,0.6278,0.5689
0.9,0.1627,0.547,0.3798,0.7939,0.8906,0.8422,0.4525,0.5389,0.4957,0.556,0.6512,0.6036
1,0.1968,0.5495,0.3911,0.8074,0.8885,0.8479,0.4916,0.5599,0.5257,0.6008,0.6739,0.6373
1.1,0.2276,0.5487,0.3974,0.8141,0.8836,0.8488,0.5282,0.5745,0.5513,0.6431,0.6953,0.6692
1.2,0.2537,0.545,0.3976,0.8144,0.8762,0.8453,0.5608,0.5819,0.5714,0.6819,0.7147,0.6983
1.3,0.2742,0.5386,0.3913,0.8088,0.8663,0.8376,0.588,0.5817,0.5848,0.716,0.7315,0.7237
1.4,0.2891,0.5301,0.3778,0.7982,0.854,0.8261,0.6088,0.5743,0.5915,0.7446,0.7451,0.7449
1.5,0.2973,0.5197,0.3573,0.7835,0.8394,0.8115,0.6235,0.5608,0.5922,0.7672,0.7553,0.7612
1.6,0.2975,0.5078,0.331,0.7656,0.823,0.7943,0.6331,0.543,0.588,0.7842,0.7618,0.773
1.7,0.2878,0.4953,0.3014,0.7457,0.8056,0.7756,0.6385,0.5231,0.5808,0.7962,0.7652,0.7807
1.8,0.2675,0.4834,0.2718,0.7245,0.7885,0.7565,0.6408,0.5028,0.5718,0.8038,0.7661,0.785
1.9,0.2367,0.4727,0.2455,0.7028,0.7727,0.7377,0.6403,0.4835,0.5619,0.8077,0.7655,0.7866
2,0.1966,0.4628,0.2245,0.6811,0.758,0.7196,0.6374,0.4657,0.5516,0.8081,0.7643,0.7862
2.1,0.1497,0.4524,0.2099,0.6599,0.7439,0.7019,0.6327,0.4498,0.5413,0.8055,0.7626,0.7841
2.2,0.0993,0.4411,0.2018,0.6394,0.7301,0.6848,0.6266,0.4361,0.5314,0.8003,0.7605,0.7804
2.3,0.049,0.4294,0.2003,0.62,0.717,0.6685,0.6199,0.4254,0.5226,0.7927,0.7578,0.7752
2.4,0.0025,0.4187,0.2049,0.6021,0.7052,0.6537,0.6132,0.4181,0.5157,0.7828,0.7547,0.7687
2.5,-0.0372,0.4105,0.2152,0.5865,0.6951,0.6408,0.6071,0.4146,0.5109,0.7706,0.7517,0.7611
2.6,-0.0686,0.406,0.2302,0.5738,0.6869,0.6303,0.602,0.4146,0.5083,0.7564,0.7492,0.7528
2.7,-0.0907,0.4054,0.2489,0.5647,0.6807,0.6227,0.598,0.4176,0.5078,0.7414,0.748,0.7447
2.8,-0.1037,0.4087,0.2708,0.5596,0.6766,0.6181,0.595,0.4234,0.5092,0.7267,0.7487,0.7377
2.9,-0.1092,0.4163,0.2961,0.5586,0.6753,0.6169,0.5928,0.4317,0.5122,0.7133,0.7518,0.7326
3,-0.1093,0.4286,0.3249,0.5618,0.6774,0.6196,0.5915,0.4421,0.5168,0.7023,0.7569,0.7296
3.1,-0.1055,0.4457,0.357,0.5696,0.6834,0.6265,0.5915,0.4545,0.523,0.6942,0.7638,0.729
3.2,-0.099,0.4672,0.3912,0.5822,0.6932,0.6377,0.5933,0.4689,0.5311,0.6896,0.7725,0.731
3.3,-0.0909,0.4925,0.4254,0.5992,0.7068,0.653,0.5973,0.4854,0.5413,0.689,0.7829,0.736
3.4,-0.0818,0.5208,0.4579,0.6194,0.7236,0.6715,0.6035,0.5035,0.5535,0.6927,0.7948,0.7437
3.5,-0.0728,0.5516,0.4872,0.6416,0.7424,0.692,0.6114,0.5226,0.567,0.7006,0.807,0.7538
3.6,-0.0653,0.5844,0.5123,0.6642,0.7616,0.7129,0.6199,0.5416,0.5807,0.7117,0.8184,0.765
3.7,-0.0619,0.6191,0.5322,0.686,0.7797,0.7329,0.6278,0.5596,0.5937,0.7247,0.8278,0.7763
3.8,-0.0652,0.6546,0.5459,0.706,0.7957,0.7508,0.634,0.5757,0.6049,0.7384,0.8346,0.7865
3.9,-0.0754,0.6891,0.553,0.7234,0.8084,0.7659,0.6378,0.5887,0.6133,0.7515,0.8387,0.7951
4,-0.0907,0.7208,0.5527,0.737,0.8164,0.7767,0.6382,0.598,0.6181,0.7635,0.8403,0.8019
4.1,-0.1082,0.7482,0.5459,0.7455,0.8185,0.782,0.6345,0.6032,0.6189,0.7738,0.84,0.8069
4.2,-0.1276,0.7701,0.5344,0.7478,0.8139,0.7809,0.6266,0.6051,0.6159,0.7817,0.8379,0.8098
4.3,-0.1498,0.7864,0.5196,0.7441,0.8032,0.7736,0.6147,0.605,0.6098,0.7863,0.8338,0.81
4.4,-0.1751,0.7973,0.5031,0.735,0.7879,0.7614,0.5995,0.604,0.6017,0.7866,0.8272,0.8069
4.5,-0.2023,0.8032,0.4863,0.7215,0.7696,0.7455,0.5819,0.6031,0.5925,0.7826,0.818,0.8003
4.6,-0.2295,0.8037,0.4709,0.7045,0.7487,0.7266,0.5632,0.6028,0.583,0.7746,0.8068,0.7907
4.7,-0.2549,0.7983,0.4584,0.6848,0.7251,0.705,0.5447,0.6036,0.5741,0.763,0.7946,0.7788
4.8,-0.2771,0.7862,0.4494,0.6636,0.6991,0.6813,0.528,0.6058,0.5669,0.7485,0.7823,0.7654
4.9,-0.2954,0.7676,0.4441,0.6418,0.6717,0.6568,0.5145,0.6093,0.5619,0.7317,0.7706,0.7512
5,-0.3098,0.7431,0.4419,0.6204,0.6444,0.6324,0.5048,0.6138,0.5593,0.7133,0.7598,0.7366
5.1,-0.3209,0.714,0.4419,0.5998,0.6183,0.6091,0.4991,0.6186,0.5589,0.6939,0.7501,0.722
5.2,-0.3292,0.6816,0.443,0.5807,0.5941,0.5874,0.497,0.623,0.56,0.6739,0.7415,0.7077
5.3,-0.3346,0.6472,0.4439,0.5633,0.5724,0.5679,0.4975,0.6264,0.5619,0.6536,0.7335,0.6936
5.4,-0.3361,0.6125,0.4431,0.5483,0.5535,0.5509,0.4995,0.6279,0.5637,0.6327,0.725,0.6789
5.5,-0.3329,0.5786,0.4396,0.5356,0.5377,0.5366,0.5016,0.6271,0.5644,0.611,0.7148,0.6629
5.6,-0.3251,0.5467,0.433,0.5243,0.5248,0.5245,0.5032,0.6237,0.5634,0.5885,0.7023,0.6454
5.7,-0.3133,0.5169,0.4242,0.5135,0.5142,0.5139,0.5039,0.6176,0.5608,0.5656,0.6878,0.6267
5.8,-0.2986,0.4893,0.4141,0.503,0.5052,0.5041,0.5039,0.6087,0.5563,0.5432,0.672,0.6076
5.9,-0.2814,0.4641,0.403,0.4928,0.4974,0.4951,0.5031,0.5966,0.5499,0.5216,0.6555,0.5885
6,-0.2622,0.4414,0.3901,0.4831,0.4906,0.4869,0.501,0.5809,0.541,0.5012,0.6381,0.5696
6.1,-0.2423,0.4213,0.3755,0.4738,0.4846,0.4792,0.4969,0.5612,0.529,0.4819,0.6196,0.5507
6.2,-0.2232,0.4033,0.3603,0.4643,0.479,0.4716,0.4905,0.5379,0.5142,0.4639,0.5999,0.5319
6.3,-0.2068,0.3869,0.3463,0.4541,0.4732,0.4637,0.4822,0.5121,0.4971,0.4474,0.5796,0.5135
6.4,-0.1938,0.3718,0.3342,0.4432,0.4666,0.4549,0.4728,0.4849,0.4788,0.4331,0.5594,0.4962
6.5,-0.1838,0.3578,0.3241,0.4313,0.4587,0.445,0.4628,0.4571,0.4599,0.4215,0.5397,0.4806
6.6,-0.1758,0.3448,0.3157,0.4181,0.4492,0.4337,0.4525,0.4294,0.441,0.4129,0.5209,0.4669
6.7,-0.1695,0.3332,0.3094,0.4041,0.4381,0.4211,0.4424,0.4025,0.4225,0.4081,0.5032,0.4556
