Time,Coles Fresh Stikeez 100 Giftcard TVC 15,Coles Fresh Stikeez 100 Giftcard TVC 15,Coles Fresh Stikeez 100 Giftcard TVC 15,Coles Fresh Stikeez 100 Giftcard TVC 15,Coles Fresh Stikeez 100 Giftcard TVC 15,Coles Fresh Stikeez 100 Giftcard TVC 15,Coles Fresh Stikeez 100 Giftcard TVC 15,Coles Fresh Stikeez 100 Giftcard TVC 15,Coles Fresh Stikeez 100 Giftcard TVC 15,Coles Fresh Stikeez 100 Giftcard TVC 15,Coles Fresh Stikeez 100 Giftcard TVC 15,Coles Fresh Stikeez 100 Giftcard TVC 15
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.2881,0.7634,0.4192,0.7496,0.5891,0.6693,0.5723,0.6544,0.6133,0.2313,0.0572,0.1442
0.1,0.2913,0.7532,0.4403,0.7388,0.5918,0.6653,0.5717,0.6509,0.6113,0.2467,0.087,0.1668
0.2,0.2859,0.7452,0.4633,0.7292,0.6006,0.6649,0.5712,0.6471,0.6091,0.265,0.1242,0.1946
0.3,0.2736,0.7397,0.4878,0.7215,0.6151,0.6683,0.5708,0.6435,0.6071,0.2852,0.1686,0.2269
0.4,0.2584,0.7374,0.5136,0.7167,0.6356,0.6762,0.5716,0.6411,0.6063,0.3071,0.2195,0.2633
0.5,0.2448,0.7389,0.5404,0.7163,0.662,0.6891,0.5749,0.6405,0.6077,0.3299,0.2757,0.3028
0.6,0.2355,0.7436,0.5671,0.7205,0.6928,0.7067,0.5809,0.6413,0.6111,0.3526,0.3351,0.3439
0.7,0.2312,0.7497,0.5926,0.7285,0.7256,0.7271,0.5889,0.6426,0.6158,0.375,0.3962,0.3856
0.8,0.2319,0.7557,0.6162,0.7387,0.7578,0.7483,0.5985,0.6442,0.6214,0.3974,0.4579,0.4277
0.9,0.2381,0.7603,0.6377,0.7498,0.7878,0.7688,0.6096,0.6462,0.6279,0.4199,0.5192,0.4695
1,0.2506,0.7638,0.657,0.7608,0.8155,0.7882,0.6222,0.6488,0.6355,0.4416,0.5781,0.5099
1.1,0.2683,0.7666,0.6738,0.7714,0.8415,0.8065,0.6359,0.6521,0.644,0.4605,0.6323,0.5464
1.2,0.2881,0.7691,0.688,0.7812,0.8664,0.8238,0.6501,0.6563,0.6532,0.4748,0.6796,0.5772
1.3,0.307,0.7714,0.7001,0.79,0.89,0.84,0.6646,0.6623,0.6634,0.4844,0.7189,0.6017
1.4,0.3236,0.7731,0.7109,0.7972,0.9117,0.8544,0.6796,0.6709,0.6752,0.4906,0.7504,0.6205
1.5,0.3381,0.7734,0.7207,0.8019,0.93,0.866,0.6954,0.6822,0.6888,0.495,0.7748,0.6349
1.6,0.3519,0.7715,0.7295,0.8034,0.9438,0.8736,0.7113,0.6953,0.7033,0.4986,0.792,0.6453
1.7,0.3654,0.7669,0.7374,0.8011,0.9521,0.8766,0.7264,0.7087,0.7175,0.5017,0.8024,0.652
1.8,0.3774,0.7594,0.7444,0.7948,0.9547,0.8747,0.7397,0.7214,0.7305,0.5054,0.8069,0.6562
1.9,0.3865,0.7491,0.7513,0.784,0.9516,0.8678,0.7507,0.7326,0.7417,0.5111,0.8074,0.6593
2,0.3922,0.7362,0.7583,0.7686,0.9432,0.8559,0.7595,0.7425,0.751,0.5197,0.8057,0.6627
2.1,0.3948,0.7215,0.7653,0.7488,0.9303,0.8396,0.7658,0.7513,0.7585,0.532,0.803,0.6675
2.2,0.3952,0.7056,0.7725,0.7251,0.9132,0.8192,0.7693,0.76,0.7647,0.5487,0.8003,0.6745
2.3,0.3939,0.689,0.7806,0.6979,0.8917,0.7948,0.7699,0.7695,0.7697,0.5711,0.8,0.6855
2.4,0.3896,0.672,0.7905,0.6671,0.8656,0.7664,0.7676,0.7799,0.7738,0.5999,0.8034,0.7017
2.5,0.3805,0.6551,0.8018,0.6334,0.8356,0.7345,0.7627,0.7904,0.7765,0.6333,0.8103,0.7218
2.6,0.3642,0.6392,0.8135,0.5976,0.8029,0.7002,0.7552,0.7997,0.7774,0.6683,0.8187,0.7435
2.7,0.3391,0.625,0.8243,0.5605,0.7687,0.6646,0.7456,0.8076,0.7766,0.7023,0.8272,0.7648
2.8,0.304,0.6133,0.8342,0.5229,0.7337,0.6283,0.7349,0.815,0.775,0.7343,0.8352,0.7847
2.9,0.259,0.6044,0.844,0.4862,0.6987,0.5925,0.7244,0.8234,0.7739,0.7642,0.8435,0.8039
3,0.2053,0.599,0.8542,0.4527,0.6654,0.559,0.7149,0.8337,0.7743,0.7925,0.8531,0.8228
3.1,0.146,0.5971,0.8657,0.4249,0.6354,0.5301,0.7079,0.8459,0.7769,0.8193,0.8647,0.842
3.2,0.0846,0.5979,0.8786,0.4046,0.6099,0.5073,0.7044,0.8596,0.782,0.8445,0.8787,0.8616
3.3,0.0241,0.6007,0.8928,0.3919,0.5896,0.4907,0.7042,0.874,0.7891,0.8668,0.8948,0.8808
3.4,-0.0338,0.6047,0.9076,0.3858,0.5747,0.4802,0.7053,0.8877,0.7965,0.885,0.9124,0.8987
3.5,-0.0876,0.6099,0.9222,0.3857,0.5658,0.4757,0.7059,0.8987,0.8023,0.8976,0.9304,0.914
3.6,-0.1349,0.6163,0.935,0.3919,0.5642,0.478,0.7051,0.9058,0.8054,0.9032,0.9476,0.9254
3.7,-0.1721,0.6248,0.9447,0.405,0.5711,0.488,0.7037,0.9085,0.8061,0.9008,0.9626,0.9317
3.8,-0.1954,0.6361,0.9509,0.4254,0.5865,0.506,0.703,0.9073,0.8052,0.8906,0.9749,0.9328
3.9,-0.2027,0.6508,0.9535,0.4525,0.6094,0.531,0.7028,0.9022,0.8025,0.8739,0.9842,0.9291
4,-0.1942,0.6689,0.952,0.4848,0.638,0.5614,0.7014,0.8929,0.7971,0.8522,0.9903,0.9212
4.1,-0.1719,0.6897,0.9461,0.5203,0.6711,0.5957,0.6978,0.8799,0.7888,0.827,0.9927,0.9098
4.2,-0.1378,0.7135,0.9364,0.558,0.708,0.633,0.6932,0.8649,0.779,0.7995,0.9916,0.8956
4.3,-0.094,0.7404,0.9243,0.5974,0.7485,0.6729,0.6891,0.85,0.7696,0.7711,0.9872,0.8792
4.4,-0.0439,0.7706,0.9115,0.6378,0.7916,0.7147,0.6863,0.8366,0.7614,0.7429,0.9803,0.8616
4.5,0.0088,0.803,0.8982,0.6784,0.8352,0.7568,0.6841,0.8244,0.7543,0.716,0.9715,0.8438
4.6,0.062,0.8357,0.8853,0.7184,0.8772,0.7978,0.6822,0.8138,0.748,0.6917,0.9624,0.827
4.7,0.1152,0.8666,0.8741,0.7565,0.9153,0.8359,0.681,0.8054,0.7432,0.6714,0.9545,0.8129
4.8,0.1686,0.8938,0.866,0.7914,0.9478,0.8696,0.6813,0.8005,0.7409,0.6561,0.9489,0.8025
4.9,0.2228,0.9152,0.8615,0.8217,0.973,0.8974,0.6838,0.7998,0.7418,0.6459,0.9459,0.7959
5,0.2782,0.9289,0.86,0.8461,0.991,0.9185,0.6885,0.8027,0.7456,0.6403,0.9454,0.7929
5.1,0.3342,0.9339,0.8604,0.8631,1.0022,0.9326,0.6948,0.8087,0.7517,0.6392,0.9477,0.7934
5.2,0.3898,0.9292,0.8622,0.8718,1.007,0.9394,0.702,0.8173,0.7597,0.6428,0.9534,0.7981
5.3,0.4459,0.9143,0.8651,0.8722,1.005,0.9386,0.7098,0.8288,0.7693,0.6511,0.963,0.8071
