Time,Big W Christmas 2024 15 TVC,Big W Christmas 2024 15 TVC,Big W Christmas 2024 15 TVC,Big W Christmas 2024 15 TVC,Big W Christmas 2024 15 TVC,Big W Christmas 2024 15 TVC,Big W Christmas 2024 15 TVC,Big W Christmas 2024 15 TVC,Big W Christmas 2024 15 TVC,Big W Christmas 2024 15 TVC,Big W Christmas 2024 15 TVC,Big W Christmas 2024 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.3267,0.653,0.6363,0.7688,0.7594,0.7641,0.4138,0.6232,0.5185,0.7821,0.6146,0.6983
0.1,0.348,0.669,0.6533,0.805,0.7723,0.7887,0.4171,0.6359,0.5265,0.7922,0.6281,0.7101
0.2,0.3754,0.6843,0.6637,0.8376,0.784,0.8108,0.4222,0.6436,0.5329,0.7976,0.6395,0.7186
0.3,0.4079,0.6985,0.667,0.8653,0.7941,0.8297,0.4291,0.6456,0.5374,0.798,0.6477,0.7228
0.4,0.4435,0.7115,0.6644,0.8869,0.8026,0.8448,0.4383,0.6423,0.5403,0.7935,0.652,0.7227
0.5,0.4792,0.7229,0.6586,0.902,0.8093,0.8557,0.4496,0.6349,0.5423,0.7844,0.6523,0.7184
0.6,0.5121,0.7319,0.6521,0.9107,0.8142,0.8625,0.4626,0.6245,0.5435,0.7715,0.6487,0.7101
0.7,0.54,0.7381,0.6469,0.9136,0.817,0.8653,0.476,0.6119,0.544,0.755,0.6416,0.6983
0.8,0.5623,0.741,0.6438,0.9113,0.8173,0.8643,0.4892,0.5978,0.5435,0.7355,0.6313,0.6834
0.9,0.5786,0.7406,0.6426,0.9046,0.8154,0.86,0.5018,0.5831,0.5424,0.7135,0.6183,0.6659
1,0.589,0.7373,0.6426,0.8939,0.8114,0.8527,0.5135,0.5686,0.5411,0.6904,0.6034,0.6469
1.1,0.5935,0.7314,0.6434,0.8804,0.806,0.8432,0.5244,0.5551,0.5397,0.6677,0.5874,0.6275
1.2,0.5925,0.7234,0.6455,0.8648,0.7998,0.8323,0.5341,0.5431,0.5386,0.6466,0.5712,0.6089
1.3,0.5862,0.7137,0.6498,0.848,0.7934,0.8207,0.5427,0.5333,0.538,0.6284,0.5556,0.592
1.4,0.5753,0.7023,0.6573,0.8302,0.7867,0.8085,0.5507,0.5262,0.5384,0.6136,0.5413,0.5774
1.5,0.5601,0.6895,0.6675,0.8112,0.7794,0.7953,0.5585,0.5225,0.5405,0.6019,0.5287,0.5653
1.6,0.5408,0.6761,0.679,0.7909,0.7714,0.7811,0.5666,0.5229,0.5448,0.5935,0.5185,0.556
