Time,Bank of Queensland - My BOQ App 15 TVC,Bank of Queensland - My BOQ App 15 TVC,Bank of Queensland - My BOQ App 15 TVC,Bank of Queensland - My BOQ App 15 TVC,Bank of Queensland - My BOQ App 15 TVC,Bank of Queensland - My BOQ App 15 TVC,Bank of Queensland - My BOQ App 15 TVC,Bank of Queensland - My BOQ App 15 TVC,Bank of Queensland - My BOQ App 15 TVC,Bank of Queensland - My BOQ App 15 TVC,Bank of Queensland - My BOQ App 15 TVC,Bank of Queensland - My BOQ App 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.0303,0.6262,0.485,0.365,0.5316,0.4483,0.4434,0.5899,0.5167,0.6093,0.7028,0.6561
0.1,-0.0815,0.6322,0.4891,0.3808,0.5148,0.4478,0.4412,0.5833,0.5123,0.6011,0.7052,0.6531
0.2,-0.123,0.6342,0.4923,0.3968,0.4953,0.4461,0.4364,0.5728,0.5046,0.5898,0.7071,0.6484
0.3,-0.1491,0.6326,0.4943,0.4125,0.4729,0.4427,0.4287,0.5586,0.4937,0.5759,0.7088,0.6424
0.4,-0.1552,0.6282,0.4954,0.4273,0.449,0.4381,0.4193,0.5409,0.4801,0.5605,0.7109,0.6357
0.5,-0.1416,0.622,0.4965,0.4396,0.4254,0.4325,0.4092,0.5203,0.4647,0.5443,0.7134,0.6288
0.6,-0.1125,0.6138,0.4983,0.4468,0.4036,0.4252,0.3987,0.4968,0.4477,0.5276,0.7158,0.6217
0.7,-0.0729,0.6034,0.5009,0.4475,0.3844,0.416,0.3876,0.4707,0.4291,0.5096,0.7177,0.6136
0.8,-0.0254,0.5909,0.5043,0.4421,0.3678,0.4049,0.3761,0.4429,0.4095,0.4896,0.7189,0.6042
0.9,0.0292,0.577,0.5089,0.4324,0.3542,0.3933,0.3649,0.4152,0.3901,0.4675,0.7191,0.5933
1,0.0898,0.5624,0.5145,0.421,0.3442,0.3826,0.3554,0.3893,0.3723,0.4437,0.7179,0.5808
1.1,0.1542,0.5478,0.5206,0.4094,0.3382,0.3738,0.3484,0.3662,0.3573,0.4189,0.7146,0.5667
1.2,0.2209,0.5333,0.5263,0.3978,0.3365,0.3671,0.3446,0.346,0.3453,0.3939,0.7087,0.5513
1.3,0.2893,0.5193,0.5307,0.3854,0.3386,0.362,0.3443,0.3284,0.3363,0.3696,0.7002,0.5349
1.4,0.36,0.5058,0.5331,0.3719,0.344,0.358,0.3474,0.3127,0.3301,0.3465,0.6891,0.5178
1.5,0.4317,0.4931,0.5328,0.3579,0.3526,0.3553,0.3537,0.2983,0.326,0.3256,0.6753,0.5005
