Time,Northern Territory  - Tourism 30 TVC,Northern Territory  - Tourism 30 TVC,Northern Territory  - Tourism 30 TVC,Northern Territory  - Tourism 30 TVC,Northern Territory  - Tourism 30 TVC,Northern Territory  - Tourism 30 TVC,Northern Territory  - Tourism 30 TVC,Northern Territory  - Tourism 30 TVC,Northern Territory  - Tourism 30 TVC,Northern Territory  - Tourism 30 TVC,Northern Territory  - Tourism 30 TVC,Northern Territory  - Tourism 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
24.3,0.2302,0.6152,0.2619,0.4851,0.3886,0.4368,0.3199,0.2526,0.2862,0.5229,0.369,0.446
24.4,0.2267,0.618,0.2814,0.4754,0.3756,0.4255,0.3286,0.2719,0.3002,0.5295,0.3707,0.4501
24.5,0.2192,0.6195,0.3055,0.4644,0.3635,0.414,0.3394,0.2944,0.3169,0.5395,0.3722,0.4558
24.6,0.2073,0.6203,0.3339,0.4535,0.3539,0.4037,0.3522,0.3203,0.3363,0.5522,0.3738,0.463
24.7,0.1917,0.6205,0.3655,0.4436,0.3479,0.3958,0.3669,0.3485,0.3577,0.567,0.376,0.4715
24.8,0.1734,0.62,0.3985,0.4355,0.3461,0.3908,0.383,0.3781,0.3806,0.5829,0.3788,0.4808
24.9,0.153,0.6188,0.4308,0.4298,0.349,0.3894,0.4001,0.4085,0.4043,0.5998,0.3825,0.4911
25,0.1315,0.6174,0.4607,0.4274,0.3572,0.3923,0.4172,0.4398,0.4285,0.6176,0.3873,0.5025
25.1,0.1105,0.6162,0.4873,0.4287,0.3706,0.3997,0.4339,0.4719,0.4529,0.6366,0.394,0.5153
25.2,0.0915,0.6155,0.5106,0.4336,0.3887,0.4111,0.4496,0.5044,0.477,0.6564,0.4029,0.5297
25.3,0.0755,0.6146,0.5308,0.4415,0.4101,0.4258,0.4638,0.5361,0.5,0.6766,0.4144,0.5455
25.4,0.0633,0.6133,0.5479,0.4524,0.4331,0.4428,0.4761,0.5663,0.5212,0.6965,0.4284,0.5625
25.5,0.0546,0.6117,0.5616,0.4665,0.4568,0.4616,0.4861,0.5942,0.5402,0.7159,0.4452,0.5806
25.6,0.0487,0.6108,0.5719,0.484,0.4805,0.4823,0.4937,0.6198,0.5567,0.7347,0.4647,0.5997
25.7,0.045,0.6112,0.5793,0.5041,0.5038,0.504,0.4984,0.6427,0.5705,0.7527,0.4864,0.6196
25.8,0.0431,0.6127,0.5845,0.5253,0.526,0.5257,0.5002,0.6627,0.5815,0.7692,0.5096,0.6394
25.9,0.0439,0.615,0.5883,0.5461,0.5466,0.5463,0.4999,0.6798,0.5898,0.7842,0.5334,0.6588
26,0.0481,0.617,0.591,0.5659,0.5653,0.5656,0.4986,0.6941,0.5963,0.7977,0.558,0.6779
26.1,0.0556,0.6182,0.5927,0.5845,0.5819,0.5832,0.4972,0.7058,0.6015,0.8098,0.5837,0.6968
26.2,0.0654,0.6182,0.5938,0.6017,0.596,0.5988,0.4958,0.7151,0.6055,0.8204,0.6102,0.7153
26.3,0.0765,0.6171,0.5948,0.6169,0.607,0.6119,0.4943,0.7225,0.6084,0.8288,0.6366,0.7327
26.4,0.0882,0.6155,0.5969,0.6296,0.6144,0.622,0.4931,0.7288,0.6109,0.8338,0.6624,0.7481
26.5,0.1002,0.614,0.6008,0.6398,0.618,0.6289,0.4931,0.7348,0.6139,0.8343,0.6869,0.7606
26.6,0.1126,0.6125,0.6071,0.6477,0.618,0.6329,0.4943,0.7411,0.6177,0.8298,0.7094,0.7696
26.7,0.1258,0.611,0.6162,0.6535,0.6151,0.6343,0.496,0.7476,0.6218,0.8203,0.7286,0.7744
26.8,0.1388,0.6096,0.6284,0.6576,0.6093,0.6334,0.497,0.7538,0.6254,0.8062,0.7425,0.7743
26.9,0.15,0.6085,0.6443,0.6597,0.6005,0.6301,0.4964,0.7597,0.6281,0.788,0.7496,0.7688
27,0.1576,0.6079,0.6638,0.6597,0.5884,0.624,0.4938,0.7651,0.6295,0.7661,0.749,0.7576
27.1,0.1616,0.6078,0.6857,0.657,0.5724,0.6147,0.4887,0.7695,0.6291,0.7407,0.7402,0.7404
27.2,0.1623,0.6077,0.7081,0.6507,0.552,0.6014,0.4803,0.7722,0.6263,0.7112,0.7226,0.7169
27.3,0.1599,0.6076,0.7297,0.6406,0.5275,0.584,0.4678,0.7729,0.6203,0.6779,0.6963,0.6871
27.4,0.1538,0.6073,0.7501,0.627,0.4997,0.5634,0.4511,0.7717,0.6114,0.6425,0.6634,0.653
27.5,0.143,0.6069,0.7688,0.6115,0.4704,0.5409,0.4307,0.7688,0.5998,0.6078,0.6267,0.6173
27.6,0.127,0.6062,0.7846,0.5954,0.4408,0.5181,0.4071,0.7638,0.5855,0.576,0.5885,0.5823
27.7,0.1069,0.6047,0.7958,0.5792,0.4128,0.496,0.381,0.7566,0.5688,0.5482,0.5507,0.5494
27.8,0.0847,0.6023,0.8007,0.5636,0.3886,0.4761,0.3539,0.7471,0.5505,0.5251,0.5145,0.5198
27.9,0.0624,0.5988,0.7987,0.5491,0.3703,0.4597,0.3279,0.7354,0.5316,0.5068,0.481,0.4939
28,0.0412,0.5943,0.7899,0.5365,0.3588,0.4476,0.3044,0.7211,0.5127,0.4938,0.4506,0.4722
28.1,0.0224,0.5884,0.7745,0.5253,0.3538,0.4395,0.2842,0.7044,0.4943,0.4861,0.4242,0.4551
28.2,0.0079,0.581,0.7537,0.5152,0.3538,0.4345,0.2675,0.6867,0.4771,0.4833,0.4024,0.4429
28.3,-0.0008,0.5719,0.7296,0.5057,0.3578,0.4318,0.2547,0.6691,0.4619,0.4843,0.3856,0.435
28.4,-0.0039,0.5611,0.7044,0.4963,0.3649,0.4306,0.2457,0.6519,0.4488,0.4876,0.3729,0.4303
28.5,-0.0025,0.5482,0.6794,0.4867,0.3738,0.4303,0.2407,0.6343,0.4375,0.4918,0.3628,0.4273
28.6,0.0017,0.5328,0.6549,0.4768,0.3829,0.4298,0.2395,0.6157,0.4276,0.4965,0.3538,0.4252
28.7,0.008,0.5152,0.6312,0.4667,0.3907,0.4287,0.2419,0.5958,0.4188,0.5018,0.3456,0.4237
28.8,0.0168,0.4962,0.6086,0.4568,0.3972,0.427,0.2483,0.5747,0.4115,0.5082,0.3384,0.4233
28.9,0.0289,0.4773,0.5879,0.4477,0.4035,0.4256,0.2596,0.5529,0.4063,0.5161,0.3327,0.4244
29,0.0454,0.4599,0.5697,0.4398,0.4114,0.4256,0.2768,0.5313,0.404,0.5258,0.3286,0.4272
29.1,0.0672,0.4449,0.5542,0.4334,0.4218,0.4276,0.2995,0.5105,0.405,0.5367,0.3258,0.4312
29.2,0.0949,0.4326,0.5414,0.4289,0.4348,0.4319,0.3266,0.4913,0.4089,0.548,0.3236,0.4358
29.3,0.1283,0.4236,0.5315,0.4273,0.4502,0.4387,0.3573,0.4742,0.4157,0.5589,0.3218,0.4403
29.4,0.1665,0.4184,0.5249,0.4295,0.4677,0.4486,0.3906,0.4602,0.4254,0.5684,0.3202,0.4443
29.5,0.2076,0.4175,0.5222,0.4358,0.487,0.4614,0.4246,0.4497,0.4372,0.5758,0.3188,0.4473
29.6,0.2496,0.4212,0.5234,0.446,0.5079,0.4769,0.4569,0.443,0.45,0.5805,0.3168,0.4487
29.7,0.2904,0.4292,0.5286,0.4595,0.5303,0.4949,0.4861,0.4399,0.463,0.5816,0.3142,0.4479
29.8,0.3277,0.4408,0.5381,0.4756,0.5541,0.5148,0.512,0.4407,0.4763,0.5787,0.311,0.4449
29.9,0.3594,0.4554,0.5522,0.4936,0.5796,0.5366,0.5349,0.4452,0.49,0.5727,0.3086,0.4407
