Time,Qantas Frequent Flyer TVC,Qantas Frequent Flyer TVC,Qantas Frequent Flyer TVC,Qantas Frequent Flyer TVC,Qantas Frequent Flyer TVC,Qantas Frequent Flyer TVC,Qantas Frequent Flyer TVC,Qantas Frequent Flyer TVC,Qantas Frequent Flyer TVC,Qantas Frequent Flyer TVC,Qantas Frequent Flyer TVC,Qantas Frequent Flyer TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.1938,0.6571,0.5879,0.5806,0.7048,0.6427,0.5819,0.5607,0.5713,0.4047,0.386,0.3953
0.1,0.1785,0.6548,0.5696,0.5777,0.7047,0.6412,0.5589,0.5464,0.5526,0.3974,0.3827,0.3901
0.2,0.1603,0.6516,0.5506,0.5748,0.7012,0.638,0.5355,0.5319,0.5337,0.3915,0.3809,0.3862
0.3,0.1407,0.6469,0.5305,0.5709,0.6938,0.6323,0.5117,0.517,0.5144,0.3862,0.3798,0.383
0.4,0.1202,0.6404,0.5095,0.5652,0.6827,0.6239,0.4877,0.5017,0.4947,0.3811,0.3793,0.3802
0.5,0.099,0.632,0.4879,0.5576,0.6681,0.6128,0.4642,0.4862,0.4752,0.3765,0.3793,0.3779
0.6,0.0781,0.6221,0.4664,0.5478,0.6505,0.5992,0.4421,0.4704,0.4562,0.3725,0.3798,0.3762
0.7,0.0581,0.6111,0.445,0.5359,0.6302,0.5831,0.4219,0.4543,0.4381,0.369,0.3808,0.3749
0.8,0.0397,0.5992,0.424,0.5221,0.6073,0.5647,0.4042,0.4382,0.4212,0.3659,0.3822,0.374
0.9,0.023,0.5868,0.4046,0.5067,0.5824,0.5446,0.3894,0.4226,0.406,0.3631,0.3839,0.3735
1,0.0083,0.5742,0.3879,0.4908,0.5561,0.5234,0.3776,0.4079,0.3928,0.3605,0.3862,0.3733
1.1,-0.0041,0.5615,0.3745,0.475,0.5292,0.5021,0.3686,0.3945,0.3816,0.3582,0.3888,0.3735
1.2,-0.0141,0.5488,0.3641,0.4593,0.5026,0.481,0.3621,0.3821,0.3721,0.356,0.3916,0.3738
1.3,-0.0215,0.536,0.3561,0.4433,0.4769,0.4601,0.3575,0.3708,0.3641,0.3537,0.3944,0.374
1.4,-0.0267,0.5231,0.3503,0.4266,0.4528,0.4397,0.3545,0.3606,0.3576,0.3513,0.3972,0.3742
1.5,-0.0295,0.5105,0.3468,0.4097,0.4314,0.4205,0.3531,0.352,0.3525,0.3491,0.3997,0.3744
1.6,-0.0305,0.4988,0.3462,0.3933,0.4132,0.4032,0.3533,0.3454,0.3494,0.3473,0.4021,0.3747
1.7,-0.0302,0.4888,0.3482,0.378,0.3987,0.3883,0.3551,0.3409,0.348,0.3459,0.404,0.3749
1.8,-0.0299,0.4809,0.3521,0.3638,0.3879,0.3758,0.3578,0.3382,0.348,0.3442,0.405,0.3746
1.9,-0.0307,0.4756,0.3571,0.3507,0.3809,0.3658,0.3613,0.3372,0.3493,0.342,0.4049,0.3735
2,-0.0336,0.4736,0.3634,0.3394,0.3783,0.3589,0.366,0.3385,0.3522,0.3394,0.4041,0.3718
2.1,-0.039,0.4756,0.3713,0.3309,0.3808,0.3559,0.3727,0.3431,0.3579,0.3374,0.4033,0.3704
2.2,-0.047,0.4821,0.3808,0.326,0.3887,0.3573,0.3819,0.3517,0.3668,0.3366,0.403,0.3698
2.3,-0.0579,0.4931,0.3916,0.3247,0.4017,0.3632,0.3937,0.3647,0.3792,0.3367,0.4031,0.3699
2.4,-0.0717,0.5081,0.4025,0.3267,0.4192,0.373,0.4074,0.3815,0.3944,0.337,0.4033,0.3702
2.5,-0.0886,0.5259,0.4131,0.3313,0.4402,0.3858,0.4219,0.4013,0.4116,0.3374,0.4039,0.3706
2.6,-0.1081,0.5459,0.4229,0.3381,0.4638,0.4009,0.4368,0.4233,0.43,0.338,0.405,0.3715
2.7,-0.1288,0.5669,0.4322,0.3471,0.4888,0.418,0.4519,0.4465,0.4492,0.3395,0.4068,0.3731
2.8,-0.1492,0.5878,0.4408,0.3581,0.5138,0.4359,0.4668,0.4701,0.4685,0.3419,0.4088,0.3754
2.9,-0.1674,0.6068,0.4487,0.3699,0.537,0.4534,0.481,0.4929,0.4869,0.3452,0.4107,0.378
3,-0.1818,0.6221,0.4553,0.3812,0.5567,0.469,0.4933,0.514,0.5036,0.3496,0.4124,0.381
3.1,-0.1921,0.6327,0.4604,0.3912,0.572,0.4816,0.5036,0.5323,0.5179,0.3551,0.4139,0.3845
3.2,-0.1987,0.6384,0.4639,0.3995,0.5831,0.4913,0.5121,0.5474,0.5297,0.3619,0.416,0.3889
3.3,-0.2021,0.64,0.4663,0.4063,0.5907,0.4985,0.5194,0.5592,0.5393,0.3696,0.419,0.3943
3.4,-0.2024,0.6382,0.4678,0.4116,0.5954,0.5035,0.5257,0.5679,0.5468,0.378,0.4229,0.4004
3.5,-0.1999,0.6335,0.469,0.4155,0.5976,0.5066,0.531,0.5739,0.5524,0.3871,0.4274,0.4072
3.6,-0.1946,0.6262,0.4702,0.418,0.5975,0.5078,0.5357,0.5776,0.5567,0.3972,0.4328,0.415
3.7,-0.1866,0.6167,0.4722,0.4192,0.5953,0.5073,0.5406,0.5797,0.5601,0.4091,0.4398,0.4244
3.8,-0.1761,0.6056,0.4759,0.4195,0.5915,0.5055,0.546,0.5811,0.5635,0.4228,0.4484,0.4356
3.9,-0.164,0.5939,0.4817,0.4197,0.5865,0.5031,0.5524,0.5827,0.5675,0.4389,0.4588,0.4489
4,-0.1508,0.5821,0.4897,0.4205,0.5812,0.5008,0.5599,0.5852,0.5726,0.4576,0.4711,0.4643
