Time,Commbank - Take charge with Commbank 15 TVC,Commbank - Take charge with Commbank 15 TVC,Commbank - Take charge with Commbank 15 TVC,Commbank - Take charge with Commbank 15 TVC,Commbank - Take charge with Commbank 15 TVC,Commbank - Take charge with Commbank 15 TVC,Commbank - Take charge with Commbank 15 TVC,Commbank - Take charge with Commbank 15 TVC,Commbank - Take charge with Commbank 15 TVC,Commbank - Take charge with Commbank 15 TVC,Commbank - Take charge with Commbank 15 TVC,Commbank - Take charge with Commbank 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,1.0353,0.8262,0.3794,1.038,0.7273,0.8827,0.7114,0.3873,0.5494,0.626,0.5551,0.5906
0.1,1.0142,0.8424,0.4375,1.0523,0.7647,0.9085,0.7499,0.4058,0.5779,0.5999,0.54,0.5699
0.2,0.9844,0.8523,0.4918,1.062,0.7915,0.9267,0.7858,0.4232,0.6045,0.5766,0.5281,0.5523
0.3,0.9492,0.8554,0.5399,1.0666,0.808,0.9373,0.8182,0.4382,0.6282,0.5566,0.5187,0.5377
0.4,0.9097,0.8524,0.581,1.066,0.8157,0.9408,0.8464,0.4505,0.6484,0.5395,0.5114,0.5254
0.5,0.8656,0.845,0.6152,1.0603,0.8171,0.9387,0.8699,0.4602,0.665,0.5243,0.5063,0.5153
0.6,0.8156,0.8353,0.6433,1.0506,0.8147,0.9327,0.8887,0.4677,0.6782,0.511,0.504,0.5075
0.7,0.7588,0.8244,0.666,1.0383,0.8098,0.9241,0.9036,0.4738,0.6887,0.4999,0.5042,0.5021
0.8,0.6968,0.8131,0.6833,1.0244,0.8026,0.9135,0.9163,0.4791,0.6977,0.4911,0.5063,0.4987
0.9,0.6332,0.8014,0.6953,1.0091,0.7932,0.9012,0.9277,0.4844,0.706,0.4848,0.5096,0.4972
1,0.5711,0.789,0.7018,0.9923,0.7817,0.887,0.9383,0.4907,0.7145,0.4803,0.514,0.4972
1.1,0.5127,0.776,0.7029,0.9742,0.7682,0.8712,0.9473,0.4987,0.723,0.4772,0.5192,0.4982
1.2,0.4588,0.7622,0.6987,0.9554,0.7528,0.8541,0.9533,0.5081,0.7307,0.4748,0.5244,0.4996
1.3,0.409,0.7474,0.6887,0.9365,0.7348,0.8356,0.9555,0.5173,0.7364,0.4727,0.5291,0.5009
1.4,0.3639,0.7315,0.6723,0.9173,0.714,0.8156,0.9533,0.5242,0.7388,0.4706,0.5332,0.5019
1.5,0.3254,0.7145,0.6491,0.8978,0.6912,0.7945,0.9467,0.5277,0.7372,0.4681,0.5364,0.5023
