Time,Black Swan Dips - Guacamole 30 TVC,Black Swan Dips - Guacamole 30 TVC,Black Swan Dips - Guacamole 30 TVC,Black Swan Dips - Guacamole 30 TVC,Black Swan Dips - Guacamole 30 TVC,Black Swan Dips - Guacamole 30 TVC,Black Swan Dips - Guacamole 30 TVC,Black Swan Dips - Guacamole 30 TVC,Black Swan Dips - Guacamole 30 TVC,Black Swan Dips - Guacamole 30 TVC,Black Swan Dips - Guacamole 30 TVC,Black Swan Dips - Guacamole 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.5007,0.4875,0.8784,0.3616,0.7068,0.5342,0.7533,0.8172,0.7852,0.6853,0.8438,0.7646
0.1,-0.5159,0.4827,0.8684,0.3438,0.6938,0.5188,0.7379,0.8049,0.7714,0.6877,0.8399,0.7638
0.2,-0.5213,0.4783,0.8535,0.3293,0.6791,0.5042,0.7201,0.79,0.7551,0.6889,0.833,0.761
0.3,-0.518,0.4745,0.8362,0.3187,0.6638,0.4912,0.7013,0.774,0.7377,0.6898,0.8242,0.757
0.4,-0.5072,0.4719,0.8194,0.3122,0.6486,0.4804,0.6829,0.7588,0.7209,0.691,0.8144,0.7527
0.5,-0.4901,0.4708,0.805,0.31,0.6344,0.4722,0.6661,0.7453,0.7057,0.6927,0.8042,0.7485
0.6,-0.4669,0.4714,0.7937,0.3124,0.6216,0.467,0.6515,0.7338,0.6926,0.695,0.7939,0.7445
0.7,-0.4386,0.4739,0.7857,0.319,0.6103,0.4647,0.6397,0.7244,0.682,0.6978,0.7837,0.7408
0.8,-0.4059,0.4785,0.7809,0.3301,0.6005,0.4653,0.6313,0.7173,0.6743,0.7016,0.7738,0.7377
0.9,-0.3694,0.485,0.7787,0.345,0.5923,0.4687,0.6262,0.7127,0.6694,0.7065,0.7647,0.7356
1,-0.3301,0.493,0.7786,0.3628,0.5855,0.4742,0.6238,0.71,0.6669,0.7124,0.7565,0.7344
1.1,-0.2891,0.5018,0.7795,0.3823,0.5797,0.481,0.6237,0.7081,0.6659,0.7188,0.749,0.7339
1.2,-0.2473,0.5111,0.7805,0.4024,0.5743,0.4884,0.6252,0.706,0.6656,0.7253,0.7422,0.7338
1.3,-0.2058,0.5205,0.7811,0.4223,0.5693,0.4958,0.6279,0.7034,0.6657,0.7314,0.7359,0.7337
1.4,-0.166,0.5301,0.7812,0.4415,0.565,0.5032,0.6318,0.701,0.6664,0.7368,0.7302,0.7335
1.5,-0.1294,0.54,0.7802,0.4594,0.5621,0.5107,0.6365,0.699,0.6678,0.7418,0.7256,0.7337
1.6,-0.0968,0.55,0.7779,0.4759,0.5611,0.5185,0.6422,0.6975,0.6699,0.747,0.7224,0.7347
1.7,-0.068,0.5604,0.7741,0.4911,0.5619,0.5265,0.6485,0.6962,0.6724,0.7528,0.7209,0.7369
1.8,-0.0423,0.5714,0.7691,0.5053,0.5647,0.535,0.6555,0.6948,0.6751,0.7595,0.7212,0.7404
1.9,-0.0186,0.5833,0.764,0.5183,0.5693,0.5438,0.6628,0.6935,0.6782,0.7675,0.7231,0.7453
2,0.0032,0.5963,0.7596,0.5305,0.5757,0.5531,0.6703,0.6925,0.6814,0.7769,0.7271,0.752
2.1,0.023,0.6103,0.7561,0.5419,0.5838,0.5629,0.6772,0.6918,0.6845,0.7876,0.733,0.7603
2.2,0.0407,0.625,0.7535,0.5527,0.5937,0.5732,0.6829,0.6911,0.687,0.799,0.7405,0.7698
2.3,0.0562,0.64,0.7517,0.5626,0.6049,0.5838,0.6866,0.69,0.6883,0.8097,0.7491,0.7794
2.4,0.0702,0.6546,0.7507,0.5712,0.6168,0.594,0.6878,0.6884,0.6881,0.8187,0.7581,0.7884
2.5,0.083,0.6679,0.7507,0.5779,0.6285,0.6032,0.686,0.6858,0.6859,0.8253,0.767,0.7961
2.6,0.0944,0.6793,0.7515,0.5828,0.639,0.6109,0.6808,0.6823,0.6816,0.8292,0.7751,0.8021
2.7,0.1043,0.6881,0.7528,0.5859,0.6476,0.6167,0.6726,0.6779,0.6752,0.8302,0.7819,0.806
2.8,0.1132,0.6944,0.7537,0.5875,0.6539,0.6207,0.6618,0.6725,0.6672,0.8282,0.7869,0.8075
2.9,0.1223,0.6983,0.7531,0.5876,0.6578,0.6227,0.6494,0.6663,0.6578,0.823,0.7899,0.8064
3,0.1328,0.699,0.751,0.5856,0.6591,0.6224,0.6357,0.6596,0.6477,0.8143,0.7903,0.8023
3.1,0.145,0.6956,0.748,0.5808,0.6571,0.6189,0.6213,0.6531,0.6372,0.8021,0.7876,0.7948
