Time,P and O Cruises - Have It All Sale 30 TVC,P and O Cruises - Have It All Sale 30 TVC,P and O Cruises - Have It All Sale 30 TVC,P and O Cruises - Have It All Sale 30 TVC,P and O Cruises - Have It All Sale 30 TVC,P and O Cruises - Have It All Sale 30 TVC,P and O Cruises - Have It All Sale 30 TVC,P and O Cruises - Have It All Sale 30 TVC,P and O Cruises - Have It All Sale 30 TVC,P and O Cruises - Have It All Sale 30 TVC,P and O Cruises - Have It All Sale 30 TVC,P and O Cruises - Have It All Sale 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.4879,0.4942,0.7777,0.7799,0.7111,0.7455,0.9229,0.5817,0.7523,1.0981,0.6845,0.8913
0.1,-0.6075,0.5399,0.7871,0.8167,0.7829,0.7998,0.9549,0.6294,0.7921,1.1225,0.7484,0.9355
0.2,-0.7225,0.5865,0.7972,0.8527,0.8411,0.8469,0.9785,0.6765,0.8275,1.1335,0.8111,0.9723
0.3,-0.8303,0.6331,0.8082,0.8874,0.8866,0.887,0.9925,0.7228,0.8576,1.1325,0.8682,1.0003
0.4,-0.9257,0.6773,0.8188,0.9197,0.9199,0.9198,0.9964,0.7673,0.8819,1.1223,0.9174,1.0198
0.5,-0.9967,0.7139,0.8267,0.9476,0.9411,0.9443,0.991,0.8091,0.9,1.1056,0.9583,1.032
0.6,-1.0268,0.7369,0.8304,0.9688,0.95,0.9594,0.9772,0.8485,0.9129,1.0842,0.991,1.0376
0.7,-1.0058,0.7428,0.829,0.9809,0.9475,0.9642,0.9561,0.8859,0.921,1.0587,1.0146,1.0367
0.8,-0.9332,0.7314,0.822,0.982,0.9354,0.9587,0.9277,0.9209,0.9243,1.0287,1.0285,1.0286
