Time,Big W - Ghost Gifter 30 Client TVC Viewing 1,Big W - Ghost Gifter 30 Client TVC Viewing 1,Big W - Ghost Gifter 30 Client TVC Viewing 1,Big W - Ghost Gifter 30 Client TVC Viewing 1,Big W - Ghost Gifter 30 Client TVC Viewing 1,Big W - Ghost Gifter 30 Client TVC Viewing 1,Big W - Ghost Gifter 30 Client TVC Viewing 1,Big W - Ghost Gifter 30 Client TVC Viewing 1,Big W - Ghost Gifter 30 Client TVC Viewing 1,Big W - Ghost Gifter 30 Client TVC Viewing 1,Big W - Ghost Gifter 30 Client TVC Viewing 1,Big W - Ghost Gifter 30 Client TVC Viewing 1
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.3072,0.81,0.7482,0.6587,0.8749,0.7668,0.7533,0.8363,0.7948,0.6558,0.3893,0.5226
0.1,-0.3643,0.8102,0.7539,0.6563,0.9061,0.7812,0.7805,0.8348,0.8077,0.6964,0.4182,0.5573
0.2,-0.4134,0.8099,0.7579,0.6556,0.9311,0.7933,0.8055,0.8317,0.8186,0.7317,0.4479,0.5898
0.3,-0.4525,0.8098,0.7605,0.6574,0.9497,0.8036,0.829,0.8276,0.8283,0.7624,0.4784,0.6204
0.4,-0.4812,0.8104,0.7616,0.6618,0.9617,0.8118,0.8517,0.8227,0.8372,0.789,0.5094,0.6492
0.5,-0.5004,0.8111,0.7611,0.6683,0.9662,0.8173,0.873,0.8166,0.8448,0.8117,0.5399,0.6758
0.6,-0.5113,0.8109,0.7586,0.676,0.9622,0.8191,0.8917,0.8086,0.8502,0.8306,0.5685,0.6996
0.7,-0.5148,0.8093,0.7538,0.6839,0.9492,0.8165,0.9069,0.7986,0.8528,0.8454,0.5938,0.7196
0.8,-0.5113,0.8064,0.7466,0.6913,0.928,0.8097,0.9179,0.7868,0.8524,0.8561,0.6151,0.7356
0.9,-0.5019,0.8029,0.7378,0.6978,0.9005,0.7992,0.9249,0.7734,0.8491,0.8628,0.6324,0.7476
1,-0.4879,0.7989,0.7282,0.7032,0.8688,0.786,0.9281,0.7586,0.8433,0.8664,0.6459,0.7562
1.1,-0.4709,0.7944,0.7188,0.7083,0.8355,0.7719,0.928,0.7426,0.8353,0.8674,0.6563,0.7619
1.2,-0.4528,0.7896,0.71,0.7145,0.8028,0.7587,0.9252,0.7262,0.8257,0.8661,0.6636,0.7648
1.3,-0.4356,0.7851,0.7022,0.723,0.7729,0.748,0.9205,0.7099,0.8152,0.8625,0.6674,0.765
1.4,-0.4213,0.7814,0.6954,0.7344,0.747,0.7407,0.914,0.6942,0.8041,0.8571,0.6676,0.7623
1.5,-0.4107,0.7781,0.6897,0.7479,0.726,0.7369,0.9057,0.6797,0.7927,0.8503,0.6644,0.7573
1.6,-0.4036,0.7744,0.6849,0.7622,0.71,0.7361,0.8956,0.667,0.7813,0.8427,0.6587,0.7507
1.7,-0.3985,0.769,0.6809,0.7762,0.699,0.7376,0.8839,0.6566,0.7702,0.8346,0.6512,0.7429
1.8,-0.3938,0.7611,0.6783,0.789,0.6926,0.7408,0.8712,0.6487,0.76,0.8255,0.642,0.7338
1.9,-0.3878,0.751,0.6772,0.8005,0.6903,0.7454,0.8581,0.6429,0.7505,0.8147,0.6311,0.7229
2,-0.3792,0.7393,0.6773,0.8108,0.6911,0.7509,0.8447,0.639,0.7419,0.8013,0.6181,0.7097
2.1,-0.3683,0.7265,0.6781,0.8199,0.6944,0.7571,0.8314,0.6367,0.7341,0.7847,0.6031,0.6939
2.2,-0.3562,0.713,0.6794,0.8281,0.6999,0.764,0.819,0.6364,0.7277,0.7651,0.5868,0.676
2.3,-0.3439,0.6988,0.6818,0.8352,0.7077,0.7714,0.8089,0.6386,0.7237,0.7437,0.5704,0.657
2.4,-0.3325,0.6845,0.686,0.8415,0.7177,0.7796,0.8029,0.6437,0.7233,0.7216,0.5552,0.6384
2.5,-0.3226,0.6713,0.6924,0.8473,0.7299,0.7886,0.803,0.6519,0.7275,0.7007,0.5424,0.6215
2.6,-0.3152,0.6602,0.7007,0.8526,0.7442,0.7984,0.8103,0.6633,0.7368,0.6823,0.5327,0.6075
2.7,-0.3116,0.6513,0.7101,0.8576,0.7605,0.8091,0.8249,0.6779,0.7514,0.6677,0.5267,0.5972
2.8,-0.3128,0.6445,0.7206,0.8618,0.7782,0.82,0.8463,0.696,0.7711,0.6578,0.525,0.5914
2.9,-0.3195,0.6398,0.7321,0.8646,0.7962,0.8304,0.8733,0.717,0.7951,0.6532,0.5282,0.5907
3,-0.3311,0.6367,0.7447,0.8654,0.8134,0.8394,0.9049,0.7403,0.8226,0.6545,0.5366,0.5956
3.1,-0.3471,0.6346,0.7585,0.8636,0.8284,0.846,0.9401,0.7656,0.8528,0.6622,0.5505,0.6064
3.2,-0.3675,0.6329,0.7742,0.859,0.8403,0.8497,0.9776,0.7935,0.8855,0.6764,0.5705,0.6234
3.3,-0.3926,0.6312,0.7927,0.8525,0.8491,0.8508,1.0163,0.8242,0.9202,0.6968,0.5966,0.6467
3.4,-0.4221,0.6296,0.8145,0.8448,0.8552,0.85,1.055,0.8576,0.9563,0.7224,0.628,0.6752
3.5,-0.4549,0.6291,0.8394,0.8364,0.8591,0.8477,1.0924,0.8927,0.9926,0.7513,0.664,0.7076
3.6,-0.4894,0.6303,0.8664,0.8271,0.861,0.844,1.1273,0.9274,1.0274,0.7811,0.7029,0.742
3.7,-0.5243,0.633,0.8946,0.8163,0.8607,0.8385,1.1592,0.9596,1.0594,0.81,0.7426,0.7763
3.8,-0.5591,0.6366,0.9234,0.8038,0.8582,0.831,1.1875,0.9882,1.0878,0.8366,0.7811,0.8088
3.9,-0.5929,0.6406,0.9525,0.7896,0.8535,0.8216,1.212,1.0132,1.1126,0.8597,0.8166,0.8382
4,-0.6241,0.6453,0.9809,0.7744,0.8474,0.8109,1.2322,1.0345,1.1333,0.8786,0.8481,0.8634
4.1,-0.6507,0.6514,1.0081,0.7591,0.8402,0.7996,1.2477,1.0517,1.1497,0.8933,0.8751,0.8842
4.2,-0.6711,0.6586,1.0343,0.7441,0.8317,0.7879,1.2587,1.064,1.1613,0.9044,0.8978,0.9011
4.3,-0.6848,0.6659,1.0598,0.73,0.8213,0.7756,1.2655,1.0715,1.1685,0.9129,0.9165,0.9147
4.4,-0.6919,0.6725,1.0845,0.7167,0.8079,0.7623,1.2689,1.0747,1.1718,0.9185,0.9317,0.9251
4.5,-0.6917,0.6784,1.1074,0.7047,0.7911,0.7479,1.2686,1.0741,1.1713,0.9201,0.9431,0.9316
4.6,-0.6824,0.6843,1.1271,0.6945,0.771,0.7327,1.2638,1.0698,1.1668,0.917,0.9506,0.9338
4.7,-0.6614,0.6911,1.1426,0.6865,0.7479,0.7172,1.2533,1.0617,1.1575,0.9091,0.9542,0.9317
4.8,-0.6269,0.6989,1.1536,0.6807,0.7223,0.7015,1.2353,1.0497,1.1425,0.8979,0.9546,0.9263
4.9,-0.5789,0.7069,1.1598,0.6764,0.6949,0.6857,1.2088,1.0341,1.1215,0.8844,0.953,0.9187
5,-0.5188,0.7144,1.1608,0.6732,0.6664,0.6698,1.1736,1.0153,1.0945,0.869,0.9498,0.9094
5.1,-0.4492,0.7211,1.1562,0.6705,0.6379,0.6542,1.13,0.9928,1.0614,0.8516,0.9451,0.8984
5.2,-0.3734,0.7271,1.1456,0.6683,0.6108,0.6395,1.0783,0.9664,1.0223,0.8327,0.9386,0.8857
5.3,-0.2961,0.7328,1.1294,0.6668,0.5862,0.6265,1.0189,0.9367,0.9778,0.8136,0.9303,0.872
5.4,-0.2222,0.7374,1.1084,0.6658,0.5654,0.6156,0.9532,0.9052,0.9292,0.796,0.9208,0.8584
5.5,-0.1562,0.7403,1.0838,0.6648,0.5496,0.6072,0.8839,0.8743,0.8791,0.7815,0.9105,0.846
5.6,-0.1001,0.7408,1.0564,0.6631,0.5395,0.6013,0.814,0.8451,0.8296,0.7706,0.8991,0.8348
5.7,-0.0537,0.7388,1.0252,0.661,0.5348,0.5979,0.7455,0.8174,0.7814,0.7625,0.8853,0.8239
5.8,-0.0163,0.7347,0.9884,0.6591,0.5353,0.5972,0.6788,0.7902,0.7345,0.7568,0.8673,0.8121
5.9,0.0119,0.7288,0.9443,0.6582,0.5405,0.5993,0.6147,0.7634,0.689,0.7531,0.844,0.7985
6,0.0302,0.7209,0.8934,0.6581,0.5491,0.6036,0.554,0.7374,0.6457,0.7513,0.815,0.7832
6.1,0.0387,0.7115,0.838,0.6582,0.5599,0.6091,0.4983,0.713,0.6056,0.7513,0.7812,0.7662
