Time,Disney Plus with Star 30 TVC,Disney Plus with Star 30 TVC,Disney Plus with Star 30 TVC,Disney Plus with Star 30 TVC,Disney Plus with Star 30 TVC,Disney Plus with Star 30 TVC,Disney Plus with Star 30 TVC,Disney Plus with Star 30 TVC,Disney Plus with Star 30 TVC,Disney Plus with Star 30 TVC,Disney Plus with Star 30 TVC,Disney Plus with Star 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.2987,0.7596,0.4997,0.9704,0.6079,0.7892,0.4591,0.4613,0.4602,0.5711,0.8632,0.7172
0.1,0.3049,0.7734,0.4899,0.9794,0.6356,0.8075,0.4537,0.4674,0.4606,0.6053,0.8767,0.741
0.2,0.3112,0.7842,0.4806,0.9848,0.6569,0.8208,0.4498,0.474,0.4619,0.6393,0.8905,0.7649
0.3,0.3189,0.792,0.4723,0.986,0.6699,0.8279,0.4474,0.4806,0.464,0.6724,0.9037,0.7881
0.4,0.3287,0.7969,0.465,0.9828,0.6741,0.8284,0.4471,0.487,0.467,0.7041,0.9153,0.8097
0.5,0.341,0.7991,0.4581,0.9755,0.6698,0.8227,0.4494,0.4928,0.4711,0.7337,0.9242,0.829
0.6,0.356,0.7984,0.4516,0.9649,0.6581,0.8115,0.4546,0.4978,0.4762,0.7606,0.93,0.8453
0.7,0.3734,0.7946,0.4457,0.9517,0.6403,0.796,0.4628,0.5019,0.4824,0.7839,0.9326,0.8582
0.8,0.3915,0.7878,0.4407,0.936,0.6178,0.7769,0.4739,0.5058,0.4899,0.8027,0.9318,0.8672
0.9,0.4088,0.7788,0.437,0.9179,0.5921,0.755,0.4874,0.51,0.4987,0.8162,0.9268,0.8715
1,0.4242,0.7684,0.4343,0.8973,0.5645,0.7309,0.5024,0.514,0.5082,0.8235,0.9173,0.8704
1.1,0.4367,0.7573,0.4319,0.8748,0.5361,0.7054,0.5179,0.5167,0.5173,0.8243,0.9024,0.8633
1.2,0.4457,0.7461,0.4292,0.8511,0.5082,0.6796,0.533,0.5172,0.5251,0.8182,0.8823,0.8502
1.3,0.4504,0.7351,0.4263,0.8269,0.4818,0.6544,0.5474,0.516,0.5317,0.8057,0.8574,0.8315
1.4,0.45,0.7244,0.4232,0.8027,0.4581,0.6304,0.5611,0.514,0.5375,0.7874,0.8289,0.8082
1.5,0.4446,0.7142,0.4201,0.7789,0.4375,0.6082,0.5734,0.5114,0.5424,0.7643,0.7981,0.7812
1.6,0.4349,0.7043,0.417,0.7557,0.4202,0.588,0.5833,0.5071,0.5452,0.7371,0.7669,0.752
1.7,0.422,0.6942,0.4136,0.7331,0.4057,0.5694,0.5893,0.4998,0.5445,0.7068,0.7366,0.7217
1.8,0.4068,0.6839,0.4092,0.7111,0.3933,0.5522,0.5908,0.4897,0.5402,0.6744,0.7082,0.6913
1.9,0.3895,0.6737,0.4034,0.6903,0.3833,0.5368,0.5881,0.478,0.5331,0.6413,0.682,0.6617
2,0.3695,0.6642,0.3957,0.6715,0.3758,0.5237,0.582,0.4668,0.5244,0.6084,0.6583,0.6333
2.1,0.3463,0.6556,0.3865,0.6549,0.3712,0.5131,0.5735,0.4575,0.5155,0.5762,0.6369,0.6066
2.2,0.3194,0.6473,0.376,0.6396,0.369,0.5043,0.5633,0.4507,0.507,0.5452,0.6177,0.5814
2.3,0.2885,0.6382,0.3643,0.6245,0.3687,0.4966,0.5518,0.4462,0.499,0.5159,0.6003,0.5581
2.4,0.2543,0.6277,0.351,0.6093,0.37,0.4897,0.5395,0.4436,0.4915,0.4889,0.5849,0.5369
2.5,0.2185,0.6163,0.336,0.5945,0.3731,0.4838,0.5269,0.4425,0.4847,0.465,0.572,0.5185
2.6,0.183,0.6048,0.3194,0.5811,0.378,0.4796,0.5145,0.442,0.4783,0.4447,0.5618,0.5033
2.7,0.1491,0.5944,0.3016,0.5699,0.3843,0.4771,0.5025,0.4412,0.4719,0.4285,0.554,0.4913
2.8,0.1172,0.5856,0.2834,0.5611,0.3915,0.4763,0.4911,0.4393,0.4652,0.4163,0.5483,0.4823
2.9,0.0875,0.5791,0.2654,0.5548,0.3993,0.4771,0.4802,0.4361,0.4582,0.408,0.5441,0.476
3,0.0607,0.5754,0.2485,0.5512,0.4078,0.4795,0.4703,0.4321,0.4512,0.4036,0.541,0.4723
3.1,0.0378,0.5751,0.2331,0.5507,0.4173,0.484,0.4615,0.4276,0.4446,0.4027,0.5389,0.4708
3.2,0.0205,0.5787,0.22,0.5539,0.4283,0.4911,0.4538,0.4226,0.4382,0.4047,0.5372,0.471
3.3,0.0096,0.5866,0.2093,0.5613,0.4416,0.5015,0.4475,0.4167,0.4321,0.4092,0.5355,0.4723
3.4,0.0056,0.5998,0.2016,0.5734,0.458,0.5157,0.4433,0.4099,0.4266,0.4159,0.5333,0.4746
3.5,0.0086,0.6186,0.1968,0.5901,0.478,0.534,0.4422,0.4025,0.4223,0.4249,0.5303,0.4776
3.6,0.019,0.6432,0.1946,0.6109,0.5019,0.5564,0.4445,0.3945,0.4195,0.4359,0.5257,0.4808
3.7,0.0365,0.673,0.1946,0.6346,0.5301,0.5823,0.4499,0.3856,0.4177,0.4489,0.519,0.4839
3.8,0.0596,0.707,0.1959,0.6598,0.5624,0.6111,0.4573,0.3757,0.4165,0.4634,0.5099,0.4866
3.9,0.0859,0.7435,0.1984,0.6852,0.5985,0.6419,0.4657,0.3645,0.4151,0.4787,0.4982,0.4885
4,0.1128,0.7807,0.2018,0.7101,0.6376,0.6739,0.4748,0.3527,0.4137,0.4945,0.4847,0.4896
4.1,0.1381,0.8169,0.2061,0.7335,0.6787,0.7061,0.4846,0.3413,0.4129,0.511,0.4706,0.4908
4.2,0.1609,0.8505,0.2108,0.7542,0.72,0.7371,0.4951,0.3314,0.4132,0.5283,0.4569,0.4926
4.3,0.1807,0.88,0.2154,0.7707,0.7594,0.765,0.5056,0.3239,0.4148,0.5467,0.4444,0.4956
4.4,0.1981,0.9044,0.2197,0.7824,0.7944,0.7884,0.5153,0.3191,0.4172,0.5658,0.4335,0.4996
4.5,0.2133,0.9234,0.2236,0.7894,0.824,0.8067,0.5236,0.3172,0.4204,0.5855,0.4243,0.5049
4.6,0.2253,0.9371,0.227,0.7919,0.8479,0.8199,0.5308,0.3193,0.425,0.6062,0.4173,0.5118
4.7,0.2331,0.9457,0.2296,0.7896,0.8662,0.8279,0.5371,0.3264,0.4317,0.6286,0.413,0.5208
4.8,0.2359,0.9497,0.2311,0.7822,0.8791,0.8307,0.5427,0.339,0.4409,0.6525,0.4115,0.532
4.9,0.2337,0.9501,0.2313,0.7701,0.8865,0.8283,0.5477,0.357,0.4524,0.6773,0.4127,0.545
5,0.2263,0.9474,0.2303,0.7535,0.8882,0.8209,0.5525,0.3801,0.4663,0.7024,0.4165,0.5594
5.1,0.2135,0.9423,0.2279,0.733,0.8846,0.8088,0.5578,0.4085,0.4832,0.7277,0.4227,0.5752
5.2,0.1947,0.9346,0.2241,0.709,0.8761,0.7925,0.564,0.4424,0.5032,0.7535,0.4308,0.5922
5.3,0.1697,0.9241,0.2188,0.6811,0.8632,0.7721,0.5712,0.4805,0.5258,0.7794,0.44,0.6097
5.4,0.1388,0.9103,0.2121,0.6492,0.8457,0.7475,0.5792,0.5203,0.5497,0.8045,0.4498,0.6272
