Time,Hyundai - All Electric Ioniq 6 30 Competitor TVC,Hyundai - All Electric Ioniq 6 30 Competitor TVC,Hyundai - All Electric Ioniq 6 30 Competitor TVC,Hyundai - All Electric Ioniq 6 30 Competitor TVC,Hyundai - All Electric Ioniq 6 30 Competitor TVC,Hyundai - All Electric Ioniq 6 30 Competitor TVC,Hyundai - All Electric Ioniq 6 30 Competitor TVC,Hyundai - All Electric Ioniq 6 30 Competitor TVC,Hyundai - All Electric Ioniq 6 30 Competitor TVC,Hyundai - All Electric Ioniq 6 30 Competitor TVC,Hyundai - All Electric Ioniq 6 30 Competitor TVC,Hyundai - All Electric Ioniq 6 30 Competitor TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
22.1,0.0444,0.5448,0.4939,0.383,0.484,0.4335,0.3134,0.4647,0.3891,0.1595,0.2958,0.2277
22.2,0.0521,0.5508,0.4833,0.3938,0.482,0.4379,0.3022,0.4425,0.3723,0.1487,0.2844,0.2166
22.3,0.0614,0.5554,0.4752,0.4051,0.4786,0.4418,0.2908,0.4212,0.356,0.1394,0.2735,0.2064
22.4,0.0714,0.5573,0.4695,0.4155,0.4727,0.4441,0.2799,0.401,0.3405,0.132,0.2638,0.1979
22.5,0.0812,0.556,0.4662,0.4241,0.4644,0.4443,0.2699,0.3825,0.3262,0.1271,0.2559,0.1915
22.6,0.0902,0.5516,0.4649,0.4312,0.4541,0.4427,0.2616,0.3665,0.3141,0.1254,0.2504,0.1879
22.7,0.0982,0.5445,0.4658,0.4372,0.4428,0.44,0.2561,0.3539,0.305,0.1278,0.2478,0.1878
22.8,0.1052,0.5348,0.4687,0.4424,0.4308,0.4366,0.2545,0.345,0.2998,0.1351,0.2483,0.1917
22.9,0.1112,0.5229,0.4734,0.4465,0.4181,0.4323,0.2573,0.3401,0.2987,0.1475,0.252,0.1997
23,0.1162,0.5091,0.4798,0.4493,0.4044,0.4268,0.2644,0.3392,0.3018,0.1648,0.2583,0.2115
23.1,0.1197,0.4937,0.4877,0.4503,0.3896,0.42,0.2752,0.3421,0.3087,0.1864,0.2668,0.2266
23.2,0.1209,0.477,0.4974,0.4499,0.3745,0.4122,0.2891,0.3489,0.319,0.212,0.2775,0.2447
23.3,0.1194,0.4597,0.5093,0.4484,0.3602,0.4043,0.3053,0.3596,0.3325,0.2412,0.2903,0.2657
23.4,0.1157,0.4425,0.5234,0.4469,0.3479,0.3974,0.3238,0.3739,0.3488,0.2737,0.3051,0.2894
23.5,0.1108,0.4265,0.5394,0.4461,0.3388,0.3925,0.3438,0.3908,0.3673,0.309,0.3212,0.3151
23.6,0.1057,0.4125,0.5567,0.4469,0.3335,0.3902,0.3641,0.4094,0.3868,0.3461,0.3383,0.3422
23.7,0.1005,0.4014,0.5741,0.4496,0.3322,0.3909,0.3834,0.4285,0.406,0.3835,0.3561,0.3698
23.8,0.0944,0.3935,0.5903,0.4542,0.335,0.3946,0.4005,0.447,0.4237,0.4199,0.374,0.397
23.9,0.087,0.389,0.6041,0.4603,0.3414,0.4008,0.4147,0.4638,0.4393,0.4543,0.3914,0.4228
24,0.0786,0.3878,0.615,0.4679,0.3507,0.4093,0.4258,0.4784,0.4521,0.4854,0.4076,0.4465
24.1,0.0702,0.3896,0.6227,0.4766,0.3625,0.4195,0.4335,0.4901,0.4618,0.5124,0.422,0.4672
24.2,0.0628,0.3935,0.6276,0.4859,0.3761,0.431,0.4376,0.4984,0.468,0.5352,0.4346,0.4849
24.3,0.057,0.3985,0.6297,0.4953,0.3911,0.4432,0.438,0.503,0.4705,0.5536,0.4452,0.4994
24.4,0.0532,0.4038,0.629,0.5043,0.407,0.4557,0.4347,0.5038,0.4692,0.5674,0.4542,0.5108
24.5,0.0517,0.4094,0.6254,0.513,0.4233,0.4682,0.4281,0.5008,0.4644,0.5765,0.4613,0.5189
24.6,0.0525,0.4154,0.619,0.5217,0.4395,0.4806,0.4188,0.4945,0.4566,0.5809,0.4667,0.5238
24.7,0.0559,0.4219,0.6102,0.5305,0.455,0.4928,0.4072,0.4857,0.4464,0.5811,0.4701,0.5256
24.8,0.0619,0.428,0.5997,0.5395,0.4694,0.5044,0.3934,0.475,0.4342,0.5775,0.4715,0.5245
24.9,0.07,0.4323,0.5876,0.5482,0.482,0.5151,0.3773,0.4626,0.4199,0.5707,0.471,0.5208
25,0.0803,0.4338,0.5742,0.556,0.4924,0.5242,0.3589,0.4482,0.4035,0.5613,0.469,0.5151
25.1,0.0925,0.432,0.56,0.5628,0.5006,0.5317,0.3387,0.4319,0.3853,0.5499,0.466,0.508
25.2,0.1058,0.4271,0.5456,0.5685,0.5066,0.5376,0.3177,0.4144,0.3661,0.5375,0.4623,0.4999
25.3,0.1188,0.4198,0.5311,0.573,0.5104,0.5417,0.2972,0.3971,0.3472,0.5246,0.4577,0.4912
25.4,0.1302,0.4106,0.5164,0.5754,0.5114,0.5434,0.2782,0.3808,0.3295,0.5116,0.4519,0.4817
25.5,0.1393,0.3998,0.5015,0.5752,0.509,0.5421,0.2617,0.3656,0.3136,0.4987,0.4445,0.4716
25.6,0.1462,0.3875,0.486,0.5725,0.5033,0.5379,0.2479,0.3513,0.2996,0.4862,0.4356,0.4609
25.7,0.1517,0.3742,0.4699,0.5684,0.4958,0.5321,0.2373,0.3381,0.2877,0.4744,0.4259,0.4502
25.8,0.1562,0.3607,0.4528,0.5648,0.4882,0.5265,0.23,0.3266,0.2783,0.4639,0.4156,0.4398
25.9,0.1601,0.3481,0.4349,0.563,0.482,0.5225,0.2262,0.3179,0.272,0.4548,0.4045,0.4297
26,0.1633,0.3375,0.4161,0.5633,0.4778,0.5206,0.2256,0.3125,0.2691,0.4469,0.3922,0.4196
26.1,0.1647,0.3291,0.3962,0.5645,0.4758,0.5202,0.2277,0.3107,0.2692,0.4398,0.3787,0.4093
26.2,0.1628,0.3229,0.3755,0.5657,0.4757,0.5207,0.2319,0.312,0.272,0.4329,0.3646,0.3988
26.3,0.1572,0.3192,0.3545,0.5665,0.4771,0.5218,0.2382,0.3165,0.2773,0.426,0.3511,0.3886
26.4,0.1486,0.3184,0.3346,0.567,0.4799,0.5234,0.2467,0.324,0.2853,0.4198,0.3397,0.3798
26.5,0.1383,0.3209,0.3173,0.5671,0.4839,0.5255,0.2579,0.3347,0.2963,0.4149,0.3323,0.3736
26.6,0.1264,0.3264,0.3036,0.5664,0.489,0.5277,0.2724,0.3483,0.3103,0.4123,0.33,0.3711
26.7,0.1118,0.3341,0.294,0.5637,0.4945,0.5291,0.29,0.3643,0.3272,0.412,0.3332,0.3726
26.8,0.0935,0.3427,0.2881,0.5582,0.4997,0.5289,0.31,0.3819,0.346,0.4138,0.3415,0.3776
26.9,0.0714,0.3507,0.2857,0.549,0.5033,0.5261,0.3307,0.4,0.3653,0.4167,0.3544,0.3855
27,0.0464,0.3568,0.2872,0.536,0.5048,0.5204,0.3505,0.4173,0.3839,0.4199,0.3714,0.3956
27.1,0.0192,0.3602,0.2931,0.5194,0.5042,0.5118,0.3692,0.4333,0.4013,0.4232,0.3921,0.4076
27.2,-0.0095,0.3608,0.3039,0.4998,0.502,0.5009,0.3875,0.4484,0.4179,0.4268,0.4157,0.4212
27.3,-0.0392,0.359,0.3194,0.4777,0.4986,0.4882,0.4065,0.4634,0.435,0.4307,0.4415,0.4361
27.4,-0.0696,0.3557,0.339,0.4539,0.4944,0.4742,0.4268,0.4793,0.4531,0.4346,0.4682,0.4514
27.5,-0.1001,0.3513,0.3614,0.4291,0.4893,0.4592,0.4475,0.4967,0.4721,0.438,0.4946,0.4663
27.6,-0.131,0.3455,0.3857,0.4033,0.4831,0.4432,0.4672,0.5155,0.4914,0.4408,0.5192,0.48
27.7,-0.1625,0.3379,0.4107,0.3764,0.476,0.4262,0.4845,0.5352,0.5099,0.4425,0.5404,0.4915
27.8,-0.195,0.3285,0.4352,0.3481,0.468,0.408,0.4986,0.5552,0.5269,0.443,0.557,0.5
27.9,-0.2284,0.3175,0.4579,0.3185,0.459,0.3887,0.5091,0.5745,0.5418,0.442,0.5684,0.5052
28,-0.2626,0.3053,0.4781,0.2877,0.4489,0.3683,0.5151,0.5923,0.5537,0.4399,0.5745,0.5072
28.1,-0.2972,0.2915,0.4955,0.2553,0.4378,0.3465,0.5158,0.608,0.5619,0.4367,0.5756,0.5062
28.2,-0.3318,0.2757,0.5094,0.2209,0.4263,0.3236,0.5109,0.6213,0.5661,0.4328,0.5721,0.5025
28.3,-0.3657,0.2579,0.5194,0.1846,0.4149,0.2998,0.5014,0.6319,0.5666,0.4282,0.5644,0.4963
28.4,-0.3971,0.2387,0.5256,0.1472,0.4036,0.2754,0.4889,0.6398,0.5643,0.4233,0.5528,0.4881
28.5,-0.4241,0.2191,0.5283,0.1098,0.3925,0.2512,0.4749,0.6451,0.56,0.4185,0.5383,0.4784
28.6,-0.4452,0.2003,0.5282,0.0742,0.3818,0.228,0.4604,0.6479,0.5542,0.4145,0.5217,0.4681
28.7,-0.4601,0.1831,0.5261,0.0419,0.3721,0.207,0.4459,0.6486,0.5472,0.4116,0.5041,0.4578
28.8,-0.4692,0.1682,0.5226,0.0137,0.3643,0.189,0.4314,0.6475,0.5395,0.4101,0.4866,0.4483
28.9,-0.473,0.1559,0.5186,-0.0097,0.3592,0.1747,0.4172,0.6451,0.5311,0.4104,0.4701,0.4403
29,-0.4713,0.1463,0.5148,-0.0277,0.3565,0.1644,0.4037,0.6414,0.5226,0.4129,0.4554,0.4341
29.1,-0.4628,0.1394,0.5117,-0.0403,0.3559,0.1578,0.3919,0.6369,0.5144,0.418,0.4431,0.4305
29.2,-0.4465,0.1353,0.5098,-0.0471,0.3569,0.1549,0.3832,0.6319,0.5075,0.4259,0.4336,0.4297
29.3,-0.4215,0.1341,0.509,-0.0472,0.3589,0.1558,0.3787,0.6269,0.5028,0.4367,0.4271,0.4319
29.4,-0.388,0.1359,0.5095,-0.0403,0.3617,0.1607,0.3792,0.6218,0.5005,0.4505,0.4242,0.4373
29.5,-0.3468,0.1411,0.5121,-0.0264,0.3652,0.1694,0.3849,0.6166,0.5007,0.4675,0.4257,0.4466
29.6,-0.2986,0.1499,0.5175,-0.0059,0.3694,0.1817,0.3957,0.6108,0.5033,0.4883,0.4321,0.4602
29.7,-0.244,0.1625,0.5266,0.0208,0.3745,0.1977,0.4116,0.6045,0.508,0.5128,0.4435,0.4782
29.8,-0.1847,0.1789,0.5398,0.0529,0.3812,0.2171,0.432,0.5975,0.5147,0.5405,0.4596,0.5
29.9,-0.1226,0.1986,0.5575,0.0892,0.3902,0.2397,0.4563,0.5899,0.5231,0.5702,0.4797,0.525
