Time,Bevmarks - Trade in Mattress 15 TVC,Bevmarks - Trade in Mattress 15 TVC,Bevmarks - Trade in Mattress 15 TVC,Bevmarks - Trade in Mattress 15 TVC,Bevmarks - Trade in Mattress 15 TVC,Bevmarks - Trade in Mattress 15 TVC,Bevmarks - Trade in Mattress 15 TVC,Bevmarks - Trade in Mattress 15 TVC,Bevmarks - Trade in Mattress 15 TVC,Bevmarks - Trade in Mattress 15 TVC,Bevmarks - Trade in Mattress 15 TVC,Bevmarks - Trade in Mattress 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.2781,1.0013,0.689,0.8495,0.8044,0.8269,0.7636,0.5232,0.6434,0.8673,0.7658,0.8166
0.1,-0.2892,0.9915,0.6504,0.8199,0.7675,0.7937,0.7464,0.481,0.6137,0.8783,0.7481,0.8132
0.2,-0.3049,0.9795,0.6015,0.7881,0.7281,0.7581,0.7264,0.4386,0.5825,0.8855,0.7296,0.8075
0.3,-0.3234,0.9664,0.5448,0.7576,0.6882,0.7229,0.7056,0.3985,0.552,0.8894,0.7121,0.8007
0.4,-0.3416,0.953,0.4836,0.7298,0.6491,0.6894,0.6847,0.3626,0.5236,0.8903,0.6968,0.7936
0.5,-0.355,0.939,0.4227,0.705,0.6115,0.6583,0.6648,0.332,0.4984,0.8884,0.6845,0.7865
0.6,-0.3597,0.9231,0.3671,0.6833,0.5758,0.6296,0.6466,0.3073,0.477,0.8849,0.6759,0.7804
0.7,-0.3528,0.9041,0.3208,0.6644,0.5426,0.6035,0.6313,0.2885,0.4599,0.8814,0.6716,0.7765
0.8,-0.3305,0.8822,0.287,0.6485,0.5121,0.5803,0.6191,0.2756,0.4474,0.88,0.6715,0.7757
0.9,-0.2901,0.8576,0.2675,0.6362,0.4843,0.5603,0.6101,0.269,0.4396,0.882,0.6748,0.7784
1,-0.2308,0.831,0.2617,0.6281,0.4598,0.544,0.6045,0.2685,0.4365,0.8876,0.6811,0.7844
1.1,-0.1543,0.8021,0.2674,0.6235,0.4391,0.5313,0.6025,0.2736,0.438,0.8966,0.69,0.7933
1.2,-0.0654,0.7708,0.2816,0.6209,0.4221,0.5215,0.6044,0.2834,0.4439,0.9085,0.701,0.8047
1.3,0.0304,0.7373,0.3023,0.6185,0.4089,0.5137,0.6102,0.2971,0.4536,0.923,0.7136,0.8183
1.4,0.1282,0.7026,0.3277,0.6152,0.3992,0.5072,0.6196,0.3137,0.4667,0.94,0.7276,0.8338
1.5,0.2249,0.6683,0.3555,0.6104,0.3937,0.502,0.6324,0.3325,0.4824,0.9593,0.7425,0.8509
1.6,0.3168,0.6357,0.3841,0.6036,0.3923,0.498,0.6481,0.3525,0.5003,0.9804,0.7582,0.8693
1.7,0.4013,0.6055,0.4122,0.5939,0.3948,0.4943,0.6658,0.3731,0.5195,1.0028,0.7743,0.8885
1.8,0.4757,0.5785,0.4397,0.5801,0.4002,0.4901,0.684,0.3945,0.5393,1.0256,0.7902,0.9079
1.9,0.5385,0.5556,0.4669,0.5619,0.4076,0.4847,0.7005,0.417,0.5587,1.0476,0.8054,0.9265
2,0.5901,0.5371,0.4939,0.5393,0.4164,0.4779,0.7135,0.4406,0.577,1.0674,0.8191,0.9432
2.1,0.6313,0.5232,0.5203,0.5137,0.4264,0.47,0.7228,0.4643,0.5935,1.0841,0.8305,0.9573
2.2,0.663,0.5134,0.5452,0.4858,0.4364,0.4611,0.7293,0.4866,0.6079,1.0969,0.8392,0.968
2.3,0.6861,0.5068,0.5681,0.4566,0.4452,0.4509,0.7339,0.5058,0.6198,1.1053,0.8448,0.975
2.4,0.7012,0.5025,0.5888,0.4275,0.4514,0.4395,0.7369,0.5212,0.629,1.1087,0.8471,0.9779
