Time,Tower - Canstar Car Insurer of the Year 30 TVC,Tower - Canstar Car Insurer of the Year 30 TVC,Tower - Canstar Car Insurer of the Year 30 TVC,Tower - Canstar Car Insurer of the Year 30 TVC,Tower - Canstar Car Insurer of the Year 30 TVC,Tower - Canstar Car Insurer of the Year 30 TVC,Tower - Canstar Car Insurer of the Year 30 TVC,Tower - Canstar Car Insurer of the Year 30 TVC,Tower - Canstar Car Insurer of the Year 30 TVC,Tower - Canstar Car Insurer of the Year 30 TVC,Tower - Canstar Car Insurer of the Year 30 TVC,Tower - Canstar Car Insurer of the Year 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
17.4,0.0931,0.5149,0.586,0.2973,0.7232,0.5103,0.4178,0.4877,0.4528,0.1886,0.2509,0.2198
17.5,0.08,0.5203,0.6065,0.3024,0.7458,0.5241,0.4239,0.5089,0.4664,0.1907,0.2592,0.2249
17.6,0.0676,0.5309,0.6306,0.3145,0.7701,0.5423,0.4332,0.5339,0.4836,0.1932,0.267,0.2301
17.7,0.0551,0.5461,0.6579,0.3335,0.7955,0.5645,0.4453,0.562,0.5037,0.1963,0.2745,0.2354
17.8,0.0412,0.5648,0.6878,0.3591,0.8215,0.5903,0.46,0.5922,0.5261,0.2004,0.2819,0.2411
17.9,0.0246,0.5854,0.7193,0.3904,0.8473,0.6188,0.4766,0.6238,0.5502,0.2053,0.2896,0.2474
18,0.0059,0.6067,0.7519,0.426,0.8723,0.6492,0.4944,0.6557,0.5751,0.2109,0.2979,0.2544
18.1,-0.0145,0.6279,0.7846,0.4639,0.8956,0.6797,0.5121,0.6865,0.5993,0.2171,0.307,0.262
18.2,-0.036,0.648,0.8158,0.5008,0.9163,0.7086,0.5286,0.7151,0.6218,0.2236,0.3166,0.2701
18.3,-0.0585,0.6657,0.8441,0.5343,0.9342,0.7342,0.5433,0.7407,0.642,0.2297,0.3268,0.2782
18.4,-0.0828,0.6794,0.8683,0.5626,0.9489,0.7557,0.5561,0.7631,0.6596,0.2351,0.3373,0.2862
18.5,-0.1092,0.6878,0.8878,0.5849,0.9609,0.7729,0.5671,0.7822,0.6747,0.2396,0.3479,0.2938
18.6,-0.1371,0.6892,0.9019,0.601,0.9701,0.7855,0.5761,0.7976,0.6869,0.2435,0.3585,0.301
18.7,-0.1654,0.6825,0.91,0.6099,0.9759,0.7929,0.5823,0.8087,0.6955,0.2471,0.3693,0.3082
18.8,-0.1925,0.6666,0.9115,0.6112,0.9774,0.7943,0.5849,0.8146,0.6997,0.2511,0.3803,0.3157
18.9,-0.2172,0.6416,0.9069,0.6051,0.9743,0.7897,0.5832,0.8149,0.699,0.2558,0.3914,0.3236
19,-0.2387,0.6091,0.8969,0.593,0.9672,0.7801,0.5774,0.81,0.6937,0.2611,0.402,0.3315
19.1,-0.2556,0.5717,0.8819,0.577,0.9563,0.7667,0.5679,0.8001,0.684,0.2664,0.4116,0.339
19.2,-0.266,0.5319,0.8621,0.5593,0.9416,0.7504,0.5551,0.7857,0.6704,0.2715,0.4199,0.3457
19.3,-0.2693,0.4918,0.8375,0.5418,0.9235,0.7326,0.5391,0.7671,0.6531,0.2762,0.427,0.3516
19.4,-0.2664,0.4532,0.809,0.5257,0.9028,0.7142,0.5201,0.7452,0.6326,0.2808,0.4329,0.3568
19.5,-0.2591,0.4173,0.7777,0.5119,0.8804,0.6961,0.4988,0.7211,0.6099,0.2854,0.4374,0.3614
19.6,-0.2489,0.3849,0.7453,0.5005,0.8571,0.6788,0.4761,0.696,0.5861,0.29,0.4402,0.3651
19.7,-0.2355,0.3565,0.7135,0.4915,0.8338,0.6626,0.4527,0.6716,0.5621,0.2941,0.4411,0.3676
19.8,-0.2181,0.3329,0.6837,0.4849,0.8111,0.648,0.4288,0.6492,0.539,0.2974,0.4394,0.3684
19.9,-0.1966,0.3144,0.6574,0.4809,0.7898,0.6354,0.4045,0.63,0.5172,0.3,0.4348,0.3674
20,-0.1733,0.3014,0.6359,0.48,0.7703,0.6251,0.3805,0.615,0.4978,0.3018,0.4271,0.3645
20.1,-0.1501,0.2937,0.6195,0.4825,0.7534,0.618,0.3579,0.605,0.4814,0.3028,0.4163,0.3595
20.2,-0.1279,0.2908,0.6078,0.4886,0.7393,0.6139,0.3372,0.5999,0.4685,0.3025,0.4016,0.352
20.3,-0.1063,0.2921,0.6,0.498,0.7274,0.6127,0.3186,0.5993,0.4589,0.3003,0.382,0.3412
20.4,-0.0849,0.2969,0.5958,0.5104,0.7175,0.614,0.3021,0.6027,0.4524,0.296,0.3569,0.3264
20.5,-0.0633,0.3054,0.5951,0.5263,0.709,0.6177,0.2884,0.6095,0.449,0.2895,0.3265,0.308
20.6,-0.0413,0.3177,0.5978,0.5457,0.7015,0.6236,0.278,0.6194,0.4487,0.2814,0.2926,0.287
20.7,-0.0183,0.3336,0.6036,0.5684,0.6946,0.6315,0.2715,0.6315,0.4515,0.2723,0.2572,0.2647
20.8,0.0053,0.3525,0.612,0.5934,0.6885,0.641,0.2685,0.6449,0.4567,0.2625,0.2217,0.2421
20.9,0.0288,0.3737,0.6221,0.6194,0.6828,0.6511,0.2685,0.6585,0.4635,0.2516,0.1866,0.2191
21,0.0507,0.3967,0.6331,0.6451,0.6775,0.6613,0.2706,0.6712,0.4709,0.2391,0.1522,0.1957
21.1,0.0696,0.421,0.6445,0.6691,0.6727,0.6709,0.2751,0.683,0.479,0.2255,0.1196,0.1725
21.2,0.0852,0.4464,0.6559,0.6907,0.669,0.6799,0.2829,0.6937,0.4883,0.2116,0.0905,0.1511
21.3,0.098,0.4726,0.6674,0.7095,0.6673,0.6884,0.2945,0.7035,0.499,0.1993,0.0671,0.1332
21.4,0.1089,0.4999,0.6793,0.7255,0.6686,0.697,0.3096,0.7123,0.511,0.1903,0.0509,0.1206
21.5,0.1181,0.5282,0.6914,0.739,0.6736,0.7063,0.3276,0.7203,0.5239,0.1854,0.0424,0.1139
21.6,0.1257,0.5565,0.7036,0.7506,0.6826,0.7166,0.3477,0.7281,0.5379,0.1844,0.0414,0.1129
21.7,0.1322,0.5839,0.7162,0.7606,0.6953,0.728,0.3696,0.7363,0.553,0.1871,0.0474,0.1173
21.8,0.138,0.6092,0.7291,0.769,0.7112,0.7401,0.3928,0.7454,0.5691,0.1932,0.0594,0.1263
21.9,0.1436,0.6317,0.7424,0.7752,0.7295,0.7523,0.4167,0.755,0.5858,0.2025,0.076,0.1392
22,0.1493,0.6511,0.7558,0.7787,0.749,0.7638,0.4406,0.7643,0.6024,0.2149,0.0957,0.1553
22.1,0.1554,0.6677,0.7692,0.7804,0.769,0.7747,0.4644,0.7732,0.6188,0.23,0.1177,0.1738
22.2,0.162,0.6822,0.7832,0.7816,0.7894,0.7855,0.4886,0.7825,0.6356,0.2475,0.1415,0.1945
22.3,0.1686,0.6958,0.7982,0.7836,0.8109,0.7973,0.5139,0.7934,0.6537,0.2669,0.167,0.2169
22.4,0.1743,0.7092,0.8142,0.7872,0.8343,0.8107,0.5405,0.8068,0.6736,0.2874,0.1928,0.2401
22.5,0.1794,0.723,0.8306,0.7922,0.8593,0.8258,0.5678,0.8227,0.6952,0.3078,0.217,0.2624
22.6,0.1841,0.7367,0.847,0.7984,0.885,0.8417,0.5952,0.8406,0.7179,0.3275,0.2384,0.283
22.7,0.1886,0.7499,0.8634,0.8051,0.9105,0.8578,0.6222,0.8599,0.7411,0.3462,0.2571,0.3016
22.8,0.1931,0.7615,0.8797,0.8117,0.9346,0.8731,0.6481,0.8799,0.764,0.3644,0.2733,0.3188
22.9,0.1978,0.7709,0.8952,0.8176,0.9559,0.8867,0.6724,0.8994,0.7859,0.382,0.2874,0.3347
23,0.2028,0.7776,0.9089,0.8218,0.973,0.8974,0.6941,0.9173,0.8057,0.3993,0.2996,0.3495
23.1,0.2091,0.7812,0.9195,0.8239,0.9845,0.9042,0.7126,0.9326,0.8226,0.4163,0.3098,0.3631
23.2,0.2168,0.7813,0.9263,0.8241,0.9892,0.9066,0.7277,0.9444,0.8361,0.4329,0.3173,0.3751
23.3,0.2254,0.7779,0.9287,0.8227,0.9861,0.9044,0.7393,0.9524,0.8459,0.4488,0.3214,0.3851
23.4,0.234,0.7706,0.9267,0.8203,0.9746,0.8974,0.7478,0.9564,0.8521,0.4641,0.322,0.393
23.5,0.2421,0.7599,0.9204,0.817,0.9545,0.8857,0.7535,0.9566,0.855,0.4788,0.3189,0.3988
23.6,0.2493,0.746,0.9102,0.8124,0.9262,0.8693,0.7565,0.9535,0.855,0.4933,0.3132,0.4032
23.7,0.2553,0.7295,0.8965,0.8065,0.891,0.8487,0.757,0.9476,0.8523,0.5084,0.3071,0.4077
23.8,0.2587,0.711,0.8801,0.7992,0.8504,0.8248,0.7549,0.9391,0.847,0.5248,0.3031,0.414
23.9,0.2573,0.6915,0.8613,0.791,0.8065,0.7988,0.7499,0.9286,0.8392,0.5432,0.3037,0.4234
24,0.2494,0.6715,0.8406,0.782,0.7614,0.7717,0.7416,0.9165,0.8291,0.564,0.3097,0.4369
24.1,0.2343,0.6517,0.8191,0.7723,0.7173,0.7448,0.7304,0.9041,0.8172,0.5872,0.3208,0.454
24.2,0.2129,0.6329,0.7977,0.7624,0.6762,0.7193,0.7172,0.8926,0.8049,0.6126,0.3361,0.4744
24.3,0.1863,0.6155,0.7776,0.753,0.6397,0.6963,0.7031,0.883,0.7931,0.6396,0.3547,0.4971
24.4,0.1562,0.6001,0.7595,0.7449,0.6088,0.6768,0.6893,0.8757,0.7825,0.6674,0.3761,0.5217
24.5,0.1249,0.587,0.7439,0.7391,0.5844,0.6618,0.6767,0.8706,0.7737,0.6951,0.3995,0.5473
24.6,0.0941,0.5759,0.7312,0.7361,0.567,0.6515,0.6656,0.8674,0.7665,0.7216,0.4235,0.5725
24.7,0.0646,0.5666,0.7216,0.7357,0.5567,0.6462,0.656,0.8653,0.7607,0.7454,0.4462,0.5958
24.8,0.0366,0.5587,0.7149,0.7374,0.5531,0.6453,0.6477,0.8638,0.7558,0.7656,0.4662,0.6159
24.9,0.0102,0.5517,0.7109,0.7409,0.5554,0.6482,0.6403,0.8624,0.7514,0.7813,0.483,0.6321
25,-0.0139,0.5456,0.7089,0.7456,0.5626,0.6541,0.6335,0.8607,0.7471,0.7921,0.4963,0.6442
25.1,-0.0352,0.5404,0.7079,0.7507,0.5734,0.6621,0.6274,0.858,0.7427,0.7978,0.5065,0.6521
25.2,-0.0533,0.5361,0.707,0.7557,0.587,0.6713,0.6222,0.8537,0.738,0.7979,0.5138,0.6558
25.3,-0.0683,0.5329,0.7061,0.7602,0.6025,0.6814,0.6186,0.8475,0.7331,0.7923,0.518,0.6552
25.4,-0.0802,0.531,0.7057,0.7647,0.6195,0.6921,0.6171,0.8397,0.7284,0.7812,0.5194,0.6503
25.5,-0.0896,0.5306,0.7069,0.7698,0.6378,0.7038,0.618,0.8314,0.7247,0.7651,0.5184,0.6418
25.6,-0.0973,0.532,0.7104,0.7755,0.6575,0.7165,0.6211,0.8239,0.7225,0.7448,0.5154,0.6301
25.7,-0.1039,0.5354,0.716,0.7807,0.678,0.7293,0.6262,0.8172,0.7217,0.7207,0.5098,0.6152
25.8,-0.1105,0.5401,0.7225,0.7833,0.6977,0.7405,0.6325,0.8102,0.7213,0.6931,0.501,0.5971
25.9,-0.118,0.5452,0.7291,0.7814,0.7146,0.748,0.639,0.8015,0.7203,0.6629,0.4887,0.5758
26,-0.1272,0.5497,0.7355,0.7745,0.7277,0.7511,0.6458,0.7906,0.7182,0.6314,0.4734,0.5524
26.1,-0.1383,0.5534,0.7417,0.7636,0.7368,0.7502,0.6527,0.7779,0.7153,0.6,0.4561,0.528
26.2,-0.1515,0.5566,0.7478,0.7501,0.743,0.7465,0.6599,0.7648,0.7123,0.5693,0.4375,0.5034
26.3,-0.1673,0.5601,0.7537,0.7351,0.7468,0.7409,0.6672,0.7524,0.7098,0.5399,0.4184,0.4792
26.4,-0.1855,0.5639,0.7598,0.7189,0.7485,0.7337,0.6747,0.742,0.7083,0.5127,0.3995,0.4561
26.5,-0.2053,0.5677,0.7666,0.7019,0.7485,0.7252,0.6819,0.7337,0.7078,0.4885,0.3818,0.4352
26.6,-0.225,0.5717,0.7744,0.6851,0.7469,0.716,0.6883,0.7277,0.708,0.4682,0.3669,0.4176
26.7,-0.2428,0.5759,0.7827,0.6688,0.7442,0.7065,0.6932,0.7235,0.7083,0.4522,0.356,0.4041
26.8,-0.2575,0.58,0.7907,0.6528,0.7401,0.6965,0.6958,0.7206,0.7082,0.4406,0.3498,0.3952
26.9,-0.2688,0.5833,0.7979,0.6365,0.7337,0.6851,0.696,0.7182,0.7071,0.4329,0.349,0.3909
27,-0.2763,0.585,0.8043,0.6193,0.7237,0.6715,0.6934,0.7159,0.7046,0.4289,0.353,0.391
27.1,-0.2795,0.5844,0.8101,0.6012,0.7094,0.6553,0.6881,0.7134,0.7007,0.4281,0.361,0.3946
27.2,-0.2778,0.5823,0.8152,0.5829,0.6909,0.6369,0.6802,0.7105,0.6954,0.4298,0.3715,0.4007
27.3,-0.2712,0.5793,0.8197,0.5651,0.6693,0.6172,0.6698,0.7076,0.6887,0.4334,0.383,0.4082
27.4,-0.2595,0.5758,0.823,0.5483,0.6455,0.5969,0.6572,0.7049,0.6811,0.4382,0.3945,0.4164
27.5,-0.2427,0.572,0.8253,0.5328,0.6202,0.5765,0.6433,0.703,0.6732,0.4446,0.4056,0.4251
27.6,-0.2204,0.5681,0.8268,0.5189,0.5938,0.5563,0.6291,0.7021,0.6656,0.4527,0.4165,0.4346
27.7,-0.1931,0.5639,0.8279,0.5065,0.5662,0.5363,0.6147,0.7019,0.6583,0.4626,0.4274,0.445
27.8,-0.1615,0.5592,0.8289,0.4955,0.5372,0.5164,0.6002,0.7018,0.651,0.4737,0.4385,0.4561
27.9,-0.1274,0.5538,0.8294,0.486,0.5067,0.4963,0.5855,0.7012,0.6434,0.4855,0.4498,0.4676
28,-0.0924,0.5475,0.8291,0.4775,0.4748,0.4762,0.5711,0.7001,0.6356,0.498,0.4611,0.4796
28.1,-0.0579,0.5408,0.8277,0.4703,0.4412,0.4557,0.5581,0.6984,0.6282,0.5117,0.4728,0.4923
28.2,-0.025,0.5347,0.8252,0.4641,0.4064,0.4353,0.5473,0.6967,0.622,0.5272,0.4856,0.5064
28.3,0.0058,0.5297,0.8217,0.4587,0.3711,0.4149,0.5392,0.6953,0.6173,0.5447,0.4998,0.5223
28.4,0.0333,0.5252,0.8164,0.4528,0.3362,0.3945,0.5333,0.6936,0.6134,0.5636,0.5152,0.5394
28.5,0.0559,0.5206,0.8092,0.4454,0.3031,0.3742,0.5287,0.6915,0.6101,0.5832,0.5315,0.5573
28.6,0.0719,0.5161,0.801,0.4361,0.2743,0.3552,0.5256,0.6896,0.6076,0.6034,0.5485,0.576
28.7,0.0793,0.5128,0.7932,0.4255,0.253,0.3392,0.5247,0.6891,0.6069,0.6244,0.5665,0.5954
28.8,0.0761,0.5121,0.7867,0.4146,0.2413,0.3279,0.526,0.6908,0.6084,0.646,0.5854,0.6157
28.9,0.0618,0.5146,0.7817,0.4043,0.2396,0.3219,0.5287,0.6943,0.6115,0.668,0.6051,0.6366
29,0.0374,0.5203,0.7773,0.3947,0.2475,0.3211,0.5323,0.6986,0.6154,0.69,0.6252,0.6576
29.1,0.0054,0.5289,0.7729,0.3861,0.264,0.3251,0.5369,0.7029,0.6199,0.7116,0.6458,0.6787
29.2,-0.0308,0.5401,0.7683,0.3792,0.2881,0.3337,0.5426,0.7069,0.6247,0.7326,0.6669,0.6997
29.3,-0.0686,0.5538,0.7638,0.375,0.3193,0.3472,0.549,0.7106,0.6298,0.7519,0.6878,0.7198
29.4,-0.1061,0.57,0.7592,0.3748,0.357,0.3659,0.5551,0.7141,0.6346,0.7681,0.7065,0.7373
29.5,-0.142,0.5879,0.7545,0.3788,0.3999,0.3893,0.5596,0.7174,0.6385,0.7793,0.7201,0.7497
29.6,-0.1753,0.6063,0.7489,0.3859,0.4461,0.416,0.5614,0.7203,0.6408,0.784,0.7264,0.7552
29.7,-0.2051,0.6234,0.7417,0.3942,0.4931,0.4437,0.5599,0.722,0.6409,0.7819,0.7237,0.7528
29.8,-0.2296,0.6377,0.7324,0.4023,0.5389,0.4706,0.5548,0.7217,0.6383,0.7733,0.7115,0.7424
29.9,-0.2479,0.6484,0.7204,0.4094,0.5815,0.4955,0.5459,0.7192,0.6325,0.7591,0.6906,0.7248
