Time,Tower - Canstar Car Insurer of the Year 30 TVC,Tower - Canstar Car Insurer of the Year 30 TVC,Tower - Canstar Car Insurer of the Year 30 TVC,Tower - Canstar Car Insurer of the Year 30 TVC,Tower - Canstar Car Insurer of the Year 30 TVC,Tower - Canstar Car Insurer of the Year 30 TVC,Tower - Canstar Car Insurer of the Year 30 TVC,Tower - Canstar Car Insurer of the Year 30 TVC,Tower - Canstar Car Insurer of the Year 30 TVC,Tower - Canstar Car Insurer of the Year 30 TVC,Tower - Canstar Car Insurer of the Year 30 TVC,Tower - Canstar Car Insurer of the Year 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
4.3,-0.1252,0.676,0.7698,0.5359,0.6496,0.5927,0.4927,0.8746,0.6836,0.4503,0.6295,0.5399
4.4,-0.147,0.6711,0.7864,0.519,0.6411,0.58,0.4999,0.9007,0.7003,0.4477,0.641,0.5443
4.5,-0.1676,0.663,0.802,0.5004,0.6301,0.5652,0.5059,0.9261,0.716,0.4473,0.6521,0.5497
4.6,-0.1862,0.6518,0.8175,0.4805,0.6166,0.5485,0.5108,0.9497,0.7303,0.4486,0.6621,0.5553
4.7,-0.2035,0.638,0.8331,0.4595,0.6011,0.5303,0.515,0.97,0.7425,0.4512,0.6706,0.5609
4.8,-0.2204,0.6221,0.8482,0.4375,0.5845,0.511,0.5188,0.9857,0.7522,0.4556,0.6781,0.5668
4.9,-0.2365,0.6049,0.8619,0.4149,0.5677,0.4913,0.5225,0.9959,0.7592,0.4629,0.6857,0.5743
5,-0.2506,0.5867,0.8737,0.3927,0.5514,0.472,0.5267,1.0005,0.7636,0.4745,0.6935,0.584
5.1,-0.2618,0.5676,0.8837,0.3717,0.5358,0.4538,0.5315,1.0002,0.7659,0.4903,0.7005,0.5954
5.2,-0.2708,0.5481,0.8919,0.353,0.5218,0.4374,0.5368,0.9957,0.7662,0.5097,0.7051,0.6074
5.3,-0.2787,0.5292,0.898,0.3371,0.5103,0.4237,0.5421,0.9877,0.7649,0.5319,0.7067,0.6193
