Time,Woolworths - Helping you get your woolies worth 30 TVC,Woolworths - Helping you get your woolies worth 30 TVC,Woolworths - Helping you get your woolies worth 30 TVC,Woolworths - Helping you get your woolies worth 30 TVC,Woolworths - Helping you get your woolies worth 30 TVC,Woolworths - Helping you get your woolies worth 30 TVC,Woolworths - Helping you get your woolies worth 30 TVC,Woolworths - Helping you get your woolies worth 30 TVC,Woolworths - Helping you get your woolies worth 30 TVC,Woolworths - Helping you get your woolies worth 30 TVC,Woolworths - Helping you get your woolies worth 30 TVC,Woolworths - Helping you get your woolies worth 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
17.6,0.1528,0.6086,0.4306,0.5447,0.6234,0.5841,0.5759,0.7418,0.6589,0.229,0.3024,0.2657
17.7,0.1228,0.6082,0.4555,0.5234,0.6222,0.5728,0.5691,0.7721,0.6706,0.2333,0.3152,0.2742
17.8,0.0828,0.6067,0.4796,0.5051,0.6203,0.5627,0.5595,0.7954,0.6774,0.2363,0.3285,0.2824
17.9,0.0352,0.604,0.5018,0.4903,0.6177,0.554,0.5472,0.8115,0.6793,0.2376,0.3418,0.2897
18,-0.016,0.6007,0.5212,0.4792,0.6146,0.5469,0.5324,0.8202,0.6763,0.2369,0.3542,0.2955
18.1,-0.0678,0.5977,0.5376,0.472,0.6115,0.5418,0.5157,0.8217,0.6687,0.2341,0.3653,0.2997
18.2,-0.1189,0.5956,0.5503,0.4691,0.609,0.5391,0.498,0.8172,0.6576,0.2293,0.3742,0.3017
18.3,-0.1683,0.5943,0.5587,0.4707,0.6074,0.5391,0.4804,0.8084,0.6444,0.2223,0.3805,0.3014
18.4,-0.2136,0.594,0.5629,0.4765,0.6072,0.5419,0.4637,0.7974,0.6305,0.2133,0.3838,0.2986
18.5,-0.2524,0.5947,0.564,0.4858,0.6085,0.5472,0.4479,0.7861,0.617,0.2022,0.3844,0.2933
18.6,-0.283,0.5963,0.5629,0.4978,0.6111,0.5545,0.4332,0.7752,0.6042,0.1891,0.3828,0.2859
18.7,-0.3043,0.5989,0.5604,0.5121,0.6146,0.5633,0.4198,0.7646,0.5922,0.1744,0.3797,0.2771
18.8,-0.3146,0.6027,0.5565,0.529,0.6187,0.5739,0.4086,0.7542,0.5814,0.1589,0.3758,0.2673
18.9,-0.3114,0.6076,0.5514,0.5493,0.623,0.5861,0.401,0.7441,0.5725,0.1436,0.3716,0.2576
19,-0.2933,0.6134,0.5457,0.5727,0.627,0.5999,0.3983,0.7348,0.5665,0.1298,0.368,0.2489
19.1,-0.2606,0.6196,0.5401,0.599,0.6295,0.6142,0.4008,0.7263,0.5635,0.1189,0.3658,0.2424
19.2,-0.2146,0.6257,0.535,0.6274,0.6292,0.6283,0.408,0.7182,0.5631,0.1123,0.3658,0.239
19.3,-0.1573,0.6314,0.5301,0.6576,0.6258,0.6417,0.4192,0.7102,0.5647,0.1106,0.3683,0.2395
19.4,-0.0911,0.6357,0.5253,0.6889,0.6191,0.654,0.4333,0.7025,0.5679,0.1143,0.3736,0.244
19.5,-0.0193,0.638,0.5204,0.7204,0.6094,0.6649,0.4491,0.695,0.5721,0.1237,0.3817,0.2527
19.6,0.0552,0.6375,0.5146,0.7508,0.5968,0.6738,0.4651,0.687,0.5761,0.1388,0.3925,0.2656
19.7,0.1302,0.6339,0.5076,0.779,0.5811,0.6801,0.4796,0.6773,0.5784,0.159,0.4052,0.2821
19.8,0.2044,0.6273,0.4991,0.8045,0.5622,0.6834,0.4913,0.6651,0.5782,0.1825,0.419,0.3008
19.9,0.2752,0.6179,0.4902,0.8273,0.5409,0.6841,0.4998,0.6508,0.5753,0.2073,0.4329,0.3201
20,0.3396,0.6059,0.4815,0.8475,0.5179,0.6827,0.5054,0.6352,0.5703,0.2316,0.4463,0.3389
20.1,0.3942,0.592,0.4736,0.8649,0.4944,0.6797,0.5085,0.6191,0.5638,0.2539,0.4588,0.3564
20.2,0.4366,0.5773,0.4666,0.8793,0.4716,0.6755,0.5088,0.6026,0.5557,0.2736,0.4703,0.3719
20.3,0.4661,0.5623,0.4598,0.8914,0.4506,0.671,0.506,0.5856,0.5458,0.2898,0.4798,0.3848
20.4,0.4826,0.5477,0.4533,0.9012,0.4324,0.6668,0.4997,0.568,0.5339,0.3021,0.4866,0.3944
20.5,0.4863,0.5333,0.4473,0.9085,0.4177,0.6631,0.4902,0.5502,0.5202,0.31,0.4904,0.4002
20.6,0.4775,0.519,0.4421,0.9126,0.4066,0.6596,0.4779,0.5325,0.5052,0.3133,0.491,0.4022
20.7,0.4574,0.5049,0.4375,0.9135,0.3989,0.6562,0.4633,0.5153,0.4893,0.3125,0.4889,0.4007
20.8,0.4284,0.4917,0.4336,0.9117,0.3946,0.6532,0.4472,0.4986,0.4729,0.3082,0.4844,0.3963
20.9,0.3925,0.48,0.4306,0.9081,0.3945,0.6513,0.43,0.4831,0.4566,0.3006,0.4778,0.3892
21,0.3512,0.4702,0.4294,0.9031,0.3997,0.6514,0.4122,0.4699,0.4411,0.2901,0.4694,0.3798
21.1,0.3065,0.463,0.4307,0.897,0.4109,0.6539,0.3944,0.4598,0.4271,0.2768,0.4598,0.3683
21.2,0.2608,0.4587,0.4351,0.8905,0.4281,0.6593,0.3773,0.4537,0.4155,0.261,0.4491,0.355
21.3,0.2165,0.4584,0.4431,0.8844,0.4514,0.6679,0.3619,0.4526,0.4072,0.2427,0.4373,0.34
21.4,0.1755,0.4622,0.4551,0.8792,0.4805,0.6799,0.3489,0.4573,0.4031,0.2224,0.4246,0.3235
21.5,0.1384,0.4696,0.4713,0.8745,0.5141,0.6943,0.3392,0.4683,0.4038,0.201,0.4118,0.3064
21.6,0.1063,0.4789,0.492,0.8693,0.5504,0.7099,0.3334,0.4858,0.4096,0.1797,0.3997,0.2897
21.7,0.0812,0.4887,0.5174,0.8627,0.5874,0.7251,0.3319,0.5093,0.4206,0.1596,0.389,0.2743
21.8,0.0653,0.4988,0.5474,0.8545,0.6233,0.7389,0.3345,0.5373,0.4359,0.1415,0.3804,0.261
21.9,0.0595,0.5094,0.5812,0.8449,0.6569,0.7509,0.3405,0.5687,0.4546,0.1263,0.374,0.2502
22,0.0626,0.5211,0.6174,0.8341,0.6872,0.7607,0.3498,0.6023,0.4761,0.1145,0.37,0.2423
22.1,0.0732,0.5336,0.6539,0.8219,0.7133,0.7676,0.3632,0.6371,0.5002,0.1074,0.3684,0.2379
22.2,0.091,0.5462,0.6885,0.8076,0.7334,0.7705,0.3815,0.6714,0.5265,0.1062,0.3692,0.2377
22.3,0.1157,0.5579,0.7189,0.7909,0.7459,0.7684,0.4049,0.7035,0.5542,0.1117,0.3724,0.2421
22.4,0.1464,0.5675,0.7436,0.7718,0.7496,0.7607,0.4319,0.732,0.582,0.1233,0.3776,0.2504
22.5,0.1817,0.5743,0.7613,0.7507,0.7439,0.7473,0.4604,0.7553,0.6078,0.1399,0.3841,0.262
22.6,0.2207,0.5775,0.7715,0.7279,0.729,0.7285,0.4882,0.7723,0.6303,0.1596,0.3915,0.2756
22.7,0.2628,0.5768,0.7739,0.7041,0.706,0.7051,0.5145,0.7829,0.6487,0.1808,0.3989,0.2899
22.8,0.3067,0.5724,0.7692,0.6801,0.6765,0.6783,0.5384,0.7872,0.6628,0.2018,0.4059,0.3039
22.9,0.3508,0.5649,0.7586,0.6572,0.6423,0.6497,0.56,0.7865,0.6733,0.2218,0.4122,0.317
23,0.3938,0.5551,0.7435,0.6376,0.6053,0.6215,0.5798,0.782,0.6809,0.2402,0.4173,0.3288
23.1,0.4348,0.5435,0.7253,0.6233,0.5673,0.5953,0.598,0.775,0.6865,0.2568,0.4212,0.339
23.2,0.4735,0.5306,0.7051,0.6147,0.5298,0.5723,0.6147,0.7664,0.6906,0.2713,0.4234,0.3474
23.3,0.5089,0.5171,0.6836,0.6115,0.4945,0.553,0.6302,0.7567,0.6934,0.2835,0.4238,0.3536
23.4,0.54,0.5033,0.6612,0.6128,0.4623,0.5375,0.6442,0.7463,0.6952,0.2934,0.4228,0.3581
23.5,0.5656,0.4889,0.6379,0.6174,0.4338,0.5256,0.6567,0.7349,0.6958,0.3015,0.4209,0.3612
23.6,0.5855,0.4737,0.6139,0.6239,0.4093,0.5166,0.667,0.7228,0.6949,0.3081,0.4186,0.3633
23.7,0.5998,0.4577,0.5898,0.6313,0.3893,0.5103,0.6752,0.7099,0.6926,0.3131,0.4159,0.3645
23.8,0.6085,0.4415,0.5664,0.6381,0.3738,0.506,0.6814,0.6964,0.6889,0.3164,0.413,0.3647
23.9,0.6113,0.4257,0.5442,0.6432,0.3626,0.5029,0.686,0.6824,0.6842,0.3176,0.41,0.3638
24,0.608,0.4111,0.5228,0.6464,0.355,0.5007,0.6892,0.6673,0.6783,0.3163,0.4069,0.3616
24.1,0.5989,0.3984,0.5024,0.6475,0.3502,0.4989,0.6904,0.6509,0.6706,0.3117,0.4034,0.3576
24.2,0.5845,0.388,0.4828,0.646,0.3478,0.4969,0.6886,0.6329,0.6607,0.3033,0.3994,0.3513
24.3,0.5653,0.3801,0.4646,0.6413,0.3473,0.4943,0.6831,0.614,0.6485,0.2906,0.3948,0.3427
24.4,0.5426,0.3747,0.4479,0.6329,0.3482,0.4905,0.6743,0.5949,0.6346,0.2737,0.3895,0.3316
24.5,0.5178,0.3715,0.4324,0.6208,0.3494,0.4851,0.6632,0.5759,0.6196,0.253,0.3835,0.3183
24.6,0.4925,0.3702,0.4181,0.6057,0.3499,0.4778,0.6509,0.557,0.6039,0.229,0.3769,0.303
24.7,0.4679,0.3705,0.4046,0.5879,0.3493,0.4686,0.6377,0.5378,0.5878,0.2023,0.3694,0.2859
24.8,0.4444,0.3717,0.3919,0.5669,0.3473,0.4571,0.6233,0.5182,0.5707,0.1746,0.3612,0.2679
24.9,0.4227,0.3734,0.3798,0.5426,0.3439,0.4432,0.6073,0.498,0.5527,0.1476,0.3529,0.2502
25,0.4041,0.3758,0.3683,0.5158,0.3393,0.4276,0.5896,0.4779,0.5338,0.1223,0.3451,0.2337
25.1,0.3906,0.3795,0.3572,0.488,0.3338,0.4109,0.5709,0.4588,0.5148,0.0992,0.3377,0.2185
25.2,0.3824,0.3853,0.347,0.4602,0.328,0.3941,0.5521,0.4412,0.4967,0.0779,0.3303,0.2041
25.3,0.378,0.3927,0.3376,0.4328,0.3225,0.3777,0.5344,0.4258,0.4801,0.0583,0.3224,0.1903
25.4,0.3762,0.4011,0.3295,0.406,0.3176,0.3618,0.5192,0.4125,0.4659,0.0407,0.3138,0.1772
25.5,0.3768,0.4098,0.3228,0.3799,0.3134,0.3466,0.5075,0.4012,0.4544,0.0256,0.3049,0.1653
25.6,0.3801,0.4184,0.3187,0.3551,0.3102,0.3327,0.4999,0.3918,0.4458,0.014,0.2963,0.1552
25.7,0.385,0.4275,0.3181,0.3326,0.3087,0.3206,0.4952,0.3849,0.44,0.0059,0.2879,0.1469
25.8,0.3892,0.4376,0.3224,0.3131,0.3096,0.3114,0.4916,0.3809,0.4362,0.0005,0.2797,0.1401
25.9,0.3902,0.449,0.3322,0.2971,0.3136,0.3054,0.4876,0.3798,0.4337,-0.0024,0.2718,0.1347
26,0.3867,0.461,0.3477,0.2848,0.3208,0.3028,0.4834,0.3812,0.4323,-0.0025,0.2645,0.131
26.1,0.3784,0.4734,0.3683,0.2762,0.3314,0.3038,0.4795,0.385,0.4323,0.0004,0.258,0.1292
26.2,0.3649,0.4864,0.3932,0.2715,0.3451,0.3083,0.4769,0.3912,0.4341,0.0066,0.2522,0.1294
26.3,0.3467,0.4999,0.4216,0.2708,0.3609,0.3158,0.4758,0.3997,0.4377,0.0159,0.2475,0.1317
26.4,0.3241,0.5138,0.4527,0.2749,0.3778,0.3264,0.4758,0.4104,0.4431,0.0281,0.2448,0.1364
26.5,0.2982,0.5275,0.4861,0.2847,0.3953,0.34,0.4768,0.4232,0.45,0.0427,0.2454,0.144
26.6,0.27,0.5407,0.5211,0.3,0.4129,0.3565,0.4789,0.4375,0.4582,0.0593,0.2506,0.155
26.7,0.2396,0.5534,0.5568,0.32,0.4312,0.3756,0.4819,0.4523,0.4671,0.0782,0.2611,0.1696
26.8,0.2056,0.5647,0.5922,0.3431,0.4505,0.3968,0.4846,0.4668,0.4757,0.0995,0.2766,0.188
26.9,0.1678,0.5738,0.6266,0.3684,0.4704,0.4194,0.4855,0.4805,0.483,0.1217,0.2961,0.2089
27,0.1282,0.58,0.6596,0.3959,0.4899,0.4429,0.4837,0.4928,0.4882,0.1426,0.3183,0.2305
27.1,0.0896,0.5832,0.6911,0.4254,0.508,0.4667,0.479,0.5037,0.4913,0.1604,0.342,0.2512
27.2,0.0549,0.584,0.7213,0.4556,0.5237,0.4896,0.4722,0.5132,0.4927,0.1744,0.3662,0.2703
27.3,0.0249,0.583,0.7505,0.4855,0.5361,0.5108,0.464,0.5218,0.4929,0.1842,0.3893,0.2868
27.4,0.0003,0.5809,0.7783,0.5148,0.5453,0.5301,0.4543,0.5299,0.4921,0.1899,0.4096,0.2998
27.5,-0.0184,0.5782,0.805,0.5436,0.552,0.5478,0.4432,0.5382,0.4907,0.1912,0.4254,0.3083
27.6,-0.03,0.5756,0.8305,0.5713,0.5565,0.5639,0.4317,0.5472,0.4895,0.1891,0.4359,0.3125
27.7,-0.0343,0.5736,0.855,0.5976,0.5595,0.5786,0.422,0.5573,0.4896,0.1855,0.4418,0.3136
27.8,-0.0325,0.5726,0.8779,0.6227,0.5621,0.5924,0.4155,0.5683,0.4919,0.1817,0.4441,0.3129
27.9,-0.0257,0.5721,0.8979,0.6473,0.5642,0.6057,0.4125,0.5794,0.4959,0.178,0.4432,0.3106
28,-0.0126,0.571,0.9134,0.6708,0.5647,0.6178,0.412,0.5892,0.5006,0.1741,0.4388,0.3064
28.1,0.0078,0.568,0.9235,0.6921,0.5628,0.6275,0.4137,0.5968,0.5052,0.1702,0.4312,0.3007
28.2,0.0355,0.5619,0.928,0.7093,0.5578,0.6335,0.4173,0.6021,0.5097,0.1669,0.4214,0.2942
28.3,0.0691,0.5525,0.9271,0.7216,0.5493,0.6354,0.423,0.605,0.514,0.1642,0.4107,0.2874
28.4,0.1067,0.5412,0.9205,0.7288,0.5376,0.6332,0.4307,0.6053,0.518,0.1611,0.3992,0.2801
28.5,0.1458,0.5293,0.9077,0.7312,0.523,0.6271,0.4403,0.6022,0.5213,0.1572,0.3863,0.2717
28.6,0.1821,0.5178,0.8892,0.7296,0.5067,0.6181,0.4525,0.5955,0.524,0.1527,0.3712,0.262
28.7,0.2116,0.5068,0.8654,0.7244,0.4903,0.6074,0.4675,0.5856,0.5265,0.1485,0.3543,0.2514
28.8,0.2332,0.4965,0.837,0.7165,0.4747,0.5956,0.4846,0.5734,0.529,0.1461,0.3367,0.2414
28.9,0.2474,0.4873,0.8048,0.7065,0.4605,0.5835,0.5028,0.5597,0.5313,0.1459,0.3202,0.2331
29,0.2548,0.4795,0.7695,0.6948,0.4479,0.5713,0.5206,0.5448,0.5327,0.1487,0.3058,0.2273
29.1,0.2558,0.4731,0.7325,0.6811,0.4365,0.5588,0.5373,0.529,0.5332,0.1548,0.2941,0.2245
29.2,0.2503,0.4676,0.6946,0.6656,0.4264,0.546,0.5532,0.5129,0.533,0.1647,0.2854,0.2251
29.3,0.2387,0.4628,0.6567,0.6487,0.4178,0.5332,0.5687,0.4968,0.5327,0.1789,0.28,0.2295
29.4,0.2223,0.4587,0.6186,0.631,0.4107,0.5209,0.5839,0.4812,0.5325,0.1972,0.2782,0.2377
29.5,0.2027,0.4558,0.5808,0.6133,0.405,0.5091,0.5976,0.4667,0.5321,0.2186,0.2794,0.249
29.6,0.1792,0.455,0.5442,0.5958,0.4003,0.4981,0.6087,0.453,0.5308,0.2417,0.2834,0.2625
29.7,0.1486,0.4561,0.5097,0.5781,0.3972,0.4876,0.6164,0.44,0.5282,0.2651,0.2899,0.2775
29.8,0.1079,0.4589,0.478,0.5592,0.3967,0.4779,0.6206,0.4278,0.5242,0.2882,0.2987,0.2935
29.9,0.0553,0.4636,0.4495,0.5387,0.4003,0.4695,0.6214,0.416,0.5187,0.3103,0.31,0.3101
