Time,Bendigo Bank - The Better Big Bank 30 TVC,Bendigo Bank - The Better Big Bank 30 TVC,Bendigo Bank - The Better Big Bank 30 TVC,Bendigo Bank - The Better Big Bank 30 TVC,Bendigo Bank - The Better Big Bank 30 TVC,Bendigo Bank - The Better Big Bank 30 TVC,Bendigo Bank - The Better Big Bank 30 TVC,Bendigo Bank - The Better Big Bank 30 TVC,Bendigo Bank - The Better Big Bank 30 TVC,Bendigo Bank - The Better Big Bank 30 TVC,Bendigo Bank - The Better Big Bank 30 TVC,Bendigo Bank - The Better Big Bank 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
28.9,0.151,0.1946,0.753,0.1618,0.3266,0.2442,0.5294,0.9091,0.7192,0.757,0.8207,0.7888
29,0.1539,0.1859,0.7656,0.1672,0.3037,0.2354,0.5402,0.8965,0.7184,0.7543,0.8272,0.7907
29.1,0.151,0.1798,0.775,0.1752,0.2797,0.2275,0.554,0.8823,0.7182,0.7518,0.8342,0.793
29.2,0.1418,0.1766,0.7811,0.1861,0.2549,0.2205,0.5704,0.8673,0.7189,0.75,0.8417,0.7958
29.3,0.1251,0.1769,0.7838,0.2002,0.2299,0.215,0.5882,0.8524,0.7203,0.7486,0.8491,0.7989
29.4,0.1001,0.181,0.783,0.2172,0.2066,0.2119,0.6064,0.8378,0.7221,0.7474,0.856,0.8017
29.5,0.0658,0.1892,0.7792,0.2366,0.1868,0.2117,0.6243,0.8244,0.7243,0.7466,0.8617,0.8041
29.6,0.0227,0.2014,0.7735,0.2579,0.172,0.2149,0.6414,0.8129,0.7272,0.7467,0.8664,0.8066
29.7,-0.0268,0.2176,0.767,0.2808,0.163,0.2219,0.6574,0.8041,0.7307,0.7488,0.8706,0.8097
29.8,-0.0793,0.2383,0.7603,0.3057,0.1604,0.233,0.6714,0.7981,0.7348,0.7532,0.8748,0.814
29.9,-0.1304,0.2642,0.7533,0.3322,0.1647,0.2484,0.6827,0.7948,0.7388,0.7602,0.8797,0.82
