Time,Target - Toy Sale Starts Tomorrow 15 TVC,Target - Toy Sale Starts Tomorrow 15 TVC,Target - Toy Sale Starts Tomorrow 15 TVC,Target - Toy Sale Starts Tomorrow 15 TVC,Target - Toy Sale Starts Tomorrow 15 TVC,Target - Toy Sale Starts Tomorrow 15 TVC,Target - Toy Sale Starts Tomorrow 15 TVC,Target - Toy Sale Starts Tomorrow 15 TVC,Target - Toy Sale Starts Tomorrow 15 TVC,Target - Toy Sale Starts Tomorrow 15 TVC,Target - Toy Sale Starts Tomorrow 15 TVC,Target - Toy Sale Starts Tomorrow 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.8833,0.6999,0.5755,0.3919,0.9,0.6459,0.4482,0.5971,0.5226,0.3804,0.7247,0.5525
0.1,-0.9178,0.7248,0.6076,0.3971,0.921,0.6591,0.4572,0.609,0.5331,0.3924,0.7402,0.5663
0.2,-0.9492,0.7435,0.6339,0.4034,0.936,0.6697,0.4648,0.6157,0.5403,0.4041,0.7533,0.5787
0.3,-0.9758,0.7563,0.6553,0.4109,0.9449,0.6779,0.4711,0.6167,0.5439,0.4167,0.7642,0.5905
0.4,-0.9964,0.7642,0.6726,0.4197,0.947,0.6833,0.4767,0.6119,0.5443,0.4317,0.773,0.6024
0.5,-1.0094,0.7676,0.6854,0.4297,0.9413,0.6855,0.4824,0.6018,0.5421,0.45,0.7793,0.6146
0.6,-1.0131,0.7666,0.6933,0.4404,0.9269,0.6836,0.4888,0.5869,0.5379,0.4721,0.7824,0.6272
0.7,-1.0067,0.7604,0.696,0.4513,0.9027,0.677,0.4962,0.568,0.5321,0.4986,0.7823,0.6404
0.8,-0.988,0.7484,0.694,0.4619,0.8685,0.6652,0.5048,0.5458,0.5253,0.5292,0.7797,0.6545
0.9,-0.9536,0.7305,0.689,0.473,0.8247,0.6489,0.5144,0.5218,0.5181,0.5629,0.7754,0.6692
1,-0.8985,0.707,0.6817,0.4864,0.7725,0.6295,0.5249,0.4977,0.5113,0.5981,0.7703,0.6842
1.1,-0.8176,0.6783,0.6728,0.5038,0.7136,0.6087,0.536,0.4751,0.5056,0.6328,0.765,0.6989
1.2,-0.7075,0.6445,0.6621,0.5248,0.6502,0.5875,0.5475,0.4552,0.5014,0.6656,0.7599,0.7128
1.3,-0.5699,0.6056,0.6498,0.5473,0.5844,0.5659,0.5589,0.4385,0.4987,0.696,0.7558,0.7259
1.4,-0.4122,0.5639,0.6366,0.5696,0.52,0.5448,0.5696,0.4249,0.4972,0.7233,0.7532,0.7382
1.5,-0.2452,0.5232,0.6232,0.5912,0.4625,0.5269,0.579,0.414,0.4965,0.7468,0.7527,0.7497
1.6,-0.0791,0.488,0.6101,0.6127,0.418,0.5153,0.5873,0.4049,0.4961,0.7661,0.7544,0.7603
1.7,0.0785,0.4611,0.5977,0.6344,0.3903,0.5123,0.595,0.397,0.496,0.7812,0.7587,0.77
1.8,0.2212,0.4425,0.5863,0.6558,0.3802,0.518,0.6027,0.3902,0.4964,0.7928,0.7657,0.7792
1.9,0.3449,0.4309,0.577,0.676,0.3869,0.5314,0.6112,0.3848,0.498,0.8014,0.7752,0.7883
2,0.448,0.425,0.5714,0.6943,0.4078,0.5511,0.6209,0.3808,0.5008,0.8075,0.7868,0.7971
2.1,0.5301,0.4228,0.5718,0.71,0.4395,0.5748,0.6313,0.3784,0.5048,0.811,0.7996,0.8053
2.2,0.5907,0.4226,0.58,0.7218,0.4778,0.5998,0.6415,0.378,0.5098,0.8115,0.8129,0.8122
2.3,0.6305,0.4231,0.5968,0.7291,0.5186,0.6238,0.6508,0.38,0.5154,0.8088,0.826,0.8174
2.4,0.6526,0.4237,0.6213,0.732,0.5581,0.6451,0.6586,0.3845,0.5216,0.8029,0.8384,0.8207
2.5,0.6611,0.4242,0.6522,0.7315,0.5939,0.6627,0.6651,0.3912,0.5282,0.7941,0.8505,0.8223
2.6,0.6605,0.4248,0.6879,0.7284,0.6244,0.6764,0.6703,0.3991,0.5347,0.7828,0.8623,0.8225
2.7,0.6534,0.4254,0.7263,0.7235,0.6489,0.6862,0.6738,0.4073,0.5405,0.7698,0.8736,0.8217
2.8,0.6417,0.4262,0.7652,0.7175,0.6677,0.6926,0.6752,0.4148,0.545,0.7558,0.8841,0.82
2.9,0.6266,0.4275,0.8024,0.7115,0.6819,0.6967,0.6747,0.4219,0.5483,0.742,0.8933,0.8176
3,0.6102,0.4298,0.8362,0.7062,0.692,0.6991,0.6729,0.4288,0.5508,0.7293,0.9007,0.815
3.1,0.5942,0.433,0.8647,0.7023,0.6984,0.7003,0.6698,0.435,0.5524,0.7183,0.9056,0.812
3.2,0.5793,0.4367,0.886,0.6998,0.7013,0.7005,0.6652,0.44,0.5526,0.7088,0.9069,0.8078
3.3,0.5649,0.4403,0.8992,0.6989,0.7006,0.6998,0.6588,0.4433,0.551,0.7002,0.9035,0.8018
3.4,0.551,0.4436,0.9048,0.6995,0.6971,0.6983,0.6504,0.4449,0.5477,0.6926,0.8946,0.7936
3.5,0.5378,0.4468,0.9034,0.7017,0.6913,0.6965,0.6405,0.4453,0.5429,0.6863,0.8802,0.7833
3.6,0.5252,0.4504,0.8963,0.7051,0.6839,0.6945,0.6299,0.4447,0.5373,0.6814,0.8606,0.771
3.7,0.5118,0.4547,0.8837,0.7092,0.6752,0.6922,0.6192,0.4435,0.5313,0.6778,0.8363,0.757
3.8,0.4954,0.4594,0.8665,0.7132,0.666,0.6896,0.6087,0.4419,0.5253,0.6754,0.8084,0.7419
3.9,0.4738,0.4643,0.8455,0.7169,0.657,0.687,0.5987,0.4404,0.5196,0.6741,0.7789,0.7265
4,0.4459,0.4686,0.8221,0.7201,0.649,0.6846,0.589,0.4392,0.5141,0.6741,0.7502,0.7122
4.1,0.4124,0.4723,0.7977,0.7228,0.6424,0.6826,0.5796,0.4387,0.5092,0.6756,0.7241,0.6998
4.2,0.3732,0.4752,0.7735,0.7248,0.6375,0.6811,0.5704,0.4393,0.5048,0.6788,0.7019,0.6903
4.3,0.3284,0.4776,0.7504,0.7257,0.6338,0.6797,0.5613,0.4412,0.5013,0.6837,0.6841,0.6839
4.4,0.2784,0.4799,0.7286,0.7252,0.63,0.6776,0.5526,0.445,0.4988,0.6903,0.6709,0.6806
4.5,0.2255,0.4817,0.7085,0.7227,0.6248,0.6737,0.5448,0.4511,0.498,0.6988,0.6621,0.6805
4.6,0.1734,0.4822,0.6901,0.7179,0.6172,0.6675,0.539,0.4597,0.4993,0.7097,0.6582,0.684
4.7,0.1257,0.4807,0.6737,0.7102,0.6068,0.6585,0.5359,0.4708,0.5033,0.723,0.6587,0.6909
4.8,0.0843,0.4763,0.6596,0.6994,0.5936,0.6465,0.5362,0.4842,0.5102,0.7382,0.6628,0.7005
4.9,0.0507,0.4689,0.6477,0.6855,0.5777,0.6316,0.5402,0.4994,0.5198,0.7542,0.6688,0.7115
5,0.0268,0.4591,0.6375,0.6691,0.5603,0.6147,0.5477,0.5156,0.5317,0.7703,0.6754,0.7228
5.1,0.0139,0.4482,0.6284,0.6518,0.5425,0.5971,0.5585,0.5323,0.5454,0.7859,0.682,0.7339
5.2,0.0131,0.4373,0.6202,0.635,0.5251,0.5801,0.5718,0.5491,0.5605,0.8011,0.6877,0.7444
5.3,0.0244,0.4273,0.6131,0.6196,0.5092,0.5644,0.5866,0.5655,0.5761,0.8152,0.6919,0.7535
5.4,0.0468,0.4185,0.6078,0.6062,0.4946,0.5504,0.6015,0.5815,0.5915,0.8272,0.694,0.7606
5.5,0.0792,0.4107,0.6048,0.5953,0.4803,0.5378,0.6151,0.5972,0.6062,0.8361,0.6936,0.7649
5.6,0.1212,0.4041,0.6042,0.588,0.4652,0.5266,0.6268,0.6129,0.6199,0.8415,0.6902,0.7659
5.7,0.1735,0.3989,0.6056,0.5862,0.4485,0.5173,0.6362,0.628,0.6321,0.8439,0.6834,0.7637
5.8,0.2366,0.3955,0.6086,0.5913,0.4297,0.5105,0.6429,0.6412,0.642,0.8438,0.6727,0.7582
5.9,0.3085,0.3939,0.6128,0.6033,0.4089,0.5061,0.646,0.6505,0.6482,0.8411,0.658,0.7496
6,0.3849,0.3935,0.6178,0.6198,0.3865,0.5031,0.6449,0.6543,0.6496,0.8356,0.6406,0.7381
6.1,0.4607,0.393,0.623,0.6375,0.3626,0.5,0.6397,0.6521,0.6459,0.8273,0.6218,0.7246
6.2,0.5326,0.3908,0.6277,0.6537,0.3369,0.4953,0.6316,0.6448,0.6382,0.8169,0.6036,0.7103
6.3,0.5991,0.3855,0.6316,0.6665,0.3094,0.4879,0.6222,0.6342,0.6282,0.806,0.5871,0.6965
6.4,0.6596,0.3765,0.635,0.675,0.2799,0.4774,0.6121,0.6214,0.6167,0.7955,0.5731,0.6843
6.5,0.7132,0.3645,0.6381,0.6781,0.2491,0.4636,0.6017,0.6067,0.6042,0.7856,0.5621,0.6739
6.6,0.7573,0.3506,0.6412,0.6753,0.2188,0.447,0.5911,0.5907,0.5909,0.7761,0.5543,0.6652
6.7,0.7896,0.3355,0.6449,0.6668,0.1909,0.4289,0.5808,0.5742,0.5775,0.7673,0.5504,0.6589
6.8,0.8098,0.3198,0.6496,0.6532,0.1668,0.41,0.5713,0.5582,0.5647,0.7599,0.5516,0.6558
6.9,0.8194,0.3034,0.6561,0.6353,0.1465,0.3909,0.5629,0.5437,0.5533,0.7546,0.5586,0.6566
7,0.82,0.286,0.6651,0.6137,0.1289,0.3713,0.5555,0.5312,0.5433,0.7517,0.572,0.6618
7.1,0.8126,0.2683,0.6764,0.5897,0.1139,0.3518,0.5491,0.521,0.5351,0.7514,0.5917,0.6715
7.2,0.7973,0.2511,0.6895,0.5645,0.1021,0.3333,0.544,0.5138,0.5289,0.7542,0.6177,0.686
7.3,0.7744,0.2354,0.703,0.539,0.0939,0.3165,0.5401,0.5101,0.5251,0.7607,0.6498,0.7053
7.4,0.7448,0.2214,0.7164,0.5135,0.0888,0.3012,0.5376,0.5103,0.524,0.7712,0.6873,0.7293
7.5,0.7093,0.2085,0.7296,0.4873,0.0855,0.2864,0.5364,0.5147,0.5256,0.7852,0.7296,0.7574
7.6,0.6684,0.1959,0.7433,0.4596,0.0821,0.2709,0.5365,0.5235,0.53,0.8023,0.7759,0.7891
7.7,0.6232,0.1832,0.757,0.4302,0.0778,0.254,0.5378,0.5362,0.537,0.8217,0.825,0.8234
7.8,0.5761,0.1712,0.7698,0.3994,0.073,0.2362,0.5405,0.5519,0.5462,0.8428,0.875,0.8589
7.9,0.5294,0.1612,0.7814,0.3679,0.0687,0.2183,0.5449,0.5691,0.557,0.8653,0.9241,0.8947
8,0.4847,0.1546,0.7917,0.3364,0.0663,0.2013,0.551,0.5865,0.5688,0.8884,0.9703,0.9293
8.1,0.4425,0.1521,0.8013,0.3055,0.0661,0.1858,0.5586,0.6034,0.581,0.9106,1.0115,0.9611
8.2,0.4027,0.1542,0.8108,0.2758,0.068,0.1719,0.5672,0.6195,0.5933,0.9308,1.0463,0.9886
8.3,0.3657,0.1614,0.8199,0.2481,0.072,0.16,0.5763,0.6346,0.6054,0.9485,1.0745,1.0115
8.4,0.3331,0.1738,0.8281,0.2234,0.0778,0.1506,0.5853,0.6484,0.6168,0.9639,1.0966,1.0303
8.5,0.3054,0.1907,0.835,0.2029,0.0853,0.1441,0.5944,0.6605,0.6274,0.9772,1.1132,1.0452
8.6,0.2814,0.2107,0.8404,0.1874,0.0938,0.1406,0.6041,0.6712,0.6376,0.988,1.1248,1.0564
8.7,0.2588,0.2325,0.8441,0.178,0.1032,0.1406,0.6149,0.6804,0.6476,0.9951,1.1317,1.0634
8.8,0.2368,0.2555,0.8457,0.1757,0.1129,0.1443,0.6264,0.6879,0.6572,0.9978,1.1343,1.066
8.9,0.2162,0.2787,0.8443,0.181,0.123,0.152,0.638,0.6933,0.6656,0.9962,1.1325,1.0644
9,0.1982,0.3014,0.8388,0.1941,0.1338,0.164,0.6492,0.6961,0.6727,0.991,1.1263,1.0587
9.1,0.1823,0.323,0.8286,0.2141,0.1459,0.18,0.6597,0.6967,0.6782,0.9833,1.1157,1.0495
9.2,0.1668,0.343,0.8142,0.239,0.1598,0.1994,0.6696,0.6955,0.6825,0.9732,1.1009,1.037
9.3,0.1501,0.3612,0.797,0.2664,0.1757,0.221,0.6791,0.6932,0.6862,0.9605,1.0823,1.0214
9.4,0.132,0.3769,0.7778,0.2938,0.1936,0.2437,0.6886,0.6908,0.6897,0.9455,1.0602,1.0028
9.5,0.1132,0.3891,0.7578,0.3196,0.2133,0.2664,0.698,0.6894,0.6937,0.9287,1.0344,0.9816
9.6,0.0944,0.3971,0.7381,0.3429,0.235,0.289,0.7073,0.6905,0.6989,0.9112,1.0044,0.9578
9.7,0.0759,0.4012,0.72,0.3641,0.259,0.3116,0.7156,0.6949,0.7053,0.8934,0.97,0.9317
9.8,0.0586,0.4025,0.7051,0.3837,0.2861,0.3349,0.7221,0.7025,0.7123,0.8751,0.9324,0.9038
9.9,0.045,0.4025,0.6942,0.4019,0.3167,0.3593,0.7264,0.7124,0.7194,0.8561,0.8936,0.8748
10,0.0364,0.4018,0.687,0.4189,0.3507,0.3848,0.7291,0.7237,0.7264,0.8363,0.8551,0.8457
10.1,0.033,0.4001,0.6832,0.4342,0.3871,0.4107,0.731,0.7354,0.7332,0.8168,0.8187,0.8178
10.2,0.0341,0.3972,0.6818,0.4475,0.4241,0.4358,0.733,0.7473,0.7402,0.7994,0.7856,0.7925
10.3,0.0376,0.3931,0.6825,0.4585,0.4606,0.4595,0.7358,0.7591,0.7475,0.7857,0.7569,0.7713
10.4,0.0409,0.3886,0.6848,0.4672,0.4962,0.4817,0.7402,0.7705,0.7554,0.7766,0.7334,0.755
10.5,0.0411,0.3844,0.6885,0.4734,0.5316,0.5025,0.7468,0.7817,0.7642,0.7729,0.7154,0.7441
10.6,0.0361,0.3809,0.6935,0.4771,0.5668,0.522,0.7562,0.7926,0.7744,0.7746,0.7029,0.7388
10.7,0.0253,0.3784,0.6992,0.4781,0.6005,0.5393,0.7687,0.803,0.7859,0.7817,0.6953,0.7385
10.8,0.0099,0.3773,0.705,0.4765,0.6306,0.5535,0.7839,0.8121,0.798,0.7932,0.6919,0.7426
10.9,-0.0078,0.378,0.7095,0.473,0.6554,0.5642,0.8017,0.8186,0.8102,0.8082,0.6922,0.7502
11,-0.025,0.3819,0.7116,0.4689,0.6738,0.5714,0.8218,0.8216,0.8217,0.8259,0.6955,0.7607
11.1,-0.0408,0.3903,0.7104,0.4653,0.6855,0.5754,0.844,0.821,0.8325,0.8456,0.7006,0.7731
11.2,-0.0559,0.4038,0.706,0.4633,0.6906,0.577,0.868,0.8171,0.8426,0.8668,0.7064,0.7866
11.3,-0.0703,0.4222,0.6996,0.4634,0.6894,0.5764,0.8934,0.8104,0.8519,0.8888,0.7115,0.8001
11.4,-0.082,0.4439,0.692,0.4659,0.6815,0.5737,0.9195,0.8012,0.8603,0.9111,0.7154,0.8132
11.5,-0.0877,0.4667,0.6838,0.4708,0.6669,0.5689,0.9458,0.79,0.8679,0.9333,0.7182,0.8258
11.6,-0.0832,0.4889,0.6749,0.4781,0.646,0.562,0.9716,0.777,0.8743,0.9556,0.72,0.8378
11.7,-0.0683,0.5103,0.665,0.4877,0.6201,0.5539,0.9959,0.7625,0.8792,0.9778,0.7211,0.8495
11.8,-0.0458,0.5315,0.6543,0.5002,0.5916,0.5459,1.018,0.7468,0.8824,0.9997,0.7214,0.8605
11.9,-0.0206,0.5538,0.6431,0.5169,0.5627,0.5398,1.0368,0.7303,0.8835,1.0203,0.7209,0.8706
12,0.0042,0.5779,0.6323,0.5393,0.535,0.5371,1.0514,0.714,0.8827,1.0388,0.7196,0.8792
12.1,0.029,0.604,0.6226,0.5684,0.5091,0.5387,1.061,0.6986,0.8798,1.055,0.7179,0.8865
12.2,0.0557,0.6315,0.6145,0.6036,0.4854,0.5445,1.0651,0.6848,0.875,1.0688,0.7164,0.8926
