Time,Unicef - Always there in emergencies 30,Unicef - Always there in emergencies 30,Unicef - Always there in emergencies 30,Unicef - Always there in emergencies 30,Unicef - Always there in emergencies 30,Unicef - Always there in emergencies 30,Unicef - Always there in emergencies 30,Unicef - Always there in emergencies 30,Unicef - Always there in emergencies 30,Unicef - Always there in emergencies 30,Unicef - Always there in emergencies 30,Unicef - Always there in emergencies 30
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.3242,0.7137,0.5559,0.743,0.9193,0.8312,0.5194,0.6196,0.5695,0.7017,0.7536,0.7276
0.1,-0.3386,0.7269,0.5312,0.7848,0.9262,0.8555,0.5187,0.6072,0.563,0.6877,0.7299,0.7088
0.2,-0.352,0.7363,0.507,0.8172,0.9298,0.8735,0.5196,0.5951,0.5574,0.6735,0.7038,0.6886
0.3,-0.3642,0.7423,0.4848,0.8408,0.9299,0.8854,0.5218,0.5841,0.553,0.6592,0.6768,0.668
0.4,-0.3747,0.7453,0.4655,0.8567,0.9262,0.8914,0.5246,0.5743,0.5494,0.6449,0.6503,0.6476
0.5,-0.3829,0.7454,0.4492,0.8654,0.9186,0.892,0.5271,0.5654,0.5462,0.63,0.6249,0.6275
0.6,-0.388,0.7432,0.4363,0.8674,0.9073,0.8873,0.5288,0.5575,0.5431,0.6137,0.6009,0.6073
0.7,-0.3896,0.7391,0.427,0.864,0.8929,0.8784,0.5299,0.5508,0.5403,0.5953,0.578,0.5866
0.8,-0.3877,0.7339,0.4209,0.8578,0.8762,0.867,0.5306,0.5457,0.5382,0.5747,0.556,0.5653
0.9,-0.3825,0.7281,0.4171,0.8511,0.8583,0.8547,0.531,0.542,0.5365,0.5522,0.5349,0.5436
1,-0.3745,0.7218,0.4148,0.8447,0.8398,0.8422,0.5308,0.5384,0.5346,0.5285,0.5152,0.5219
1.1,-0.3649,0.7145,0.4135,0.8377,0.8213,0.8295,0.529,0.5335,0.5312,0.5043,0.4975,0.5009
1.2,-0.3545,0.7059,0.4131,0.8292,0.803,0.8161,0.5249,0.5266,0.5258,0.4803,0.4822,0.4812
1.3,-0.344,0.6958,0.4137,0.8187,0.7855,0.8021,0.5183,0.5179,0.5181,0.4565,0.4692,0.4629
1.4,-0.3342,0.6843,0.4149,0.8064,0.769,0.7877,0.5084,0.5075,0.508,0.433,0.4575,0.4452
1.5,-0.3256,0.6712,0.4162,0.7927,0.7532,0.773,0.4951,0.4954,0.4953,0.4097,0.4469,0.4283
1.6,-0.3185,0.6561,0.4168,0.7777,0.7379,0.7578,0.4781,0.4815,0.4798,0.3876,0.4375,0.4126
1.7,-0.3119,0.6388,0.4173,0.7619,0.7227,0.7423,0.4582,0.4656,0.4619,0.3676,0.4304,0.399
1.8,-0.3042,0.62,0.4189,0.7462,0.7079,0.727,0.4371,0.4489,0.443,0.3514,0.4268,0.3891
1.9,-0.2941,0.601,0.4234,0.732,0.6931,0.7125,0.4168,0.4337,0.4253,0.3405,0.4279,0.3842
2,-0.281,0.5827,0.4317,0.72,0.6776,0.6988,0.3993,0.4225,0.4109,0.3357,0.4349,0.3853
2.1,-0.2645,0.5648,0.4442,0.7101,0.6604,0.6852,0.3852,0.4163,0.4008,0.3374,0.4484,0.3929
2.2,-0.2441,0.5463,0.4605,0.7008,0.6402,0.6705,0.375,0.4146,0.3948,0.3456,0.4684,0.407
2.3,-0.2192,0.526,0.4797,0.691,0.6161,0.6535,0.3686,0.4162,0.3924,0.3601,0.4944,0.4273
2.4,-0.1894,0.5035,0.5008,0.6804,0.5876,0.634,0.3662,0.4203,0.3932,0.3808,0.5257,0.4533
2.5,-0.1552,0.4792,0.5222,0.6698,0.5546,0.6122,0.3674,0.4254,0.3964,0.4072,0.5608,0.484
2.6,-0.1185,0.4544,0.5433,0.6598,0.5175,0.5886,0.3711,0.4305,0.4008,0.438,0.5982,0.5181
2.7,-0.0833,0.4306,0.5635,0.6507,0.4773,0.564,0.3752,0.4357,0.4054,0.4711,0.6359,0.5535
2.8,-0.0534,0.4094,0.583,0.6423,0.4359,0.5391,0.3781,0.4413,0.4097,0.5043,0.6718,0.588
2.9,-0.0308,0.3917,0.6017,0.6338,0.3944,0.5141,0.3783,0.4477,0.413,0.5356,0.7043,0.6199
3,-0.0153,0.3771,0.6189,0.6246,0.3526,0.4886,0.3752,0.4536,0.4144,0.5639,0.7322,0.648
3.1,-0.0055,0.3648,0.633,0.6135,0.3096,0.4616,0.3684,0.4572,0.4128,0.5884,0.7547,0.6715
3.2,-0.0009,0.354,0.6425,0.5995,0.2658,0.4326,0.3579,0.4568,0.4074,0.6087,0.7709,0.6898
3.3,-0.002,0.3449,0.6469,0.5817,0.2235,0.4026,0.3443,0.4517,0.398,0.6245,0.7809,0.7027
3.4,-0.0093,0.3382,0.646,0.5603,0.1863,0.3733,0.3285,0.4422,0.3854,0.6354,0.7845,0.7099
3.5,-0.022,0.3346,0.6398,0.5361,0.1568,0.3465,0.3113,0.4285,0.3699,0.6409,0.7816,0.7112
3.6,-0.038,0.334,0.6285,0.5101,0.1355,0.3228,0.2931,0.4108,0.3519,0.6411,0.7724,0.7068
3.7,-0.0557,0.3362,0.6118,0.483,0.1213,0.3022,0.2739,0.3883,0.3311,0.6367,0.757,0.6968
3.8,-0.0742,0.3412,0.5889,0.4559,0.1143,0.2851,0.2534,0.3608,0.3071,0.6281,0.7358,0.6819
3.9,-0.0937,0.3495,0.5591,0.4297,0.1157,0.2727,0.2316,0.3283,0.2799,0.6165,0.7088,0.6627
4,-0.1143,0.3618,0.5219,0.4058,0.1278,0.2668,0.2086,0.2914,0.25,0.6027,0.6763,0.6395
4.1,-0.1361,0.378,0.4775,0.3852,0.1518,0.2685,0.1851,0.2504,0.2177,0.5878,0.639,0.6134
4.2,-0.1588,0.398,0.4263,0.3681,0.1883,0.2782,0.1619,0.2058,0.1838,0.5727,0.5978,0.5853
4.3,-0.1819,0.4216,0.3698,0.3543,0.2364,0.2954,0.1399,0.159,0.1494,0.5584,0.5545,0.5564
4.4,-0.2045,0.4489,0.3097,0.3436,0.294,0.3188,0.1201,0.1118,0.116,0.5451,0.5109,0.528
4.5,-0.2256,0.4798,0.2483,0.3359,0.3574,0.3466,0.1035,0.0666,0.085,0.5328,0.4691,0.501
4.6,-0.2433,0.5142,0.1882,0.3321,0.4222,0.3772,0.0912,0.0253,0.0583,0.5217,0.431,0.4763
4.7,-0.2549,0.5516,0.1319,0.3337,0.484,0.4089,0.0849,-0.0098,0.0376,0.5121,0.398,0.455
4.8,-0.2575,0.5911,0.0821,0.3423,0.5395,0.4409,0.0854,-0.0368,0.0243,0.5045,0.3719,0.4382
4.9,-0.2489,0.6325,0.041,0.3589,0.5867,0.4728,0.0933,-0.0539,0.0197,0.4995,0.3542,0.4269
5,-0.2275,0.6753,0.0107,0.3842,0.6253,0.5048,0.1086,-0.0601,0.0242,0.4975,0.3462,0.4218
5.1,-0.193,0.7197,-0.0079,0.4182,0.6567,0.5375,0.1304,-0.0548,0.0378,0.4988,0.3481,0.4234
5.2,-0.1468,0.7653,-0.014,0.4611,0.6827,0.5719,0.158,-0.0382,0.0599,0.5038,0.3602,0.432
5.3,-0.0933,0.8108,-0.0078,0.5118,0.705,0.6084,0.1904,-0.0112,0.0896,0.5127,0.3825,0.4476
5.4,-0.0382,0.8542,0.01,0.5679,0.7246,0.6463,0.2266,0.0245,0.1255,0.525,0.414,0.4695
5.5,0.0127,0.8928,0.0377,0.6257,0.7421,0.6839,0.265,0.0663,0.1657,0.5399,0.4535,0.4967
5.6,0.0547,0.9245,0.0724,0.681,0.7581,0.7195,0.3042,0.1122,0.2082,0.5566,0.4994,0.528
5.7,0.0852,0.9483,0.1118,0.7309,0.7732,0.752,0.3426,0.1604,0.2515,0.5748,0.5502,0.5625
5.8,0.1028,0.964,0.1535,0.774,0.7879,0.7809,0.3792,0.2098,0.2945,0.5944,0.6043,0.5994
5.9,0.1069,0.972,0.1962,0.8091,0.8028,0.806,0.4131,0.2595,0.3363,0.6159,0.66,0.638
6,0.0975,0.9728,0.2387,0.835,0.8176,0.8263,0.4441,0.3086,0.3764,0.6391,0.7159,0.6775
6.1,0.0766,0.9667,0.2793,0.8507,0.8316,0.8411,0.4719,0.3566,0.4143,0.6632,0.7702,0.7167
6.2,0.0479,0.9541,0.3162,0.8563,0.8443,0.8503,0.4965,0.4025,0.4495,0.6874,0.8213,0.7544
6.3,0.0152,0.9354,0.3478,0.853,0.8552,0.8541,0.5177,0.445,0.4813,0.7112,0.8683,0.7897
6.4,-0.0184,0.9113,0.3738,0.8421,0.8642,0.8532,0.5355,0.4831,0.5093,0.7347,0.9106,0.8226
6.5,-0.0512,0.8828,0.3946,0.8242,0.8712,0.8477,0.5502,0.5166,0.5334,0.7576,0.9483,0.853
6.6,-0.0815,0.8512,0.4114,0.8001,0.8757,0.8379,0.5624,0.5459,0.5541,0.7798,0.9814,0.8806
6.7,-0.107,0.818,0.4253,0.7716,0.877,0.8243,0.5727,0.5718,0.5722,0.8005,1.0101,0.9053
6.8,-0.1255,0.7844,0.4371,0.7412,0.8739,0.8076,0.5815,0.5951,0.5883,0.8193,1.0346,0.927
6.9,-0.1357,0.7513,0.4475,0.7113,0.8656,0.7885,0.5888,0.6157,0.6022,0.8362,1.0558,0.946
7,-0.1382,0.7191,0.4569,0.6837,0.8517,0.7677,0.5947,0.633,0.6138,0.8513,1.0743,0.9628
7.1,-0.1352,0.6887,0.4655,0.6598,0.8322,0.746,0.5991,0.6467,0.6229,0.8649,1.0904,0.9776
7.2,-0.1287,0.6603,0.4732,0.6398,0.8074,0.7236,0.602,0.6568,0.6294,0.8771,1.1035,0.9903
