Time,Target - All the way 45 TVC,Target - All the way 45 TVC,Target - All the way 45 TVC,Target - All the way 45 TVC,Target - All the way 45 TVC,Target - All the way 45 TVC,Target - All the way 45 TVC,Target - All the way 45 TVC,Target - All the way 45 TVC,Target - All the way 45 TVC,Target - All the way 45 TVC,Target - All the way 45 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
31.7,0.0305,0.4037,0.399,0.6268,0.4551,0.5409,0.5371,0.4779,0.5075,0.3025,0.4289,0.3657
31.8,0.0298,0.4026,0.3854,0.6332,0.4485,0.5409,0.5218,0.4742,0.498,0.2883,0.4196,0.354
31.9,0.0245,0.4009,0.3727,0.6361,0.4414,0.5387,0.5073,0.4708,0.489,0.2756,0.4115,0.3436
32,0.0159,0.3986,0.3614,0.6358,0.4337,0.5348,0.494,0.4667,0.4804,0.2652,0.405,0.3351
32.1,0.0057,0.3957,0.3517,0.6327,0.4249,0.5288,0.4824,0.4611,0.4717,0.2576,0.4006,0.3291
32.2,-0.0048,0.3918,0.3437,0.6263,0.4148,0.5206,0.4721,0.4531,0.4626,0.2532,0.3986,0.3259
32.3,-0.015,0.3865,0.3382,0.6161,0.403,0.5095,0.4624,0.4424,0.4524,0.2525,0.3993,0.3259
32.4,-0.0239,0.3797,0.3365,0.6021,0.3894,0.4958,0.4532,0.4295,0.4413,0.256,0.4026,0.3293
32.5,-0.0303,0.3716,0.3403,0.5853,0.3743,0.4798,0.4445,0.4151,0.4298,0.2643,0.4085,0.3364
32.6,-0.0323,0.3632,0.3511,0.5672,0.3581,0.4626,0.4367,0.4004,0.4185,0.2774,0.4172,0.3473
32.7,-0.0278,0.3556,0.3697,0.5485,0.3414,0.445,0.4298,0.3861,0.408,0.2946,0.4288,0.3617
32.8,-0.0152,0.3503,0.3958,0.5299,0.325,0.4274,0.424,0.3734,0.3987,0.3151,0.4426,0.3788
32.9,0.0064,0.3486,0.4275,0.5114,0.3096,0.4105,0.4191,0.363,0.391,0.3371,0.4578,0.3975
33,0.0364,0.3515,0.4618,0.4931,0.2961,0.3946,0.4143,0.355,0.3847,0.3585,0.4726,0.4155
33.1,0.0718,0.3589,0.4952,0.4756,0.2858,0.3807,0.4089,0.3492,0.3791,0.3763,0.4849,0.4306
33.2,0.109,0.37,0.5254,0.4585,0.279,0.3687,0.4021,0.3454,0.3737,0.3883,0.4926,0.4404
33.3,0.1452,0.3837,0.5511,0.4412,0.2757,0.3585,0.3931,0.3435,0.3683,0.3932,0.4942,0.4437
33.4,0.1795,0.3992,0.5716,0.4236,0.276,0.3498,0.3814,0.3435,0.3625,0.3902,0.4888,0.4395
33.5,0.2112,0.416,0.5868,0.406,0.28,0.343,0.3674,0.3459,0.3566,0.3792,0.4761,0.4277
33.6,0.2391,0.4335,0.5967,0.3896,0.2876,0.3386,0.3515,0.3508,0.3511,0.3606,0.4564,0.4085
33.7,0.262,0.451,0.6019,0.3752,0.2985,0.3368,0.3344,0.3583,0.3463,0.3359,0.4307,0.3833
33.8,0.279,0.4676,0.6027,0.3631,0.3119,0.3375,0.3172,0.3679,0.3426,0.3063,0.4001,0.3532
33.9,0.2896,0.4827,0.5996,0.3527,0.3269,0.3398,0.3008,0.3794,0.3401,0.2732,0.3657,0.3194
34,0.294,0.4956,0.5929,0.3432,0.3424,0.3428,0.2854,0.3921,0.3387,0.238,0.3289,0.2835
34.1,0.2928,0.5058,0.5829,0.3336,0.3574,0.3455,0.2713,0.4045,0.3379,0.2023,0.2914,0.2468
34.2,0.2867,0.513,0.5698,0.323,0.3711,0.3471,0.2589,0.4152,0.3371,0.1675,0.2545,0.211
34.3,0.2772,0.5175,0.554,0.3114,0.3834,0.3474,0.2487,0.4234,0.3361,0.1346,0.2191,0.1769
34.4,0.2659,0.5201,0.5359,0.2993,0.3943,0.3468,0.2413,0.4291,0.3352,0.1042,0.1855,0.1448
34.5,0.2538,0.5216,0.5159,0.2878,0.4037,0.3458,0.2369,0.4326,0.3347,0.0764,0.1537,0.115
34.6,0.2409,0.5223,0.4939,0.2772,0.4117,0.3444,0.2353,0.4337,0.3345,0.0515,0.1241,0.0878
34.7,0.2271,0.522,0.4701,0.2672,0.4177,0.3424,0.2352,0.432,0.3336,0.03,0.097,0.0635
34.8,0.2132,0.5204,0.4448,0.2572,0.4211,0.3392,0.2355,0.4274,0.3315,0.0123,0.0726,0.0425
34.9,0.2006,0.517,0.4183,0.2469,0.4216,0.3343,0.2349,0.4198,0.3274,-0.0014,0.051,0.0248
35,0.1901,0.5116,0.3911,0.2363,0.419,0.3277,0.2323,0.4095,0.3209,-0.0116,0.0321,0.0103
35.1,0.182,0.5041,0.3629,0.2258,0.4138,0.3198,0.2271,0.3961,0.3116,-0.0187,0.0157,-0.0015
35.2,0.1755,0.4946,0.3337,0.2157,0.4065,0.3111,0.219,0.3792,0.2991,-0.023,0.0012,-0.0109
35.3,0.1705,0.4831,0.3033,0.2065,0.3972,0.3018,0.208,0.3591,0.2835,-0.0246,-0.0116,-0.0181
35.4,0.1668,0.4694,0.2726,0.1983,0.3866,0.2925,0.195,0.3364,0.2657,-0.0236,-0.0226,-0.0231
35.5,0.1642,0.4541,0.2436,0.1919,0.3757,0.2838,0.1813,0.313,0.2471,-0.0204,-0.0307,-0.0256
35.6,0.162,0.4376,0.2181,0.1874,0.3658,0.2766,0.1681,0.2909,0.2295,-0.0146,-0.0346,-0.0246
35.7,0.1592,0.4209,0.1975,0.1849,0.3578,0.2714,0.1564,0.2717,0.214,-0.0055,-0.0329,-0.0192
35.8,0.1557,0.4045,0.1822,0.1843,0.3521,0.2682,0.1465,0.2561,0.2013,0.0074,-0.025,-0.0088
35.9,0.152,0.3892,0.172,0.1856,0.3491,0.2674,0.1387,0.244,0.1913,0.0234,-0.0111,0.0061
36,0.149,0.3752,0.1663,0.1892,0.3491,0.2692,0.133,0.2346,0.1838,0.0404,0.0083,0.0243
36.1,0.1462,0.3626,0.1645,0.1953,0.3529,0.2741,0.1296,0.2279,0.1788,0.0561,0.0323,0.0442
36.2,0.1421,0.3515,0.166,0.2041,0.3611,0.2826,0.1288,0.2238,0.1763,0.0695,0.06,0.0648
36.3,0.136,0.3427,0.1699,0.2163,0.3744,0.2953,0.1309,0.2224,0.1767,0.0804,0.0901,0.0853
36.4,0.1284,0.3369,0.175,0.2327,0.393,0.3129,0.1366,0.2235,0.18,0.0881,0.1209,0.1045
36.5,0.1203,0.3347,0.1801,0.2539,0.4167,0.3353,0.1462,0.2271,0.1866,0.0921,0.1505,0.1213
36.6,0.1135,0.3359,0.1848,0.2796,0.4442,0.3619,0.1603,0.233,0.1967,0.0928,0.1778,0.1353
36.7,0.1087,0.3405,0.1883,0.309,0.4745,0.3918,0.1788,0.2409,0.2098,0.0915,0.2025,0.147
36.8,0.1054,0.3483,0.1896,0.3406,0.5067,0.4236,0.2011,0.2496,0.2254,0.0896,0.2241,0.1569
36.9,0.1023,0.3596,0.1882,0.373,0.5398,0.4564,0.2266,0.2581,0.2424,0.0875,0.2424,0.165
37,0.0981,0.3737,0.1841,0.4041,0.5726,0.4884,0.2544,0.266,0.2602,0.0857,0.2566,0.1712
37.1,0.0927,0.3895,0.1781,0.4321,0.6041,0.5181,0.2841,0.2732,0.2787,0.0845,0.2661,0.1753
37.2,0.0863,0.4063,0.1705,0.4555,0.6333,0.5444,0.3148,0.2804,0.2976,0.0841,0.2704,0.1773
37.3,0.0793,0.4238,0.162,0.4738,0.6594,0.5666,0.346,0.2877,0.3169,0.0851,0.27,0.1775
37.4,0.0721,0.4418,0.1528,0.487,0.6819,0.5845,0.3772,0.2952,0.3362,0.0876,0.2657,0.1767
37.5,0.0649,0.4592,0.1434,0.4952,0.7002,0.5977,0.4079,0.3025,0.3552,0.0909,0.2583,0.1746
37.6,0.0583,0.4751,0.1343,0.4988,0.7135,0.6061,0.4372,0.309,0.3731,0.094,0.2483,0.1711
37.7,0.0531,0.4884,0.1264,0.4981,0.7212,0.6097,0.4642,0.3144,0.3893,0.0958,0.2356,0.1657
37.8,0.0498,0.4982,0.1196,0.4939,0.7226,0.6083,0.4881,0.3186,0.4033,0.096,0.2208,0.1584
37.9,0.0488,0.5042,0.1142,0.4866,0.7171,0.6018,0.508,0.322,0.415,0.0951,0.2047,0.1499
38,0.0499,0.5059,0.1102,0.4759,0.7046,0.5902,0.5237,0.3249,0.4243,0.0944,0.1885,0.1415
38.1,0.0525,0.5029,0.1081,0.4612,0.6858,0.5735,0.5342,0.3274,0.4308,0.0952,0.173,0.1341
38.2,0.056,0.4954,0.1082,0.4421,0.6619,0.552,0.539,0.3292,0.4341,0.0977,0.1586,0.1281
38.3,0.0598,0.4841,0.1101,0.4189,0.6348,0.5269,0.5377,0.3296,0.4336,0.1014,0.1456,0.1235
38.4,0.0629,0.4699,0.1133,0.3928,0.6062,0.4995,0.5309,0.3284,0.4296,0.1051,0.1341,0.1196
38.5,0.0635,0.454,0.1175,0.3652,0.5775,0.4714,0.5196,0.3262,0.4229,0.1082,0.1245,0.1164
38.6,0.0608,0.4366,0.1232,0.3372,0.5499,0.4435,0.5052,0.3237,0.4145,0.1107,0.1172,0.114
38.7,0.0551,0.4186,0.1309,0.3095,0.5244,0.4169,0.4887,0.3215,0.4051,0.1128,0.1127,0.1127
38.8,0.0475,0.401,0.1407,0.2831,0.5024,0.3928,0.4705,0.3198,0.3951,0.1144,0.1109,0.1126
38.9,0.0387,0.3853,0.1518,0.2595,0.485,0.3723,0.451,0.3185,0.3848,0.115,0.1113,0.1131
39,0.0292,0.3724,0.1628,0.2397,0.4726,0.3562,0.4303,0.3171,0.3737,0.1137,0.1128,0.1132
39.1,0.0193,0.3623,0.172,0.2243,0.4647,0.3445,0.4083,0.3141,0.3612,0.1099,0.1141,0.112
39.2,0.0101,0.3549,0.1779,0.2137,0.4603,0.337,0.3845,0.3081,0.3463,0.103,0.1139,0.1085
39.3,0.0025,0.35,0.18,0.2081,0.4588,0.3335,0.3592,0.2985,0.3288,0.0926,0.1119,0.1023
39.4,-0.0042,0.3484,0.1782,0.208,0.4601,0.3341,0.3331,0.2855,0.3093,0.0794,0.1085,0.094
39.5,-0.0115,0.3505,0.173,0.2138,0.4644,0.3391,0.3074,0.2704,0.2889,0.0652,0.1047,0.0849
39.6,-0.0196,0.3561,0.1651,0.2257,0.4709,0.3483,0.2836,0.2546,0.2691,0.0518,0.1012,0.0765
39.7,-0.0266,0.3639,0.1545,0.2429,0.4786,0.3607,0.2627,0.2389,0.2508,0.0404,0.0983,0.0694
39.8,-0.0304,0.3726,0.1419,0.2644,0.4859,0.3751,0.245,0.2237,0.2344,0.0314,0.0961,0.0637
39.9,-0.0308,0.3807,0.1279,0.2887,0.4916,0.3901,0.2307,0.2096,0.2202,0.0243,0.0944,0.0593
40,-0.0294,0.3878,0.1136,0.315,0.4949,0.405,0.2201,0.1969,0.2085,0.0191,0.0934,0.0563
40.1,-0.0276,0.3937,0.0996,0.3427,0.496,0.4194,0.2133,0.1864,0.1999,0.0157,0.0934,0.0546
40.2,-0.0257,0.3988,0.0866,0.3714,0.495,0.4332,0.2113,0.1788,0.195,0.0141,0.0945,0.0543
40.3,-0.0224,0.403,0.0756,0.4003,0.4922,0.4462,0.2148,0.175,0.1949,0.0143,0.0968,0.0555
40.4,-0.016,0.4057,0.0682,0.4288,0.4879,0.4583,0.225,0.1764,0.2007,0.0167,0.1003,0.0585
40.5,-0.007,0.4067,0.066,0.4561,0.4826,0.4694,0.2424,0.1843,0.2133,0.0215,0.1051,0.0633
40.6,0.0041,0.4062,0.0698,0.4816,0.477,0.4793,0.2669,0.199,0.233,0.0289,0.1119,0.0704
40.7,0.0175,0.4048,0.0798,0.5039,0.4713,0.4876,0.2974,0.2203,0.2588,0.0388,0.1213,0.08
40.8,0.0335,0.4029,0.0957,0.5218,0.465,0.4934,0.3321,0.2472,0.2896,0.0506,0.1336,0.0921
40.9,0.052,0.4,0.1169,0.5341,0.4574,0.4957,0.3684,0.2788,0.3236,0.0637,0.1486,0.1062
41,0.0719,0.3953,0.1426,0.5401,0.4485,0.4943,0.404,0.314,0.359,0.0774,0.166,0.1217
41.1,0.0915,0.3887,0.172,0.5403,0.439,0.4896,0.4367,0.3516,0.3942,0.0912,0.1857,0.1385
41.2,0.1092,0.3806,0.204,0.5353,0.4299,0.4826,0.4653,0.3902,0.4278,0.1048,0.2075,0.1562
41.3,0.1245,0.372,0.2372,0.5256,0.422,0.4738,0.489,0.4283,0.4587,0.1183,0.2315,0.1749
41.4,0.1366,0.3636,0.2703,0.5119,0.4155,0.4637,0.5075,0.4643,0.4859,0.1317,0.2572,0.1944
41.5,0.1449,0.3551,0.302,0.4947,0.4102,0.4525,0.5209,0.497,0.5089,0.1444,0.2835,0.214
41.6,0.1491,0.3465,0.3313,0.4751,0.4061,0.4406,0.5294,0.5252,0.5273,0.1556,0.3092,0.2324
41.7,0.1505,0.3382,0.3576,0.4546,0.4034,0.429,0.5341,0.5486,0.5413,0.1639,0.3331,0.2485
41.8,0.1502,0.3317,0.3802,0.435,0.403,0.419,0.5365,0.5677,0.5521,0.1692,0.3549,0.262
41.9,0.1481,0.328,0.3988,0.4177,0.4057,0.4117,0.5384,0.5828,0.5606,0.1726,0.3746,0.2736
42,0.1437,0.3274,0.4131,0.4039,0.4118,0.4079,0.5407,0.5939,0.5673,0.1757,0.3921,0.2839
42.1,0.1371,0.3303,0.4226,0.3942,0.4211,0.4076,0.5435,0.5999,0.5717,0.1797,0.4071,0.2934
42.2,0.1299,0.3368,0.4272,0.3884,0.4331,0.4108,0.547,0.6003,0.5737,0.1852,0.4191,0.3022
42.3,0.1239,0.3464,0.4269,0.3862,0.4467,0.4165,0.551,0.5953,0.5731,0.1924,0.4285,0.3104
42.4,0.1198,0.3582,0.4222,0.3866,0.4608,0.4237,0.5554,0.585,0.5702,0.2009,0.4354,0.3182
42.5,0.1167,0.3712,0.4137,0.3884,0.4739,0.4312,0.5599,0.5703,0.5651,0.2107,0.4403,0.3255
42.6,0.1136,0.3849,0.4021,0.3909,0.4854,0.4382,0.565,0.5518,0.5584,0.2215,0.4437,0.3326
42.7,0.1099,0.3991,0.3885,0.3937,0.4958,0.4447,0.5717,0.5307,0.5512,0.2331,0.4458,0.3395
42.8,0.105,0.4141,0.374,0.3973,0.5057,0.4515,0.5807,0.5086,0.5446,0.2452,0.4466,0.3459
42.9,0.0989,0.4296,0.3599,0.4016,0.5155,0.4586,0.5919,0.4865,0.5392,0.2567,0.4455,0.3511
43,0.0925,0.4453,0.3469,0.4057,0.5251,0.4654,0.6039,0.4651,0.5345,0.2662,0.4415,0.3539
43.1,0.0865,0.461,0.335,0.4087,0.5341,0.4714,0.6154,0.4443,0.5299,0.272,0.4337,0.3528
43.2,0.08,0.4767,0.3247,0.4111,0.5424,0.4768,0.6262,0.4243,0.5253,0.2726,0.4221,0.3474
43.3,0.0713,0.4927,0.3165,0.414,0.551,0.4825,0.6358,0.406,0.5209,0.2678,0.4074,0.3376
43.4,0.0595,0.5088,0.3111,0.4174,0.5605,0.4889,0.6434,0.3901,0.5167,0.2585,0.3908,0.3246
43.5,0.0444,0.5246,0.3085,0.4201,0.5711,0.4956,0.6483,0.3768,0.5125,0.2466,0.3734,0.31
43.6,0.0272,0.5394,0.3084,0.4209,0.5824,0.5017,0.6503,0.3658,0.5081,0.2334,0.3564,0.2949
43.7,0.009,0.5528,0.3102,0.4196,0.594,0.5068,0.6494,0.3568,0.5031,0.2195,0.34,0.2797
43.8,-0.0102,0.5646,0.3136,0.4166,0.6054,0.511,0.6452,0.3491,0.4971,0.2049,0.3242,0.2646
43.9,-0.0311,0.5744,0.3175,0.4117,0.6163,0.514,0.6368,0.3419,0.4894,0.19,0.3088,0.2494
44,-0.0538,0.5819,0.321,0.4046,0.6259,0.5152,0.6239,0.3342,0.4791,0.1751,0.294,0.2345
44.1,-0.0776,0.5864,0.3235,0.3948,0.6335,0.5141,0.607,0.3254,0.4662,0.1605,0.2799,0.2202
44.2,-0.1017,0.5874,0.3247,0.3825,0.6386,0.5106,0.5871,0.3155,0.4513,0.1466,0.2666,0.2066
44.3,-0.1258,0.5848,0.3251,0.369,0.6414,0.5052,0.565,0.3054,0.4352,0.1337,0.2543,0.194
44.4,-0.1499,0.5785,0.3249,0.3554,0.6419,0.4987,0.5408,0.2955,0.4182,0.1234,0.2436,0.1835
44.5,-0.1734,0.5689,0.3239,0.3419,0.6401,0.491,0.5137,0.2865,0.4001,0.1169,0.2349,0.1759
44.6,-0.1948,0.5563,0.3214,0.3286,0.6352,0.4819,0.4835,0.2785,0.381,0.1149,0.2285,0.1717
44.7,-0.2123,0.5412,0.3169,0.3157,0.6265,0.4711,0.4499,0.2719,0.3609,0.1173,0.2239,0.1706
44.8,-0.2248,0.5238,0.3101,0.304,0.6137,0.4589,0.4129,0.267,0.34,0.1235,0.221,0.1723
44.9,-0.2317,0.5044,0.3012,0.2948,0.5968,0.4458,0.3726,0.264,0.3183,0.1333,0.2199,0.1766
