Time,ISF Host Plus TVC,ISF Host Plus TVC,ISF Host Plus TVC,ISF Host Plus TVC,ISF Host Plus TVC,ISF Host Plus TVC,ISF Host Plus TVC,ISF Host Plus TVC,ISF Host Plus TVC,ISF Host Plus TVC,ISF Host Plus TVC,ISF Host Plus TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.1003,0.8287,0.6285,0.6912,0.8598,0.7755,0.6155,0.6528,0.6342,0.6802,0.7368,0.7085
0.1,0.1092,0.8314,0.6397,0.6894,0.8595,0.7744,0.6377,0.6609,0.6493,0.7081,0.7533,0.7307
0.2,0.1173,0.8328,0.6486,0.6878,0.8574,0.7726,0.6603,0.6683,0.6643,0.735,0.77,0.7525
0.3,0.1245,0.8332,0.6558,0.6867,0.8542,0.7705,0.6826,0.6755,0.679,0.76,0.7869,0.7734
0.4,0.1306,0.8327,0.6624,0.6866,0.8505,0.7685,0.7041,0.6829,0.6935,0.7826,0.8041,0.7933
0.5,0.1353,0.8314,0.6691,0.6874,0.8468,0.7671,0.7247,0.6911,0.7079,0.8027,0.8216,0.8121
0.6,0.1386,0.8289,0.6763,0.6892,0.8428,0.766,0.7441,0.7002,0.7221,0.8204,0.8393,0.8299
0.7,0.1403,0.825,0.6836,0.6914,0.8381,0.7648,0.7622,0.7097,0.736,0.8354,0.857,0.8462
0.8,0.1402,0.8195,0.6906,0.6936,0.8321,0.7629,0.7785,0.7185,0.7485,0.8471,0.8737,0.8604
0.9,0.138,0.8127,0.697,0.6954,0.8242,0.7598,0.7924,0.7258,0.7591,0.8546,0.8884,0.8715
1,0.1336,0.8046,0.7027,0.6965,0.8142,0.7553,0.8033,0.7307,0.767,0.8573,0.9,0.8787
1.1,0.1265,0.7952,0.7076,0.6966,0.8022,0.7494,0.8109,0.733,0.772,0.8551,0.908,0.8815
1.2,0.1168,0.7842,0.7111,0.6958,0.7881,0.7419,0.8151,0.7324,0.7738,0.8483,0.9122,0.8802
1.3,0.1047,0.7719,0.7125,0.6937,0.772,0.7328,0.8154,0.7289,0.7722,0.8375,0.9125,0.875
1.4,0.0911,0.7589,0.7113,0.6901,0.7541,0.7221,0.8115,0.7223,0.7669,0.8229,0.909,0.866
1.5,0.0773,0.746,0.7073,0.6849,0.7346,0.7098,0.8032,0.7124,0.7578,0.8047,0.9015,0.8531
1.6,0.0645,0.7337,0.7003,0.6777,0.7136,0.6956,0.7907,0.6989,0.7448,0.7832,0.8898,0.8365
1.7,0.0539,0.722,0.6899,0.6678,0.6904,0.6791,0.7742,0.6816,0.7279,0.7588,0.8734,0.8161
1.8,0.046,0.7101,0.6754,0.654,0.6642,0.6591,0.7539,0.6601,0.707,0.7322,0.8522,0.7922
1.9,0.0402,0.6978,0.6562,0.6352,0.6343,0.6348,0.7303,0.6346,0.6824,0.7041,0.8263,0.7652
