Time,KFC - Hot and Spicy Popcorn Chicken 15 TVC,KFC - Hot and Spicy Popcorn Chicken 15 TVC,KFC - Hot and Spicy Popcorn Chicken 15 TVC,KFC - Hot and Spicy Popcorn Chicken 15 TVC,KFC - Hot and Spicy Popcorn Chicken 15 TVC,KFC - Hot and Spicy Popcorn Chicken 15 TVC,KFC - Hot and Spicy Popcorn Chicken 15 TVC,KFC - Hot and Spicy Popcorn Chicken 15 TVC,KFC - Hot and Spicy Popcorn Chicken 15 TVC,KFC - Hot and Spicy Popcorn Chicken 15 TVC,KFC - Hot and Spicy Popcorn Chicken 15 TVC,KFC - Hot and Spicy Popcorn Chicken 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.1142,0.5362,0.7505,0.84,0.4807,0.6604,0.751,0.7685,0.7598,0.5216,0.408,0.4648
0.1,0.0914,0.5639,0.7776,0.8439,0.4968,0.6703,0.7598,0.7852,0.7725,0.5333,0.4821,0.5077
0.2,0.0628,0.5931,0.8037,0.8475,0.5142,0.6809,0.77,0.8039,0.7869,0.5493,0.558,0.5537
0.3,0.0283,0.6237,0.8278,0.8506,0.5328,0.6917,0.7813,0.8246,0.8029,0.5683,0.6301,0.5992
0.4,-0.0123,0.656,0.8492,0.8532,0.5533,0.7032,0.7933,0.8472,0.8202,0.5892,0.6955,0.6424
0.5,-0.058,0.6901,0.8672,0.8561,0.5766,0.7164,0.8053,0.8713,0.8383,0.611,0.7537,0.6823
0.6,-0.106,0.7256,0.8813,0.8598,0.6034,0.7316,0.8165,0.8957,0.8561,0.6325,0.8044,0.7184
0.7,-0.1529,0.7618,0.8915,0.8644,0.6335,0.749,0.8264,0.9194,0.8729,0.6526,0.8481,0.7503
0.8,-0.1958,0.7978,0.8982,0.8696,0.6662,0.7679,0.8349,0.9416,0.8882,0.6711,0.8856,0.7784
0.9,-0.2334,0.8325,0.9015,0.875,0.7001,0.7876,0.8419,0.9619,0.9019,0.6882,0.9183,0.8032
1,-0.265,0.8651,0.9019,0.8805,0.7338,0.8071,0.8471,0.98,0.9135,0.7045,0.947,0.8258
1.1,-0.2906,0.8943,0.8998,0.886,0.7657,0.8258,0.8499,0.9957,0.9228,0.7206,0.972,0.8463
1.2,-0.3098,0.9191,0.896,0.8914,0.7949,0.8432,0.8506,1.0089,0.9297,0.7367,0.9931,0.8649
1.3,-0.322,0.9386,0.8908,0.8961,0.8212,0.8586,0.8494,1.0202,0.9348,0.7531,1.011,0.8821
1.4,-0.3269,0.9517,0.8843,0.8996,0.8443,0.8719,0.8467,1.03,0.9383,0.7705,1.0264,0.8985
1.5,-0.3244,0.9578,0.8765,0.9013,0.8643,0.8828,0.8425,1.0383,0.9404,0.7891,1.04,0.9146
1.6,-0.3152,0.9567,0.8677,0.9006,0.881,0.8908,0.8365,1.0448,0.9406,0.8086,1.0515,0.9301
1.7,-0.3007,0.9486,0.8584,0.8963,0.8932,0.8948,0.8279,1.0493,0.9386,0.8279,1.0608,0.9443
1.8,-0.2824,0.9336,0.8496,0.8872,0.9002,0.8937,0.8166,1.0521,0.9344,0.8464,1.0675,0.9569
1.9,-0.2617,0.9131,0.842,0.8732,0.9021,0.8877,0.8027,1.0535,0.9281,0.8644,1.0718,0.9681
2,-0.2404,0.8886,0.8363,0.8547,0.9,0.8774,0.7867,1.0535,0.9201,0.8824,1.0745,0.9784
2.1,-0.2204,0.8618,0.8331,0.8327,0.8954,0.8641,0.7692,1.0523,0.9107,0.9002,1.0762,0.9882
2.2,-0.2029,0.834,0.8334,0.8079,0.8895,0.8487,0.7513,1.0498,0.9005,0.9169,1.0774,0.9971
2.3,-0.189,0.8061,0.8376,0.7807,0.883,0.8318,0.7338,1.0461,0.8899,0.9317,1.0786,1.0051
2.4,-0.179,0.7787,0.8456,0.7526,0.8765,0.8145,0.7174,1.0413,0.8794,0.9443,1.0798,1.0121
2.5,-0.173,0.7529,0.8562,0.7253,0.8706,0.798,0.7025,1.0355,0.869,0.9547,1.0811,1.0179
2.6,-0.1705,0.7292,0.8677,0.7007,0.8655,0.7831,0.6887,1.028,0.8583,0.9625,1.0822,1.0223
2.7,-0.1712,0.7083,0.8793,0.6798,0.8609,0.7703,0.6756,1.0186,0.8471,0.9674,1.0834,1.0254
2.8,-0.174,0.6902,0.891,0.6632,0.8567,0.76,0.6634,1.0074,0.8354,0.9702,1.0854,1.0278
2.9,-0.178,0.6752,0.9027,0.6512,0.8536,0.7524,0.6523,0.9949,0.8236,0.9717,1.088,1.0299
3,-0.1823,0.6635,0.914,0.6436,0.8522,0.7479,0.6422,0.9819,0.8121,0.973,1.0911,1.032
3.1,-0.186,0.6552,0.9246,0.6402,0.853,0.7466,0.6326,0.9696,0.8011,0.9746,1.0946,1.0346
3.2,-0.188,0.6502,0.9343,0.6407,0.8556,0.7481,0.6231,0.9583,0.7907,0.9768,1.0987,1.0378
3.3,-0.187,0.6483,0.9432,0.6447,0.8591,0.7519,0.6142,0.9483,0.7812,0.9795,1.1033,1.0414
3.4,-0.1832,0.649,0.9514,0.6515,0.8624,0.757,0.6066,0.939,0.7728,0.9825,1.1074,1.0449
3.5,-0.1778,0.6518,0.9589,0.6605,0.8645,0.7625,0.6008,0.9303,0.7656,0.9851,1.1103,1.0477
3.6,-0.172,0.6565,0.9655,0.6717,0.865,0.7683,0.5973,0.9222,0.7597,0.987,1.1114,1.0492
3.7,-0.1657,0.663,0.9708,0.6853,0.8638,0.7746,0.5967,0.9147,0.7557,0.9884,1.1109,1.0496
3.8,-0.1581,0.6709,0.9748,0.7018,0.8604,0.7811,0.5994,0.9075,0.7534,0.9891,1.1086,1.0488
3.9,-0.1473,0.679,0.9772,0.721,0.8537,0.7873,0.6055,0.8998,0.7526,0.9886,1.1043,1.0465
4,-0.1321,0.6855,0.978,0.7421,0.8421,0.7921,0.6144,0.8915,0.753,0.986,1.0975,1.0417
4.1,-0.1122,0.689,0.9766,0.764,0.8245,0.7942,0.6256,0.883,0.7543,0.9806,1.0873,1.0339
4.2,-0.0883,0.6884,0.9726,0.7852,0.7999,0.7926,0.6385,0.8755,0.757,0.9722,1.0738,1.023
4.3,-0.0609,0.6834,0.9658,0.8054,0.7679,0.7866,0.653,0.8699,0.7615,0.9615,1.0578,1.0096
4.4,-0.0303,0.6744,0.9566,0.8249,0.7283,0.7766,0.669,0.8668,0.7679,0.9497,1.0401,0.9949
4.5,0.0032,0.6623,0.9452,0.8448,0.6823,0.7636,0.6863,0.866,0.7762,0.9379,1.0223,0.9801
4.6,0.039,0.6476,0.9319,0.8653,0.6315,0.7484,0.7049,0.8671,0.786,0.9265,1.0055,0.966
4.7,0.0764,0.6305,0.9162,0.8855,0.5777,0.7316,0.724,0.8697,0.7968,0.9153,0.9902,0.9527
4.8,0.1152,0.6109,0.8976,0.9038,0.5218,0.7128,0.7427,0.8728,0.8078,0.9037,0.9761,0.9399
4.9,0.155,0.5891,0.8761,0.9188,0.4645,0.6917,0.7603,0.8754,0.8178,0.8909,0.9631,0.927
5,0.1952,0.5664,0.852,0.9301,0.4073,0.6687,0.776,0.8767,0.8264,0.8765,0.9513,0.9139
5.1,0.2347,0.544,0.8255,0.9374,0.3522,0.6448,0.7894,0.8765,0.833,0.8607,0.9414,0.9011
5.2,0.2722,0.523,0.7968,0.9409,0.3019,0.6214,0.8006,0.8746,0.8376,0.8443,0.9346,0.8895
5.3,0.3068,0.5041,0.7664,0.9411,0.2585,0.5998,0.8096,0.8712,0.8404,0.8281,0.9314,0.8797
5.4,0.3384,0.4876,0.7347,0.9388,0.223,0.5809,0.8163,0.8658,0.8411,0.8124,0.9316,0.872
