Time,A2 Milk - Only A2 Will Do 30 TVC,A2 Milk - Only A2 Will Do 30 TVC,A2 Milk - Only A2 Will Do 30 TVC,A2 Milk - Only A2 Will Do 30 TVC,A2 Milk - Only A2 Will Do 30 TVC,A2 Milk - Only A2 Will Do 30 TVC,A2 Milk - Only A2 Will Do 30 TVC,A2 Milk - Only A2 Will Do 30 TVC,A2 Milk - Only A2 Will Do 30 TVC,A2 Milk - Only A2 Will Do 30 TVC,A2 Milk - Only A2 Will Do 30 TVC,A2 Milk - Only A2 Will Do 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
26.9,0.127,0.601,0.446,0.6939,0.6297,0.6618,0.6677,0.6935,0.6806,0.518,0.5644,0.5412
27,0.0886,0.5879,0.4675,0.6675,0.624,0.6457,0.6817,0.7005,0.6911,0.5235,0.5557,0.5396
27.1,0.0449,0.5757,0.493,0.6419,0.6188,0.6304,0.6953,0.705,0.7001,0.53,0.5499,0.5399
27.2,-0.0037,0.5648,0.5216,0.6177,0.6147,0.6162,0.7074,0.7071,0.7072,0.5362,0.5468,0.5415
27.3,-0.0561,0.5554,0.5528,0.5954,0.6118,0.6036,0.7168,0.7073,0.7121,0.5407,0.546,0.5434
27.4,-0.1107,0.5473,0.5854,0.5749,0.6097,0.5923,0.7227,0.7057,0.7142,0.5423,0.5467,0.5445
27.5,-0.1654,0.5398,0.6179,0.556,0.6076,0.5818,0.7242,0.7017,0.7129,0.5403,0.548,0.5441
27.6,-0.2182,0.5328,0.6491,0.5387,0.6048,0.5718,0.721,0.6949,0.7079,0.5349,0.5491,0.542
27.7,-0.2681,0.5263,0.6783,0.5235,0.6013,0.5624,0.7138,0.6856,0.6997,0.5273,0.5496,0.5385
27.8,-0.3146,0.5212,0.7052,0.5107,0.5983,0.5545,0.7039,0.6754,0.6896,0.5184,0.5492,0.5338
27.9,-0.3576,0.5183,0.729,0.5006,0.5971,0.5488,0.6924,0.6651,0.6787,0.5082,0.5476,0.5279
28,-0.397,0.5181,0.7493,0.4933,0.5986,0.5459,0.6796,0.6551,0.6674,0.4964,0.5441,0.5203
28.1,-0.4325,0.5208,0.766,0.4885,0.6033,0.5459,0.6659,0.6455,0.6557,0.483,0.5384,0.5107
28.2,-0.4639,0.5265,0.7796,0.4856,0.6114,0.5485,0.6511,0.6365,0.6438,0.468,0.5304,0.4992
28.3,-0.4904,0.5356,0.7903,0.4848,0.6232,0.554,0.6357,0.6289,0.6323,0.4516,0.5204,0.486
28.4,-0.5109,0.5482,0.7984,0.4863,0.6384,0.5623,0.62,0.6239,0.6219,0.4342,0.5087,0.4715
28.5,-0.5247,0.5642,0.804,0.4904,0.6568,0.5736,0.6045,0.6224,0.6135,0.4165,0.4958,0.4562
28.6,-0.5318,0.583,0.8072,0.4971,0.6777,0.5874,0.5896,0.6245,0.607,0.3996,0.4815,0.4405
28.7,-0.5334,0.604,0.8079,0.5063,0.701,0.6036,0.575,0.63,0.6025,0.3842,0.4656,0.4249
28.8,-0.5314,0.6268,0.8059,0.5176,0.7269,0.6223,0.5611,0.6383,0.5997,0.3704,0.4479,0.4091
28.9,-0.5274,0.6506,0.8006,0.5304,0.7557,0.643,0.5482,0.6486,0.5984,0.3577,0.4281,0.3929
29,-0.5209,0.6743,0.7915,0.5438,0.7868,0.6653,0.5363,0.6601,0.5982,0.3456,0.4056,0.3756
29.1,-0.5107,0.6968,0.7782,0.5569,0.8188,0.6879,0.5259,0.6718,0.5988,0.3344,0.3805,0.3574
29.2,-0.4968,0.7169,0.761,0.5689,0.8504,0.7096,0.5173,0.6828,0.6001,0.3244,0.3535,0.339
29.3,-0.481,0.734,0.7409,0.5795,0.8801,0.7298,0.5111,0.6926,0.6019,0.3163,0.3264,0.3214
29.4,-0.4656,0.7478,0.7185,0.5889,0.9068,0.7479,0.5074,0.701,0.6042,0.3103,0.3012,0.3057
29.5,-0.4521,0.7575,0.6942,0.5965,0.9293,0.7629,0.5059,0.7076,0.6067,0.3062,0.2797,0.293
29.6,-0.4423,0.7629,0.6687,0.6012,0.9468,0.774,0.5063,0.7121,0.6092,0.3045,0.2628,0.2836
29.7,-0.4366,0.7636,0.6435,0.6018,0.9591,0.7805,0.509,0.7149,0.612,0.306,0.2507,0.2783
29.8,-0.4349,0.7604,0.6207,0.5984,0.966,0.7822,0.5147,0.7169,0.6158,0.3113,0.2433,0.2773
29.9,-0.4371,0.7544,0.6024,0.5917,0.9679,0.7798,0.5233,0.719,0.6211,0.3206,0.2407,0.2806
