Time,KFC - Bridal Dress Shopping 15 TVC,KFC - Bridal Dress Shopping 15 TVC,KFC - Bridal Dress Shopping 15 TVC,KFC - Bridal Dress Shopping 15 TVC,KFC - Bridal Dress Shopping 15 TVC,KFC - Bridal Dress Shopping 15 TVC,KFC - Bridal Dress Shopping 15 TVC,KFC - Bridal Dress Shopping 15 TVC,KFC - Bridal Dress Shopping 15 TVC,KFC - Bridal Dress Shopping 15 TVC,KFC - Bridal Dress Shopping 15 TVC,KFC - Bridal Dress Shopping 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
4.4,0.2979,0.5354,0.8756,0.5623,0.3424,0.4523,0.5631,0.6114,0.5873,0.8644,0.9532,0.9088
4.5,0.3032,0.5259,0.8861,0.555,0.3287,0.4418,0.5477,0.6246,0.5862,0.8703,0.9579,0.9141
4.6,0.3043,0.5177,0.8929,0.5488,0.3206,0.4347,0.5317,0.6368,0.5843,0.8752,0.9599,0.9175
4.7,0.3009,0.5111,0.8967,0.5441,0.3188,0.4314,0.516,0.6474,0.5817,0.8793,0.9591,0.9192
4.8,0.2933,0.5063,0.8974,0.5414,0.323,0.4322,0.5014,0.6563,0.5788,0.8829,0.9564,0.9196
4.9,0.2817,0.5038,0.8951,0.5416,0.3324,0.437,0.4887,0.6636,0.5762,0.886,0.9524,0.9192
5,0.2667,0.5038,0.8894,0.545,0.3461,0.4456,0.4788,0.6694,0.5741,0.8884,0.9478,0.9181
5.1,0.2496,0.5065,0.8804,0.5523,0.3636,0.4579,0.4722,0.6742,0.5732,0.8902,0.9431,0.9166
5.2,0.2314,0.5121,0.8685,0.563,0.3848,0.4739,0.4694,0.6781,0.5737,0.8918,0.9386,0.9152
5.3,0.2125,0.5205,0.8543,0.5766,0.4094,0.493,0.47,0.6812,0.5756,0.8936,0.9346,0.9141
5.4,0.193,0.5314,0.8381,0.5923,0.4367,0.5145,0.4737,0.6835,0.5786,0.8959,0.9315,0.9137
5.5,0.1726,0.5442,0.82,0.6096,0.4658,0.5377,0.4797,0.6847,0.5822,0.8986,0.9293,0.9139
5.6,0.1509,0.5577,0.7999,0.6274,0.4951,0.5612,0.4874,0.6842,0.5858,0.9012,0.9279,0.9146
5.7,0.1276,0.5707,0.7782,0.644,0.5233,0.5836,0.4963,0.6817,0.589,0.9035,0.927,0.9152
5.8,0.103,0.5821,0.7554,0.658,0.5497,0.6038,0.5063,0.6771,0.5917,0.9052,0.9262,0.9157
5.9,0.0775,0.5911,0.7322,0.6687,0.574,0.6214,0.5174,0.6709,0.5941,0.9062,0.9254,0.9158
6,0.0519,0.5973,0.7091,0.6766,0.5961,0.6363,0.5291,0.6636,0.5963,0.906,0.924,0.915
6.1,0.0274,0.6007,0.6866,0.6823,0.6148,0.6486,0.5409,0.656,0.5984,0.9041,0.9214,0.9128
6.2,0.0051,0.6012,0.6654,0.6863,0.6291,0.6577,0.5528,0.6484,0.6006,0.9003,0.9174,0.9088
6.3,-0.0145,0.5988,0.6466,0.6887,0.638,0.6634,0.5649,0.6415,0.6032,0.8945,0.9118,0.9032
6.4,-0.0306,0.5936,0.6307,0.6894,0.6415,0.6655,0.5771,0.6354,0.6063,0.887,0.9045,0.8958
6.5,-0.0431,0.5861,0.618,0.6887,0.6401,0.6644,0.5895,0.6304,0.61,0.8781,0.8952,0.8867
6.6,-0.0526,0.5765,0.6087,0.6862,0.6344,0.6603,0.6016,0.6268,0.6142,0.8683,0.8837,0.876
6.7,-0.06,0.565,0.6032,0.6816,0.625,0.6533,0.6129,0.6248,0.6189,0.8578,0.8701,0.864
6.8,-0.0665,0.5516,0.6019,0.6743,0.6124,0.6433,0.6228,0.6247,0.6238,0.8467,0.8544,0.8505
6.9,-0.073,0.5363,0.6047,0.6638,0.5967,0.6303,0.6306,0.6261,0.6284,0.8346,0.8366,0.8356
7,-0.0796,0.5198,0.6113,0.6509,0.5785,0.6147,0.6359,0.6281,0.632,0.8211,0.8164,0.8187
7.1,-0.085,0.5031,0.6206,0.6361,0.5586,0.5974,0.6383,0.6296,0.634,0.8057,0.7935,0.7996
7.2,-0.0884,0.4872,0.6312,0.6202,0.5378,0.579,0.6382,0.6295,0.6338,0.7885,0.7673,0.7779
7.3,-0.089,0.4728,0.6423,0.6035,0.5168,0.5601,0.6357,0.6275,0.6316,0.7697,0.738,0.7538
7.4,-0.0868,0.4601,0.6535,0.586,0.4964,0.5412,0.6317,0.6236,0.6276,0.7499,0.7063,0.7281
7.5,-0.0821,0.4491,0.6645,0.5684,0.4767,0.5225,0.6266,0.6178,0.6222,0.7294,0.6732,0.7013
7.6,-0.0757,0.4396,0.675,0.5512,0.4582,0.5047,0.6208,0.6101,0.6155,0.7083,0.6395,0.6739
7.7,-0.0687,0.4317,0.6844,0.5352,0.4414,0.4883,0.6148,0.6006,0.6077,0.6868,0.6059,0.6463
7.8,-0.0624,0.4257,0.6918,0.5205,0.427,0.4737,0.6087,0.5894,0.599,0.6651,0.5731,0.6191
7.9,-0.0575,0.4217,0.6968,0.5072,0.4151,0.4611,0.6027,0.5766,0.5897,0.6436,0.5419,0.5928
8,-0.0542,0.42,0.6992,0.4953,0.4053,0.4503,0.5973,0.5627,0.58,0.6227,0.5134,0.5681
8.1,-0.0519,0.4204,0.6995,0.4854,0.3968,0.4411,0.5931,0.5487,0.5709,0.6028,0.4885,0.5457
8.2,-0.0498,0.4222,0.6981,0.4773,0.3887,0.433,0.5906,0.5356,0.5631,0.5844,0.468,0.5262
