Time,Birds Eye - An Eye For Good 30 TVC,Birds Eye - An Eye For Good 30 TVC,Birds Eye - An Eye For Good 30 TVC,Birds Eye - An Eye For Good 30 TVC,Birds Eye - An Eye For Good 30 TVC,Birds Eye - An Eye For Good 30 TVC,Birds Eye - An Eye For Good 30 TVC,Birds Eye - An Eye For Good 30 TVC,Birds Eye - An Eye For Good 30 TVC,Birds Eye - An Eye For Good 30 TVC,Birds Eye - An Eye For Good 30 TVC,Birds Eye - An Eye For Good 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.1396,0.6697,0.8346,0.7295,0.8188,0.7741,0.7069,0.4998,0.6033,0.5478,0.793,0.6704
0.1,0.1567,0.6942,0.8124,0.7709,0.8485,0.8097,0.7196,0.5071,0.6134,0.555,0.7875,0.6713
0.2,0.1731,0.7154,0.7834,0.8093,0.8697,0.8395,0.7295,0.5097,0.6196,0.5652,0.7816,0.6734
0.3,0.1894,0.7327,0.7487,0.844,0.8821,0.8631,0.7366,0.5084,0.6225,0.577,0.7749,0.6759
0.4,0.2064,0.7455,0.7099,0.8742,0.8857,0.8799,0.7411,0.5039,0.6225,0.5896,0.7672,0.6784
0.5,0.2246,0.7528,0.6688,0.8988,0.8806,0.8897,0.7433,0.4963,0.6198,0.6025,0.7588,0.6807
0.6,0.244,0.7543,0.6271,0.9169,0.8676,0.8923,0.7432,0.4861,0.6146,0.6159,0.7507,0.6833
0.7,0.2639,0.7501,0.5858,0.9279,0.848,0.888,0.7404,0.474,0.6072,0.63,0.7435,0.6867
0.8,0.283,0.7408,0.5456,0.9315,0.8233,0.8774,0.7348,0.4609,0.5979,0.6446,0.7378,0.6912
0.9,0.2995,0.727,0.5073,0.9278,0.7948,0.8613,0.7262,0.4478,0.587,0.6592,0.7333,0.6962
1,0.3125,0.71,0.4721,0.9174,0.764,0.8407,0.7146,0.4354,0.575,0.6728,0.7293,0.7011
1.1,0.3215,0.6911,0.4411,0.9017,0.7325,0.8171,0.7006,0.4245,0.5626,0.6849,0.7252,0.705
1.2,0.3264,0.6714,0.4155,0.8817,0.7018,0.7918,0.6849,0.4164,0.5506,0.695,0.7205,0.7077
