Time,Qantas Feels Like Home 60 TVC,Qantas Feels Like Home 60 TVC,Qantas Feels Like Home 60 TVC,Qantas Feels Like Home 60 TVC,Qantas Feels Like Home 60 TVC,Qantas Feels Like Home 60 TVC,Qantas Feels Like Home 60 TVC,Qantas Feels Like Home 60 TVC,Qantas Feels Like Home 60 TVC,Qantas Feels Like Home 60 TVC,Qantas Feels Like Home 60 TVC,Qantas Feels Like Home 60 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
23.2,-0.1938,0.4918,0.859,0.5078,0.8101,0.6589,0.6081,0.7744,0.6913,0.9541,0.879,0.9165
23.3,-0.193,0.5073,0.8652,0.5173,0.8164,0.6669,0.6021,0.7806,0.6914,0.9578,0.878,0.9179
23.4,-0.1914,0.5239,0.8673,0.5276,0.8193,0.6735,0.5933,0.7821,0.6877,0.9561,0.8725,0.9143
23.5,-0.1868,0.5414,0.8651,0.5389,0.8195,0.6792,0.5822,0.779,0.6806,0.9491,0.8633,0.9062
23.6,-0.1784,0.56,0.8588,0.5517,0.8177,0.6847,0.5693,0.7719,0.6706,0.9372,0.8509,0.894
23.7,-0.167,0.5789,0.8489,0.5658,0.8143,0.69,0.5551,0.7616,0.6584,0.921,0.8359,0.8784
23.8,-0.1541,0.5974,0.8359,0.5801,0.8097,0.6949,0.54,0.7494,0.6447,0.901,0.8189,0.8599
23.9,-0.1412,0.6142,0.8209,0.5944,0.8038,0.6991,0.525,0.7362,0.6306,0.8778,0.8006,0.8392
24,-0.1284,0.6285,0.8047,0.6085,0.7966,0.7026,0.5109,0.723,0.617,0.8523,0.782,0.8171
24.1,-0.1152,0.6402,0.7879,0.6227,0.7885,0.7056,0.4988,0.7106,0.6047,0.8255,0.7635,0.7945
24.2,-0.1013,0.6498,0.7705,0.637,0.7805,0.7088,0.4893,0.6994,0.5943,0.7983,0.7454,0.7718
24.3,-0.0871,0.6577,0.7526,0.6513,0.7735,0.7124,0.4821,0.6897,0.5859,0.7711,0.7281,0.7496
24.4,-0.0741,0.6642,0.7344,0.6648,0.7683,0.7166,0.4769,0.6815,0.5792,0.7444,0.712,0.7282
24.5,-0.0631,0.6692,0.7163,0.6769,0.7648,0.7209,0.4731,0.6744,0.5738,0.7183,0.6974,0.7078
24.6,-0.0548,0.6725,0.6986,0.6871,0.7631,0.7251,0.4706,0.6678,0.5692,0.6931,0.6848,0.689
24.7,-0.0492,0.6744,0.681,0.6957,0.763,0.7293,0.4689,0.6615,0.5652,0.6689,0.6738,0.6714
24.8,-0.0464,0.6753,0.6631,0.7026,0.7646,0.7336,0.4674,0.6554,0.5614,0.6454,0.6642,0.6548
24.9,-0.0462,0.6754,0.6443,0.7079,0.7678,0.7379,0.4657,0.6495,0.5576,0.622,0.6552,0.6386
25,-0.0477,0.6748,0.6244,0.7118,0.7721,0.7419,0.4638,0.644,0.5539,0.5988,0.6467,0.6227
25.1,-0.0501,0.6738,0.6031,0.7146,0.7768,0.7457,0.4622,0.6389,0.5506,0.5759,0.6386,0.6073
25.2,-0.0522,0.6726,0.5799,0.7169,0.7816,0.7492,0.4617,0.6339,0.5478,0.5537,0.6309,0.5923
25.3,-0.0538,0.6716,0.5543,0.7189,0.7866,0.7528,0.4624,0.6285,0.5455,0.5322,0.623,0.5776
25.4,-0.0553,0.6709,0.5255,0.7201,0.792,0.7561,0.4644,0.6221,0.5432,0.5117,0.6143,0.563
25.5,-0.0575,0.6706,0.4932,0.7195,0.7978,0.7587,0.4674,0.6141,0.5407,0.4925,0.6043,0.5484
25.6,-0.0612,0.6707,0.4575,0.716,0.8039,0.7599,0.4715,0.6046,0.538,0.4752,0.5932,0.5342
25.7,-0.0665,0.6716,0.4194,0.7092,0.8098,0.7595,0.4771,0.5937,0.5354,0.4605,0.5812,0.5209
25.8,-0.0734,0.6738,0.3802,0.6995,0.8155,0.7575,0.4841,0.5817,0.5329,0.4485,0.5688,0.5086
25.9,-0.0814,0.6776,0.341,0.6873,0.8209,0.7541,0.4925,0.5683,0.5304,0.4388,0.5556,0.4972
26,-0.0898,0.6835,0.3029,0.673,0.8259,0.7495,0.5019,0.5537,0.5278,0.4306,0.5412,0.4859
26.1,-0.0976,0.6919,0.2667,0.6567,0.8303,0.7435,0.5117,0.538,0.5248,0.4227,0.5249,0.4738
26.2,-0.1033,0.7028,0.2336,0.6387,0.8326,0.7357,0.5209,0.5215,0.5212,0.4145,0.5062,0.4603
26.3,-0.1051,0.7161,0.2048,0.6195,0.8317,0.7256,0.5289,0.5045,0.5167,0.4055,0.4849,0.4452
26.4,-0.1004,0.7309,0.1821,0.5998,0.8263,0.713,0.5348,0.4877,0.5113,0.3961,0.4615,0.4288
26.5,-0.0873,0.7465,0.1667,0.5802,0.8162,0.6982,0.5389,0.4721,0.5055,0.3867,0.4374,0.412
26.6,-0.0651,0.7622,0.1593,0.5614,0.8015,0.6815,0.5415,0.4585,0.5,0.378,0.4142,0.3961
26.7,-0.0348,0.7774,0.1595,0.5441,0.7824,0.6633,0.5433,0.4475,0.4954,0.3702,0.3937,0.382
26.8,0.001,0.7911,0.1663,0.5292,0.7592,0.6442,0.5443,0.4389,0.4916,0.3632,0.3764,0.3698
26.9,0.0394,0.8024,0.1781,0.5169,0.7323,0.6246,0.5442,0.4321,0.4881,0.3567,0.3621,0.3594
27,0.0768,0.8099,0.1941,0.507,0.7022,0.6046,0.543,0.4271,0.485,0.3509,0.3504,0.3507
27.1,0.1105,0.8124,0.2137,0.499,0.6698,0.5844,0.541,0.4243,0.4826,0.3461,0.3412,0.3436
27.2,0.1387,0.8094,0.2367,0.4921,0.6365,0.5643,0.5387,0.4241,0.4814,0.3426,0.3344,0.3385
27.3,0.1601,0.8008,0.2624,0.4858,0.603,0.5444,0.5362,0.426,0.4811,0.3403,0.3302,0.3352
27.4,0.1741,0.7869,0.2897,0.48,0.5702,0.5251,0.533,0.4291,0.4811,0.3392,0.3284,0.3338
27.5,0.1806,0.7686,0.3172,0.4747,0.5387,0.5067,0.5286,0.4325,0.4806,0.3393,0.3291,0.3342
27.6,0.1793,0.7464,0.3436,0.4697,0.5092,0.4894,0.5231,0.4365,0.4798,0.3409,0.3322,0.3366
27.7,0.1703,0.7208,0.3682,0.4651,0.4819,0.4735,0.5167,0.4414,0.4791,0.3446,0.3381,0.3413
27.8,0.1539,0.6926,0.3912,0.4609,0.4574,0.4591,0.5099,0.4481,0.479,0.3513,0.347,0.3491
27.9,0.131,0.6627,0.4131,0.4576,0.4362,0.4469,0.5032,0.4565,0.4798,0.3615,0.359,0.3602
28,0.1024,0.6319,0.4338,0.4559,0.4189,0.4374,0.4968,0.4666,0.4817,0.3754,0.3741,0.3748
28.1,0.0689,0.6009,0.4537,0.456,0.4054,0.4307,0.4912,0.4781,0.4847,0.3931,0.3925,0.3928
28.2,0.0322,0.5703,0.4729,0.4582,0.3952,0.4267,0.4868,0.4908,0.4888,0.4147,0.4142,0.4144
28.3,-0.0062,0.5403,0.4918,0.4629,0.3878,0.4253,0.4842,0.5041,0.4941,0.4404,0.4393,0.4399
28.4,-0.0445,0.5119,0.5103,0.4704,0.3828,0.4266,0.4833,0.5173,0.5003,0.4701,0.4674,0.4688
28.5,-0.082,0.4859,0.5282,0.4809,0.3804,0.4306,0.4841,0.5297,0.5069,0.5031,0.4978,0.5004
28.6,-0.1188,0.4631,0.5453,0.4941,0.3808,0.4374,0.4858,0.5408,0.5133,0.5382,0.5296,0.5339
28.7,-0.1554,0.4438,0.562,0.5088,0.3839,0.4464,0.4876,0.5501,0.5188,0.5742,0.5624,0.5683
28.8,-0.192,0.4281,0.5789,0.5242,0.3897,0.457,0.4885,0.5577,0.5231,0.6099,0.5954,0.6027
28.9,-0.2285,0.4166,0.5962,0.5399,0.3978,0.4688,0.4883,0.5635,0.5259,0.644,0.6276,0.6358
29,-0.2645,0.4099,0.6136,0.5562,0.4083,0.4823,0.487,0.5679,0.5274,0.675,0.6576,0.6663
29.1,-0.2998,0.4085,0.6305,0.5733,0.421,0.4971,0.4843,0.5706,0.5275,0.7018,0.684,0.6929
29.2,-0.3341,0.4125,0.646,0.5908,0.435,0.5129,0.4797,0.5716,0.5257,0.723,0.7057,0.7144
29.3,-0.3676,0.4213,0.6597,0.6078,0.4496,0.5287,0.4728,0.5706,0.5217,0.7378,0.722,0.7299
29.4,-0.4007,0.434,0.6712,0.6231,0.4638,0.5434,0.4631,0.5673,0.5152,0.7456,0.732,0.7388
29.5,-0.4335,0.4501,0.68,0.6355,0.4769,0.5562,0.4508,0.5616,0.5062,0.7461,0.7352,0.7407
29.6,-0.4661,0.4688,0.6862,0.6442,0.4884,0.5663,0.4362,0.5541,0.4951,0.7397,0.7318,0.7357
29.7,-0.4981,0.4891,0.6902,0.6482,0.4979,0.573,0.4201,0.545,0.4826,0.7274,0.7223,0.7248
29.8,-0.5292,0.51,0.6926,0.6468,0.5053,0.576,0.4029,0.5352,0.4691,0.7103,0.7083,0.7093
29.9,-0.5596,0.5303,0.6937,0.6393,0.5109,0.5751,0.3854,0.5247,0.4551,0.6896,0.6909,0.6902
30,-0.5894,0.5492,0.6935,0.6259,0.5148,0.5704,0.3686,0.514,0.4413,0.666,0.6709,0.6684
30.1,-0.6187,0.5661,0.6918,0.6081,0.5175,0.5628,0.3539,0.504,0.4289,0.6401,0.6487,0.6444
30.2,-0.6469,0.5808,0.6889,0.5874,0.5192,0.5533,0.3428,0.4955,0.4191,0.6131,0.6249,0.619
30.3,-0.6727,0.5931,0.685,0.5653,0.5201,0.5427,0.3361,0.4898,0.413,0.5863,0.6007,0.5935
30.4,-0.6943,0.6025,0.6799,0.5425,0.5201,0.5313,0.3345,0.4874,0.4109,0.5613,0.5777,0.5695
30.5,-0.7107,0.6093,0.6731,0.5199,0.5187,0.5193,0.3379,0.488,0.413,0.5397,0.5571,0.5484
30.6,-0.7213,0.6137,0.6641,0.4982,0.516,0.5071,0.3461,0.491,0.4186,0.5221,0.5397,0.5309
30.7,-0.726,0.6163,0.6528,0.4789,0.5124,0.4956,0.3588,0.496,0.4274,0.509,0.5258,0.5174
30.8,-0.7243,0.6181,0.6396,0.4633,0.509,0.4861,0.3758,0.5031,0.4395,0.5003,0.5155,0.5079
30.9,-0.7153,0.6198,0.6255,0.4526,0.5065,0.4795,0.3966,0.5125,0.4545,0.496,0.5084,0.5022
31,-0.6985,0.622,0.6113,0.4471,0.5057,0.4764,0.4197,0.524,0.4719,0.4958,0.5042,0.5
31.1,-0.6732,0.6248,0.5981,0.4471,0.5069,0.477,0.444,0.5372,0.4906,0.4991,0.5025,0.5008
31.2,-0.6393,0.6282,0.5863,0.4525,0.5101,0.4813,0.4677,0.5509,0.5093,0.5053,0.5031,0.5042
31.3,-0.597,0.632,0.5763,0.463,0.5149,0.489,0.49,0.5644,0.5272,0.5131,0.5054,0.5092
31.4,-0.5471,0.6358,0.5682,0.4781,0.5211,0.4996,0.5101,0.5768,0.5435,0.5213,0.5088,0.515
31.5,-0.4914,0.6394,0.5619,0.4969,0.5281,0.5125,0.5273,0.5882,0.5578,0.529,0.5125,0.5207
31.6,-0.4315,0.6428,0.5572,0.5185,0.5357,0.5271,0.541,0.5981,0.5695,0.5349,0.5156,0.5253
31.7,-0.3688,0.6461,0.5536,0.5419,0.544,0.5429,0.5501,0.6064,0.5783,0.5384,0.5171,0.5277
31.8,-0.3043,0.6495,0.5508,0.5666,0.5531,0.5599,0.5538,0.6128,0.5833,0.5385,0.5163,0.5274
31.9,-0.2394,0.6525,0.5489,0.5916,0.563,0.5773,0.5519,0.6169,0.5844,0.5353,0.5132,0.5242
32,-0.1765,0.6543,0.548,0.6153,0.5733,0.5943,0.544,0.6184,0.5812,0.5292,0.5085,0.5188
32.1,-0.1189,0.6539,0.5483,0.6358,0.5834,0.6096,0.5307,0.6175,0.5741,0.5209,0.5023,0.5116
32.2,-0.0694,0.6512,0.5495,0.6519,0.5933,0.6226,0.513,0.6148,0.5639,0.5111,0.4948,0.5029
32.3,-0.0303,0.6467,0.5514,0.663,0.6033,0.6332,0.4921,0.6109,0.5515,0.5001,0.4857,0.4929
32.4,-0.0025,0.6408,0.5537,0.6693,0.6135,0.6414,0.4693,0.6068,0.538,0.4879,0.4752,0.4816
32.5,0.0136,0.6338,0.5566,0.6709,0.6234,0.6472,0.4454,0.6029,0.5241,0.475,0.4641,0.4695
32.6,0.0182,0.626,0.5604,0.6676,0.6322,0.6499,0.4211,0.6,0.5105,0.4622,0.4529,0.4576
32.7,0.0126,0.6176,0.5652,0.6594,0.6393,0.6493,0.3972,0.5984,0.4978,0.4498,0.4426,0.4462
32.8,-0.0005,0.6095,0.5706,0.6465,0.6448,0.6457,0.3746,0.5984,0.4865,0.4382,0.4334,0.4358
32.9,-0.0177,0.6026,0.5765,0.63,0.649,0.6395,0.354,0.6,0.477,0.4275,0.4259,0.4267
33,-0.0359,0.5975,0.5827,0.6111,0.6524,0.6318,0.336,0.6032,0.4696,0.4179,0.4205,0.4192
33.1,-0.053,0.5947,0.5892,0.5917,0.6553,0.6235,0.3213,0.6077,0.4645,0.4094,0.4176,0.4135
33.2,-0.0674,0.5944,0.5953,0.5739,0.658,0.616,0.3104,0.6131,0.4618,0.4018,0.4175,0.4096
33.3,-0.0779,0.5969,0.6007,0.56,0.661,0.6105,0.3042,0.6191,0.4617,0.3948,0.4198,0.4073
33.4,-0.0831,0.6027,0.6047,0.551,0.6648,0.6079,0.3029,0.6253,0.4641,0.388,0.4242,0.4061
33.5,-0.0821,0.6119,0.607,0.5473,0.6696,0.6085,0.3064,0.6314,0.4689,0.3813,0.4305,0.4059
33.6,-0.0751,0.6241,0.6072,0.5481,0.675,0.6115,0.3133,0.6369,0.4751,0.3745,0.4384,0.4065
33.7,-0.0626,0.6384,0.6052,0.552,0.6803,0.6161,0.3223,0.641,0.4816,0.3676,0.4474,0.4075
33.8,-0.0463,0.6535,0.6009,0.5579,0.6848,0.6214,0.3316,0.6428,0.4872,0.3601,0.4568,0.4084
33.9,-0.0275,0.6683,0.5948,0.5649,0.6886,0.6268,0.3406,0.6419,0.4912,0.3519,0.4658,0.4088
34,-0.0073,0.6819,0.5877,0.5724,0.6917,0.6321,0.3485,0.6383,0.4934,0.3429,0.474,0.4085
34.1,0.0142,0.6942,0.5806,0.5801,0.6944,0.6372,0.3553,0.6325,0.4939,0.3334,0.4812,0.4073
34.2,0.0364,0.7047,0.574,0.5877,0.6964,0.642,0.3606,0.6252,0.4929,0.3233,0.4873,0.4053
34.3,0.059,0.7133,0.5679,0.5949,0.6975,0.6462,0.3644,0.6166,0.4905,0.3129,0.4921,0.4025
34.4,0.0813,0.7196,0.5619,0.6015,0.6977,0.6496,0.3668,0.607,0.4869,0.3021,0.4954,0.3988
34.5,0.1025,0.7232,0.5563,0.6075,0.6969,0.6522,0.3682,0.5967,0.4824,0.2913,0.497,0.3942
34.6,0.1218,0.7242,0.5511,0.613,0.6956,0.6543,0.369,0.586,0.4775,0.2811,0.497,0.389
34.7,0.1386,0.7229,0.5464,0.6185,0.6942,0.6563,0.3696,0.5752,0.4724,0.272,0.4954,0.3837
34.8,0.1526,0.7199,0.5421,0.6244,0.6928,0.6586,0.3698,0.5646,0.4672,0.2646,0.4922,0.3784
34.9,0.1635,0.7156,0.5373,0.6309,0.6914,0.6612,0.3698,0.554,0.4619,0.2593,0.4876,0.3734
35,0.172,0.71,0.5315,0.6379,0.6898,0.6638,0.3697,0.5435,0.4566,0.2564,0.4815,0.369
35.1,0.1786,0.7033,0.5243,0.645,0.6877,0.6663,0.3695,0.5329,0.4512,0.2566,0.4742,0.3654
35.2,0.184,0.6961,0.5158,0.6526,0.6854,0.669,0.3694,0.5227,0.446,0.2604,0.4664,0.3634
35.3,0.1884,0.6889,0.5066,0.6611,0.6831,0.6721,0.3695,0.5132,0.4414,0.2681,0.4588,0.3635
35.4,0.1924,0.6821,0.4972,0.6708,0.6811,0.6759,0.3699,0.5051,0.4375,0.2796,0.4522,0.3659
35.5,0.1969,0.6759,0.4881,0.6817,0.6792,0.6805,0.3707,0.4989,0.4348,0.2944,0.4467,0.3705
35.6,0.2032,0.6705,0.4796,0.6935,0.6772,0.6854,0.3717,0.4951,0.4334,0.3116,0.4421,0.3769
35.7,0.2122,0.6657,0.4723,0.7062,0.6745,0.6903,0.3728,0.4936,0.4332,0.3308,0.4387,0.3847
35.8,0.2243,0.6618,0.4666,0.7193,0.6709,0.6951,0.3734,0.494,0.4337,0.3512,0.4367,0.394
35.9,0.2388,0.6587,0.463,0.7326,0.6662,0.6994,0.3733,0.4957,0.4345,0.3726,0.4367,0.4046
36,0.2551,0.6564,0.4616,0.7451,0.6605,0.7028,0.3723,0.4981,0.4352,0.3944,0.4386,0.4165
36.1,0.2733,0.6542,0.462,0.7556,0.6537,0.7046,0.3701,0.5008,0.4355,0.416,0.4422,0.4291
36.2,0.2929,0.6515,0.4637,0.7631,0.6457,0.7044,0.3663,0.5033,0.4348,0.4365,0.4474,0.4419
36.3,0.3127,0.6478,0.4665,0.7667,0.6365,0.7016,0.3608,0.5051,0.433,0.4548,0.4538,0.4543
36.4,0.3307,0.643,0.4702,0.7658,0.626,0.6959,0.3541,0.506,0.4301,0.4704,0.4615,0.4659
36.5,0.3451,0.6367,0.4747,0.7598,0.6137,0.6868,0.347,0.5058,0.4264,0.4831,0.4704,0.4768
36.6,0.3549,0.6289,0.4802,0.7483,0.5997,0.674,0.3403,0.5048,0.4226,0.4934,0.4808,0.4871
36.7,0.36,0.6194,0.4866,0.7313,0.5841,0.6577,0.3347,0.5033,0.419,0.502,0.493,0.4975
36.8,0.36,0.6086,0.4938,0.7092,0.5669,0.6381,0.3301,0.5015,0.4158,0.5094,0.5069,0.5081
36.9,0.3545,0.5968,0.5011,0.6827,0.5481,0.6154,0.3265,0.4997,0.4131,0.5156,0.5225,0.5191
37,0.3428,0.5839,0.5082,0.6525,0.5276,0.59,0.3239,0.4978,0.4109,0.5212,0.5396,0.5304
37.1,0.3248,0.5701,0.5144,0.6195,0.5052,0.5624,0.3228,0.4959,0.4093,0.5266,0.5579,0.5422
37.2,0.3011,0.5554,0.5197,0.5847,0.4815,0.5331,0.3236,0.4937,0.4087,0.5323,0.5771,0.5547
37.3,0.2726,0.5406,0.5236,0.5492,0.4575,0.5034,0.3268,0.4916,0.4092,0.5385,0.5969,0.5677
37.4,0.2402,0.5266,0.5258,0.5146,0.4344,0.4745,0.3326,0.4899,0.4112,0.5448,0.6169,0.5809
37.5,0.2041,0.5144,0.526,0.4823,0.4131,0.4477,0.3411,0.4894,0.4153,0.5513,0.6366,0.594
37.6,0.1649,0.5047,0.5243,0.4534,0.3941,0.4237,0.3523,0.4903,0.4213,0.558,0.6555,0.6068
37.7,0.1236,0.4977,0.5203,0.4285,0.3775,0.403,0.3654,0.4928,0.4291,0.5652,0.673,0.6191
37.8,0.0814,0.4931,0.5143,0.4081,0.3629,0.3855,0.3797,0.496,0.4378,0.5731,0.6887,0.6309
37.9,0.0401,0.4909,0.5062,0.3924,0.3498,0.3711,0.3942,0.4993,0.4468,0.5816,0.7023,0.642
38,0.0012,0.4906,0.496,0.3813,0.3376,0.3594,0.4083,0.5022,0.4552,0.5901,0.7135,0.6518
38.1,-0.0334,0.4913,0.4839,0.3744,0.3256,0.35,0.4216,0.5044,0.463,0.5982,0.7216,0.6599
38.2,-0.0623,0.492,0.4702,0.371,0.3133,0.3422,0.4343,0.506,0.4702,0.6049,0.7259,0.6654
38.3,-0.0842,0.4924,0.4554,0.3702,0.3004,0.3353,0.4466,0.5071,0.4768,0.6097,0.7261,0.6679
38.4,-0.0979,0.4924,0.4405,0.3715,0.2871,0.3293,0.4577,0.5079,0.4828,0.6122,0.722,0.6671
38.5,-0.103,0.4924,0.4264,0.3749,0.2739,0.3244,0.4671,0.5087,0.4879,0.6121,0.7138,0.663
38.6,-0.1002,0.4929,0.4143,0.3805,0.2614,0.3209,0.4743,0.5096,0.4919,0.6096,0.7019,0.6558
38.7,-0.0901,0.4933,0.4053,0.3881,0.2499,0.319,0.4794,0.5109,0.4952,0.6052,0.687,0.6461
38.8,-0.0741,0.4929,0.4003,0.3971,0.2393,0.3182,0.4831,0.5129,0.498,0.5991,0.6693,0.6342
38.9,-0.054,0.4911,0.3998,0.4065,0.2297,0.3181,0.4857,0.5159,0.5008,0.5917,0.6494,0.6205
39,-0.0322,0.4875,0.404,0.4151,0.2214,0.3183,0.487,0.5202,0.5036,0.5828,0.6279,0.6053
39.1,-0.011,0.4829,0.4128,0.4223,0.2153,0.3188,0.4865,0.5258,0.5061,0.5726,0.6056,0.5891
39.2,0.0078,0.4783,0.4256,0.4279,0.2123,0.3201,0.484,0.5322,0.5081,0.5611,0.5837,0.5724
39.3,0.0231,0.4744,0.441,0.4323,0.213,0.3227,0.4794,0.5392,0.5093,0.5488,0.5632,0.556
39.4,0.035,0.4716,0.4579,0.436,0.2177,0.3269,0.4731,0.5466,0.5098,0.536,0.5451,0.5405
39.5,0.0437,0.4699,0.4755,0.4387,0.2265,0.3326,0.4649,0.5548,0.5098,0.523,0.5302,0.5266
39.6,0.049,0.4694,0.4937,0.4401,0.2395,0.3398,0.4551,0.5639,0.5095,0.5105,0.5187,0.5146
39.7,0.0499,0.4697,0.5126,0.4397,0.2567,0.3482,0.4441,0.5741,0.5091,0.4992,0.511,0.5051
39.8,0.0451,0.4702,0.5322,0.437,0.2774,0.3572,0.4325,0.5848,0.5087,0.4903,0.5071,0.4987
39.9,0.0347,0.4704,0.5523,0.432,0.3002,0.3661,0.4209,0.596,0.5084,0.4846,0.5072,0.4959
40,0.0193,0.4697,0.5726,0.4251,0.324,0.3746,0.4091,0.6075,0.5083,0.4828,0.511,0.4969
40.1,-0.0002,0.4684,0.5928,0.4166,0.3477,0.3821,0.3971,0.6188,0.508,0.4845,0.5177,0.5011
40.2,-0.0239,0.4668,0.6122,0.4064,0.3707,0.3885,0.3852,0.6294,0.5073,0.4895,0.5267,0.5081
40.3,-0.0518,0.4657,0.6306,0.3947,0.3926,0.3937,0.3741,0.6388,0.5064,0.4972,0.5372,0.5172
40.4,-0.0839,0.4655,0.648,0.3822,0.4134,0.3978,0.3649,0.6468,0.5059,0.5074,0.5488,0.5281
40.5,-0.1197,0.4662,0.6647,0.3694,0.4326,0.401,0.3581,0.6537,0.5059,0.5194,0.5612,0.5403
40.6,-0.1584,0.4678,0.6809,0.3568,0.4498,0.4033,0.3538,0.6594,0.5066,0.5327,0.5743,0.5535
40.7,-0.1985,0.4698,0.697,0.345,0.4644,0.4047,0.3517,0.6642,0.5079,0.5466,0.5881,0.5674
40.8,-0.2378,0.4719,0.713,0.3345,0.4762,0.4054,0.3517,0.6682,0.51,0.5608,0.6026,0.5817
40.9,-0.2731,0.4741,0.7289,0.3265,0.4845,0.4055,0.3541,0.6716,0.5128,0.5753,0.6177,0.5965
41,-0.3013,0.476,0.7444,0.3223,0.4889,0.4056,0.3589,0.6739,0.5164,0.5902,0.6332,0.6117
41.1,-0.3201,0.4772,0.7593,0.3224,0.4888,0.4056,0.3657,0.6747,0.5202,0.6055,0.6487,0.6271
41.2,-0.3283,0.4775,0.7735,0.3268,0.484,0.4054,0.3739,0.6738,0.5239,0.6209,0.6641,0.6425
41.3,-0.3257,0.4762,0.7867,0.3346,0.4746,0.4046,0.3831,0.6713,0.5272,0.6362,0.679,0.6576
41.4,-0.3125,0.4733,0.7993,0.3454,0.4612,0.4033,0.393,0.6674,0.5302,0.6512,0.6933,0.6723
41.5,-0.2891,0.4687,0.8115,0.359,0.4441,0.4015,0.4034,0.6624,0.5329,0.6661,0.7072,0.6866
41.6,-0.256,0.4629,0.8234,0.3748,0.4237,0.3992,0.4138,0.6558,0.5348,0.6808,0.7204,0.7006
41.7,-0.2145,0.4565,0.8344,0.3916,0.4005,0.3961,0.4238,0.6474,0.5356,0.6954,0.7329,0.7141
41.8,-0.1665,0.4498,0.8433,0.4079,0.3752,0.3916,0.4329,0.6369,0.5349,0.7094,0.7441,0.7267
41.9,-0.1142,0.4433,0.8492,0.4232,0.3487,0.386,0.4412,0.6248,0.533,0.7225,0.7536,0.7381
42,-0.0598,0.4376,0.8517,0.4377,0.3224,0.3801,0.4494,0.6117,0.5305,0.7342,0.7609,0.7475
42.1,-0.0047,0.4329,0.8509,0.452,0.2975,0.3747,0.4575,0.5982,0.5279,0.7437,0.7655,0.7546
42.2,0.0498,0.4294,0.8469,0.4657,0.2743,0.37,0.4656,0.5846,0.5251,0.7502,0.7672,0.7587
42.3,0.1027,0.4271,0.8398,0.4783,0.2525,0.3654,0.4731,0.5706,0.5218,0.7531,0.7657,0.7594
42.4,0.1531,0.4264,0.8296,0.4894,0.2322,0.3608,0.4798,0.5561,0.518,0.7522,0.7609,0.7566
42.5,0.2007,0.4282,0.8168,0.5001,0.2133,0.3567,0.4859,0.5413,0.5136,0.7474,0.753,0.7502
42.6,0.2457,0.4331,0.8019,0.5118,0.1963,0.354,0.4915,0.5266,0.5091,0.7389,0.7421,0.7405
42.7,0.2885,0.4416,0.7856,0.5256,0.1818,0.3537,0.4967,0.5129,0.5048,0.7269,0.7286,0.7278
42.8,0.3288,0.4537,0.7685,0.5416,0.1699,0.3558,0.5011,0.5007,0.5009,0.7118,0.7127,0.7122
42.9,0.3657,0.4688,0.7512,0.5589,0.1607,0.3598,0.5042,0.4908,0.4975,0.6939,0.6945,0.6942
43,0.3973,0.4866,0.7342,0.5769,0.154,0.3655,0.5063,0.483,0.4947,0.6737,0.6745,0.6741
43.1,0.4215,0.5066,0.718,0.5955,0.1499,0.3727,0.5076,0.4771,0.4924,0.6524,0.6535,0.6529
43.2,0.4371,0.5287,0.7028,0.6149,0.1485,0.3817,0.5082,0.4725,0.4903,0.6306,0.6322,0.6314
43.3,0.4442,0.5523,0.6892,0.6345,0.1501,0.3923,0.5076,0.4685,0.4881,0.6095,0.6117,0.6106
43.4,0.4428,0.5768,0.6775,0.6534,0.1554,0.4044,0.5056,0.4653,0.4854,0.5898,0.5927,0.5913
43.5,0.4322,0.6014,0.6678,0.6702,0.1647,0.4174,0.5024,0.4631,0.4828,0.5722,0.576,0.5741
43.6,0.4113,0.625,0.6602,0.6847,0.1786,0.4317,0.4989,0.4627,0.4808,0.5568,0.5618,0.5593
43.7,0.3796,0.6466,0.6547,0.6968,0.1972,0.447,0.4953,0.4642,0.4797,0.5437,0.5504,0.547
43.8,0.3376,0.6645,0.6512,0.7055,0.2197,0.4626,0.4904,0.4667,0.4785,0.5327,0.5416,0.5371
43.9,0.2877,0.6772,0.6492,0.7091,0.2441,0.4766,0.4829,0.4688,0.4758,0.5238,0.535,0.5294
44,0.2329,0.6839,0.6479,0.7059,0.2688,0.4873,0.472,0.4692,0.4706,0.517,0.5303,0.5237
44.1,0.1758,0.6849,0.6473,0.6954,0.2931,0.4942,0.4585,0.4679,0.4632,0.5123,0.5269,0.5196
44.2,0.1178,0.6808,0.6474,0.6779,0.3171,0.4975,0.4436,0.465,0.4543,0.5095,0.5245,0.517
44.3,0.0595,0.6724,0.6482,0.6535,0.3409,0.4972,0.4281,0.4612,0.4447,0.5088,0.5228,0.5158
44.4,0.0016,0.66,0.6501,0.6211,0.3634,0.4923,0.4118,0.4564,0.4341,0.5102,0.5218,0.516
44.5,-0.0553,0.6436,0.6528,0.58,0.3834,0.4817,0.3943,0.4501,0.4222,0.5135,0.5214,0.5174
44.6,-0.1105,0.6238,0.6556,0.53,0.3996,0.4648,0.3751,0.4419,0.4085,0.5179,0.521,0.5195
